gap_id,area,current_state,evidence,status,next_action,rebuild_trigger
local_slavic_translation_package,Ukrainian/Russian/Interslavic corpus package,"Stable package exists and validates","packages/Noether_Slavic_Post44_Papers01_45PlusBibliography_Update_20260628T203324Z.zip.independent_validation.json; SHA256 4F9A629F42C8292BF4CC5FB43E58EBB951EC2A383E01D0812A20E6644E0999C9",closed_local,"Preserve unless a real trigger appears",no
cumulative_tex_pdf_streams,TeX/PDF render baseline,"Four cumulative streams exist with page-count OK and hashes recorded","renders/cumulative/Noether_Papers01_45PlusBibliography_SourceCorrected_merge_manifest.json",closed_local,"Preserve hashes and contact-sheet evidence",no
german_source_provenance,Source baseline,"Local inventory and live Zenodo record identify German/source-control artifacts","sources/PAPERS_01_43_PLUS_POST_NUMBERED_SOURCE_INVENTORY_VALIDATION.json; https://zenodo.org/api/records/20836874",closed_current,"Recheck Zenodo before future publication refresh",yes_if_changed
source_inventory_validation,Numbered source slices,"Required files are not missing and 43 scan PDFs are registered","sources/PAPERS_01_43_PLUS_POST_NUMBERED_SOURCE_INVENTORY_VALIDATION.json",closed_current,"Repair only if source inventory validation changes",yes_if_invalid
external_review_returns,Native/external review,"No real return files found; expected 184 forms","logs/external_review_returns_20260628/EXTERNAL_REVIEW_RETURN_STATUS_20260628.json",open_external_gate,"Wait for real reviewer returns; validate if supplied",yes_if_accepted_correction
accepted_correction_ingestion,Review correction application,"No accepted corrections available to ingest","REVIEW_RETURN_CORRECTION_INGESTION_PREFLIGHT_20260630.json; current_accepted_corrections 0",open_external_gate,"Ingest only schema-valid accepted correction rows",yes_if_rows_accepted
interslavic_limited_support_families,Interslavic authority routing,"Three limited-support families isolated and micro-packeted","outputs/NOETHER_INTERSLAVIC_LIMITED_SUPPORT_REVIEW_MICROPACKETS_20260704.md",routed_not_closed,"Return to Interslavic authority reviewer with hashes and decision schema",yes_if_term_change_accepted
broad_slavic_math_reference_shelf,Slavic mathematical register evidence,"20 public math references across Bulgarian Croatian Czech Polish Serbian Slovak Slovenian with term hits","sources/interslavic_triangulation/20260624_slavic_math_reference/slavic_math_reference_manifest.json",covered_for_routing,"Add more branch-specific sources only as review evidence",no
arxiv_tex_method_source_shelf,Slavic corpus/method context,"10 arXiv TeX-source rows cover multi-branch Slavic corpora and transfer methods","outputs/NOETHER_SLAVIC_ARXIV_TEX_SOURCE_SHELF_20260704.csv",covered_context_only,"Use as background only; never as terminology authority",no
belarusian_macedonian_sorbian_math_controls,Underrepresented branch math controls,"Not present as local mathematical-register controls; represented indirectly through arXiv corpus/method rows for some languages","outputs/NOETHER_SLAVIC_ARXIV_TEX_SOURCE_SHELF_20260704.csv",explicit_extension_gap,"Optional future source discovery for branch coverage; not required for current package stability",no
non_slavic_contamination_boundary,Canonical Slavic output isolation,"Non-Slavic lanes excluded from Slavic rebuild and approval decisions","outputs/NOETHER_SLAVIC_SOURCE_BASELINE_WATCHER_BOUNDARIES_20260704.md",closed_boundary,"Keep non-Slavic source discovery outside canonical Slavic outputs",no
git_push_boundary,Coordination boundary,"Session B owns pushing; this lane does not push","Coordinator directive",closed_boundary,"Do not push from this lane",no
stale_reader_candidates,Slavic reader freshness,"Corrected stale/fix search found historical stale-reader language only; Paper37/Paper38 Paper43 and Paper02-through-Paper17 repairs are superseded by current cumulative package","logs/WORKFLOW_LOG_SPANISH_COVARIANT_TEX_STRICT_REFRESH_20260702T182059Z.md; logs/INTERSLAVIC_RECOVERY_NOTE_20260627.md; renders/cumulative/Noether_Papers01_45PlusBibliography_SourceCorrected_merge_manifest.json",closed_current,"No Slavic reader rebuild now; reopen only on targeted render defect accepted correction terminology mutation source inventory failure or Zenodo/source change",no
