id,title,abs_url,tex_source_url,slavic_coverage,lane_role,boundary
arxiv_2404_00482,Cross-lingual Named Entity Corpus for Slavic Languages,https://arxiv.org/abs/2404.00482,https://arxiv.org/e-print/2404.00482,"Bulgarian; Czech; Polish; Slovenian; Russian; Ukrainian","broad Slavic corpus context across East/West/South Slavic; useful for coverage framing","Not a mathematical terminology authority and not a reviewer return"
arxiv_2502_14509,MultiSlav: Using Cross-Lingual Knowledge Transfer to Combat the Curse of Multilinguality,https://arxiv.org/abs/2502.14509,https://arxiv.org/e-print/2502.14509,"Czech; Polish; Slovak; Slovene","Slavic-to-Slavic translation method context, especially low/mid-resource Latin-script Slavic transfer","Not a source for Noether terms and not an Interslavic authority"
arxiv_2504_06816,A Graph Diffusion Algorithm for Lexical Similarity Evaluation,https://arxiv.org/abs/2504.06816,https://arxiv.org/e-print/2504.06816,"Uses Slavic reference/classified sets including Czech; Polish; Russian; Serbian; Slovak; Belarusian; Bulgarian; Lower Sorbian; Macedonian; Slovenian; Ukrainian; Upper Sorbian","possible future lexical-similarity diagnostic for legibility risk","Method only; cannot certify canonical language choices"
arxiv_2601_18791,Subword-Based Comparative Linguistics across 242 Languages Using Wikipedia Glottosets,https://arxiv.org/abs/2601.18791,https://arxiv.org/e-print/2601.18791,"Cyrillic and Latin Slavic examples include Russian-Ukrainian and Belarusian-Macedonian comparisons","possible future script/subword divergence diagnostic for Latin/Cyrillic sidecars","Method only; Wikipedia/BPE signal is not reviewer authority"
arxiv_2403_18430,Exploring language relations through syntactic distances and geographic proximity,https://arxiv.org/abs/2403.18430,https://arxiv.org/e-print/2403.18430,"Language-family clustering method using Universal Dependencies POS distributions","possible syntax-distance context for broad interlanguage design limits","Method only; not terminology evidence"
arxiv_2510_19628,CrossNews-UA: A Cross-lingual News Semantic Similarity Benchmark for Ukrainian Polish Russian and English,https://arxiv.org/abs/2510.19628,https://arxiv.org/e-print/2510.19628,"Ukrainian; Polish; Russian; English comparator","East/West Slavic semantic-similarity benchmark context around Ukrainian centrality","News-domain benchmark; not mathematical terminology authority"
arxiv_2511_01619,ParlaSpeech 3.0: Richly Annotated Spoken Parliamentary Corpora of Croatian Czech Polish and Serbian,https://arxiv.org/abs/2511.01619,https://arxiv.org/e-print/2511.01619,"Croatian; Czech; Polish; Serbian","South/West Slavic corpus-availability context and possible future register-comparison shelf","Parliamentary spoken corpus; not Noether or algebra terminology authority"
arxiv_2003_14026,MULTEXT-East,https://arxiv.org/abs/2003.14026,https://arxiv.org/e-print/2003.14026,"Bulgarian; Croatian; Czech; Macedonian; Polish; Russian; Serbian; Slovak; Slovene; Ukrainian plus non-Slavic comparators","broad morphosyntactic/parallel-corpus context across many Slavic branches","Morphosyntactic corpus context; not Noether mathematical terminology authority"
arxiv_2403_12721,CLASSLA-web: Comparable Web Corpora of South Slavic Languages Enriched with Linguistic and Genre Annotation,https://arxiv.org/abs/2403.12721,https://arxiv.org/e-print/2403.12721,"Slovenian; Croatian; Bosnian; Montenegrin; Serbian; Macedonian; Bulgarian","South Slavic coverage context and under-resourced language support framing","General web corpus context; not mathematical terminology authority"
arxiv_2404_06964,Charles Translator: A Machine Translation System between Ukrainian and Czech,https://arxiv.org/abs/2404.06964,https://arxiv.org/e-print/2404.06964,"Ukrainian; Czech","direct East-West Slavic transfer and Cyrillic-Latin transliteration context","Machine-translation system context; not external acceptance or terminology authority"
