name,pdf,sha256,pages_pdfinfo,rendered_pages,render_status,page_size,text_chars,cyrillic_chars,bad_glyph_markers,edge_touch_pages,min_render_margin_px,pdfinfo_status,pdftotext_status
integrated_reference_format_qc,[working build path],d3d9d2c7d99ebd91e07b645dcbe451d2cc0b6c24ea501a20a17921e802317130,144,144,PASS,595.28 x 841.89 pts (A4),196114,100837,1,,12,PASS,PASS
zuazua_wave_ch01_03,[working build path],686480dd5f1c6b34e4e70781bd533177a41466660f4f5c3a3adb2a0c0f9c58f8,60,60,PASS,612 x 792 pts (letter),76807,41788,18,,1,PASS,PASS
event_sensor_fusion_odometry,[working build path],20feddfb5cca5173ce2b619db2814f89e0bf290186418cb1d9609710f7c32183,8,8,PASS,612 x 792 pts (letter),35978,19766,0,,16,PASS,PASS
sensor_fusion_2506_full,[working build path],508282625bc110427437446291a55e1ea8552fdcc6626c0a7ebe13a2b7d414ae,19,19,PASS,612 x 792 pts (letter),93711,43470,0,,9,PASS,PASS
peeterjoot_antenna_full,[working build path],b29cff81df867365ed9cb48306117bd48f4d2cdc278217eb1787cd52cd2290f8,23,23,PASS,595.28 x 841.89 pts (A4),28844,13753,0,6;13,0,PASS,PASS
correll_autonomous_robots,[working build path],eeb29e4ee0336dcbea73ff97975e3312d68b02b9b27964b73f49e40ca1f791e1,72,72,PASS,612 x 792 pts (letter),96947,71833,0,,14,PASS,PASS
roth_robust_filter,[working build path],721f4d6cc4ae061350cacb121cb4725d69d436e0bcebec11099d5c76951aa571,9,9,PASS,612 x 792 pts (letter),15889,10546,0,,32,PASS,PASS
spark_micro_lie_partial,[working build path],d7ec07220f2aba24823721217dddabba0a4d098c83f6b39e7e0ffbdc6f1583dc,4,4,PASS,595.28 x 841.89 pts (A4),11329,8832,0,,12,PASS,PASS
blackman_working_ocr_gap_format_checked,[working build path],fe262cd6673076317682815eae7f244920282dfcc463eb9dadad188c1e93d8e7,10,10,PASS,595.28 x 841.89 pts (A4),15207,10560,0,,14,PASS,PASS
pysdr_ukraine_rst_to_tex_current,[working build path],5a9b9071a37eecd5b16e93241497424a4578d92301b89313d9f327c6597e1e6e,100,100,PASS,595.28 x 841.89 pts (A4),251649,168324,0,,8,PASS,PASS

