file,pages,page_size,bytes,sha256
ukrainian_applied_math_core_current_qachecked.pdf,143,595.28 x 841.89 pts (A4),525048,7b18c14bc235830a59e6d0bef1a64d32789b1a1d4b07330dd2d588441ec26040
pysdr_ukrainian_selected_tex_current_full.pdf,100,595.28 x 841.89 pts (A4),420542,5a9b9071a37eecd5b16e93241497424a4578d92301b89313d9f327c6597e1e6e
arxiv_1804_06564_sdr_survey_ua_core_format_checked.pdf,6,612 x 792 pts (letter),98125,6bf517a66b6f4f286b9276ac9a09d76a1684be90dc7a8e576acf45f54263991a
arxiv_2402_17894_zuazua_wave_ch01_03_ua_format_checked.pdf,40,595.28 x 841.89 pts (A4),246470,91372203350ea0376f9c886d0f9ba00aebd29976741bdd77d711de332e744941
arxiv_2410_15480_event_sensor_fusion_ua_full.pdf,8,612 x 792 pts (letter),432046,20feddfb5cca5173ce2b619db2814f89e0bf290186418cb1d9609710f7c32183
arxiv_2506_19769_sensor_fusion_ua_full_session07.pdf,19,612 x 792 pts (letter),2182663,508282625bc110427437446291a55e1ea8552fdcc6626c0a7ebe13a2b7d414ae
peeterjoot_antenna_full_ua_session07_format_checked.pdf,23,595.28 x 841.89 pts (A4),169700,4e4b23ad4d8a82c3f10dad2d566047fa1eb774e822fa9a69b9aaceead4dbbde4
autonomous_robots_correll_perception_navigation_ua_full_session07_format_checked.pdf,45,595.28 x 841.89 pts (A4),258750,e1f097b75d7c082f0342cd16e1ced0dae729956b710dc1b3890004696b5ff812
arxiv_1703_02428_roth_robust_filter_ua_full.pdf,9,612 x 792 pts (letter),95398,721f4d6cc4ae061350cacb121cb4725d69d436e0bcebec11099d5c76951aa571
arxiv_1812_01537_spark_micro_lie_partial_ua.pdf,4,595.28 x 841.89 pts (A4),72141,d7ec07220f2aba24823721217dddabba0a4d098c83f6b39e7e0ffbdc6f1583dc
arxiv_1711_02508_sola_eskf_ua_core.pdf,4,595.28 x 841.89 pts (A4),85480,d857519e4f376ad697bc48703b66d56bb719729cad2b2c8b886c23986f6b7b69
labbe_kalman_ua_practical_core.pdf,2,595.28 x 841.89 pts (A4),43731,7097fad53c7b755003f0a1327c6e255d4e448cbbd47d7e79ee0f369b8952a3be
blackman_ch04_dynamic_targets_spark_ua_working_ocr_gap_format_checked_working.pdf,10,595.28 x 841.89 pts (A4),67242,fe262cd6673076317682815eae7f244920282dfcc463eb9dadad188c1e93d8e7


