concept_id,source_form,intended_sense,selected_english,channel,evidence_class,evidence,competitor_or_adverse,disposition,external_review
NOE-P18-HENTZELT-TITLE,im Kriege gefallenen,"source title's statement that Hentzelt fell in the war",who fell in the war,support,canonical_source_authority,"original GDZ p. 101 and R823 talk heading",fallen in the war,"reject attributive German-calque syntax; preserve historical claim",pending
NOE-P18-DIXMUIDEN,vor Dixmuiden,"geographic location near/outside Dixmuiden where Hentzelt went missing",near Dixmuiden,support,canonical_source_authority,"original GDZ p. 101 and R823 opening sentence",before Dixmuiden,"reject false-friend spatial preposition",pending
NOE-P18-FREE-REWORKING,freie Bearbeitung,"Noether's planned editorial reworking of Hentzelt's dissertation",freely reworked form,support,canonical_source_authority,"R823 Paper 18 opening paragraph",free redaction,"reject false friend; redaction does not mean reworking in current English",pending
NOE-P18-ELIMINATION-PROBLEM,allgemeine Problem der Eliminationstheorie,"common-zero problem for every polynomial in a polynomial ideal",general problem of elimination theory,support,canonical_source_authority,"original GDZ p. 101 and R823 line 11203",problem of elimination theory,"retain source adjective and full source emphasis",pending
NOE-P18-RESULTANT-FORM,Resultantenform,"unique resultant form attached to the ideal M",resultant form,candidate,project_translation_control,"RA10 Paper 18 and Paper 22 English controls",resultant,"retain established historical project term; no independent usage claim made here",pending
NOE-P18-FUNDAMENTAL-MODULE,Grundmodul,"the corresponding module whose norm with respect to M supplies a resultant factor",fundamental module,candidate,project_translation_control,"Noether Paper 22 English defines Grundmodul as fundamental module",basic module,"reject stale Paper 18 inconsistency",pending
NOE-P18-CHARACTERISTIC-MULTIPLICITY,charakteristische Multiplizität,"multiplicity with which the resultant form records each zero",characteristic multiplicities,candidate,project_translation_control,"RA10 Papers 18 and 22 plus German source context",supplies the zeros in characteristic multiplicity,"retain technical concept but remove awkward verb and singular calque",pending
NOE-P18-COEFFICIENT-DOMAIN,Koeffizientenbereich,"domain to which the remaining variables are adjoined",coefficient domain,candidate,project_translation_control,"RA10 Paper 18 and synchronized Noether ideal-theory register",coefficient field,"retain domain; do not collapse Bereich into a field claim",pending
NOE-P18-RESULTANT-ENDPOINT,"R^(n)(x_n) congruent to 0(M)","source-locked final factor and relation in the resultant form","R^(n)(x_n) congruent to 0(M)",support,canonical_source_authority,"600 ppi GDZ full page; RA51 congruence audit; R366 regression-trap ledger; R823",R^(m)(x_n) = 0(M),"reject both inherited superscript and equality",pending
NOE-P18-PRIMARY-DECOMPOSITION,"M=[Q,Q1,...,Qr]=[Q,L]","source-order primary-ideal decomposition within the closing paragraph","inline source-order decomposition",support,canonical_source_authority,"original GDZ p. 101; R366 audit; R823 final paragraph",separate display,"retain inline relation and source boundary",pending
