"row_id","language","status","source_rank","title","access_license_bucket","license_signal","source_level","local_evidence_present","url","use_boundary","permission_claim","review_claim","translation_trigger","next_access_action"
"blocked_interslavic_direct_math_publication","Interslavic/Panslavic","direct_web_text_candidate_not_publication","candidate_direct_web_text","Interslavic Algebra Wikimedia stable wiki/Incubator web-text candidates","cc_signal_web_text_not_publication_clearance","Wikimedia page footer gives Creative Commons Attribution-ShareAlike; this is not license clearance for canonical reuse, not a publication-level mathematical authority, and not native review","Wikimedia stable isv.wikipedia Algebra page plus raw wikitext, and older Incubator HTML plus raw wikitext; no TeX/source package; not a publication-level mathematical authority","True","https://incubator.wikimedia.org/wiki/Wp/isv/Algebra ; https://incubator.wikimedia.org/wiki/Wp/isv/Algebra?action=raw ; https://isv.wikipedia.org/wiki/Algebra ; https://isv.wikipedia.org/w/index.php?title=Algebra&action=raw","Open web-text license signal may support inspection, but row remains candidate/non-publication unless separately reviewed.","none","none","none","verify source authority, access terms, or qualified review before any terminology mutation"
"candidate_belarusian_bnt_1922","Belarusian","local_html_candidate_terms_hashed","candidate_dictionary","Elementarnaja matematyka BNT 1922 via Slounik.org","web_accessible_license_unknown","web-accessible historical terminology page; license not established; verify before reuse","local hashed HTML terminology page; no TeX/source package; scan/full publication not cached","True","https://slounik.org/bnt01/","Use as routing/candidate evidence only until license/access and text authority are verified.","none","none","none","verify source authority, access terms, or qualified review before any terminology mutation"
"candidate_belarusian_math_dictionary_1993_algebra_ring","Belarusian","local_fulltext_witness","primary_pdf_fulltext_fallback","Radyno et al. Russko-belorusskij matematicheskij slovar 1993 PDF full source witness","official_or_bibliographic_public_access_no_reuse_clearance","Belaruska Palichka/knihi public web access; landing page requests attribution/link when using materials; no redistribution permission, license clearance, native review, or canonical approval is claimed","Full PDF source-canon witness from Belaruska Palichka with cached landing page, knihi-online OCR page, page-level algebra/ring/group checks, and BNTU bibliographic corroboration; no TeX/source package","True","https://files.knihi.com/Knihi/sum/RUS-BEL-mat.1993.pdf ; https://knihi.com/none/Russko-bielorusskij_matiematicieskij_slovar.html ; https://knihi-online.com/russko-bielorusskij-matiematicieskij-slovar.html ; https://knihi-online.com/russko-bielorusskij-matiematicieskij-slovar.html?page=2 ; https://knihi-online.com/russko-bielorusskij-matiematicieskij-slovar.html?page=10 ; https://library.bntu.by/wp-content/uploads/2023/02/spisok.pdf","Use as source-canon evidence and terminology witness within audit; do not infer redistribution or translation permission.","none","none","none","retain local hash evidence; check access terms only if redistribution/reuse is requested"
"blocked_bosnian_math_algebra_source","Bosnian","local_pdf_control_witness","official_curriculum_literature_control","Algebra za kompjuterske nauke PMF UNSA syllabus and literature controls","official_or_bibliographic_public_access_no_reuse_clearance","public PMF PDFs and public COBISS bibliographic record; textbook content/license not cached; no license clearance claimed","official PMF UNSA syllabus/literature PDFs plus extracted text; textbook fulltext not cached; no TeX/source package","True","https://math.pmf.unsa.ba/wp-content/uploads/2021/04/Algebra-za-kompjuterske-nauke.pdf ; https://pmf.unsa.ba/wp-content/uploads/2021/10/Lietartura-za-predmete-na-Odsjeku-za-matematiku.pdf ; https://pmf.unsa.ba/wp-content/uploads/2023/09/Obavezna-literatura-matematika.pdf ; https://math.pmf.unsa.ba/eng/wp-content/uploads/2021/05/Novi-prijedlog-nastavni-program-_Matematika_2009_I-ciklus.pdf ; https://plus-legacy.cobiss.net/cobiss/bh/en/bib/23757574","Use as source-canon evidence and terminology witness within audit; do not infer redistribution or translation permission.","none","none","none","retain local hash evidence; check access terms only if redistribution/reuse is requested"
"mathref_bulgarian_sofia_noncommutative_body_problem","Bulgarian","local_fulltext_witness","primary_local_reference","Sample problems on rings, Applied Math","public_web_access_signal_no_reuse_clearance","public web PDF mirrored locally for reference; no explicit reuse license detected in extracted text; use as terminology witness only","PDF plus extracted text; TeX/source package not present in local canon","True","https://store.fmi.uni-sofia.bg/fmi/algebra/syllabuses/va1/Sample_Problems_Rings_ApplMath_2011.pdf","Use as findability/source-canon evidence only; no reuse, approval, or review claim.","none","none","none","retain local hash evidence; check access terms only if redistribution/reuse is requested"
"mathref_bulgarian_sofia_rings_lecture7","Bulgarian","local_fulltext_witness","primary_local_reference","Prasteni osnovni ponyatiya","public_web_access_signal_no_reuse_clearance","public web PDF mirrored locally for reference; no explicit reuse license detected in extracted text; use as terminology witness only","PDF plus extracted text; TeX/source package not present in local canon","True","https://store.fmi.uni-sofia.bg/fmi/algebra/lect_notes_nenov/07.pdf","Use as findability/source-canon evidence only; no reuse, approval, or review claim.","none","none","none","retain local hash evidence; check access terms only if redistribution/reuse is requested"
"mathref_croatian_mathhr_algebra_structures_2024","Croatian","local_fulltext_witness","primary_local_reference","Algebarske strukture","public_web_access_signal_no_reuse_clearance","local text contains possible license/copyright/ISBN signal; inspect source before reuse: S druge strane, jedan od velikih otvorenih problema Algebarske teorije brojeva je dokazati, ili opovrgnuti, glasovitu Gaussovu slutnju koja govori da postoji beskonačno mnogo","PDF plus extracted text; TeX/source package not present in local canon","True","https://algprof.math.hr/wp-content/uploads/2025/03/AS-2024.pdf","Use as findability/source-canon evidence only; no reuse, approval, or review claim.","none","none","none","retain local hash evidence; check access terms only if redistribution/reuse is requested"
"mathref_croatian_pmf_split_prsteni","Croatian","local_fulltext_witness","primary_local_reference","Prsteni","official_or_bibliographic_public_access_no_reuse_clearance","public web PDF mirrored locally for reference; no explicit reuse license detected in extracted text; use as terminology witness only","PDF plus extracted text; TeX/source package not present in local canon","True","https://mapmf.pmfst.unist.hr/~skresic/Algebra/Prezentacije/Prsteni.pdf","Use as source-canon evidence and terminology witness within audit; do not infer redistribution or translation permission.","none","none","none","retain local hash evidence; check access terms only if redistribution/reuse is requested"
"candidate_macedonian_math_lexicon_2021","Macedonian","local_fulltext_witness","primary_local_reference","Matematicki leksikon UKIM Skopje 2021","official_or_bibliographic_public_access_no_reuse_clearance","UKIM e-book/free access signal; reuse license not established; no license clearance claimed","UKIM e-book PDF plus extracted text; no TeX/source package","True","https://ukim.edu.mk/wp-content/uploads/2025/06/matematicki_leksikon.pdf ; https://ukim.edu.mk/e-book/00015/","Use as source-canon evidence and terminology witness within audit; do not infer redistribution or translation permission.","none","none","none","retain local hash evidence; check access terms only if redistribution/reuse is requested"
"candidate_macedonian_ukim_nary_algebra","Macedonian","local_fulltext_witness","primary_local_reference","Algebarski n-arni strukturi UKIM PMF 2014/2016","official_or_bibliographic_public_access_no_reuse_clearance","UKIM e-book/free access signal; reuse license not established; no license clearance claimed","UKIM PDF plus extracted text; no TeX/source package","True","https://ukim.edu.mk/wp-content/uploads/2025/06/algebarski_n-arni_strukturi.pdf ; https://ukim.edu.mk/studii/izdavachka-dejnost-02/e-knigi/","Use as source-canon evidence and terminology witness within audit; do not infer redistribution or translation permission.","none","none","none","retain local hash evidence; check access terms only if redistribution/reuse is requested"
