entity_id,corpus_id,volume_id,kind,parent_id,source_number,source_page_id,physical_page,printed_page,source_span_id,fr_diplomatic_label,fr_corrected_label,en_label,authority_source_id,authority_sha256,status,decision_id,notes
ILL-CCD:CORPUS,ILL-CCD:CORPUS,,corpus,,,,,,,Complexe cotangent et déformations I–II,Complexe cotangent et déformations I–II,Cotangent Complex and Deformations I–II,,multi-authority,inventoried,,Shared language-neutral semantic spine.
ILL-CCD:LNM239:VOL,ILL-CCD:CORPUS,ILL-CCD:LNM239:VOL,volume,ILL-CCD:CORPUS,LNM 239,,,,,Complexe Cotangent et Déformations I,Complexe Cotangent et Déformations I,Cotangent Complex and Deformations I,illusie:I:pdf,1855B49FE461B13B1CBAEE1341C8FC3E3E0CDDC034C54ABEC1165AF061B90A56,inventoried,,Volume boundary is immutable.
ILL-CCD:LNM283:VOL,ILL-CCD:CORPUS,ILL-CCD:LNM283:VOL,volume,ILL-CCD:CORPUS,LNM 283,,,,,Complexe Cotangent et Déformations II,Complexe Cotangent et Déformations II,Cotangent Complex and Deformations II,illusie:II:pdf,3ECAD82EBF13C74AC02CA452CF56FE1330BF5BF6F1CF00D2656AE7118AA44E13,inventoried,,Volume boundary is immutable.
ILL-CCD:LNM283:ERR:p305:e01,ILL-CCD:CORPUS,ILL-CCD:LNM283:VOL,erratum,ILL-CCD:LNM283:VOL,p. 305,,1,305,,Errata,Errata,Errata,illusie:II:springer-erratum,D09B417BC9FCC37FB79C1E995D05B57E2AB0584292D8E66F0A9ADA85D1C2A697,inventoried,,Terminal hard-stop object; text remains untranscribed until its sequential turn.
ILL-CCD:LNM239:FM:FRONT,ILL-CCD:CORPUS,ILL-CCD:LNM239:VOL,front_matter,ILL-CCD:LNM239:VOL,I–XV,illusie:I:pdf:p002-p018,1-18,cover; inside-cover; I–XV; blank,,Matière liminaire,Matière liminaire,Front matter,illusie:I:pdf,1855B49FE461B13B1CBAEE1341C8FC3E3E0CDDC034C54ABEC1165AF061B90A56,inventoried,,Envelope only; admission remains page-sequential.
ILL-CCD:LNM239:FM:COVER,ILL-CCD:CORPUS,ILL-CCD:LNM239:VOL,cover,ILL-CCD:LNM239:FM:FRONT,cover,illusie:I:pdf:p001,1,cover,ILL-SP-239-001-01,Complexe Cotangent et Déformations I,Complexe Cotangent et Déformations I,Cotangent Complex and Deformations I,illusie:I:pdf,1855B49FE461B13B1CBAEE1341C8FC3E3E0CDDC034C54ABEC1165AF061B90A56,verified,ILL-TR-20260804-0002,Direct 1100 dpi-equivalent source review; native-TeX reader occurrence.
ILL-CCD:LNM239:SUB:COVER:SERIES,ILL-CCD:CORPUS,ILL-CCD:LNM239:VOL,publisher_series,ILL-CCD:LNM239:FM:COVER,Lecture Notes in Mathematics,illusie:I:pdf:p001,1,cover,ILL-SP-239-001-02,Lecture Notes in Mathematics,Lecture Notes in Mathematics,Lecture Notes in Mathematics,illusie:I:pdf,1855B49FE461B13B1CBAEE1341C8FC3E3E0CDDC034C54ABEC1165AF061B90A56,verified,,Direct 1100 dpi-equivalent source review; native-TeX reader occurrence.
ILL-CCD:LNM239:SUB:COVER:EDITORS,ILL-CCD:CORPUS,ILL-CCD:LNM239:VOL,editor_statement,ILL-CCD:LNM239:FM:COVER,Edited by A. Dold and B. Eckmann,illusie:I:pdf:p001,1,cover,ILL-SP-239-001-03,Edited by A. Dold and B. Eckmann,Edited by A. Dold and B. Eckmann,Edited by A. Dold and B. Eckmann,illusie:I:pdf,1855B49FE461B13B1CBAEE1341C8FC3E3E0CDDC034C54ABEC1165AF061B90A56,verified,,Direct 1100 dpi-equivalent source review; native-TeX reader occurrence.
ILL-CCD:LNM239:SUB:COVER:NUMBER,ILL-CCD:CORPUS,ILL-CCD:LNM239:VOL,series_number,ILL-CCD:LNM239:FM:COVER,239,illusie:I:pdf:p001,1,cover,ILL-SP-239-001-04,239,239,239,illusie:I:pdf,1855B49FE461B13B1CBAEE1341C8FC3E3E0CDDC034C54ABEC1165AF061B90A56,verified,,Direct 1100 dpi-equivalent source review; native-TeX reader occurrence.
ILL-CCD:LNM239:SUB:COVER:AUTHOR,ILL-CCD:CORPUS,ILL-CCD:LNM239:VOL,person_credit,ILL-CCD:LNM239:FM:COVER,Luc Illusie,illusie:I:pdf:p001,1,cover,ILL-SP-239-001-05,Luc Illusie,Luc Illusie,Luc Illusie,illusie:I:pdf,1855B49FE461B13B1CBAEE1341C8FC3E3E0CDDC034C54ABEC1165AF061B90A56,verified,,Direct 1100 dpi-equivalent source review; native-TeX reader occurrence.
ILL-CCD:LNM239:SUB:COVER:TITLE,ILL-CCD:CORPUS,ILL-CCD:LNM239:VOL,title,ILL-CCD:LNM239:FM:COVER,Complexe Cotangent et Déformations I,illusie:I:pdf:p001,1,cover,ILL-SP-239-001-06,Complexe Cotangent et Déformations I,Complexe Cotangent et Déformations I,Cotangent Complex and Deformations I,illusie:I:pdf,1855B49FE461B13B1CBAEE1341C8FC3E3E0CDDC034C54ABEC1165AF061B90A56,verified,ILL-TR-20260804-0002,Direct 1100 dpi-equivalent source review; native-TeX reader occurrence.
ILL-CCD:LNM239:DGM:p001:d01,ILL-CCD:CORPUS,ILL-CCD:LNM239:VOL,diagram,ILL-CCD:LNM239:FM:COVER,unnumbered Springer-Verlag emblem,illusie:I:pdf:p001,1,cover,ILL-SP-239-001-07,Springer-Verlag emblem,Springer-Verlag emblem,Springer-Verlag emblem,illusie:I:pdf,1855B49FE461B13B1CBAEE1341C8FC3E3E0CDDC034C54ABEC1165AF061B90A56,verified,,Direct 1100 dpi-equivalent source review; native-TeX reader occurrence.
ILL-CCD:LNM239:SUB:COVER:IMPRINT,ILL-CCD:CORPUS,ILL-CCD:LNM239:VOL,publisher_imprint,ILL-CCD:LNM239:FM:COVER,Springer-Verlag Berlin · Heidelberg · New York,illusie:I:pdf:p001,1,cover,ILL-SP-239-001-08,Springer-Verlag Berlin · Heidelberg · New York,Springer-Verlag Berlin · Heidelberg · New York,Springer-Verlag Berlin · Heidelberg · New York,illusie:I:pdf,1855B49FE461B13B1CBAEE1341C8FC3E3E0CDDC034C54ABEC1165AF061B90A56,verified,,Direct 1100 dpi-equivalent source review; native-TeX reader occurrence.
ILL-CCD:LNM239:FM:IC,ILL-CCD:CORPUS,ILL-CCD:LNM239:VOL,front_matter,ILL-CCD:LNM239:FM:FRONT,physical p. 2,illusie:I:pdf:p002-p018,2,inside-cover,ILL-SP-239-002-01,Publisher series statement and Lecture Notes in Physics catalogue,Publisher series statement and Lecture Notes in Physics catalogue,Publisher series statement and Lecture Notes in Physics catalogue,illusie:I:pdf,1855B49FE461B13B1CBAEE1341C8FC3E3E0CDDC034C54ABEC1165AF061B90A56,verified,ILL-TX-20260804-0001,"Source language is English; diplomatic, corrected, and English labels are intentional identity pass-throughs."
ILL-CCD:LNM239:SUB:IC:POLICY,ILL-CCD:CORPUS,ILL-CCD:LNM239:VOL,publisher_statement,ILL-CCD:LNM239:FM:IC,,illusie:I:pdf:p002-p018,2,inside-cover,ILL-SP-239-002-02,This series aims to report new developments in mathematical research and teaching,This series aims to report new developments in mathematical research and teaching,This series aims to report new developments in mathematical research and teaching,illusie:I:pdf,1855B49FE461B13B1CBAEE1341C8FC3E3E0CDDC034C54ABEC1165AF061B90A56,verified,ILL-TX-20260804-0001,"Source language is English; diplomatic, corrected, and English labels are intentional identity pass-throughs."
ILL-CCD:LNM239:SUB:IC:POLICY:01,ILL-CCD:CORPUS,ILL-CCD:LNM239:VOL,subitem,ILL-CCD:LNM239:SUB:IC:POLICY,1,illusie:I:pdf:p002-p018,2,inside-cover,ILL-SP-239-002-03,Preliminary drafts of original papers and monographs,Preliminary drafts of original papers and monographs,Preliminary drafts of original papers and monographs,illusie:I:pdf,1855B49FE461B13B1CBAEE1341C8FC3E3E0CDDC034C54ABEC1165AF061B90A56,verified,ILL-TX-20260804-0001,"Source language is English; diplomatic, corrected, and English labels are intentional identity pass-throughs."
ILL-CCD:LNM239:SUB:IC:POLICY:02,ILL-CCD:CORPUS,ILL-CCD:LNM239:VOL,subitem,ILL-CCD:LNM239:SUB:IC:POLICY,2,illusie:I:pdf:p002-p018,2,inside-cover,ILL-SP-239-002-04,"Lectures on a new field, or presenting a new angle on a classical field","Lectures on a new field, or presenting a new angle on a classical field","Lectures on a new field, or presenting a new angle on a classical field",illusie:I:pdf,1855B49FE461B13B1CBAEE1341C8FC3E3E0CDDC034C54ABEC1165AF061B90A56,verified,ILL-TX-20260804-0001,"Source language is English; diplomatic, corrected, and English labels are intentional identity pass-throughs."
ILL-CCD:LNM239:SUB:IC:POLICY:03,ILL-CCD:CORPUS,ILL-CCD:LNM239:VOL,subitem,ILL-CCD:LNM239:SUB:IC:POLICY,3,illusie:I:pdf:p002-p018,2,inside-cover,ILL-SP-239-002-05,Seminar work-outs,Seminar work-outs,Seminar work-outs,illusie:I:pdf,1855B49FE461B13B1CBAEE1341C8FC3E3E0CDDC034C54ABEC1165AF061B90A56,verified,ILL-TX-20260804-0001,"Source language is English; diplomatic, corrected, and English labels are intentional identity pass-throughs."
ILL-CCD:LNM239:SUB:IC:POLICY:04,ILL-CCD:CORPUS,ILL-CCD:LNM239:VOL,subitem,ILL-CCD:LNM239:SUB:IC:POLICY,4,illusie:I:pdf:p002-p018,2,inside-cover,ILL-SP-239-002-06,"Reports of meetings, provided they are","Reports of meetings, provided they are","Reports of meetings, provided they are",illusie:I:pdf,1855B49FE461B13B1CBAEE1341C8FC3E3E0CDDC034C54ABEC1165AF061B90A56,verified,ILL-TX-20260804-0001,"Source language is English; diplomatic, corrected, and English labels are intentional identity pass-throughs."
ILL-CCD:LNM239:SUB:IC:POLICY:04:a,ILL-CCD:CORPUS,ILL-CCD:LNM239:VOL,subitem,ILL-CCD:LNM239:SUB:IC:POLICY:04,a,illusie:I:pdf:p002-p018,2,inside-cover,ILL-SP-239-002-07,of exceptional interest,of exceptional interest,of exceptional interest,illusie:I:pdf,1855B49FE461B13B1CBAEE1341C8FC3E3E0CDDC034C54ABEC1165AF061B90A56,verified,ILL-TX-20260804-0001,"Source language is English; diplomatic, corrected, and English labels are intentional identity pass-throughs."
ILL-CCD:LNM239:SUB:IC:POLICY:04:b,ILL-CCD:CORPUS,ILL-CCD:LNM239:VOL,subitem,ILL-CCD:LNM239:SUB:IC:POLICY:04,b,illusie:I:pdf:p002-p018,2,inside-cover,ILL-SP-239-002-08,devoted to a single topic,devoted to a single topic,devoted to a single topic,illusie:I:pdf,1855B49FE461B13B1CBAEE1341C8FC3E3E0CDDC034C54ABEC1165AF061B90A56,verified,ILL-TX-20260804-0001,"Source language is English; diplomatic, corrected, and English labels are intentional identity pass-throughs."
ILL-CCD:LNM239:SUB:IC:OUTPRINT,ILL-CCD:CORPUS,ILL-CCD:LNM239:VOL,publisher_statement,ILL-CCD:LNM239:FM:IC,,illusie:I:pdf:p002-p018,2,inside-cover,ILL-SP-239-002-09,Texts which are out of print but still in demand,Texts which are out of print but still in demand,Texts which are out of print but still in demand,illusie:I:pdf,1855B49FE461B13B1CBAEE1341C8FC3E3E0CDDC034C54ABEC1165AF061B90A56,verified,ILL-TX-20260804-0001,"Source language is English; diplomatic, corrected, and English labels are intentional identity pass-throughs."
ILL-CCD:LNM239:SUB:IC:TIMELINESS,ILL-CCD:CORPUS,ILL-CCD:LNM239:VOL,publisher_statement,ILL-CCD:LNM239:FM:IC,,illusie:I:pdf:p002-p018,2,inside-cover,ILL-SP-239-002-10,The timeliness of a manuscript is more important than its form,The timeliness of a manuscript is more important than its form,The timeliness of a manuscript is more important than its form,illusie:I:pdf,1855B49FE461B13B1CBAEE1341C8FC3E3E0CDDC034C54ABEC1165AF061B90A56,verified,ILL-TX-20260804-0001,"Source language is English; diplomatic, corrected, and English labels are intentional identity pass-throughs."
ILL-CCD:LNM239:SUB:IC:MINPAGES,ILL-CCD:CORPUS,ILL-CCD:LNM239:VOL,publisher_statement,ILL-CCD:LNM239:FM:IC,,illusie:I:pdf:p002-p018,2,inside-cover,ILL-SP-239-002-11,Manuscripts should comprise not less than 100 pages,Manuscripts should comprise not less than 100 pages,Manuscripts should comprise not less than 100 pages,illusie:I:pdf,1855B49FE461B13B1CBAEE1341C8FC3E3E0CDDC034C54ABEC1165AF061B90A56,verified,ILL-TX-20260804-0001,"Source language is English; diplomatic, corrected, and English labels are intentional identity pass-throughs."
ILL-CCD:LNM239:SUB:IC:SERVICE,ILL-CCD:CORPUS,ILL-CCD:LNM239:VOL,publisher_statement,ILL-CCD:LNM239:FM:IC,,illusie:I:pdf:p002-p018,2,inside-cover,ILL-SP-239-002-12,Publication of Lecture Notes is intended as a service,Publication of Lecture Notes is intended as a service,Publication of Lecture Notes is intended as a service,illusie:I:pdf,1855B49FE461B13B1CBAEE1341C8FC3E3E0CDDC034C54ABEC1165AF061B90A56,verified,ILL-TX-20260804-0001,"Source language is English; diplomatic, corrected, and English labels are intentional identity pass-throughs."
ILL-CCD:LNM239:SUB:IC:MS,ILL-CCD:CORPUS,ILL-CCD:LNM239:VOL,publisher_statement,ILL-CCD:LNM239:FM:IC,,illusie:I:pdf:p002-p018,2,inside-cover,ILL-SP-239-002-13,Manuscripts,Manuscripts,Manuscripts,illusie:I:pdf,1855B49FE461B13B1CBAEE1341C8FC3E3E0CDDC034C54ABEC1165AF061B90A56,verified,ILL-TX-20260804-0001,"Source language is English; diplomatic, corrected, and English labels are intentional identity pass-throughs."
ILL-CCD:LNM239:SUB:IC:MS:PHOTO,ILL-CCD:CORPUS,ILL-CCD:LNM239:VOL,publisher_statement,ILL-CCD:LNM239:SUB:IC:MS,,illusie:I:pdf:p002-p018,2,inside-cover,ILL-SP-239-002-14,Manuscripts are reproduced by a photographic process,Manuscripts are reproduced by a photographic process,Manuscripts are reproduced by a photographic process,illusie:I:pdf,1855B49FE461B13B1CBAEE1341C8FC3E3E0CDDC034C54ABEC1165AF061B90A56,verified,ILL-TX-20260804-0001,"Source language is English; diplomatic, corrected, and English labels are intentional identity pass-throughs."
ILL-CCD:LNM239:SUB:IC:MS:SYMBOLS,ILL-CCD:CORPUS,ILL-CCD:LNM239:VOL,publisher_statement,ILL-CCD:LNM239:SUB:IC:MS,,illusie:I:pdf:p002-p018,2,inside-cover,ILL-SP-239-002-15,Symbols not on the typewriter should be inserted by hand,Symbols not on the typewriter should be inserted by hand,Symbols not on the typewriter should be inserted by hand,illusie:I:pdf,1855B49FE461B13B1CBAEE1341C8FC3E3E0CDDC034C54ABEC1165AF061B90A56,verified,ILL-TX-20260804-0001,"Source language is English; diplomatic, corrected, and English labels are intentional identity pass-throughs."
