witness_id,source_family,required_shape_status,source_author_or_owner_signal,source_language_signal,target_language_or_access_target,is_target_language_witness,is_source_level_tex_or_archive,is_pdf_docx_or_text_fallback,byte_count_or_status,upload_policy,explicit_gap_or_owner_action,non_claim_boundary,mapping_decisions,translations_created,approvals_recorded,gate_promotions,git_push_by_session_k
K-SCW-001,Open Logic Project / Open Logic Text,support_source_row_covered,Open Logic Project / OpenLogicProject signal from repo,English source support,OLP/proof-literacy/relation-function support not target-language lane,false,true,false,local repo head recorded; LICENSE 17227 bytes; README 1867 bytes,metadata_only_no_raw_repo_upload_by_session_k,exact excerpt selection and reviewer/source return absent,source witness pointer only; no translation or approval,0,0,0,0,false
K-SCW-002,Open Logic Project relation/function subtree,support_source_row_covered,Open Logic Project / OpenLogicProject signal from parent repo,English source support,relation/function support not target-language lane,false,true,false,sets-functions-relations.tex 999 bytes; functions.tex 425 bytes; relations.tex 403 bytes,metadata_only_no_raw_source_body_upload_by_session_k,no approved excerpt list or source-policy return,source witness pointer only; no selected excerpts,0,0,0,0,false
K-SCW-003,Discrete Mathematics: An Open Introduction edition source,support_source_row_covered_with_license_gap,Oscar Levin / Open Math Books signal from source URL,English source support,discrete proof and relation/function support not target-language lane,false,true,false,cache_manifest.json 6177 bytes; edition source commit recorded,metadata_only_no_raw_source_body_upload_by_session_k,license reconciliation and reviewer-scope return required before use beyond pointer,source witness pointer only; no license clearance,0,0,0,0,false
K-SCW-004,DMOI relation/function coordinate scan,support_scan_row_covered_with_excerpt_gap,Oscar Levin / Open Math Books signal from source URL,English source support,relation/function coordinate support not target-language lane,false,true,false,file_summaries 24904 bytes; scan_rows 772447 bytes,metadata_only_scan_hashes_no_selected_excerpt_upload,scan rows are not selected excerpts and owner acceptance absent,scan metadata only; no source prose copied,0,0,0,0,false
K-SCW-005,OpenIntro IMS2 / OpenIntro numeracy source cache,support_source_row_covered_with_sharealike_gap,OpenIntro / OpenIntroStat signal from URL,English source support,numeracy/function-like support not target-language lane,false,true,false,github_ims_index_qmd_at_b88f367a 2672 bytes; license page 14130 bytes,metadata_only_no_raw_source_body_upload_by_session_k,share-alike attribution plan and owner acceptance missing; no mapping authorization,source witness pointer only; no mapping decision,0,0,0,0,false
K-SCW-006,OpenIntro Statistics source repository,external_source_url_gap_row,OpenIntro / OpenIntroStat signal from URL,English source support,statistics/numeracy support not target-language lane,false,true,false,no local exact commit hash or byte count captured by Session K,metadata_only_external_url_pointer,local exact commit/hash/byte count missing; owner lane must capture before package use,external source URL pointer only,0,0,0,0,false
K-SCW-007,A First Course in Linear Algebra,support_source_row_covered_with_gfdl_gap,Rob Beezer / rbeezer repository signal,English source support,linear-map relation/function extension not target-language lane,false,true,false,cache_manifest 5105 bytes; COPYING 740 bytes; master commit recorded,metadata_only_no_raw_source_body_upload_by_session_k,GFDL packet separation and compatibility plan required,source witness pointer only; no license clearance,0,0,0,0,false
K-SCW-008,Abstract Algebra: Theory and Applications,support_source_row_covered_with_gfdl_gap,Thomas W. Judson / twjudson repository signal,English source support,abstract-algebra relation/function extension not target-language lane,false,true,false,cache_manifest 5711 bytes; COPYING 427 bytes; master commit recorded,metadata_only_no_raw_source_body_upload_by_session_k,GFDL packet separation and algebra-owner review required,source witness pointer only; no algebra term promotion,0,0,0,0,false
K-SCW-009,Stacks Project,external_source_url_gap_row,Stacks Project signal from URL,English source support,advanced Noether-adjacent comparator not target-language lane,false,true,false,no local exact chapter/source hash or byte count captured by Session K,metadata_only_external_url_pointer,exact chapter/source hash and advanced-owner route missing,advanced reference pointer only,0,0,0,0,false
K-SCW-010,OpenStax college algebra bundle,external_source_url_gap_row,OpenStax signal from URL,English source support,school-to-undergraduate function bridge not target-language lane,false,true,false,no local book-specific edition/hash/byte count captured by Session K,metadata_only_external_url_pointer,book-specific edition/license/hash capture required before package use,source URL pointer only; no reuse clearance,0,0,0,0,false
