relative_path,bytes,sha256,role,public_status,caveat
.gitattributes,17,1E1F89388215C331239129347CE584AF3C8872DD9E77C025E8813FE7F430A7F6,archive_control,included,Disables Git text normalization within this package so raw remote bytes retain manifest identities.
BUILD_LOG_SANITIZATION.md,684,96610530FCCBFB54B8AAB9B882C9070C0FD4916448992097864B9D9CB076BFCC,archive_documentation,included,Bounded incomplete SGA3 checkpoint; underlying French rights remain; Reinhold lineage separately credited.
checkpoint/expose_II_complete_20260722/build/SGA3_English_through_Expose_II.log,59851,CCCC70E6433E6923454A5C712A904FCA45D676BD55F76494C1E677E08C3C3696,sanitized_build_log,included,Bounded incomplete SGA3 checkpoint; underlying French rights remain; Reinhold lineage separately credited.
checkpoint/expose_II_complete_20260722/build/SGA3_English_through_Expose_II.pdf,1850991,27D7AAAB91BE2FFA343FE1DC3D6A84A8F14789F10430E9399CB8C3F7CF721908,bounded_reader_pdf,included,Visually reviewed bounded reader; untagged and no XMP; legacy math-font extraction contains 1112 forbidden control bytes; no accessibility claim.
checkpoint/expose_II_complete_20260722/CHECKPOINT_README.md,1923,CA3EFB958D8598CBABC9AABDF1F0AD4AFBF79A2592263A92FDEBB8C8EFBC8FC3,archive_documentation,included,Bounded incomplete SGA3 checkpoint; underlying French rights remain; Reinhold lineage separately credited.
checkpoint/expose_II_complete_20260722/SGA3_English_through_Expose_II.tex,4455,76C94B53C7E7FAF6A1D4C75263B8ED26A16CDD1576C39E356B3B8BBC439A0AEF,editable_tex_source,included,Bounded incomplete SGA3 checkpoint; underlying French rights remain; Reinhold lineage separately credited.
figures/exp1/exp1_p004_alpha_morphism.png,4776,8DA1A0D630BE9C7263E13CF98C1297AF23A836DDC4B72724211B34A0031D2B69,source_derived_reader_diagram,included,Bounded incomplete SGA3 checkpoint; underlying French rights remain; Reinhold lineage separately credited.
figures/exp1/exp1_p005_alpha_transitivity.png,12882,5775EAF7E40FC3E02F20D539F6D9D7DE65B6B26FE4000298616389732C6ACFE2,source_derived_reader_diagram,included,Bounded incomplete SGA3 checkpoint; underlying French rights remain; Reinhold lineage separately credited.
figures/exp1/exp1_p005_base_change_projections.png,7732,EC02CA62DD9A279E8DBF0223165AE3CDF61C431C5C3555A2277023AEC8988882,source_derived_reader_diagram,included,Bounded incomplete SGA3 checkpoint; underlying French rights remain; Reinhold lineage separately credited.
figures/exp1/exp1_p005_base_change_triangle.png,8724,360C45301FDB6799CD6442472F1320B4592EDC9BD5B47B4F347F565A54A7D5D5,source_derived_reader_diagram,included,Bounded incomplete SGA3 checkpoint; underlying French rights remain; Reinhold lineage separately credited.
figures/exp1/exp1_p006_functor_base_change_notation.png,3116,69619853AE18DC3345465D9B37BF826CBD11E9BD1CA6993997271A83639EAB4D,source_derived_reader_diagram,included,Bounded incomplete SGA3 checkpoint; underlying French rights remain; Reinhold lineage separately credited.
figures/exp1/exp1_p011_constant_objects_cartesian_square.png,2867,46C8F8F5A50E8199731252DC2AE96EBF8A1F520DE9036E493044A4AFA6CFFC62,source_derived_reader_diagram,included,Bounded incomplete SGA3 checkpoint; underlying French rights remain; Reinhold lineage separately credited.
