"fix_id","paper","printed_page","classification","before","source_backed_after","mathematical_force","origin","evidence","status"
"LC-P02-028-001","P02","28","omitted schema continuation structure","upper continuation marker only; four effective continuation columns; terminal source row absent","matching upper and lower continuation stars; fifth continuation column; terminal row t_sigma^2(sigma tau x)^nu restored","high: the printed schema encodes continuation and membership relations","LocalCodex direct full-page and enlarged-strip source audit","full_650dpi/noether_paper02_printed_p028_650dpi.png; strips_1000dpi/noether_paper02_p028_slice1of3_1000dpi.png through slice3of3; output pp5-6","integrated_compiled_twice_render_verified"
"LC-P02-029-001","P02","29","flattened exceptional diagonal schema","two exceptional diagonal families flattened into an ambiguous run","two source-like diagonal arrays separated by centered bzw.","medium: preserves the source's two alternative indexed families","LocalCodex direct source audit","full p029 plus all three 1000dpi strips; output p6","integrated_compiled_twice_render_verified"
"LC-P02-029-002","P02","29","lost prime on coefficient family","C_{pr\varrho}","C'_{pr\varrho}","high: changes the named coefficient family","LocalCodex direct source audit","p029 strip3 1000dpi; output p6 footnote","integrated_compiled_twice_render_verified"
"LC-P02-029-003","P02","29","formula and apparatus fidelity","formula (I) lost an explicit multiplication dot; section title and page-local note identities normalized","source multiplication dot, bold/italic heading structure, and page-local *)/**) identities restored","medium: formula grouping plus source apparatus","LocalCodex direct source audit","full p029 plus all three strips; output p6","integrated_compiled_twice_render_verified"
"LC-P02-030-001","P02","30","formula and note-apparatus fidelity","first polar formula lost its centered multiplication dot; Gordan note was detached from its source call","source dot and page-local Gordan *) marker at the source locus restored","medium: product notation and note identity","LocalCodex direct source audit","full p030 plus all three strips; output p7","integrated_compiled_twice_render_verified"
"LC-P02-031-001","P02","31","dense multiplication-dot family normalized away","explicit centered products around c_{r\varrho}, v_x^r, u_x, coefficient sums, and v_x^{r-1} were printed without their source dots","all source-visible centered multiplication dots restored throughout formula (II) and its lead-in/continuation","medium-high: preserves factor boundaries in a dense recurrence","LocalCodex direct source audit","full p031 plus all three strips; output pp7-8","integrated_compiled_twice_render_verified"
"LC-P02-032-001","P02","32","formula, heading, and apparatus fidelity","formula (III) product dots, section-heading hierarchy, page-local note identities, and upright Definition/Satz labels were normalized","source dots, heading hierarchy, note identities, and label typography restored","medium: formula grouping and structural source fidelity","LocalCodex direct source audit","full p032 plus all three strips; output p8","integrated_compiled_twice_render_verified"
"LC-P02-033-001","P02","33","wrong exponent","a_eta^4","a_eta^3","high: changes the degree of the displayed invariant factor","LocalCodex direct enlarged-strip source audit","strips_1000dpi/noether_paper02_p033_slice3of3_1000dpi.png; output pp8-9","integrated_compiled_twice_render_verified"
"LC-P02-033-002","P02","33","prose and apparatus fidelity","source note markers, bold Beweis label, and first doppelte Reduktion emphasis absent","source *)/**) identities, bold Beweis, and source emphasis restored","low mathematical force; high provenance value","LocalCodex direct source audit","full p033 plus all three strips; output pp8-9","integrated_compiled_twice_render_verified"
"LC-P02-034-001","P02","34","dense product and emphasis fidelity","explicit centered dots in six product loci and source emphasis on nichtlinearen/Glied were absent; source note identity normalized","all source-visible dots, emphasis, and page-local *) identity restored","medium: preserves product boundaries in two displayed identities","LocalCodex direct source audit","full p034 plus all three strips; output pp9-10","integrated_compiled_twice_render_verified"
