correction_id,paper,printed_pages,output_pages,category,before,after,source_anchor,confidence,classification,merge_scope
P04-144-01,P04,144,59-60,display-numbering,(53.)-(58.) used modern right-side tags without source periods.,Restored source-left numbered displays (53.)-(58.).,p144 full page and source strips,source-certain,current-head transcription/style defect,bounded P04 printed pp144-154 only
P04-144-02,P04,144,59,footnote-marker,Global/sequential marker after the clause.,Restored page-local *) before the colon after “Entwicklung”.,p144 source full page,source-certain,current-head transcription/style defect,bounded P04 printed pp144-154 only
P04-145-01,P04,145,60,display-structure,G chain was flattened into one line.,Restored source two-line chain with =Σcφ on the second line.,p145 source full page,source-certain,current-head transcription/style defect,bounded P04 printed pp144-154 only
P04-145-02,P04,145,60,display-numbering,(59.)-(61.) used modern right-side tags.,Restored source-left numbering and periods.,p145 source full page,source-certain,current-head transcription/style defect,bounded P04 printed pp144-154 only
P04-145-03,P04,145,60,footnote-marker,Global/sequential marker followed normalized punctuation.,"Restored page-local *) after “sind”, before the period.",p145 source full page,source-certain,current-head transcription/style defect,bounded P04 printed pp144-154 only
P04-146-01,P04,146,61,author-emphasis,Only theorem labels were italic.,Restored complete italic source statements for Satz VII and Satz VIII.,p146 source full page,source-certain,current-head transcription/style defect,bounded P04 printed pp144-154 only
P04-146-02,P04,146,61,heading-defined-terms-list,§8 was a modern bold heading; defined terms and list labels were normalized.,"Restored centered italic §8, italic defined terms, and 1)-3) labels.",p146 source full page,source-certain,current-head transcription/style defect,bounded P04 printed pp144-154 only
P04-147-01,P04,147,61-62,display-numbering-emphasis,(62.)-(64.) used modern tags; item-1 lead was roman.,Restored source-left numbering and item-lead italics.,p147 source full page,source-certain,current-head transcription/style defect,bounded P04 printed pp144-154 only
P04-147-02,P04,147,61,display-runin-structure,The substitution w~T_(n-tau)p_(tau-1) was normalized inline.,Restored the source-centered display between the surrounding prose lines.,p147 source strips 1-3,source-certain,current-head transcription/style defect,bounded P04 printed pp144-154 only
P04-148-01,P04,148,62,numbering-punctuation-crossref,(65.)-(66.) were right-tagged; (65.) carried a non-source comma; item-2 and (41.) were normalized.,"Restored source-left displays, no terminal punctuation after (65.), item italics, and (41.).",p148 source full page,source-certain,current-head transcription/style defect,bounded P04 printed pp144-154 only
P04-149-01,P04,149,63,numbering-emphasis,(67.) used a right tag; item-3 lead was roman.,Restored source-left (67.) and item-lead italics.,p149 source full page,source-certain,current-head transcription/style defect,bounded P04 printed pp144-154 only
P04-150-01,P04,150,63-64,display-numbering,(68.)-(69.) used modern right-side tags.,Restored source-left (68.)-(69.).,p150 source full page,source-certain,current-head transcription/style defect,bounded P04 printed pp144-154 only
P04-150-02,P04,150,64,mathematical-index,q-double-prime carried n-lambda-1.,Corrected to source q-double-prime n-rho-1; neighboring q-prime λ-1 retained.,p150 source strip 4 / q-double-prime contact,source-certain,current-head transcription/style defect,bounded P04 printed pp144-154 only
P04-151-01,P04,151,64,display-numbering,(70.) used a modern right-side tag.,Restored source-left (70.).,p151 source full page,source-certain,current-head transcription/style defect,bounded P04 printed pp144-154 only
P04-151-02,P04,151,64,footnote-markers,Global/sequential markers and normalized placement.,Restored page-local *) and **) at the printed loci.,p151 source full page,source-certain,current-head transcription/style defect,bounded P04 printed pp144-154 only
P04-151-03,P04,151,64,author-emphasis,"Source emphasis on the general-generation phrase, “eindeutig”, and the relation clause was omitted.",Restored the source emphasis bands without changing mathematical content.,p151 source strips 1-4,source-certain,current-head transcription/style defect,bounded P04 printed pp144-154 only
P04-152-01,P04,152,64-65,heading-footnote,§9 was modernized and its local marker drifted.,Restored centered italic §9 heading with page-local *).,p152 source full page,source-certain,current-head transcription/style defect,bounded P04 printed pp144-154 only
P04-152-02,P04,152,65,emphasis-list-marker,Definition emphasis and 1)-3) labels were omitted; **) followed rather than preceded the semicolon.,"Restored source emphasis, labels, and marker-before-semicolon placement.",p152 source strips 1-4,source-certain,current-head transcription/style defect,bounded P04 printed pp144-154 only
P04-153-01,P04,153,65,author-emphasis,Definition keywords and theorem body were roman.,"Restored italics on “reduzibel”, “Reduzent”, and the complete Satz IX.",p153 source full page,source-certain,current-head transcription/style defect,bounded P04 printed pp144-154 only
P04-154-01,P04,154,65-66,footnote-marker,The final marker used global/sequential handling.,"Restored page-local *) at “überträgt*)”, before the period.",p154 source full page,source-certain,current-head transcription/style defect,bounded P04 printed pp144-154 only
