output_page,before_size,after_size,same_dimensions,pixel_identical,changed_pixels,total_pixels,changed_fraction,diff_bbox,max_channel_delta,before_sha256,after_sha256,visual_reopened,visual_disposition
58,1819x2573,1819x2573,True,True,0,4680287,0.0,None,0,8d0ffac7333d9be6f444f979bebae4ea471df157d97c2f27bcc2184152605dbe,8d0ffac7333d9be6f444f979bebae4ea471df157d97c2f27bcc2184152605dbe,control,PASS: pixel-identical boundary/control page
59,1819x2573,1819x2573,True,False,500303,4680287,0.10689579506555902,"(124, 197, 1697, 2452)",255,66c5b895c999d88003e27bb26b60e51a456540c779467551a8fad097169594fa,c39a7e74df46895827dc06f1c741086c4b1eefc5863dd7892dc9ee38fb595274,yes,PASS: no clipping/overlap/broken glyph; source-style changes visible
60,1819x2573,1819x2573,True,False,512143,4680287,0.10942555445851931,"(124, 134, 1697, 2416)",255,0b0c95e69b8def640d68b64b22e829d91cbe4687cc1712d9c6901e17cd16c5b4,75fceb15fda4f1887aa0befa2f35cc8616b7549f29f2a413c27bfe893182d0cc,yes,PASS: no clipping/overlap/broken glyph; source-style changes visible
61,1819x2573,1819x2573,True,False,494485,4680287,0.10565270890438984,"(122, 135, 1698, 2455)",255,8103517bed738c55944cc41c0f57fe9429ef41342f6c1e60289490293ea9b009,345c9421bcb85e52c04795cda1b25b919deed2e90beaea807eb40bbed2b4ea5d,yes,PASS: no clipping/overlap/broken glyph; source-style changes visible
62,1819x2573,1819x2573,True,False,473322,4680287,0.10113097765158419,"(124, 134, 1697, 2455)",255,7f94a2161a9d20fbbdc3bcfd4a899a45691ffb0b965a9e29b8cb8beedb7778ff,f4e4f1983eec400755e65edec7477f301cdc68401aad606594789e38180e15b0,yes,PASS: no clipping/overlap/broken glyph; source-style changes visible
63,1819x2573,1819x2573,True,False,477256,4680287,0.10197152439583299,"(124, 134, 1698, 2458)",255,661d6cbdf70bab482f0c0a954fb42b92a441c2db5f887e15745c9f6f7cde3922,4e87cbf4c956ee0ab6dca22d2505ce4f372fccda2762757e4b5845226203db91,yes,PASS: no clipping/overlap/broken glyph; source-style changes visible
64,1819x2573,1819x2573,True,False,548514,4680287,0.11719665909376925,"(124, 135, 1697, 2442)",255,effed8c63bee0b51a103428829815743f2c08b1097ffea1b2268d09b1c4324b7,07cae2f802d9735c986f15e8fcfc11eb18a8ce752db30aaad413ea830660ab9f,yes,PASS: no clipping/overlap/broken glyph; source-style changes visible
65,1819x2573,1819x2573,True,False,677417,4680287,0.14473834617407008,"(124, 125, 1699, 2444)",255,54f79ea02e48a3bf5d707792e6c86a404418e0322228e422811db8d6119de4e9,381911b35bb32d6bb164639b4beca0cadfd9f7f4674d2c5993df7db0708a9cf1,yes,PASS: no clipping/overlap/broken glyph; source-style changes visible
66,1819x2573,1819x2573,True,False,187473,4680287,0.04005587691524046,"(124, 135, 1696, 2390)",255,df55220952edcab8b5f91286a8561e3e8117be450d50d35e91d22bf94a4b9368,0696cae21c9b6c5b3ea39637965f71aa3c04bed661212720b983e26a7e47f51b,yes,PASS: no clipping/overlap/broken glyph; source-style changes visible
67,1819x2573,1819x2573,True,True,0,4680287,0.0,None,0,79000ff5df14456f06f01ddeae1b8135d9bae689370eb63c745023e811fd411c,79000ff5df14456f06f01ddeae1b8135d9bae689370eb63c745023e811fd411c,control,PASS: pixel-identical boundary/control page
68,1819x2573,1819x2573,True,True,0,4680287,0.0,None,0,2418b87f1eeecfe963b4a9cb894afd488e6c8ac444b34704c818738ec7796d7b,2418b87f1eeecfe963b4a9cb894afd488e6c8ac444b34704c818738ec7796d7b,control,PASS: pixel-identical boundary/control page
