paper,printed_page,source_pdf_page,output_page_span,source_file,mapping_basis
P04,144,27,59-60,02_source/P04/full_pages/P04_p144_source_600dpi.jpg,direct visual/content continuity against final 466-page render
P04,145,28,60-61,02_source/P04/full_pages/P04_p145_source_600dpi.jpg,direct visual/content continuity against final 466-page render
P04,146,29,61,02_source/P04/full_pages/P04_p146_source_600dpi.jpg,direct visual/content continuity against final 466-page render
P04,147,30,61-62,02_source/P04/full_pages/P04_p147_source_600dpi.jpg,direct visual/content continuity against final 466-page render
P04,148,31,62,02_source/P04/full_pages/P04_p148_source_600dpi.jpg,direct visual/content continuity against final 466-page render
P04,149,32,62-63,02_source/P04/full_pages/P04_p149_source_600dpi.jpg,direct visual/content continuity against final 466-page render
P04,150,33,63-64,02_source/P04/full_pages/P04_p150_source_600dpi.jpg,direct visual/content continuity against final 466-page render
P04,151,34,64,02_source/P04/full_pages/P04_p151_source_600dpi.jpg,direct visual/content continuity against final 466-page render
P04,152,35,64-65,02_source/P04/full_pages/P04_p152_source_600dpi.jpg,direct visual/content continuity against final 466-page render
P04,153,36,65,02_source/P04/full_pages/P04_p153_source_600dpi.jpg,direct visual/content continuity against final 466-page render
P04,154,37,65-66,02_source/P04/full_pages/P04_p154_source_600dpi.jpg,direct visual/content continuity against final 466-page render
