paper,printed_page,source_pdf_page,assigned_scope,source_file,source_sha256,source_dimensions,source_quality,output_pages,disposition,promoted_changes,no_patch_guardrails,visual_source_opened,changed_output_reopened,primary_evidence,qa_status
P04,144,27,yes,02_source/P04/full_pages/P04_p144_source_600dpi.jpg,34775ddcab83dd4033f4d8e59c1c9fe1e62c17140d59df374a1dc0d5811336d8,3888x5649,"native embedded Crelle page image, 600 dpi",59-60,PATCHED_SOURCE_CERTAIN,Restored source-left equation numbers and periods for (53.)-(58.); restored the page-local *) marker before the colon after “Entwicklung”.,Retained formula (53.) index ranges and the Δ/∇ definitions in (57.).,yes,yes,05_contacts/Web_P04_p144_source_before_after_stack.png,PASS
P04,145,28,yes,02_source/P04/full_pages/P04_p145_source_600dpi.jpg,c1856ce66d48760450ec9e4a181d38d28aed506a87de7327d176974fd04dd0c1,3888x5649,"native embedded Crelle page image, 600 dpi",60-61,PATCHED_SOURCE_CERTAIN,Restored the two-line G-chain; source-left numbering for (59.)-(61.); restored the page-local *) marker before the sentence period.,Retained Δ^alpha in (59.) and the printed extra parenthesis in “Formel 23)).”.,yes,yes,05_contacts/Web_P04_p145_source_before_after_stack.png,PASS
P04,146,29,yes,02_source/P04/full_pages/P04_p146_source_600dpi.jpg,39e234891018cfd43670fce2920558f21cf019d9ffe726fbc0354f0525773c6c,3888x5649,"native embedded Crelle page image, 600 dpi",61,PATCHED_SOURCE_CERTAIN,Restored full theorem emphasis for Satz VII and Satz VIII; centered italic §8 heading; defined-term emphasis; source 1)-3) labels.,No theorem wording or mathematical symbol was editorially changed.,yes,yes,05_contacts/Web_P04_p146_source_before_after_stack.png,PASS
P04,147,30,yes,02_source/P04/full_pages/P04_p147_source_600dpi.jpg,33f57d48a796c5e9410e8df323ab50a25b6a5a92fa4e817c3b149a781530b466,3888x5649,"native embedded Crelle page image, 600 dpi",61-62,PATCHED_SOURCE_CERTAIN,Restored source-left numbering for multiline (62.) and (63.)-(64.); restored the italic item-1 lead; returned w~T_(n-tau)p_(tau-1) to its source-centered display.,Retained both σ/τ relation families and all λ bounds in (62.).,yes,yes,05_contacts/Web_P04_p147_source_before_after_stack.png,PASS
P04,148,31,yes,02_source/P04/full_pages/P04_p148_source_600dpi.jpg,0c59da780dd759b3aea510d40967d917e4e281244a2c37eba623109bb6f126d4,3888x5649,"native embedded Crelle page image, 600 dpi",62,PATCHED_SOURCE_CERTAIN,Restored source-left (65.)-(66.); removed non-source terminal comma after (65.); restored italic item-2 lead and source cross-reference (41.).,Preserved current-head source repair “mit den beiden Reihen” (N04-S08-SRCDEF-004).,yes,yes,05_contacts/Web_P04_p148_source_before_after_stack.png,PASS
P04,149,32,yes,02_source/P04/full_pages/P04_p149_source_600dpi.jpg,b3fae8923761fb5f61e54bf6ad072df80d6689b1facc4236b9af0bb102e82c32,3888x5649,"native embedded Crelle page image, 600 dpi",62-63,PATCHED_SOURCE_CERTAIN,Restored source-left (67.) and the italic item-3 lead.,Retained n=2λ specialization and both S/T families.,yes,yes,05_contacts/Web_P04_p149_source_before_after_stack.png,PASS
P04,150,33,yes,02_source/P04/full_pages/P04_p150_source_600dpi.jpg,4e5709c6aeb706a0da24748bed02fb9b9dcd43b576b03e47baebe3e6eca426a9,3888x5649,"native embedded Crelle page image, 600 dpi",63-64,PATCHED_SOURCE_CERTAIN,Restored source-left (68.)-(69.); corrected q-double-prime subscript from n-lambda-1 to source n-rho-1.,Preserved current-head “Schlußform” and the distinct ascending/descending dual sequences (N04-S08-SRCDEF-001/-003); retained q-prime subscript λ-1.,yes,yes,05_contacts/Web_P04_p150_source_before_after_stack.png,PASS
P04,151,34,yes,02_source/P04/full_pages/P04_p151_source_600dpi.jpg,319ed26dd2df687d67c63818898fb1ca13eb492c4d7663b1de0c8a2ce6058478,3888x5649,"native embedded Crelle page image, 600 dpi",64,PATCHED_SOURCE_CERTAIN,Restored source-left (70.); restored page-local *) and **) marker placement; restored source emphasis on the general-generation/eindeutig/relation phrases.,Preserved current-head “Schlußausdrücke” (N04-S08-SRCDEF-002); retained determinant recurrence and determinant value n.,yes,yes,05_contacts/Web_P04_p151_source_before_after_stack.png,PASS
P04,152,35,yes,02_source/P04/full_pages/P04_p152_source_600dpi.jpg,2f57b2eb3d431a8db70ec5eed11325b3f0732c7bb3f3ca9b4b3814e71cd60c86,3888x5649,"native embedded Crelle page image, 600 dpi",64-65,PATCHED_SOURCE_CERTAIN,Restored centered italic §9 heading with local *); source emphasis; 1)-3) labels; local **) before the semicolon.,Retained page-local */** system rather than global Arabic footnote numbering.,yes,yes,05_contacts/Web_P04_p152_source_before_after_stack.png,PASS
P04,153,36,yes,02_source/P04/full_pages/P04_p153_source_600dpi.jpg,cc7696e070115111ca09d3bc01653fcea38f2c615266e357be6761fbe9fb1fa9,3888x5649,"native embedded Crelle page image, 600 dpi",65,PATCHED_SOURCE_CERTAIN,Restored author emphasis on “reduzibel” and “Reduzent” and the full Satz IX statement.,"No variable, formula, or theorem wording change beyond source emphasis.",yes,yes,05_contacts/Web_P04_p153_source_before_after_stack.png,PASS
P04,154,37,yes,02_source/P04/full_pages/P04_p154_source_600dpi.jpg,ea4449c35013255fbc25b0f0fe9ed93811bd37e5ef1899eb7ea296a4147d9d50,3888x5649,"native embedded Crelle page image, 600 dpi",65-66,PATCHED_SOURCE_CERTAIN,"Restored the page-local *) marker after “überträgt”, before the sentence period.",Retained the printed “Vermöge unseres Satz VII” internal reference without silent emendation.,yes,yes,05_contacts/Web_P04_p154_source_before_after_stack.png,PASS
