occurrence_id,term_id,sense_ids,concept,language,surface_query,normalization_group,logical_source_id,record_id,source_sha256,license_status,locator_path,line_number,quote,quote_sha256,source_domain,evidence_tier,sense_review_status,acceptance,semantic_review_status,reviewed_sense_ids,adverse_to_sense_ids,held_for_sense_ids,review_reason_code,review_note,evidence_role,review_tier,reviewer_model_claim,bridge_form_promotion_eligible,human_observation
OCC-D52C7C0632C0FD24,T12,T12-S1,least common multiple,it,minimo comune multiplo,T12:it:minimo comune multiplo,WIKI-it-33544-138537220,WIKIHTML-IT-33544-138537220,24A7B8E618BC73E1D22A334E7926DFCCD9EAA555005F276153ACF0855CFC9F64,declared_cc_by_sa_4_0,C:\Users\Floris\Documents\interlanguage\03_projects\language_management\romance\03_redo_ultra_20260717\corpus\search_text\it\WIKIHTML-33544-138537220.txt,656,minimo comune multiplo,E69D4B1637263CAEB87F26E2F0F1CA52CB6BE4ADC2A1DBC2B833626E8989E7EF,ring_theory,mechanical_context_candidate,unreviewed_context_window,candidate_not_promoted,accepted_sense_match,T12-S1,,,least_common_multiple_in_UFD_statement,Full stored quote and adjacent source lines inspected; the explicit modeled sense is matched.,sense_matching_source_context,codex_internal_manual_context_review_20260717,semantic_curation_not_human_validation,false,false
OCC-9E2CC75E86A70EB9,T13,T13-S1,greatest common divisor,it,mcd,T13:it:mcd,WIKI-it-31716-145498082,WIKIHTML-IT-31716-145498082,226CC995643D3F1B325D1BD30D5BD66FA6B18141E2B5AFC2BAB34262C59D9A12,declared_cc_by_sa_4_0,C:\Users\Floris\Documents\interlanguage\03_projects\language_management\romance\03_redo_ultra_20260717\corpus\search_text\it\WIKIHTML-31716-145498082.txt,1126,MCD,F75BA00A00E32D5B3A29550897DE6C7D1290DC60FBD706D075157E9DE1CD1666,field_theory,mechanical_context_candidate,unreviewed_context_window,candidate_not_promoted,accepted_sense_match,T13-S1,,,greatest_common_divisor_math_context,Semantically valid MCD navigation label; belongs to one repeated Italian template evidence family.,sense_matching_source_context,codex_internal_manual_context_review_20260717,semantic_curation_not_human_validation,false,false
OCC-2EAA99526AECE0C7,T13,T13-S1,greatest common divisor,it,mcd,T13:it:mcd,WIKI-it-33544-138537220,WIKIHTML-IT-33544-138537220,24A7B8E618BC73E1D22A334E7926DFCCD9EAA555005F276153ACF0855CFC9F64,declared_cc_by_sa_4_0,C:\Users\Floris\Documents\interlanguage\03_projects\language_management\romance\03_redo_ultra_20260717\corpus\search_text\it\WIKIHTML-33544-138537220.txt,918,MCD,F75BA00A00E32D5B3A29550897DE6C7D1290DC60FBD706D075157E9DE1CD1666,ring_theory,mechanical_context_candidate,unreviewed_context_window,candidate_not_promoted,accepted_sense_match,T13-S1,,,greatest_common_divisor_math_context,Semantically valid MCD navigation label; belongs to one repeated Italian template evidence family.,sense_matching_source_context,codex_internal_manual_context_review_20260717,semantic_curation_not_human_validation,false,false
OCC-6B588AE33943B89B,T13,T13-S1,greatest common divisor,it,mcd,T13:it:mcd,WIKI-it-63266-146300127,WIKIHTML-IT-63266-146300127,E591880DF409832715E0F38F54C64C707FA32391DCB309B9FFDBBE6CD715A898,declared_cc_by_sa_4_0,C:\Users\Floris\Documents\interlanguage\03_projects\language_management\romance\03_redo_ultra_20260717\corpus\search_text\it\WIKIHTML-63266-146300127.txt,819,MCD,F75BA00A00E32D5B3A29550897DE6C7D1290DC60FBD706D075157E9DE1CD1666,module_theory,mechanical_context_candidate,unreviewed_context_window,candidate_not_promoted,accepted_sense_match,T13-S1,,,greatest_common_divisor_math_context,Semantically valid MCD navigation label; belongs to one repeated Italian template evidence family.,sense_matching_source_context,codex_internal_manual_context_review_20260717,semantic_curation_not_human_validation,false,false
OCC-513F9CB0A847D534,T13,T13-S1,greatest common divisor,ro,cel mai mare divizor comun,T13:ro:cel mai mare divizor comun,WIKI-ro-2608752-17715620,WIKIHTML-RO-2608752-17715620,9C7C48919E27E698DC5CEFC8D7A31CDEA58AC25DFF65C0D95A9001D51CAB9464,declared_cc_by_sa_4_0,C:\Users\Floris\Documents\interlanguage\03_projects\language_management\romance\03_redo_ultra_20260717\corpus\search_text\ro\WIKIHTML-2608752-17715620.txt,555,cel mai mare divizor comun,76F5BED561B9C35DA9C8DE16A033A1752ECF93D4382F82B034E64E4418BBC28D,abstract_algebra,mechanical_context_candidate,unreviewed_context_window,candidate_not_promoted,accepted_sense_match,T13-S1,,,greatest_common_divisor_math_context,Romanian running text explicitly identifies the greatest common divisor of two polynomials.,sense_matching_source_context,codex_internal_manual_context_review_20260717,semantic_curation_not_human_validation,false,false
OCC-131584C7675B48BF,T14,T14-S1 | T14-S2 | T14-S3,product,es,producto,T14:es:producto,TRANSFER-1312.6798v1-language-source-bodies/romance-germanic-baselines/bodies/spanish/arxiv_1312_6798v1/1312.6798v1_uqc.tex,TRANSFER-0025,0C26CC9B4DA307FB85A3EB40559693F7CB3CF694894D8E83644F527FDFB7AD7B,unresolved,C:\Users\Floris\Documents\Codex\2026-05-26\there-is-currently-an-ongoing-process\interlanguage_localization\01_other_pc_full\language-source-bodies\romance-b3-transfer-ready-20260706\body_files\verified_romance_body_manifest\bodies\spanish\arxiv_1312_6798v1\1312.6798v1_uqc.tex,265,"Si $M = R$, entonces tenemos un producto en $G(R)$ que lo hace un",36927036F806B2A0055BCFBB1A50D43F07F069319F0FB3C5F383C21BBF2EF0A8,mathematics_mixed,mechanical_context_candidate,unreviewed_context_window,candidate_not_promoted,accepted_sense_match,T14-S1,,,multiplicative_product_context,Full stored quote and adjacent source lines inspected; the explicit modeled sense is matched.,sense_matching_source_context,codex_internal_manual_context_review_20260717,semantic_curation_not_human_validation,false,false
OCC-3FA6FDA62AE7A321,T14,T14-S1 | T14-S2 | T14-S3,product,es,producto,T14:es:producto,TRANSFER-2209.02110v1-language-source-bodies/romance-germanic-baselines/bodies/spanish/arxiv_2209_02110v1/2209.02110v1_monoides.tex,TRANSFER-0026,DCDCE1163036490CC4228AFE92E66A58C143843B8525FC22B5E8E58B4242F73D,unresolved,C:\Users\Floris\Documents\Codex\2026-05-26\there-is-currently-an-ongoing-process\interlanguage_localization\01_other_pc_full\language-source-bodies\romance-b3-transfer-ready-20260706\body_files\verified_romance_body_manifest\bodies\spanish\arxiv_2209_02110v1\2209.02110v1_monoides.tex,235,$\{M_{i}\}_{i\in I}$ de monoides es el submonoide del producto $\prod_{i}M_{i}$ que consiste de aquellos elementos $m=(m_{i})$ tales que $m_{i}=0$ para todo …,C65D2C32ED33ECB3897FCA98139CC0A6E9D66C1BD1360972919AA96CC2DDA60A,mathematics_mixed,mechanical_context_candidate,unreviewed_context_window,candidate_not_promoted,accepted_sense_match,T14-S3,,,direct_or_cartesian_product_context,Full stored quote and adjacent source lines inspected; the explicit modeled sense is matched.,sense_matching_source_context,codex_internal_manual_context_review_20260717,semantic_curation_not_human_validation,false,false
OCC-0E1702D0DFA7F04E,T14,T14-S1 | T14-S2 | T14-S3,product,es,producto,T14:es:producto,TRANSFER-2307.03598v1-language-source-bodies/romance-germanic-baselines/bodies/spanish/arxiv_2307_03598v1/2307.03598v1_Paper_D-modulos_CNMXXII.tex,TRANSFER-0027,7CB92E7F60B1657B88128CDAF1166DC71BC39C2919F392981DF454661E28FF20,unresolved,C:\Users\Floris\Documents\Codex\2026-05-26\there-is-currently-an-ongoing-process\interlanguage_localization\01_other_pc_full\language-source-bodies\romance-b3-transfer-ready-20260706\body_files\verified_romance_body_manifest\bodies\spanish\arxiv_2307_03598v1\2307.03598v1_Paper_D-modulos_CNMXXII.tex,225,"es la multiplicaci\'on en $A$. Por tanto, el producto en $A$ coincide con la composici�n en $\text{End}_{A}(A)$. De ahora en adelante, …",3DC3DD930BD2FB8412E318A0241180F840CDD061F52357E2A2DAFDD5E7FE4A0F,module_theory,mechanical_context_candidate,unreviewed_context_window,candidate_not_promoted,accepted_sense_match,T14-S1,,,multiplicative_product_context,Full stored quote and adjacent source lines inspected; the explicit modeled sense is matched.,sense_matching_source_context,codex_internal_manual_context_review_20260717,semantic_curation_not_human_validation,false,false
OCC-8804B2F795FFC5CC,T14,T14-S1 | T14-S2 | T14-S3,product,fr,produit,T14:fr:produit,TRANSFER-0911.2903v2-language-source-bodies/romance-germanic-baselines/bodies/french/arxiv_0911_2903v2/0911.2903v2_Exp.1014.B.Keller.tex,TRANSFER-0001,73390B421593C602CCCB45B88EF9FC4AC29831A7684187D95DF9DD0D29D811FF,arxiv_distribution_license_not_reuse_clear,C:\Users\Floris\Documents\Codex\2026-05-26\there-is-currently-an-ongoing-process\interlanguage_localization\01_other_pc_full\language-source-bodies\romance-b3-transfer-ready-20260706\body_files\verified_romance_body_manifest\bodies\french\arxiv_0911_2903v2\0911.2903v2_Exp.1014.B.Keller.tex,705,Un {\em mon\^ome d'amas} est un produit de puissances positives,3751B992A0DD69CD0F0CD6BA87577D33F7087215DAFC88D85ADEB8EAA97919B7,mathematics_mixed,mechanical_context_candidate,unreviewed_context_window,candidate_not_promoted,accepted_sense_match,T14-S1,,,multiplicative_product_context,Full stored quote and adjacent source lines inspected; the explicit modeled sense is matched.,sense_matching_source_context,codex_internal_manual_context_review_20260717,semantic_curation_not_human_validation,false,false
OCC-9FA2FC27D8AFB147,T14,T14-S1 | T14-S2 | T14-S3,product,fr,produit,T14:fr:produit,TRANSFER-1508.04495v1-language-source-bodies/romance-germanic-baselines/bodies/french/arxiv_1508_04495v1/1508.04495v1_annexeA.tex,TRANSFER-0003,B70390149B359B112C82429C48B0D3EB10271DEE9FAD0B7E19FF8CDFDA4CC88B,arxiv_distribution_license_not_reuse_clear,C:\Users\Floris\Documents\Codex\2026-05-26\there-is-currently-an-ongoing-process\interlanguage_localization\01_other_pc_full\language-source-bodies\romance-b3-transfer-ready-20260706\body_files\verified_romance_body_manifest\bodies\french\arxiv_1508_04495v1\1508.04495v1_annexeA.tex,189,Il ne reste qu'à calculer le produit matriciel suivant :,BCBAAB032253DCD30FC7B806BEC325CFE54384315A00076263154F46ED131631,mathematics_mixed,mechanical_context_candidate,unreviewed_context_window,candidate_not_promoted,accepted_sense_match,T14-S1,,,multiplicative_product_context,Full stored quote and adjacent source lines inspected; the explicit modeled sense is matched.,sense_matching_source_context,codex_internal_manual_context_review_20260717,semantic_curation_not_human_validation,false,false
