review_sequence,occurrence_id,term_id,concept,language,source_candidate_sense_ids,surface_query,normalization_group,logical_source_id,record_id,source_sha256,license_status,locator_path,line_number,quote,quote_sha256,source_domain,source_evidence_tier,review_decision,accepted_sense_id,candidate_sense_ids,adverse_target,reason_code,review_note,evidence_context_class,evidence_family_id,family_role,cross_occurrence_id,review_report,review_report_sha256,review_authority,promotion_status,human_observation_count,pilot_claim
1,OCC-C19FB1EB927EFB35,T31,reduced,es,T31-S1 | T31-S2 | T31-S3,reducido,T31:es:reducido,TRANSFER-2209.02110v1-language-source-bodies/romance-germanic-baselines/bodies/spanish/arxiv_2209_02110v1/2209.02110v1_monoides.tex,TRANSFER-0026,DCDCE1163036490CC4228AFE92E66A58C143843B8525FC22B5E8E58B4242F73D,unresolved,C:\Users\Floris\Documents\Codex\2026-05-26\there-is-currently-an-ongoing-process\interlanguage_localization\01_other_pc_full\language-source-bodies\romance-b3-transfer-ready-20260706\body_files\verified_romance_body_manifest\bodies\spanish\arxiv_2209_02110v1\2209.02110v1_monoides.tex,1874,Un anillo R es llamado reducido si no tiene elementos no cero idempotentes.,FB92317C9BFFFB0801463B704C0E4F85ED160CD053E23225B67CCDA894B11674,mathematics_mixed,mechanical_context_candidate,rejected_adverse,,,T31-S1,REDUCED_RING_DEFINITION_IDEMPOTENT_ERROR,"The Spanish source explicitly labels anillo reducido but defines it as having no nonzero idempotents. The v7 sense and standard definition require no nonzero nilpotents. In a nonzero unital ring, 1 itself is a nonzero idempotent, making the printed definition especially unusable. Preserve this as a source-definition error, not support.",adverse_source_context,,,,review_t31_t35.md,F9CA9A4D39633E15807537A5580A6538C3FB3E6D6FABDA64AD16E5E8FBF63C05,codex_internal_semantic_review_not_human,not_promoted,0,False
2,OCC-27EA2D245FC98E5A,T31,reduced,fr,T31-S1 | T31-S2 | T31-S3,reduit,T31:fr:reduit,TRANSFER-1508.04495v1-language-source-bodies/romance-germanic-baselines/bodies/french/arxiv_1508_04495v1/1508.04495v1_chapitre2.tex,TRANSFER-0007,F94DCBA4304BABE70B5AD846902B1FBC8927025CF7E74E91C774AD62157F67AD,arxiv_distribution_license_not_reuse_clear,C:\Users\Floris\Documents\Codex\2026-05-26\there-is-currently-an-ongoing-process\interlanguage_localization\01_other_pc_full\language-source-bodies\romance-b3-transfer-ready-20260706\body_files\verified_romance_body_manifest\bodies\french\arxiv_1508_04495v1\1508.04495v1_chapitre2.tex,1596,catégorie des $\LL$-modules simples de dimension finie. Il réduit essentiellement la problématique de comparer les Ext-blocs de deux modules simples d'évaluation …,D0883786FB66317F90BB59AFBD5C6029880656520DEF1A54795DC0241F515226,mathematics_mixed,mechanical_context_candidate,rejected_adverse,,,T31-form-admission,ORDINARY_VERB_REDUCES_PROBLEM,"French verbal usage: a theorem “reduces” the problem of comparing extension blocks. This is ordinary reduction of a problem, not a reduced ring, reduced norm, or reduced degree.",adverse_source_context,,,,review_t31_t35.md,F9CA9A4D39633E15807537A5580A6538C3FB3E6D6FABDA64AD16E5E8FBF63C05,codex_internal_semantic_review_not_human,not_promoted,0,False
3,OCC-B0A4B253AF8E3FBD,T31,reduced,fr,T31-S1 | T31-S2 | T31-S3,reduit,T31:fr:reduit,TRANSFER-1712.04728v2-language-source-bodies/romance-germanic-baselines/bodies/french/arxiv_1712_04728v2/1712.04728v2_GoingFrench.tex,TRANSFER-0014,0C621CE96BE32CDABAA46C5AB8B14CEC4E43E5BBFC1EC6E6271BBF3945923BC7,arxiv_distribution_license_not_reuse_clear,C:\Users\Floris\Documents\Codex\2026-05-26\there-is-currently-an-ongoing-process\interlanguage_localization\01_other_pc_full\language-source-bodies\romance-b3-transfer-ready-20260706\body_files\verified_romance_body_manifest\bodies\french\arxiv_1712_04728v2\1712.04728v2_GoingFrench.tex,526,(cf. en algèbre \cite{MRR}). Nous avons réduit au minimum l'appel aux,F990D8F0EAA76611490BAEB5513333BBF210B9DED8372602BFF2EE4667DE2E9C,mathematics_mixed,mechanical_context_candidate,rejected_adverse,,,T31-form-admission,ORDINARY_REDUCED_TO_MINIMUM,French phrase réduit au minimum means “reduced/minimized the appeal to logical notions.” It is ordinary verbal usage.,adverse_source_context,,,,review_t31_t35.md,F9CA9A4D39633E15807537A5580A6538C3FB3E6D6FABDA64AD16E5E8FBF63C05,codex_internal_semantic_review_not_human,not_promoted,0,False
4,OCC-E1E3164538F997B7,T31,reduced,fr,T31-S1 | T31-S2 | T31-S3,reduit,T31:fr:reduit,WIKI-fr-247990-234911105,WIKIHTML-FR-247990-234911105,BAE6A0F2039BD919978824F44415CFD8F76295FD3567C1052567F43CB2D84362,declared_cc_by_sa_4_0,C:\Users\Floris\Documents\interlanguage\03_projects\language_management\romance\03_redo_ultra_20260717\corpus\search_text\fr\WIKIHTML-247990-234911105.txt,1014,Anneau réduit,A424B5F467C3446C40D341A531202FFCB3AD36F62FE14CE8F8E2EFE9991F8ABB,module_theory,mechanical_context_candidate,accepted_sense_match,T31-S1,,,RING_CLASS_NAVIGATION_LEXICAL,"French Anneau réduit occurs in an algebra navigation list among named ring classes and prime/primary ideals. It is a correct lexical ring-class label, but only navigation/template evidence, not defining prose.",navigation_lexical_match_internal,FAM-T31-FR-ANNEAU-REDUIT-NAV,single_lexical_navigation_location,,review_t31_t35.md,F9CA9A4D39633E15807537A5580A6538C3FB3E6D6FABDA64AD16E5E8FBF63C05,codex_internal_semantic_review_not_human,not_promoted,0,False
5,OCC-6C6FE57D6F455878,T31,reduced,pt,T31-S1 | T31-S2 | T31-S3,reduzida,T31:pt:reduzida,WIKI-pt-60301-68734795,WIKIHTML-PT-60301-68734795,E242C0297FB17E1248FC5E01F55430DAE8691F57B55EAF70F6B05DF4EB72E2AB,declared_cc_by_sa_4_0,C:\Users\Floris\Documents\interlanguage\03_projects\language_management\romance\03_redo_ultra_20260717\corpus\search_text\pt\WIKIHTML-60301-68734795.txt,475,"teoremas podem ser provados, mas a generalidade é reduzida. A",45AACCE452337E93CA9240D8040476F16F7C4483EA38770163C289F242633D34,abstract_algebra,mechanical_context_candidate,rejected_adverse,,,T31-form-admission,ORDINARY_GENERALITY_REDUCED,"Portuguese generalidade é reduzida says that generality is reduced when structure is added. It is an ordinary predicative adjective, not any modeled algebraic sense.",adverse_source_context,,,,review_t31_t35.md,F9CA9A4D39633E15807537A5580A6538C3FB3E6D6FABDA64AD16E5E8FBF63C05,codex_internal_semantic_review_not_human,not_promoted,0,False
6,OCC-025AEC5228CF20A3,T32,associated prime,it,T32-S1,primo associato,T32:it:primo associato,WIKI-it-31716-145498082,WIKIHTML-IT-31716-145498082,226CC995643D3F1B325D1BD30D5BD66FA6B18141E2B5AFC2BAB34262C59D9A12,declared_cc_by_sa_4_0,C:\Users\Floris\Documents\interlanguage\03_projects\language_management\romance\03_redo_ultra_20260717\corpus\search_text\it\WIKIHTML-31716-145498082.txt,1303,Primo associato,D57FD4252D87A80EAE0247B42F2788A84FCB9429D79B9B0367C8E802ECF5BF4A,field_theory,mechanical_context_candidate,accepted_sense_match,T32-S1,,,ASSOCIATED_PRIME_NAVIGATION_LEXICAL,"Italian Primo associato appears in a commutative-algebra navigation sequence beside Gorenstein ring, Gröbner basis, and tensor product.",navigation_lexical_match_internal,FAM-T32-IT-PRIMO-ASSOCIATO-NAV,template_primary_location,,review_t31_t35.md,F9CA9A4D39633E15807537A5580A6538C3FB3E6D6FABDA64AD16E5E8FBF63C05,codex_internal_semantic_review_not_human,not_promoted,0,False
7,OCC-4E98383B66B7E594,T32,associated prime,it,T32-S1,primo associato,T32:it:primo associato,WIKI-it-33544-138537220,WIKIHTML-IT-33544-138537220,24A7B8E618BC73E1D22A334E7926DFCCD9EAA555005F276153ACF0855CFC9F64,declared_cc_by_sa_4_0,C:\Users\Floris\Documents\interlanguage\03_projects\language_management\romance\03_redo_ultra_20260717\corpus\search_text\it\WIKIHTML-33544-138537220.txt,1095,Primo associato,D57FD4252D87A80EAE0247B42F2788A84FCB9429D79B9B0367C8E802ECF5BF4A,ring_theory,mechanical_context_candidate,accepted_sense_match,T32-S1,,,ASSOCIATED_PRIME_NAVIGATION_LEXICAL,Same disambiguating Italian navigation label on a second page.,navigation_lexical_match_internal,FAM-T32-IT-PRIMO-ASSOCIATO-NAV,template_duplicate_location,,review_t31_t35.md,F9CA9A4D39633E15807537A5580A6538C3FB3E6D6FABDA64AD16E5E8FBF63C05,codex_internal_semantic_review_not_human,not_promoted,0,False
8,OCC-38A244D91A019BB8,T32,associated prime,it,T32-S1,primo associato,T32:it:primo associato,WIKI-it-63266-146300127,WIKIHTML-IT-63266-146300127,E591880DF409832715E0F38F54C64C707FA32391DCB309B9FFDBBE6CD715A898,declared_cc_by_sa_4_0,C:\Users\Floris\Documents\interlanguage\03_projects\language_management\romance\03_redo_ultra_20260717\corpus\search_text\it\WIKIHTML-63266-146300127.txt,996,Primo associato,D57FD4252D87A80EAE0247B42F2788A84FCB9429D79B9B0367C8E802ECF5BF4A,module_theory,mechanical_context_candidate,accepted_sense_match,T32-S1,,,ASSOCIATED_PRIME_NAVIGATION_LEXICAL,Same disambiguating Italian navigation label on a third page.,navigation_lexical_match_internal,FAM-T32-IT-PRIMO-ASSOCIATO-NAV,template_duplicate_location,,review_t31_t35.md,F9CA9A4D39633E15807537A5580A6538C3FB3E6D6FABDA64AD16E5E8FBF63C05,codex_internal_semantic_review_not_human,not_promoted,0,False
9,OCC-B1A727E2131F8229,T33,complement,es,T33-S1 | T33-S2 | T33-S3,complemento,T33:es:complemento,TRANSFER-2209.02110v1-language-source-bodies/romance-germanic-baselines/bodies/spanish/arxiv_2209_02110v1/2209.02110v1_monoides.tex,TRANSFER-0026,DCDCE1163036490CC4228AFE92E66A58C143843B8525FC22B5E8E58B4242F73D,unresolved,C:\Users\Floris\Documents\Codex\2026-05-26\there-is-currently-an-ongoing-process\interlanguage_localization\01_other_pc_full\language-source-bodies\romance-b3-transfer-ready-20260706\body_files\verified_romance_body_manifest\bodies\spanish\arxiv_2209_02110v1\2209.02110v1_monoides.tex,710,"una cara F es justamente un submonoide cuyo complemento es un ideal primo, y un ideal primo P es un ideal …",FDF0BA0D8943E59BC6256DC58C33DFB0FF1E5D0DC61B0886AA362F8AF3E25E76,mathematics_mixed,mechanical_context_candidate,accepted_sense_match,T33-S2,,,SET_COMPLEMENT_MONOID_FACE,Spanish text explicitly states that the complement of a monoid face is a prime ideal and displays M minus the relevant subset.,running_body_semantic_match_internal,,,,review_t31_t35.md,F9CA9A4D39633E15807537A5580A6538C3FB3E6D6FABDA64AD16E5E8FBF63C05,codex_internal_semantic_review_not_human,not_promoted,0,False
10,OCC-CAF8B9176750BBC1,T33,complement,fr,T33-S1 | T33-S2 | T33-S3,complement,T33:fr:complement,TRANSFER-1712.04728v2-language-source-bodies/romance-germanic-baselines/bodies/french/arxiv_1712_04728v2/1712.04728v2_GoingFrench.tex,TRANSFER-0014,0C621CE96BE32CDABAA46C5AB8B14CEC4E43E5BBFC1EC6E6271BBF3945923BC7,arxiv_distribution_license_not_reuse_clear,C:\Users\Floris\Documents\Codex\2026-05-26\there-is-currently-an-ongoing-process\interlanguage_localization\01_other_pc_full\language-source-bodies\romance-b3-transfer-ready-20260706\body_files\verified_romance_body_manifest\bodies\french\arxiv_1712_04728v2\1712.04728v2_GoingFrench.tex,856,"complément, on aurait un $x\in A\setminus (P\cup S)$.",165D879DCEFCFBAC4C8AD69E2D231F3F6FF87CC439F0E9F9FF448AE23D86EA6C,mathematics_mixed,mechanical_context_candidate,accepted_sense_match,T33-S2,,,SET_COMPLEMENT_PRIME_IDEAL_PAIR,French proof treats S as the complement paired with a prime ideal P and uses an element outside P union S. This is the ambient-set complement sense.,running_body_semantic_match_internal,,,,review_t31_t35.md,F9CA9A4D39633E15807537A5580A6538C3FB3E6D6FABDA64AD16E5E8FBF63C05,codex_internal_semantic_review_not_human,not_promoted,0,False
