review_sequence,occurrence_id,term_id,concept,language,source_candidate_sense_ids,surface_query,normalization_group,logical_source_id,record_id,source_sha256,license_status,locator_path,line_number,quote,quote_sha256,source_domain,source_evidence_tier,row_review_decision,support_sense_ids,held_candidate_sense_ids,adverse_targets,support_event_count,adverse_event_count,hold_event_count,review_events_json,reason_code,review_note,evidence_context_class,evidence_family_ids,family_roles,preexisting_review_refs,deduplication_status,review_report,review_report_sha256,review_authority,promotion_status,human_observation_count,pilot_claim
1,OCC-D9EE68FC34CBA4AA,T51,domain,es,T51-S1 | T51-S2 | T51-S3 | T51-S4,dominio,T51:es:dominio,TRANSFER-2209.02110v1-language-source-bodies/romance-germanic-baselines/bodies/spanish/arxiv_2209_02110v1/2209.02110v1_monoides.tex,TRANSFER-0026,DCDCE1163036490CC4228AFE92E66A58C143843B8525FC22B5E8E58B4242F73D,unresolved,C:\Users\Floris\Documents\Codex\2026-05-26\there-is-currently-an-ongoing-process\interlanguage_localization\01_other_pc_full\language-source-bodies\romance-b3-transfer-ready-20260706\body_files\verified_romance_body_manifest\bodies\spanish\arxiv_2209_02110v1\2209.02110v1_monoides.tex,243,en P y los homomorfismo de monoides con dominio P. Todo esto se resume en la siguiente proposición.,2D0AD478DDABA38F61BCA8818C251984A1F401631595BE07F51F34B9DDAEAED9,mathematics_mixed,mechanical_context_candidate,accepted_sense_match,T51-S1,,,1,0,0,"[{""event_id"":""REV-OCC-D9EE68FC34CBA4AA-SUPPORT-T51-S1"",""event_type"":""support"",""term_id"":""T51"",""sense_id"":""T51-S1"",""target"":""T51-S1"",""reason_code"":""FUNCTION_INPUT_MONOID_DOMAIN"",""counting_status"":""review_event"",""preexisting_review_ref"":""""}]",FUNCTION_INPUT_MONOID_DOMAIN,homomorphisms are explicitly said to have monoid P as their domain.,running_body_semantic_match_internal,,,,not_preexisting,review_t51_t55.md,B35769D8624E88A4AF3042D5129450D180E18732A6BC8F9DA81F87AA59033CAB,codex_internal_semantic_review_not_human,not_promoted,0,False
2,OCC-49500E05B61EE693,T51,domain,es,T51-S1 | T51-S2 | T51-S3 | T51-S4,dominio,T51:es:dominio,TRANSFER-2307.03598v1-language-source-bodies/romance-germanic-baselines/bodies/spanish/arxiv_2307_03598v1/2307.03598v1_Paper_D-modulos_CNMXXII.tex,TRANSFER-0027,7CB92E7F60B1657B88128CDAF1166DC71BC39C2919F392981DF454661E28FF20,unresolved,C:\Users\Floris\Documents\Codex\2026-05-26\there-is-currently-an-ongoing-process\interlanguage_localization\01_other_pc_full\language-source-bodies\romance-b3-transfer-ready-20260706\body_files\verified_romance_body_manifest\bodies\spanish\arxiv_2307_03598v1\2307.03598v1_Paper_D-modulos_CNMXXII.tex,749,el estudio de sistemas de ecuaciones diferenciales en dominios del plano complejo. La idea es que dada una ecuaci�n diferencial es …,FCB0C64C2449C66BDE5A86DA65AB0A27D410537223053278FA614D1FE03F9387,module_theory,mechanical_context_candidate,accepted_sense_match,T51-S3,,,1,0,0,"[{""event_id"":""REV-OCC-49500E05B61EE693-SUPPORT-T51-S3"",""event_type"":""support"",""term_id"":""T51"",""sense_id"":""T51-S3"",""target"":""T51-S3"",""reason_code"":""COMPLEX_PLANE_REGION"",""counting_status"":""review_event"",""preexisting_review_ref"":""""}]",COMPLEX_PLANE_REGION,"“domains of the complex plane” denotes analytic regions, not an integral domain or coefficient base.",running_body_semantic_match_internal,,,,not_preexisting,review_t51_t55.md,B35769D8624E88A4AF3042D5129450D180E18732A6BC8F9DA81F87AA59033CAB,codex_internal_semantic_review_not_human,not_promoted,0,False
3,OCC-60DB50457CC2591A,T51,domain,es,T51-S1 | T51-S2 | T51-S3 | T51-S4,dominio,T51:es:dominio,WIKI-es-12952-173778307,WIKIHTML-ES-12952-173778307,EEBCE0086387EADE2C43A0C2D26391BB2E7F926388AD7101A6318CB910CA4C4C,declared_cc_by_sa_4_0,C:\Users\Floris\Documents\interlanguage\03_projects\language_management\romance\03_redo_ultra_20260717\corpus\search_text\es\WIKIHTML-12952-173778307.txt,500,dominio de factorización única,3E9B194F32AADDCD5361592C3A8073F956B4939774402E9E94E0AAD2D9476585,abstract_algebra,mechanical_context_candidate,accepted_sense_match,T51-S2,,,1,0,0,"[{""event_id"":""REV-OCC-60DB50457CC2591A-SUPPORT-T51-S2"",""event_type"":""support"",""term_id"":""T51"",""sense_id"":""T51-S2"",""target"":""T51-S2"",""reason_code"":""UNIQUE_FACTORIZATION_DOMAIN"",""counting_status"":""review_event"",""preexisting_review_ref"":""""}]",UNIQUE_FACTORIZATION_DOMAIN,the explicit compound names a standard subtype of integral domain.,running_body_semantic_match_internal,,,,not_preexisting,review_t51_t55.md,B35769D8624E88A4AF3042D5129450D180E18732A6BC8F9DA81F87AA59033CAB,codex_internal_semantic_review_not_human,not_promoted,0,False
4,OCC-D9F90084F7E69B3D,T51,domain,fr,T51-S1 | T51-S2 | T51-S3 | T51-S4,domaine,T51:fr:domaine,TRANSFER-1712.04728v2-language-source-bodies/romance-germanic-baselines/bodies/french/arxiv_1712_04728v2/1712.04728v2_GoingFrench.tex,TRANSFER-0014,0C621CE96BE32CDABAA46C5AB8B14CEC4E43E5BBFC1EC6E6271BBF3945923BC7,arxiv_distribution_license_not_reuse_clear,C:\Users\Floris\Documents\Codex\2026-05-26\there-is-currently-an-ongoing-process\interlanguage_localization\01_other_pc_full\language-source-bodies\romance-b3-transfer-ready-20260706\body_files\verified_romance_body_manifest\bodies\french\arxiv_1712_04728v2\1712.04728v2_GoingFrench.tex,1011,Par exemple un domaine de Prüfer ou de Dedekind est un anneau,ADC29DD0D22CE67E6138115FD56EBA83C6312FFD1AEE658D9089C9344880022B,mathematics_mixed,mechanical_context_candidate,accepted_sense_match,T51-S2,,,1,0,0,"[{""event_id"":""REV-OCC-D9F90084F7E69B3D-SUPPORT-T51-S2"",""event_type"":""support"",""term_id"":""T51"",""sense_id"":""T51-S2"",""target"":""T51-S2"",""reason_code"":""PRUFER_DEDEKIND_DOMAIN"",""counting_status"":""review_event"",""preexisting_review_ref"":""""}]",PRUFER_DEDEKIND_DOMAIN,adjacent text says a Prüfer or Dedekind domain is a ring; this is the algebraic integral-domain family.,running_body_semantic_match_internal,,,,not_preexisting,review_t51_t55.md,B35769D8624E88A4AF3042D5129450D180E18732A6BC8F9DA81F87AA59033CAB,codex_internal_semantic_review_not_human,not_promoted,0,False
5,OCC-2F451525342162A7,T51,domain,pt,T51-S1 | T51-S2 | T51-S3 | T51-S4,dominio,T51:pt:dominio,WIKI-pt-193830-71904594,WIKIHTML-PT-193830-71904594,681C1360B30519250BF7E45563DEB80F345FD7145DCAF36ECAEF89C00712C5D0,declared_cc_by_sa_4_0,C:\Users\Floris\Documents\interlanguage\03_projects\language_management\romance\03_redo_ultra_20260717\corpus\search_text\pt\WIKIHTML-193830-71904594.txt,538,no seu estudo. Os grupos topológicos formam um domínio natural para a,6EF18BFBBFDA064D7DAF4F3964F9A80D25CA8A8B72436D01B8747CE15C801F71,group_theory,mechanical_context_candidate,accepted_sense_match,T51-S3,,,1,0,0,"[{""event_id"":""REV-OCC-2F451525342162A7-SUPPORT-T51-S3"",""event_type"":""support"",""term_id"":""T51"",""sense_id"":""T51-S3"",""target"":""T51-S3"",""reason_code"":""NATURAL_REALM_OF_STUDY"",""counting_status"":""review_event"",""preexisting_review_ref"":""""}]",NATURAL_REALM_OF_STUDY,"topological groups form a natural domain for study; this is a generic realm, not an algebraic domain object.",running_body_semantic_match_internal,FAM-T51-PT-GL-RO-NATURAL-DOMAIN-PARALLEL,portuguese_location,,not_preexisting,review_t51_t55.md,B35769D8624E88A4AF3042D5129450D180E18732A6BC8F9DA81F87AA59033CAB,codex_internal_semantic_review_not_human,not_promoted,0,False
6,OCC-4DD50CB5A26DF835,T51,domain,pt,T51-S1 | T51-S2 | T51-S3 | T51-S4,dominio,T51:pt:dominio,WIKI-pt-44171-72178684,WIKITEXT-PT-44171-72178684,9AD8C18F9B4283D019CA5DDAADD605D95ABA17C2AE25D96D2FD57721C7AE1956,declared_cc_by_sa_4_0_project_terms_pending_page_match,C:\Users\Floris\Documents\interlanguage\03_projects\language_management\romance\03_redo_ultra_20260717\corpus\downloaded_wikimedia\pt\44171_72178684_Álgebra.wikitext,31,"operações como adição, [[subtração]], multiplicação e [[divisão]], num domínio particular de números, como os números reais.<ref name=""auto1"">{{multiref | {{harvnb|Romanowski|2008|pp=302–303}} | {{harvnb|HC …",3C20524971DA2FC3BA6FFF4DCB8877CE6A2EB06D1BE2D77BCF069CAB3FB25BFC,abstract_algebra,mechanical_context_candidate,accepted_sense_match,T51-S3,,,1,0,0,"[{""event_id"":""REV-OCC-4DD50CB5A26DF835-SUPPORT-T51-S3"",""event_type"":""support"",""term_id"":""T51"",""sense_id"":""T51-S3"",""target"":""T51-S3"",""reason_code"":""NUMBER_SYSTEM_REALM"",""counting_status"":""review_event"",""preexisting_review_ref"":""""}]",NUMBER_SYSTEM_REALM,arithmetic is restricted to a particular domain of numbers; the following contrast with abstract algebra confirms a broad mathematical realm/set sense.,running_body_semantic_match_internal,,,,not_preexisting,review_t51_t55.md,B35769D8624E88A4AF3042D5129450D180E18732A6BC8F9DA81F87AA59033CAB,codex_internal_semantic_review_not_human,not_promoted,0,False
7,OCC-47D22DC5DB118A55,T51,domain,pt,T51-S1 | T51-S2 | T51-S3 | T51-S4,dominio,T51:pt:dominio,WIKI-pt-616487-72002999,WIKIHTML-PT-616487-72002999,617BB2A637B1825FD72E43A97AF276FD07F7D54DE85991FD2FC6001E545F693F,declared_cc_by_sa_4_0,C:\Users\Floris\Documents\interlanguage\03_projects\language_management\romance\03_redo_ultra_20260717\corpus\search_text\pt\WIKIHTML-616487-72002999.txt,213,"das propriedades desejáveis dos espaços vetoriais para o domínio dos módulos sobre um anel ""bem comportado"", como um",D872C5FDEED38CE00874B1F3397BE1C15CA571CEF91F616470B42B9207CE9BCB,module_theory,mechanical_context_candidate,accepted_sense_match,T51-S3,,,1,0,0,"[{""event_id"":""REV-OCC-47D22DC5DB118A55-SUPPORT-T51-S3"",""event_type"":""support"",""term_id"":""T51"",""sense_id"":""T51-S3"",""target"":""T51-S3"",""reason_code"":""REALM_OF_MODULES"",""counting_status"":""review_event"",""preexisting_review_ref"":""""}]",REALM_OF_MODULES,theory extends vector-space properties to the domain/realm of modules; the next line separately names a principal ideal domain.,running_body_semantic_match_internal,,,,not_preexisting,review_t51_t55.md,B35769D8624E88A4AF3042D5129450D180E18732A6BC8F9DA81F87AA59033CAB,codex_internal_semantic_review_not_human,not_promoted,0,False
8,OCC-0D18DB896F7AD7BE,T51,domain,gl,T51-S1 | T51-S2 | T51-S3 | T51-S4,dominio,T51:gl:dominio,WIKI-gl-169282-7404099,WIKIHTML-GL-169282-7404099,D7EFD0780ABE7DAA443CCE280D946E0B5B19EAD4BFB770B89197D4AB30718C5B,declared_cc_by_sa_4_0,C:\Users\Floris\Documents\interlanguage\03_projects\language_management\romance\03_redo_ultra_20260717\corpus\search_text\gl\WIKIHTML-169282-7404099.txt,499,Os grupos topolóxicos forman un dominio natural para,2B3D525BF9437442B63E03A035CFBE95D1FC44C90AADD611A2661B7300455F22,group_theory,mechanical_context_candidate,accepted_sense_match,T51-S3,,,1,0,0,"[{""event_id"":""REV-OCC-0D18DB896F7AD7BE-SUPPORT-T51-S3"",""event_type"":""support"",""term_id"":""T51"",""sense_id"":""T51-S3"",""target"":""T51-S3"",""reason_code"":""NATURAL_REALM_OF_STUDY_PARALLEL"",""counting_status"":""review_event"",""preexisting_review_ref"":""""}]",NATURAL_REALM_OF_STUDY_PARALLEL,Galician parallel of the topological-group realm sentence.,running_body_semantic_match_internal,FAM-T51-PT-GL-RO-NATURAL-DOMAIN-PARALLEL,galician_parallel,,not_preexisting,review_t51_t55.md,B35769D8624E88A4AF3042D5129450D180E18732A6BC8F9DA81F87AA59033CAB,codex_internal_semantic_review_not_human,not_promoted,0,False
9,OCC-7AE13917CCB054C1,T51,domain,gl,T51-S1 | T51-S2 | T51-S3 | T51-S4,dominio,T51:gl:dominio,WIKI-gl-209642-6945035,WIKIHTML-GL-209642-6945035,639F9C1386FDC1626745B699311EE87DCE516D423567DC8FF13AAA2B6FC75338,declared_cc_by_sa_4_0,C:\Users\Floris\Documents\interlanguage\03_projects\language_management\romance\03_redo_ultra_20260717\corpus\search_text\gl\WIKIHTML-209642-6945035.txt,391,dominio de integridade,B5A348E210A004734B947DAFDF1A5570ACB8DF3A4F910C8252C3678F279DC647,field_theory,mechanical_context_candidate,accepted_sense_match,T51-S2,,,1,0,0,"[{""event_id"":""REV-OCC-7AE13917CCB054C1-SUPPORT-T51-S2"",""event_type"":""support"",""term_id"":""T51"",""sense_id"":""T51-S2"",""target"":""T51-S2"",""reason_code"":""INTEGRAL_DOMAIN_COMPOUND"",""counting_status"":""review_event"",""preexisting_review_ref"":""""}]",INTEGRAL_DOMAIN_COMPOUND,explicit `dominio de integridade`.,running_body_semantic_match_internal,FAM-T51-GL-INTEGRAL-DOMAIN-COMPOUND,distinct_source_one,,not_preexisting,review_t51_t55.md,B35769D8624E88A4AF3042D5129450D180E18732A6BC8F9DA81F87AA59033CAB,codex_internal_semantic_review_not_human,not_promoted,0,False
10,OCC-3A5491C32968BA91,T51,domain,gl,T51-S1 | T51-S2 | T51-S3 | T51-S4,dominio,T51:gl:dominio,WIKI-gl-209662-7399914,WIKIHTML-GL-209662-7399914,1AD85C58AECDFBB402A6680C702D2D5B44E6292B6ECA3B3B48DBC4AE4107724D,declared_cc_by_sa_4_0,C:\Users\Floris\Documents\interlanguage\03_projects\language_management\romance\03_redo_ultra_20260717\corpus\search_text\gl\WIKIHTML-209662-7399914.txt,600,Dominio de integridade,EDFF6EC5D815CC32922C6A561E9A5A9CFE695371D3CA84552EF8B65B4D11B73E,ring_theory,mechanical_context_candidate,accepted_sense_match,T51-S2,,,1,0,0,"[{""event_id"":""REV-OCC-3A5491C32968BA91-SUPPORT-T51-S2"",""event_type"":""support"",""term_id"":""T51"",""sense_id"":""T51-S2"",""target"":""T51-S2"",""reason_code"":""INTEGRAL_DOMAIN_COMPOUND_SECOND_SOURCE"",""counting_status"":""review_event"",""preexisting_review_ref"":""""}]",INTEGRAL_DOMAIN_COMPOUND_SECOND_SOURCE,explicit `Dominio de integridade` in a separate ring-theory source.,running_body_semantic_match_internal,FAM-T51-GL-INTEGRAL-DOMAIN-COMPOUND,distinct_source_two,,not_preexisting,review_t51_t55.md,B35769D8624E88A4AF3042D5129450D180E18732A6BC8F9DA81F87AA59033CAB,codex_internal_semantic_review_not_human,not_promoted,0,False
