term_id,concept,occurrences,languages_with_context,languages,sense_reviewed_occurrences,promotion_status
T01,ring,21,7,ca es fr gl it pt ro,0,blocked_pending_context_review
T02,field,19,7,ca es fr gl it pt ro,0,blocked_pending_context_review
T03,division ring,3,3,ca es pt,0,blocked_pending_context_review
T04,algebra,21,7,ca es fr gl it pt ro,0,blocked_pending_context_review
T05,module,19,7,ca es fr gl it pt ro,0,blocked_pending_context_review
T06,ideal,18,6,ca es fr gl it pt,0,blocked_pending_context_review
T07,prime ideal,5,3,es fr it,0,blocked_pending_context_review
T08,primary ideal,2,2,es fr,0,blocked_pending_context_review
T09,irreducible ideal,5,3,ca it ro,0,blocked_pending_context_review
T10,coprime ideals,4,2,gl it,0,blocked_pending_context_review
T11,relatively prime,0,0,,0,blocked_pending_context_review
T12,least common multiple,1,1,it,0,blocked_pending_context_review
T13,greatest common divisor,4,2,it ro,0,blocked_pending_context_review
T14,product,20,7,ca es fr gl it pt ro,0,blocked_pending_context_review
T15,factor,13,7,ca es fr gl it pt ro,0,blocked_pending_context_review
T16,decomposition,14,6,ca es fr gl it pt,0,blocked_pending_context_review
T17,representation,14,5,ca es fr gl pt,0,blocked_pending_context_review
T18,homomorphism,15,6,ca es fr gl it pt,0,blocked_pending_context_review
T19,isomorphism,20,7,ca es fr gl it pt ro,0,blocked_pending_context_review
T20,automorphism,10,5,ca es fr it pt,0,blocked_pending_context_review
T21,invariant,6,5,ca es fr it pt,0,blocked_pending_context_review
T22,basis,19,7,ca es fr gl it pt ro,0,blocked_pending_context_review
T23,rank,12,6,ca es fr it pt ro,0,blocked_pending_context_review
T24,center,7,4,es fr gl pt,0,blocked_pending_context_review
T25,extension,14,6,ca es fr gl it pt,0,blocked_pending_context_review
T26,galois,15,5,ca es fr it pt,0,blocked_pending_context_review
T27,noetherian,14,5,ca es fr it pt,0,blocked_pending_context_review
T28,artinian,10,5,ca es fr it pt,0,blocked_pending_context_review
T29,finite,18,7,ca es fr gl it pt ro,0,blocked_pending_context_review
T30,unique,16,6,ca es fr it pt ro,0,blocked_pending_context_review
T31,reduced,5,3,es fr pt,0,blocked_pending_context_review
T32,associated prime,3,1,it,0,blocked_pending_context_review
T33,complement,4,3,es fr it,0,blocked_pending_context_review
T34,unit ideal,0,0,,0,blocked_pending_context_review
T35,congruence,1,1,es,0,blocked_pending_context_review
T36,divisibility,6,4,ca es fr it,0,blocked_pending_context_review
T37,power,12,6,ca es fr gl it pt,0,blocked_pending_context_review
T38,matrix,12,5,es fr it pt ro,0,blocked_pending_context_review
T39,group,23,8,ca es fr gl it pt rm ro,0,blocked_pending_context_review
T40,subgroup,19,7,ca es fr gl it pt ro,0,blocked_pending_context_review
T41,theorem,21,7,ca es fr gl it pt ro,0,blocked_pending_context_review
T42,lemma,16,7,ca es fr gl it pt ro,0,blocked_pending_context_review
T43,definition,20,7,ca es fr gl it pt ro,0,blocked_pending_context_review
T44,proof,19,7,ca es fr gl it pt ro,0,blocked_pending_context_review
T45,therefore,18,7,ca es fr it pt rm ro,0,blocked_pending_context_review
T46,conversely,7,3,fr it pt,0,blocked_pending_context_review
T47,if and only if,12,6,es fr gl it pt ro,0,blocked_pending_context_review
T48,exists,21,7,ca es fr gl it pt ro,0,blocked_pending_context_review
T49,for all,19,7,ca es fr gl it pt ro,0,blocked_pending_context_review
T50,respectively,9,4,ca es fr it,0,blocked_pending_context_review
T51,domain,18,7,ca es fr gl it pt ro,0,blocked_pending_context_review
T52,coefficient domain,0,0,,0,blocked_pending_context_review
T53,residue class,0,0,,0,blocked_pending_context_review
T54,elementary divisor,0,0,,0,blocked_pending_context_review
T55,two-sided,1,1,es,0,blocked_pending_context_review
T56,one-sided,0,0,,0,blocked_pending_context_review
T57,right,17,7,es fr gl it pt rm ro,0,blocked_pending_context_review
T58,left,15,6,ca es fr it pt ro,0,blocked_pending_context_review
T59,zero divisor,8,4,es fr gl pt,0,blocked_pending_context_review
T60,identity,17,7,ca es fr gl it pt ro,0,blocked_pending_context_review
