"alignment_id","evidence_class","authority_role","unit_id","parent_id","source_tex_lines","original_printed_pages","physical_source_pdf_pages","recomposed_running_pages","target_locator","coverage_status","decision","status","confidence","adverse_delta","rejected_alternative","cross_references","continuation_cursor","revisit_condition","record_revision"
"SGA2-VIII-L24-ALIGN-001","source_alignment","corrected_french_tex_plus_direct_compiled_pdf","SGA2-VIII-L24","","2715-2721","90","80","72","complete reductions lead-in and Lemma2.4 statement","complete","translate only lines2715-2721 and assign but exclude the outbound layout command line2723","self_gated_bounded_unit_pending_independent_review","high","none","extend into proof or silently skip line2723","INBOUND:SGA2-VIII-C23-POC;OUTBOUND:SGA2-VIII-L24-PROOF","raw line2723 layout command; prose line2725 after blank2724","independent source review or cumulative integration","2"
"SGA2-VIII-L24-ALIGN-002","source_alignment","corrected_french_tex_plus_direct_compiled_pdf","SGA2-VIII-L24-RED1","SGA2-VIII-L24","2715","90","80","72","regular ambient reduction paragraph","complete","retain open covering regular-prescheme embeddability X closed in regular X-prime and immediate reduction","source_compared_self_review_pass","high","none","call X a closed subscheme or omit X-prime","SGA2-VIII-L24-RED2;SGA2-VIII-L24-QA","raw line2723 layout command; prose line2725 after blank2724","independent reduction review","1"
"SGA2-VIII-L24-ALIGN-003","source_alignment","corrected_french_tex_plus_direct_compiled_pdf","SGA2-VIII-L24-RED2","SGA2-VIII-L24","2717","90","80","72","regular affine and associated-module reduction","complete","retain regular then affine by an affine-open covering and script-F equals tilde-M with M finite projective dimension","source_compared_self_review_pass","high","initial temporal wording after covering weakened the logical reduction","say affine after covering or omit finite projective dimension","SGA2-VIII-L24-STM;SGA2-VIII-L24-QA","raw line2723 layout command; prose line2725 after blank2724","independent reduction and formula review","2"
"SGA2-VIII-L24-ALIGN-004","source_structure_alignment","corrected_french_tex_plus_direct_compiled_pdf","SGA2-VIII-L24-STM","SGA2-VIII-L24","2719-2721","90","80","72","Lemma2.4 heading and complete statement","complete","retain automatic number2.4 and prose-only statement with no invented pd operator or display","source_compared_structure_self_review_pass","high","initial prefreeze draft introduced a pd operator and displayed map absent from the source","display x maps to pd of F_x","SGA2-VIII-L24-HYPX;SGA2-VIII-L24-HYPF;SGA2-VIII-L24-FUNC","raw line2723 layout command; prose line2725 after blank2724","independent lemma-structure review","2"
"SGA2-VIII-L24-ALIGN-005","source_alignment","corrected_french_tex_plus_direct_compiled_pdf","SGA2-VIII-L24-HYPX","SGA2-VIII-L24-STM","2720","90","80","72","Lemma2.4 first sentence","complete","retain X regular Noetherian prescheme","source_compared_self_review_pass","high","candidate orders regular before noetherian but lowercases noetherian","regular Noetherian scheme","SGA2-VIII-L24-HYPF;SGA2-VIII-L24-QA","raw line2723 layout command; prose line2725 after blank2724","independent hypothesis review","1"
"SGA2-VIII-L24-ALIGN-006","source_alignment","corrected_french_tex_plus_direct_compiled_pdf","SGA2-VIII-L24-HYPF","SGA2-VIII-L24-STM","2720","90","80","72","Lemma2.4 second sentence","complete","retain script-F coherent O_X-module with lowercase English module","source_compared_register_self_review_pass","high","source edition capitalizes Module and candidate copies it","capitalized O_X-Module or coherent sheaf without module structure","SGA2-VIII-L24-FUNC;SGA2-VIII-L24-QA","raw line2723 layout command; prose line2725 after blank2724","independent register review","2"
"SGA2-VIII-L24-ALIGN-007","source_logic_alignment","corrected_french_tex_plus_direct_compiled_pdf","SGA2-VIII-L24-FUNC","SGA2-VIII-L24-STM","2720","90","80","72","Lemma2.4 boundedness assertion","complete","retain function assigning to each x in X the projective dimension of script-F_x and bounded above","source_compared_logic_self_review_pass","high","invented pd notation or upper-semicontinuity would strengthen or restructure the statement","x maps to pd display or upper semicontinuous","SGA2-VIII-L24-HYPX;SGA2-VIII-L24-HYPF;SGA2-VIII-L24-QA","raw line2723 layout command; prose line2725 after blank2724","independent boundedness review","2"
"SGA2-VIII-L24-ALIGN-008","source_boundary_alignment","corrected_french_tex_plus_direct_compiled_pdf","SGA2-VIII-L24-BOUND","SGA2-VIII-L24","2715-2725","90","80","72","authority box and dual continuation cursors","complete","stop at end lemma line2721 exclude blank2722 and distinguish raw layout cursor2723 from substantive prose cursor2725","source_marker_and_tex_self_review_pass","high","physical80 continues through the proof and printed91 marker later on the same page","use only prose cursor2725 and lose the layout command","SGA2-VIII-L24-LAYOUT;SGA2-VIII-L24-QA;OUTBOUND:SGA2-VIII-L24-PROOF","raw line2723 layout command; prose line2725 after blank2724","independent boundary review","1"
"SGA2-VIII-L24-ALIGN-009","source_layout_alignment","corrected_french_tex","SGA2-VIII-L24-LAYOUT","SGA2-VIII-L24-BOUND","2723","90","80","72","outbound equation-counter reset","assigned_outbound_not_target_body","assign setcounter equation to1 before next proof prose and do not silently skip it","source_layout_assignment_pass","high","layout commands disappear easily when prose units are segmented","omit the reset or treat line2725 as raw cursor","OUTBOUND:SGA2-VIII-L24-PROOF;SGA2-VIII-L24-QA","raw line2723 layout command; prose line2725 after blank2724","cumulative integration of next unit","1"
"SGA2-VIII-L24-ALIGN-010","comparison_alignment","comparison_only_not_authority","SGA2-VIII-L24-CAND","SGA2-VIII-L24","jcreinhold ii08 lines331-342","90","80","72","comparison audit","complete_comparison_only","accept only French-verified close wording and reject source-capitalized Module upper-bounded phrasing and authority status","comparison_audited_not_promoted","high","candidate is one LLM lineage and does not expose raw TeX layout command2723","copy candidate or treat agreement as independent corroboration","COMPARISON:jcreinhold_e7a259f;SGA2-VIII-L24-QA","raw line2723 layout command; prose line2725 after blank2724","candidate revision","1"
"SGA2-VIII-L24-ALIGN-011","target_revision_alignment","corrected_french_tex_plus_direct_compiled_pdf_and_root_preseal_review","SGA2-VIII-L24-QA","SGA2-VIII-L24","2717;2720","90","80","72","final TeX build extraction and renders","complete","replace temporal affine wording with causal by-covering wording and remove invented pd operator and display","revised_rebuilt_self_review_pass","high","prefreeze draft changed source structure and reduction logic","retain initial draft choices","SGA2-VIII-L24-RED2;SGA2-VIII-L24-STM;SGA2-VIII-L24-FUNC","raw line2723 layout command; prose line2725 after blank2724","independent target review","2"
"SGA2-VIII-L24-ALIGN-012","independent_source_reduction_logic","corrected_french_tex_plus_direct_compiled_pdf","SGA2-VIII-L24-IND-RED","SGA2-VIII-L24","2715-2717","90","80","72","both reduction paragraphs and associated-module formula","complete","independently confirm open-cover embeddability closed regular ambient reduction causal affine covering script-F equals tilde-M and finite projective dimension","closed_independent_pass","high","none","weaken causal covering relation omit tilde equality or conflate finite projective dimension with finite dimension","SGA2-VIII-L24-RED1;SGA2-VIII-L24-RED2;SGA2-VIII-L24-QA","raw line2723 layout command; prose line2725 after blank2724","artifact mutation or authority replacement","1"
"SGA2-VIII-L24-ALIGN-013","independent_source_lemma_structure_logic","corrected_french_tex_plus_direct_compiled_pdf","SGA2-VIII-L24-IND-STM","SGA2-VIII-L24","2719-2721","90","80","72","Lemma2.4 heading hypotheses and boundedness assertion","complete","independently confirm automatic number regular Noetherian prescheme coherent lowercase O_X-module and prose-only projective-dimension function bounded above","closed_independent_pass","high","none","restore invented pd display capitalize ordinary module or add upper-semicontinuity","SGA2-VIII-L24-STM;SGA2-VIII-L24-HYPX;SGA2-VIII-L24-HYPF;SGA2-VIII-L24-FUNC;SGA2-VIII-L24-QA","raw line2723 layout command; prose line2725 after blank2724","artifact mutation or authority replacement","1"
"SGA2-VIII-L24-ALIGN-014","independent_source_boundary_layout","corrected_french_tex_plus_direct_compiled_pdf","SGA2-VIII-L24-IND-BOUND","SGA2-VIII-L24","2715-2725","90","80","72","three page systems body boundary and dual continuation cursors","complete","independently confirm body ends2721 blank2722 excluded raw layout reset2723 assigned outbound blank2724 excluded and substantive proof starts2725","closed_independent_pass","high","none","collapse raw and prose cursors or include proof body","SGA2-VIII-L24-BOUND;SGA2-VIII-L24-LAYOUT;OUTBOUND:SGA2-VIII-L24-PROOF","raw line2723 layout command; prose line2725 after blank2724","new pagination evidence or cumulative integration","1"
