"generated_local","instruction_bus_branch","instruction_bus_head","language","bucket","source_basis","source_witness_count","source_urls","source_hashes","license_access_signals","script_register","english_segment_1","draft_segment_1","english_segment_2","draft_segment_2","english_segment_3","draft_segment_3","source_context_note","term_alternatives_register_notes","formula_neighboring_usage_notes","semi_constructed_interlanguage_scaffold","review_priority","boundary","coverage_state"
"2026-07-05T17:13:37+02:00","codex/noether-pc-20260629","cb86bcf0e9341e8e3cc2da113a3b504d99c56510","Belarusian","source-canon sufficient for scoped draft work","belarusian_bnt_elementary_math ; be_radyno_russko_belorusskij_matematicheskij_slovar_1993_pdf","2","https://slounik.org/bnt01/ ; https://files.knihi.com/Knihi/sum/RUS-BEL-mat.1993.pdf ; https://knihi.com/none/Russko-bielorusskij_matiematicieskij_slovar.html ; https://knihi-online.com/russko-bielorusskij-matiematicieskij-slovar.html ; https://knihi-online.com/russko-bielorusskij-matiematicieskij-slovar.html?page=2 ; https://knihi-online.com/russko-bielorusskij-matiematicieskij-slovar.html?page=10 ; https://library.bntu.by/wp-content/uploads/2023/02/spisok.pdf","52CC7E17A36743949DCE632C15B98163B66ACCCAE779E691EAA1F2D0E15B4344 ; 503D5DE1F0DD86A8D3508660C813820CE7AB4D233EB34457F7F5E4DC835A2394 ; 4A5D37AA62D0CD077C6BC815CA5BD4C21BC8F04C827419785E460A6F6DFAC434 ; AD2ED654720167EC4BF420F1D9C2D9C7E3606EA254FECB6C3F362555685F9545 ; 3ED714E563E54993DB577EB6484423A592584CC1B23F46E72523F0C4DE04EE60 ; A67F00F76E76B75B051FD9F7122336175FE47999E5FDB82707CCF9552695C525 ; A6A6F32A98AD71AFF1A44018B3FEAE33574A8792C9B7F86E09E297B8AF293D7F ; C0F91ED24E37994A669E09A7D53C7277DCA773B8429623DDD49A3F54AA6F6EA3 ; EB985B65A4A2F0B8799D81ACD8079B34490D0A50FEEEBEA7AE855FA21CA5A336","web-accessible historical terminology page; license not established; verify before reuse ; Belaruska Palichka/knihi public web access; landing page requests attribution/link when using materials; no redistribution permission, license clearance, native review, or canonical approval is claimed","Cyrillic; OCR-quality watch","Let R be a ring and M a finitely generated R-module.","Няхай R — кальцо, а M — канечна спароджаны R-модуль.","The invariant ring k[V]^G is Noetherian.","Кальцо інварыянтаў k[V]^G ёсць нетэравым.","If I is an ideal of R, the quotient ring R/I is a field.","Калі I — ідэал у R, то фактар-кальцо R/I ёсць полем.","Cached Belarusian mathematical dictionary/PDF witness is sufficient for cautious draft support, but OCR/page quality remains a review risk.","ring: кальцо; field: поле; finitely generated: канечна спароджаны / канечна породжаны; Noetherian: нетэраў / нётэраў / нетэравы needs source check","Keep formulas R, M, k[V]^G, I, R/I unchanged; use hyphen in R-модуль and фактар-кальцо unless reviewer prefers spaced construction.","ring~kolo/kolce/kальцо; module~modul/модуль; invariant~invariant/інварыянт; quotient~factor/faktar.","high","draft/non-canonical/provenance only; not native reviewed; not canonical approval; not accepted terminology; not gate promotion; not blanket license clearance; not translation completion","stable_local_pdf_fulltext_witness_ocr_quality_watch"
"2026-07-05T17:13:37+02:00","codex/noether-pc-20260629","cb86bcf0e9341e8e3cc2da113a3b504d99c56510","Bulgarian","source-canon sufficient for scoped draft work","bulgarian_sofia_noncommutative_body_problem ; bulgarian_sofia_rings_lecture7","2","https://store.fmi.uni-sofia.bg/fmi/algebra/syllabuses/va1/Sample_Problems_Rings_ApplMath_2011.pdf ; https://store.fmi.uni-sofia.bg/fmi/algebra/lect_notes_nenov/07.pdf","9377AC5F2F3594AD2F0A7B014C72562D8E0E40007BA06E72B18D3E2B7C941E43 ; 996E7E695AD04148AF2632AD9DF1F18A5C720B4958E85A9D495A875540CBC392 ; D5F91DCC5EAF4DFD1FE0949891A93117510C0D82E894E1FF254C4A78853AB503 ; 78275711414EC1B5113BCB8E7C5770E31F777F120362BDE9F9C15DD1CBB1C2DC","public web PDF mirrored locally for reference; no explicit reuse license detected in extracted text; use as terminology witness only","Cyrillic academic","Let R be a ring and M a finitely generated R-module.","Нека R е пръстен, а M е крайно породен R-модул.","The invariant ring k[V]^G is Noetherian.","Пръстенът на инвариантите k[V]^G е ньотеров.","If I is an ideal of R, the quotient ring R/I is a field.","Ако I е идеал на R, фактор-пръстенът R/I е поле.","Stable local Bulgarian PDF/text witnesses cover algebra/ring/module vocabulary sufficiently for draft support.","ring: пръстен; field: поле; module: модул; invariant ring: пръстен на инвариантите; Noetherian: ньотеров / нетеров as draft alternatives","Bulgarian definite article attaches to the noun before formula complements: Пръстенът на инвариантите k[V]^G.","prsten/ring family stays transparent to South Slavic; field maps to pole/polje; Noether adjective needs local source check.","medium","draft/non-canonical/provenance only; not native reviewed; not canonical approval; not accepted terminology; not gate promotion; not blanket license clearance; not translation completion","stable_local_pdf_text_witnesses_no_tex"
"2026-07-05T17:13:37+02:00","codex/noether-pc-20260629","cb86bcf0e9341e8e3cc2da113a3b504d99c56510","Croatian","source-canon sufficient for scoped draft work","croatian_mathhr_algebra_structures_2024 ; croatian_pmf_split_prsteni","2","https://algprof.math.hr/wp-content/uploads/2025/03/AS-2024.pdf ; https://mapmf.pmfst.unist.hr/~skresic/Algebra/Prezentacije/Prsteni.pdf","50A255D413C5411F02A4AB6DA487CF1A5CCF2AF0B933E89307FD036E34281124 ; 806AC472D958476A1172C46B5F279984A7D89AACE2DAF422A13CD7EC5D151C0E ; 6F0B9C2563C86D99A16601ADB01B4280FDC30707CF2EC407A18E1383D6370E43 ; E3A85A42356649B1804704357197F1D0ABA56044299C29FF75012ABEFD7B4AD3","local text contains possible license/copyright/ISBN signal; inspect source before reuse: S druge strane, jedan od velikih otvorenih problema Algebarske teorije brojeva je dokazati, ili opovrgnuti, glasovitu Gaussovu slutnju koja govori da postoji beskonačno mnogo ; public web PDF mirrored locally for reference; no explicit reuse license detected in extracted text; use as terminology witness only","Latin academic","Let R be a ring and M a finitely generated R-module.","Neka je R prsten, a M konačno generiran R-modul.","The invariant ring k[V]^G is Noetherian.","Prsten invarijanata k[V]^G je noetherovski.","If I is an ideal of R, the quotient ring R/I is a field.","Ako je I ideal u R, kvocijentni prsten R/I je polje.","Stable Croatian PDF/text witnesses support algebra, prsten, polje/tijelo, modul, ideal families.","field: polje / tijelo; Noetherian: noetherovski / Noetherin; quotient ring: kvocijentni prsten / faktorski prsten","Keep R-modul hyphenated near formulas; choose polje vs tijelo only after source-context review.","South Slavic prsten/polje/modul/ideal cluster; invariant ring = prsten invarijanata.","medium","draft/non-canonical/provenance only; not native reviewed; not canonical approval; not accepted terminology; not gate promotion; not blanket license clearance; not translation completion","stable_local_pdf_text_witnesses_no_tex"
"2026-07-05T17:13:37+02:00","codex/noether-pc-20260629","cb86bcf0e9341e8e3cc2da113a3b504d99c56510","Czech","source-canon sufficient for scoped draft work","czech_cuni_algebra_2021 ; czech_cuni_noncommutative_body_thesis ; czech_cuni_representation_idempotents ; czech_cuni_telesa_pole_note ; czech_karlin_commutative_rings_fields ; czech_karlin_galois_splitting_field","6","https://karlin.mff.cuni.cz/~kala/2021alg/algebra21.pdf ; https://dspace.cuni.cz/bitstream/handle/20.500.11956/75721/BPTX_2014_1_11320_0_348573_0_141241.pdf?sequence=1 ; https://dspace.cuni.cz/bitstream/handle/20.500.11956/127526/120389931.pdf?sequence=1 ; https://www.karlin.mff.cuni.cz/~becvar/LA-dotaz3.pdf ; https://www.karlin.mff.cuni.cz/~ruzicka/komalg/telesa.pdf ; https://www.karlin.mff.cuni.cz/~stovicek/dl/19-20-ls/algebra2_04052020.pdf","0737A40AD7C560CA8988BBD5D85762DFFB4791E67CCA0BA4F3CA8A2F4EBE65CE ; 98AB0434150979DFAA640CA2A642B25FEB9D03BD733867F27ECBBD98090154B1 ; DDC68FA8BCFE15C190EF8D5A78B4B56920FFEFF8D8486A8E54A02A5E864F504F ; 9581A7657881B2AC10E7FC862A1BA2EF8F19D801964BD7C7307C4FE7127B348B ; E5A089E19940503C1B3CB418A3045F0AA1B649E3D1810F3E798BD7982324C0EB ; 5AD9CC505438D174A3B23BF84E5CD812C224B43151C09FE5C96B0763625F8851 ; D4F68D359C2B50DADF954CABA682C4B66CE49E7E3D24294F3F3B2951675D6E8B ; 1E3B04AD05B666B17FA0EED595268E783A533F7C2E0B26EDA7717C5CD61DDE31 ; 0F139BE9D0FD542F9A72ADFDCF698C7643036CDA19377C14B0C01F5F50799DF9 ; F38BCC4639F876F49D0544E0A93D6FE940F9A76A55E1B892DD03BA8A10899AF0 ; 44E8DCB249CDB5D6B084BAD33F1141367C0FD92A14745092594DA6228BE4577C ; 63838C135F4AC6C6F1CE779469FCA3C4A3C37FDDADF8197DE1BB2ECEC5A0AD21","public web PDF mirrored locally for reference; no explicit reuse license detected in extracted text; use as terminology witness only ; local text contains possible license/copyright/ISBN signal; inspect source before reuse: Univerzita Karlova v Praze má právo na uzavření licenční smlouvy o užití této práce ; local text contains possible license/copyright/ISBN signal; inspect source before reuse: že Univerzita Karlova má právo na uzavření licenční smlouvy o užití této práce / New York, 1977. ISBN 978-0-471-02272-5.","Latin academic","Let R be a ring and M a finitely generated R-module.","Nechť R je okruh a M konečně generovaný R-modul.","The invariant ring k[V]^G is Noetherian.","Okruh invariantů k[V]^G je noetherovský.","If I is an ideal of R, the quotient ring R/I is a field.","Je-li I ideál v R, podílový okruh R/I je těleso.","Stable Czech PDF/text witnesses support okruh, těleso, modul, ideál, invariant vocabulary.","group: grupa / skupina depending source register; ring: okruh; field: těleso; invariant: invariant; Noetherian: noetherovský","Czech formula-neighboring adjective usually follows standard mathematical order: konečně generovaný R-modul.","West Slavic okruh/těleso differs from South Slavic prsten/polje; keep comparison notes visible.","medium","draft/non-canonical/provenance only; not native reviewed; not canonical approval; not accepted terminology; not gate promotion; not blanket license clearance; not translation completion","stable_local_pdf_text_witnesses_no_tex"
"2026-07-05T17:13:37+02:00","codex/noether-pc-20260629","cb86bcf0e9341e8e3cc2da113a3b504d99c56510","Macedonian","source-canon sufficient for scoped draft work","macedonian_ukim_math_lexicon ; macedonian_ukim_nary_algebra","2","https://ukim.edu.mk/wp-content/uploads/2025/06/matematicki_leksikon.pdf ; https://ukim.edu.mk/e-book/00015/ ; https://ukim.edu.mk/wp-content/uploads/2025/06/algebarski_n-arni_strukturi.pdf ; https://ukim.edu.mk/studii/izdavachka-dejnost-02/e-knigi/","B01868524F3757A96D2AF13D91D8DC54AA1913A5011E16512161D29C20C70B91 ; 8D6A8BBB7EEABE9F92954E387FCB7EBB40180F4A24279ADD8722213E6448EA30 ; 64F0AAA257DE1F1E348A049858D491CB2FD4BFFE050F9BD4A902D5041254E14A ; 197BD48333DCE976CC56C15108A90030B02CF1282939D0BA7186A3D9FD9A95D4","UKIM e-book/free access signal; reuse license not established; no license clearance claimed","Cyrillic academic","Let R be a ring and M a finitely generated R-module.","Нека R е прстен, а M е конечно генериран R-модул.","The invariant ring k[V]^G is Noetherian.","Прстенот на инваријанти k[V]^G е нетеровски.","If I is an ideal of R, the quotient ring R/I is a field.","Ако I е идеал на R, количник-прстенот R/I е поле.","Recently promoted stable local fulltext witness supports scoped algebra draft material.","quotient ring: количник-прстен / фактор-прстен; Noetherian: нетеровски / Нетеров; invariant: инваријанта / инваријант","Macedonian definite article appears on прстенот; keep R-модул hyphenated near formula use.","South Slavic prsten/polje/modul cluster; quotient alternates količnik/faktor.","medium","draft/non-canonical/provenance only; not native reviewed; not canonical approval; not accepted terminology; not gate promotion; not blanket license clearance; not translation completion","stable_local_fulltext_witness_recently_promoted_no_tex"
"2026-07-05T17:13:37+02:00","codex/noether-pc-20260629","cb86bcf0e9341e8e3cc2da113a3b504d99c56510","Montenegrin","source-canon sufficient for scoped draft work","montenegrin_ucg_finite_fields_and_ects_controls","1","https://vladimirbozovic.net/univerzitet/bozovic/wp-content/uploads/2018/09/Teorija-kodiranja-i-kona%C4%8Dna-polja-v2.pdf ; https://www.ucg.ac.me/SP_ECTS.php?oz_del=7&sif_del=1&sif_mat=2","F175D3BB5B754207A4F55112A4869323501AA8654F937AC9007480B8BF8ED906 ; C1A8AA0297872771F3B5D831CD94CAAADF8A2821009C3E09703A8B515B7A1F68 ; 353DAD478A952DD60F876852539A0E8D776B2533CCB2B9B3B44DA5D9CAFE76EE","public web PDF/HTML; reuse license not established; no license clearance claimed","Latin draft; Cyrillic equivalent may be needed","Let R be a ring and M a finitely generated R-module.","Neka je R prsten, a M konačno generisan R-modul.","The invariant ring k[V]^G is Noetherian.","Prsten invarijanti k[V]^G je noeterovski.","If I is an ideal of R, the quotient ring R/I is a field.","Ako je I ideal u R, količnički prsten R/I je polje.","Recently promoted stable local fulltext witness supports cautious Montenegrin/BCMS draft material.","generated: generisan / generiran; quotient ring: količnički prsten / kvocijentni prsten; field: polje / tijelo; Noetherian: noeterovski / Noetherov","Keep formula symbols unchanged; decide Latin/Cyrillic presentation at render stage.","BCMS bridge terms align with Serbian/Croatian but register choices must remain draft.","medium","draft/non-canonical/provenance only; not native reviewed; not canonical approval; not accepted terminology; not gate promotion; not blanket license clearance; not translation completion","stable_local_fulltext_witness_recently_promoted_no_tex"
"2026-07-05T17:13:37+02:00","codex/noether-pc-20260629","cb86bcf0e9341e8e3cc2da113a3b504d99c56510","Polish","source-canon sufficient for scoped draft work","polish_impan_algebra_lecture3 ; polish_mimuw_algebra2_galois ; polish_mimuw_left_ideals_idempotents ; polish_mimuw_noncommutative_body ; polish_uj_algebra1_noetherian ; polish_uwr_algebra2_rings","6","https://www.impan.pl/~pmh/teach/algebra/lectures/lecture3.pdf ; https://www.mimuw.edu.pl/~aboj/algebra2/algebra_2.pdf ; https://mimuw.edu.pl/~amecel/prezentacja_Mecel.pdf ; https://www.mimuw.edu.pl/~torunczy/GAL/09-10/Sem2/VII.KW.pdf ; https://slawomir-cynk.u.matinf.uj.edu.pl/images/videos/AlgebraI.pdf ; https://ii.uni.wroc.pl/~kosciels/algebra/pliki/alg2-03.pdf","36859CBC3EEDC4003A84CF21174FD2F339AA53157AB4708A262CB799B2B34DA2 ; 2C8D15E14E196533F8E0790325A4F1923FF5B54824EA87C8A44AD046CACDB684 ; D4E871500B4A874E0485EBE8CF29A7DAA2ABB12777C3DC4B55C129CD093D95F6 ; 0853EC4137047BD878E7D345ADEB69CFBD31F0EA8DE6D21ED1A910A8BF70C6CD ; 392464B73274B97C2B0C751608AB256EBAC7BCA2BF9C6F86772BE2CD08E1CE9F ; 44764FFAED205328E1D2F39FA5E841827160B77D1243818F80322797F3F58C4A ; 97BC4806785E5A0EFCD0139ABFA9FA1A895CD8BB0447675882034B64A1853989 ; 0A9E5A16E340C45D1A23738411FEDC7DA5FC1C3DED2570C0C55901D7550B8B00 ; 557F3561FF48F81DD9BBEF9C7D8876EFE4D7AF216DD4161582F6EEA0D8E3DF33 ; 363A8B44A515A75608B3919711DBA6DDC8F9BD0399703F0EC26A249F501C6129 ; C6D562F5511D46E7CB0A4A9E0C8E6684B4295CBEDB7C17A9694112B214BC98B9 ; BB93F562BE2E953DA47A70BCCBBF351524019E333ACDC86CB20790D425F94F79","public web PDF mirrored locally for reference; no explicit reuse license detected in extracted text; use as terminology witness only","Latin academic","Let R be a ring and M a finitely generated R-module.","Niech R będzie pierścieniem, a M skończenie generowanym R-modułem.","The invariant ring k[V]^G is Noetherian.","Pierścień niezmienników k[V]^G jest noetherowski.","If I is an ideal of R, the quotient ring R/I is a field.","Jeśli I jest ideałem w R, to pierścień ilorazowy R/I jest ciałem.","Stable Polish PDF/text witnesses support pierścień, ciało, moduł, ideał, niezmiennik families.","invariant: niezmiennik / inwariant; quotient ring: pierścień ilorazowy; Noetherian: noetherowski","Polish inflects nouns around formulas: pierścieniem, R-modułem, ideałem.","pierścień diverges from prsten/okruh; ciało aligns with Czech/Slovak těleso/teleso conceptually.","medium","draft/non-canonical/provenance only; not native reviewed; not canonical approval; not accepted terminology; not gate promotion; not blanket license clearance; not translation completion","stable_local_pdf_text_witnesses_no_tex"
"2026-07-05T17:13:37+02:00","codex/noether-pc-20260629","cb86bcf0e9341e8e3cc2da113a3b504d99c56510","Serbian","source-canon sufficient for scoped draft work","serbian_belgrade_algebra_i_lecture9","1","https://poincare.matf.bg.ac.rs/~zoran.petrovic/Algebra%28I%29-predavanja_9.pdf","D9387411DF94C801D4452D15E7FCF17293B692BA29338449D138D6CA304AADE1 ; E46326B08B3CB17A69482E90BBF09C1CAAB2DE4037D4F9F2662331834FB9D93B","public web PDF mirrored locally for reference; no explicit reuse license detected in extracted text; use as terminology witness only","Cyrillic academic draft","Let R be a ring and M a finitely generated R-module.","Нека је R прстен, а M коначно генерисан R-модул.","The invariant ring k[V]^G is Noetherian.","Прстен инваријанти k[V]^G је нетеровски.","If I is an ideal of R, the quotient ring R/I is a field.","Ако је I идеал у R, количнички прстен R/I је поље.","Stable Serbian PDF/text witnesses support algebra/prsten/polje/modul/ideal vocabulary.","field: поље / тело; quotient ring: количнички прстен / факторски прстен; Noetherian: нетеровски / Нетеров","Use Cyrillic prose with Latin formula variables unchanged; R-модул hyphenation keeps formula attachment clear.","Serbian aligns with Montenegrin/Croatian prsten/polje/modul but script and field term need review.","medium","draft/non-canonical/provenance only; not native reviewed; not canonical approval; not accepted terminology; not gate promotion; not blanket license clearance; not translation completion","stable_local_pdf_text_witnesses_no_tex"
"2026-07-05T17:13:37+02:00","codex/noether-pc-20260629","cb86bcf0e9341e8e3cc2da113a3b504d99c56510","Slovak","source-canon sufficient for scoped draft work","slovak_abstraktna_algebra","1","https://elea.sk/assets/abstraktna-algebra-ucebnica.pdf","28F59C88C8DA82BB67B66B326767FF845A36999E72C5B92A19FDBD240FF7C6C4 ; E60307948BFE8233B6FC163FD54229224072D7B24ECEB5EB3895E89D941CB4CF","local text contains possible license/copyright/ISBN signal; inspect source before reuse: Licencia a právo na použitie / Celý dokument je k dispozícii zdarma pod licenciou Creative Commons BY-NC-SA [1].","Latin academic","Let R be a ring and M a finitely generated R-module.","Nech R je okruh a M konečne generovaný R-modul.","The invariant ring k[V]^G is Noetherian.","Okruh invariantov k[V]^G je noetherovský.","If I is an ideal of R, the quotient ring R/I is a field.","Ak I je ideál v R, podielový okruh R/I je teleso.","Stable Slovak PDF/text witnesses support okruh, teleso, modul, ideál, invariant vocabulary.","group: grupa / skupina by register; quotient ring: podielový okruh / faktorový okruh; Noetherian: noetherovský","Formula variables remain Latin; adjective order mirrors Czech but use Slovak diacritics and inflection.","West Slavic okruh/teleso/modul pattern; compare Czech okruh/těleso and Polish pierścień/ciało.","medium","draft/non-canonical/provenance only; not native reviewed; not canonical approval; not accepted terminology; not gate promotion; not blanket license clearance; not translation completion","stable_local_pdf_text_witnesses_no_tex"
"2026-07-05T17:13:37+02:00","codex/noether-pc-20260629","cb86bcf0e9341e8e3cc2da113a3b504d99c56510","Slovenian","source-canon sufficient for scoped draft work","slovenian_komutativna_algebra_noetherian ; slovenian_uvod_v_algebro","2","https://users.fmf.uni-lj.si/kosir/poucevanje/0405/komalg-dnzak.pdf ; https://users.fmf.uni-lj.si/bresar/documents/UvodVAlgebro2018.pdf","E954B49C9DD9BC572094B865178F8AD95C117E787C7020D3A2B00AD87772DE53 ; B0DBF4638CC5F8543F955B903E304B3E3C5FB6D2F27ED8CBC56D39596945A4AF ; 7AA2535DF2CD7E8F30E78D01715974D37C25D39D5CAA0456151DE813C13D6821 ; 91655EC9EA8A0F5694DF81794ED2EB16C196C1CECA189F8ADC3A887894DD1B72","public web PDF mirrored locally for reference; no explicit reuse license detected in extracted text; use as terminology witness only","Latin academic","Let R be a ring and M a finitely generated R-module.","Naj bo R kolobar in M končno generiran R-modul.","The invariant ring k[V]^G is Noetherian.","Kolobar invariant k[V]^G je noetherski.","If I is an ideal of R, the quotient ring R/I is a field.","Če je I ideal v R, je kvocientni kolobar R/I polje.","Stable Slovenian PDF/text witnesses support algebra, grupa, kolobar, polje, modul, ideal terms.","ring: kolobar / obroč by source register; invariant ring: kolobar invariant; Noetherian: noetherski / Noetherjev","Kolobar is preferred draft for algebraic ring; keep obroč as alternative until source review.","Slovenian kolobar is less transparent to prsten/okruh clusters; keep bridge note for reviewers.","medium","draft/non-canonical/provenance only; not native reviewed; not canonical approval; not accepted terminology; not gate promotion; not blanket license clearance; not translation completion","stable_local_pdf_text_witnesses_no_tex"
