"paper","printed_page_or_range","current_head","last_updated_utc","source_witness_or_basis","source_quality","audited_by_or_qc_instances","audit_depth","fixes_found","fixes_integrated","current_status","next_action","evidence_files","notes"
"P08","093","Noether_LocalCodex_20260719_P08_FullPaperSourceAudit","2026-07-19","original Math. Ann. 77 article; p093 complete 650dpi page; three 1000dpi slices","complete original-publication witness; full page plus dense slices","LocalCodex fresh complete-page pass; earlier targeted material used only as guardrail","every visible title/prose/note/math/continuity unit compared with live TeX","2 source-emphasis omissions","yes","closed_current_head_complete_page_source_audit","Reopen only on a concrete source contradiction.","P08_page_audit_20260719.csv; full_pages_650dpi/noether_paper08_printed_p093_650dpi.png; after/P08_after-094.png","Fresh page audit, not inherited closure."
"P08","094","Noether_LocalCodex_20260719_P08_FullPaperSourceAudit","2026-07-19","original Math. Ann. 77 article; p094 complete 650dpi page; three 1000dpi slices","complete original-publication witness; full page plus dense slices","LocalCodex fresh complete-page pass","every visible prose/display/note/continuity unit compared with live TeX","4 source-style omissions: three emphasis loci and a colon","yes","closed_current_head_complete_page_source_audit","Reopen only on a concrete source contradiction; retain printed 'volle Systeme'.","P08_page_audit_20260719.csv; p094 source page/slices; after/P08_after-094.png; after/P08_after-095.png","No silent grammar normalization."
"P08","095","Noether_LocalCodex_20260719_P08_FullPaperSourceAudit","2026-07-19","original Math. Ann. 77 article; p095 complete 650dpi page; three 1000dpi slices","complete original-publication witness; full page plus dense slices","LocalCodex fresh complete-page pass","every visible prose/formula/note/continuity unit compared with live TeX","1 source-emphasis omission","yes","closed_current_head_complete_page_source_audit","Reopen only on a concrete source contradiction.","P08_page_audit_20260719.csv; p095 source page/slices; after/P08_after-095.png","No mathematical delta found."
"P08","096","Noether_LocalCodex_20260719_P08_FullPaperSourceAudit","2026-07-19","original Math. Ann. 77 article; p096 complete 650dpi page; three 1000dpi slices","complete original-publication witness; full page plus dense slices","LocalCodex fresh complete-page pass","every visible prose/formula/note call/note body/continuity unit compared with live TeX","source emphasis cluster plus one displaced source-note marker","yes","closed_current_head_complete_page_source_audit","Reopen only on concrete contradiction; marker belongs to first f(x,y,z) expansion.","P08_page_audit_20260719.csv; p096 source page/slices; after/P08_after-096.png","Rendered marker and footnote body visually reopened."
"P08","097","Noether_LocalCodex_20260719_P08_FullPaperSourceAudit","2026-07-19","original Math. Ann. 77 article; p097 complete 650dpi page; three 1000dpi slices","complete original-publication witness; full page plus dense slices","LocalCodex fresh complete-page pass","every visible rank argument/substitution/formula/prose unit compared with live TeX","2 grouped source-emphasis omissions","yes","closed_current_head_complete_page_source_audit","Reopen only on concrete contradiction; preserve printed (zy)x.","P08_page_audit_20260719.csv; p097 source page/slices; after/P08_after-096.png; after/P08_after-097.png","No broad separator normalization."
"P08","098","Noether_LocalCodex_20260719_P08_FullPaperSourceAudit","2026-07-19","original Math. Ann. 77 article; p098 complete 650dpi page; three 1000dpi slices; enlarged Gi-block crop","complete original-publication witness; dense equation field independently enlarged","LocalCodex fresh complete-page and dense-field pass; older R298/R480 claim reopened rather than trusted","every visible symbol in the Gi expansion/factorial block plus all remaining page units checked","3 hard notation/index defects; one prior source claim overturned","yes","closed_current_head_complete_page_source_audit_hard_math","Reopen only on concrete contradiction; exact expansion uses comma while neighboring generic forms retain semicolons.","P08_confirmed_fixes_20260719.csv; P08_prior_claim_overturns_20260719.csv; p098 page/slices; after/P08_after-097.png","Restored varkappa_1...varkappa_6 in both coupled lines."
"P08","099","Noether_LocalCodex_20260719_P08_FullPaperSourceAudit","2026-07-19","original Math. Ann. 77 article; p099 complete 650dpi page; three 1000dpi slices","complete original-publication witness; full page plus dense slices","LocalCodex fresh complete-page pass","every visible formula/prose/emphasis/punctuation/continuity unit compared with live TeX","1 hard relation-operator defect plus display punctuation and emphasis omissions","yes","closed_current_head_complete_page_source_audit_hard_math","Reopen only on concrete contradiction; equation (2) must remain a congruence.","P08_confirmed_fixes_20260719.csv; p099 page/slices; after/P08_after-098.png","No diagram or table."
"P08","100","Noether_LocalCodex_20260719_P08_FullPaperSourceAudit","2026-07-19","original Math. Ann. 77 article; p100 complete 650dpi page; three 1000dpi slices","complete original-publication witness; Omega equation and note independently enlarged","LocalCodex fresh complete-page and dense-field pass","every visible Omega equation/note/prose/conclusion unit compared with live TeX","2 hard-math notation/omission defects plus one emphasis omission","yes","closed_current_head_complete_page_source_audit_hard_math","Reopen only on concrete contradiction; keep the source minus sign in the main Omega equation.","P08_confirmed_fixes_20260719.csv; p100 page/slices; after/P08_after-098.png; after/P08_after-099.png","Restored h(xyz) and omitted c*Omega(h)= LHS."
"P08","101","Noether_LocalCodex_20260719_P08_FullPaperSourceAudit","2026-07-19","original Math. Ann. 77 article; p101 complete 650dpi page; three 1000dpi slices","complete original-publication witness; full page plus dense slices","LocalCodex fresh complete-page pass","every visible formula (3)-(4), determinant/operator, prose and continuity unit compared with live TeX","0","not applicable","closed_current_head_complete_page_source_audit_no_patch","Reopen only on a concrete source contradiction.","P08_page_audit_20260719.csv; p101 page/slices; after/P08_after-099.png","No source-certain delta found."
"P08","102","Noether_LocalCodex_20260719_P08_FullPaperSourceAudit","2026-07-19","original Math. Ann. 77 article; p102 complete 650dpi page; three 1000dpi slices","complete original-publication witness; full page plus dense slices","LocalCodex fresh complete-page pass","every visible formula (5), final prose, date and article-boundary unit compared with live TeX","1 source-emphasis omission","yes","closed_current_head_complete_page_source_audit","Reopen only on a concrete source contradiction.","P08_page_audit_20260719.csv; p102 page/slices; after/P08_after-099.png","Paper 9 begins at line 6331 and was not changed."
