"action_id","timestamp_utc","paper","page_or_locus","origin_type","origin_source","what_changed_or_was_checked","current_head_or_artifact","promoted_or_logged","status","notes"
"CO-20260719-P08-001","2026-07-19","P08","p093 Hilbert conjecture","local_Codex_found","fresh full-page original-source audit","Restored source emphasis on the Hilbert-conjecture clause.","Noether_LocalCodex_20260719_P08_FullPaperSourceAudit","promoted","done","Render p094 checked."
"CO-20260719-P08-002","2026-07-19","P08","p093 reduction theorem","local_Codex_found","fresh full-page original-source audit","Restored source emphasis on the complete reduction-theorem statement.","Noether_LocalCodex_20260719_P08_FullPaperSourceAudit","promoted","done","Render p094 checked."
"CO-20260719-P08-003","2026-07-19","P08","p094 setup","local_Codex_found","fresh full-page original-source audit","Restored rational-coefficient/Reduktionssatz emphasis and colon after Polarprozesse.","Noether_LocalCodex_20260719_P08_FullPaperSourceAudit","promoted","done","Renders p094-p095 checked."
"CO-20260719-P08-004","2026-07-19","P08","p094-p095 Hilbert statement","local_Codex_found","fresh full-page original-source audit","Restored exact source emphasis across the page-continuing Hilbert statement.","Noether_LocalCodex_20260719_P08_FullPaperSourceAudit","promoted","done","Render p095 checked."
"CO-20260719-P08-005","2026-07-19","P08","p095 Tatsache","local_Codex_found","fresh full-page original-source audit","Restored source emphasis on Tatsache.","Noether_LocalCodex_20260719_P08_FullPaperSourceAudit","promoted","done","No formula change."
"CO-20260719-P08-006","2026-07-19","P08","p096 equivalence/proof prose","local_Codex_found","fresh full-page original-source audit","Restored source emphasis spans in the equivalence/proof setup.","Noether_LocalCodex_20260719_P08_FullPaperSourceAudit","promoted","done","Render p096 checked."
"CO-20260719-P08-007","2026-07-19","P08","p096 source-note call","local_Codex_found","fresh full-page original-source audit","Moved the existing note call from the later g_i coefficient formula to the source first f(x,y,z) expansion formula.","Noether_LocalCodex_20260719_P08_FullPaperSourceAudit","promoted","done","Marker and body visually checked after compilation."
"CO-20260719-P08-008","2026-07-19","P08","p097 emphasis cluster","local_Codex_found","fresh full-page original-source audit","Restored exact source emphasis in Teilschar/Tatsache and one-to-one relation prose.","Noether_LocalCodex_20260719_P08_FullPaperSourceAudit","promoted","done","No symbol normalization."
"CO-20260719-P08-009","2026-07-19","P08","p098 Gi expansion separator","local_Codex_found_superseding_prior_local_claim","fresh 1000dpi source reinspection; R480/R298 claim treated only as locator","Changed inherited g(lambda;xy) to source g(lambda,xy) at the exact six-index expansion and logged the older semicolon claim as superseded.","Noether_LocalCodex_20260719_P08_FullPaperSourceAudit","promoted_and_prior_claim_superseded","done","This records both the source repair and the process correction."
"CO-20260719-P08-010","2026-07-19","P08","p098 six exponents","local_Codex_found","fresh dense-field original-source audit","Replaced mixed nu/alpha/beta exponent indices with source varkappa_1 through varkappa_6.","Noether_LocalCodex_20260719_P08_FullPaperSourceAudit","promoted","done","Hard-math ledger entry added."
"CO-20260719-P08-011","2026-07-19","P08","p098 factorial product","local_Codex_found","fresh dense-field original-source audit","Replaced mixed-family factorials with source varkappa_1!...varkappa_6!.","Noether_LocalCodex_20260719_P08_FullPaperSourceAudit","promoted","done","Hard-math ledger entry added."
"CO-20260719-P08-012","2026-07-19","P08","p099 general h(A) display","local_Codex_found","fresh full-page original-source audit","Restored source semicolon after g(lambda;A_1...A_n).","Noether_LocalCodex_20260719_P08_FullPaperSourceAudit","promoted","done","Diplomatic punctuation."
"CO-20260719-P08-013","2026-07-19","P08","p099 equation (2)","local_Codex_found","fresh full-page original-source audit","Restored congruence sign in Z equiv sum PH mod Delta; inherited text had equality.","Noether_LocalCodex_20260719_P08_FullPaperSourceAudit","promoted","done","Hard-math ledger entry added."
"CO-20260719-P08-014","2026-07-19","P08","p099 drei ternaere Reihen","local_Codex_found","fresh full-page original-source audit","Restored source emphasis.","Noether_LocalCodex_20260719_P08_FullPaperSourceAudit","promoted","done","No formula change."
"CO-20260719-P08-015","2026-07-19","P08","p100 Omega equation first operand","local_Codex_found","fresh 1000dpi source reinspection","Restored source h(xyz) in place of normalized h(x,y,z).","Noether_LocalCodex_20260719_P08_FullPaperSourceAudit","promoted","done","Hard-math notation entry added."
"CO-20260719-P08-016","2026-07-19","P08","p100 Omega source note","local_Codex_found","fresh 1000dpi source reinspection","Restored omitted left-hand side c*Omega(h)= before the negative operator product.","Noether_LocalCodex_20260719_P08_FullPaperSourceAudit","promoted","done","Substantive hard-math omission."
"CO-20260719-P08-017","2026-07-19","P08","p100 identity-(2) conclusion","local_Codex_found","fresh full-page original-source audit","Restored source emphasis on the conclusion.","Noether_LocalCodex_20260719_P08_FullPaperSourceAudit","promoted","done","No equation delta."
"CO-20260719-P08-018","2026-07-19","P08","p102 final conclusion","local_Codex_found","fresh full-page original-source audit","Restored source emphasis on the final exhaustion statement.","Noether_LocalCodex_20260719_P08_FullPaperSourceAudit","promoted","done","Paper 9 boundary unchanged."
