physical_page	canonical_archive_path	finding	disposition	status
ALL	diagram_witness_d036/Contact/D036_contact.jpg	Reviewed only as a locator after authority text was frozen; no content accepted from this witness.	ZERO_ACCEPTED_LOCATOR_ONLY_NOT_AUTHORITY_SUBSTITUTE	COMPLETE
1	diagram_witness_d036/Images/D036_Le_groupe_fondamental_du_complement_d_une/D036_p001_diag01.png	Reviewed only as a locator after authority text was frozen; no content accepted from this witness.	ZERO_ACCEPTED_LOCATOR_ONLY_NOT_AUTHORITY_SUBSTITUTE	COMPLETE
1	diagram_witness_d036/Images/D036_Le_groupe_fondamental_du_complement_d_une/D036_p001_diag02.png	Reviewed only as a locator after authority text was frozen; no content accepted from this witness.	ZERO_ACCEPTED_LOCATOR_ONLY_NOT_AUTHORITY_SUBSTITUTE	COMPLETE
1	diagram_witness_d036/Images/D036_Le_groupe_fondamental_du_complement_d_une/D036_p001_diag03.png	Reviewed only as a locator after authority text was frozen; no content accepted from this witness.	ZERO_ACCEPTED_LOCATOR_ONLY_NOT_AUTHORITY_SUBSTITUTE	COMPLETE
1	diagram_witness_d036/Images/D036_Le_groupe_fondamental_du_complement_d_une/D036_p001_diag04.png	Reviewed only as a locator after authority text was frozen; no content accepted from this witness.	ZERO_ACCEPTED_LOCATOR_ONLY_NOT_AUTHORITY_SUBSTITUTE	COMPLETE
2	diagram_witness_d036/Images/D036_Le_groupe_fondamental_du_complement_d_une/D036_p002_diag01.png	Reviewed only as a locator after authority text was frozen; no content accepted from this witness.	ZERO_ACCEPTED_LOCATOR_ONLY_NOT_AUTHORITY_SUBSTITUTE	COMPLETE
3	diagram_witness_d036/Images/D036_Le_groupe_fondamental_du_complement_d_une/D036_p003_diag01.png	Reviewed only as a locator after authority text was frozen; no content accepted from this witness.	ZERO_ACCEPTED_LOCATOR_ONLY_NOT_AUTHORITY_SUBSTITUTE	COMPLETE
3	diagram_witness_d036/Images/D036_Le_groupe_fondamental_du_complement_d_une/D036_p003_diag02.png	Reviewed only as a locator after authority text was frozen; no content accepted from this witness.	ZERO_ACCEPTED_LOCATOR_ONLY_NOT_AUTHORITY_SUBSTITUTE	COMPLETE
4	diagram_witness_d036/Images/D036_Le_groupe_fondamental_du_complement_d_une/D036_p004_diag01.png	Reviewed only as a locator after authority text was frozen; no content accepted from this witness.	ZERO_ACCEPTED_LOCATOR_ONLY_NOT_AUTHORITY_SUBSTITUTE	COMPLETE
5	diagram_witness_d036/Images/D036_Le_groupe_fondamental_du_complement_d_une/D036_p005_diag01.png	Reviewed only as a locator after authority text was frozen; no content accepted from this witness.	ZERO_ACCEPTED_LOCATOR_ONLY_NOT_AUTHORITY_SUBSTITUTE	COMPLETE
5	diagram_witness_d036/Images/D036_Le_groupe_fondamental_du_complement_d_une/D036_p005_diag02.png	Reviewed only as a locator after authority text was frozen; no content accepted from this witness.	ZERO_ACCEPTED_LOCATOR_ONLY_NOT_AUTHORITY_SUBSTITUTE	COMPLETE
6	diagram_witness_d036/Images/D036_Le_groupe_fondamental_du_complement_d_une/D036_p006_diag01.png	Reviewed only as a locator after authority text was frozen; no content accepted from this witness.	ZERO_ACCEPTED_LOCATOR_ONLY_NOT_AUTHORITY_SUBSTITUTE	COMPLETE
7	diagram_witness_d036/Images/D036_Le_groupe_fondamental_du_complement_d_une/D036_p007_diag01.png	Reviewed only as a locator after authority text was frozen; no content accepted from this witness.	ZERO_ACCEPTED_LOCATOR_ONLY_NOT_AUTHORITY_SUBSTITUTE	COMPLETE
8	diagram_witness_d036/Images/D036_Le_groupe_fondamental_du_complement_d_une/D036_p008_diag01.png	Consulted after page-local authority freeze. Authority crop P08-A01/P09-A01 controls the reproduced diagram.	ZERO_ACCEPTED_LOCATOR_ONLY_NOT_AUTHORITY_SUBSTITUTE	COMPLETE
8	diagram_witness_d036/Images/D036_Le_groupe_fondamental_du_complement_d_une/D036_p008_diag02.png	Consulted after page-local authority freeze. Authority crop P08-A01/P09-A01 controls the reproduced diagram.	ZERO_ACCEPTED_LOCATOR_ONLY_NOT_AUTHORITY_SUBSTITUTE	COMPLETE
8	diagram_witness_d036/Images/D036_Le_groupe_fondamental_du_complement_d_une/D036_p008_diag03.png	Consulted after page-local authority freeze. Authority crop P08-A01/P09-A01 controls the reproduced diagram.	ZERO_ACCEPTED_LOCATOR_ONLY_NOT_AUTHORITY_SUBSTITUTE	COMPLETE
8	diagram_witness_d036/Images/D036_Le_groupe_fondamental_du_complement_d_une/D036_p008_diag04.png	Consulted after page-local authority freeze. Authority crop P08-A01/P09-A01 controls the reproduced diagram.	ZERO_ACCEPTED_LOCATOR_ONLY_NOT_AUTHORITY_SUBSTITUTE	COMPLETE
8	diagram_witness_d036/Images/D036_Le_groupe_fondamental_du_complement_d_une/D036_p008_diag05.png	Consulted after page-local authority freeze. Authority crop P08-A01/P09-A01 controls the reproduced diagram.	ZERO_ACCEPTED_LOCATOR_ONLY_NOT_AUTHORITY_SUBSTITUTE	COMPLETE
9	diagram_witness_d036/Images/D036_Le_groupe_fondamental_du_complement_d_une/D036_p009_diag01.png	Consulted after page-local authority freeze. Authority crop P08-A01/P09-A01 controls the reproduced diagram.	ZERO_ACCEPTED_LOCATOR_ONLY_NOT_AUTHORITY_SUBSTITUTE	COMPLETE
9	diagram_witness_d036/Images/D036_Le_groupe_fondamental_du_complement_d_une/D036_p009_diag02.png	Consulted after page-local authority freeze. Authority crop P08-A01/P09-A01 controls the reproduced diagram.	ZERO_ACCEPTED_LOCATOR_ONLY_NOT_AUTHORITY_SUBSTITUTE	COMPLETE
10	diagram_witness_d036/Images/D036_Le_groupe_fondamental_du_complement_d_une/D036_p010_diag01.png	Reviewed only as a locator after authority text was frozen; no content accepted from this witness.	ZERO_ACCEPTED_LOCATOR_ONLY_NOT_AUTHORITY_SUBSTITUTE	COMPLETE
10	diagram_witness_d036/Images/D036_Le_groupe_fondamental_du_complement_d_une/D036_p010_diag02.png	Reviewed only as a locator after authority text was frozen; no content accepted from this witness.	ZERO_ACCEPTED_LOCATOR_ONLY_NOT_AUTHORITY_SUBSTITUTE	COMPLETE
