artifact,role,package_priority,boundary_note
R9_DURABLE_RUN_LOG_20260704.md,durable run log for week-scale continuation,critical,Append-only run state; no approvals
R9_DURABLE_RUN_LOG_20260704.jsonl,machine-readable durable run entries,critical,All promotion_allowed=false
R9_ARTIFACT_MANIFEST_20260704.json,artifact manifest including post-continuation OCR slices,critical,Local manifest only; no package/upload
R9_WHOLE_LANE_COVERAGE_MANIFEST_20260704.json,row-by-row whole-lane coverage proof,critical,Coverage is draft-support or exact blocker only
R9_COMPLETION_AND_NEXT_READER_HANDOFF_20260704.md,original completion-as-responsible note,high,Not a translation-completion claim
R9_SESSION_B_PACKAGE_INDEX_NO_UPLOAD_20260704.csv,original no-upload package index,high,Superseded for package hygiene by this fix-pass index
R9_SESSION_B_PACKAGE_INDEX_NO_UPLOAD_FIXPASS_20260704.csv,post-continuation no-upload package index,critical,Includes Amharic and Tigrigna OCR continuations
R9_COMPLETION_AND_NEXT_READER_HANDOFF_FIXPASS_20260704.md,post-continuation completion and current-reader fix-pass note,critical,Records why R9 remains complete as responsible after added OCR work
R9_REVIEWER_LEDGER_QUEUE_REFRESH_20260704.md,refreshed whole-lane reviewer/source-return queue,critical,Post-continuation queue; no approvals
R9_REVIEWER_LEDGER_QUEUE_REFRESH_20260704.csv,row-level refreshed reviewer/source-return queue,critical,All promotion_allowed=false
R9_ARTIFACT_CHECKSUM_REFRESH_20260704.csv,checksum snapshot of registered outputs,critical,Self excluded; no upload/package
R9_SOURCE_LICENSING_CLOSURE_AUDIT_20260704.md,source/licensing closure audit for all R9 rows,critical,No license approval; no source-return promotion
R9_SOURCE_LICENSING_CLOSURE_AUDIT_20260704.csv,row-level source/licensing closure audit,critical,All promotion_allowed=false
R9_SOURCE_CANON_MATH_CORPUS_WITNESS_TABLE_20260704.md,source-canon-first mathematical corpus witness table,critical,Prioritizes source packages; no approval
R9_SOURCE_CANON_MATH_CORPUS_WITNESS_TABLE_20260704.csv,row-level source-canon mathematical corpus witness ledger,critical,All promotion_allowed=false
R9_AMHARIC_OCR_FONTMAP_TRIAGE_20260704.md,Amharic visual/text-layer OCR sample triage,high,OCR/font-map evidence only; no Amharic translation support accepted
R9_AMHARIC_OCR_FONTMAP_TRIAGE_20260704.csv,row-level Amharic OCR/font-map sample decisions,high,All promotion_allowed=false
R9_TIGRIGNA_TIGRINYA_SCRIPT_OCR_TRIAGE_20260704.md,Tigrigna/Tigrinya visual/text-layer script triage,high,Script/OCR evidence only; no terms or Noether prose accepted
R9_TIGRIGNA_TIGRINYA_SCRIPT_OCR_TRIAGE_20260704.csv,row-level Tigrigna/Tigrinya script OCR decisions,high,All promotion_allowed=false
R9_NOETHER_GERMAN_ANCHORED_MICRO_SLICES_20260704.md,human-readable micro-slice guide,high,Non-canonical reviewer/corpus support only
R9_NOETHER_GERMAN_ANCHORED_MICRO_SLICES_20260704.csv,row-level Noether/German anchored slices,high,No target prose approval; all promotion_allowed=false
R9_BLOCKED_ROW_SOURCE_CLOSURE_WORKLOG_20260704.md,exact blocker closure worklog,high,Blocked rows remain blocked
R9_WEEK_CONTINUATION_RUNBOOK_20260704.md,week-scale continuation order,high,No push/upload; continue local source work if reopened
R9_NONCANONICAL_CORPUS_TRANSLATION_SUPPORT_MATRIX_20260704.md,initial support matrix,medium,Support matrix not term ledger
R9_NONCANONICAL_CORPUS_TRANSLATION_SUPPORT_ROWS_20260704.csv,source-form support rows,medium,All promotion_allowed=false
R9_OCR_UNICODE_LICENSING_SOURCE_GAP_LEDGER_20260704.md,OCR/licensing/source blocker guide,medium,No license approval
R9_OCR_UNICODE_LICENSING_SOURCE_GAP_LEDGER_20260704.csv,row-level OCR/licensing blockers,medium,All promotion_allowed=false
R9_REVIEWER_LEDGER_QUEUE_20260704.csv,reviewer-return queue skeleton,medium,Reviewer questions only
R9_REGISTER_AND_INTERLANGUAGE_ROUTING_LEDGER_20260704.md,Session H vs Session D routing,medium,No bridge authorization
R9_INSTRUCTION_SYNC_AND_CROSS_LANE_RECHECK_20260704.md,repo instruction sync and cross-lane recheck,high,Source-canon coordination only; no push/upload by R9
R9_SOURCE_CANON_REQUIRED_FIELD_WITNESS_TABLE_20260704.md,required-field source-canon witness summary,high,No approval or license-clearance claim
R9_SOURCE_CANON_REQUIRED_FIELD_WITNESS_TABLE_20260704.csv,required-field source-canon witness rows,high,Source/provenance rows only; all promotion gates closed
R9_LIVE_GITHUB_HF_SOURCE_ARCHIVE_PROBE_20260704.md,live source-archive acquisition probe summary,high,Metadata-only; no raw source bodies or license clearance
R9_LIVE_GITHUB_HF_SOURCE_ARCHIVE_PROBE_20260704.csv,source-archive candidate and zero-result gap rows,high,All promotion_allowed=false; no candidate admitted
R9_OFFICIAL_ACADEMIC_WEB_PROVENANCE_HEADER_AUDIT_20260704.md,official/academic source-route header audit summary,high,Header/manifest metadata only; no raw body or clearance claim
R9_OFFICIAL_ACADEMIC_WEB_PROVENANCE_HEADER_AUDIT_20260704.csv,official/academic source-route provenance rows,high,All promotion_allowed=false; no source gate promotion
R9_CROSS_LANE_SOURCE_CANON_FRONTIER_RECHECK_20260704.md,source-canon frontier recheck summary,high,Cross-lane awareness only; no Git push or evidence substitution
R9_CROSS_LANE_SOURCE_CANON_FRONTIER_RECHECK_20260704.csv,frontier/cross-lane awareness rows,high,All promotion_allowed=false; B3 owns package drift
R9_SOURCE_RETURN_OCR_STATUS_INVENTORY_REFRESH_20260704.md,source-return/OCR inventory refresh from local pass2 manifests,high,Manifest-derived OCR/source-return status only; no raw bodies or approval claim
R9_SOURCE_RETURN_OCR_STATUS_INVENTORY_REFRESH_20260704.csv,row-level source-return/OCR status inventory,high,All promotion_allowed=false; no source gate promotion
R9_RELATED_WEST_AFRICAN_SOURCE_PACKAGE_GAP_DELTA_20260704.md,related West African source-package/gap delta summary,high,Derived provenance/gap summary only; no source body or approval claim
R9_RELATED_WEST_AFRICAN_SOURCE_PACKAGE_GAP_DELTA_20260704.csv,row-level related West African source-package/gap delta,high,All promotion_allowed=false; no source gate promotion
