probe_id,platform,target_language_or_access_target,query,source_url,http_status,result_count,local_metadata_path,metadata_sha256,header_metadata_path,header_sha256,evidence_type,topic_language_tags,top_metadata_summary,license_or_access_signal,source_gate_decision,gap_or_blocker_note,promotion_allowed
R9-R2-Q-001-GitHub,GitHub,Amharic,amharic mathematics dataset,https://api.github.com/search/repositories?q=amharic+mathematics+dataset&per_page=5,200,0,work/source_canon_witnesses/20260704_r9_archive_probe_round2/R9-R2-Q-001_github_amharic_mathematics_dataset.json,4AF480B8EE5B87B369A76C49BD22C9A783908272EBFFBE97898F8AB0F0772A5F,work/source_canon_witnesses/20260704_r9_archive_probe_round2/R9-R2-Q-001_github_amharic_mathematics_dataset_headers.json,B33DC9368E76F07B266B2CA130295C4F16543AB58B6720FC80A93D360ADF20E6,repository_search_metadata,mathematics; dataset; Amharic,no top items,empty/zero-result metadata only,explicit_gap_or_no_result_metadata,metadata-only; no raw source/data/PDF bodies captured; candidates require license/language/source-domain review before source-canon use,false
R9-R2-Q-001-HuggingFace,HuggingFace,Amharic,amharic mathematics dataset,https://huggingface.co/api/datasets?search=amharic+mathematics+dataset&limit=5,200,0,work/source_canon_witnesses/20260704_r9_archive_probe_round2/R9-R2-Q-001_huggingface_amharic_mathematics_dataset.json,4F53CDA18C2BAA0C0354BB5F9A3ECBE5ED12AB4D8E11BA873C2F11161202B945,work/source_canon_witnesses/20260704_r9_archive_probe_round2/R9-R2-Q-001_huggingface_amharic_mathematics_dataset_headers.json,7D385262B2484E07F646CBE68DD475364384A17A20D61C09DB7E3AE156ADF2EB,dataset_search_metadata,mathematics; dataset; Amharic,no top items,empty/zero-result metadata only,explicit_gap_or_no_result_metadata,metadata-only; no raw source/data/PDF bodies captured; candidates require license/language/source-domain review before source-canon use,false
R9-R2-Q-001-Zenodo,Zenodo,Amharic,amharic mathematics dataset,https://zenodo.org/api/records?q=amharic+mathematics+dataset&size=5,200,301229,work/source_canon_witnesses/20260704_r9_archive_probe_round2/R9-R2-Q-001_zenodo_amharic_mathematics_dataset.json,4FFA39B00055954CF44B0009469F4AFD014EC14AC31F39ADF77CD16CEE5FD4EF,work/source_canon_witnesses/20260704_r9_archive_probe_round2/R9-R2-Q-001_zenodo_amharic_mathematics_dataset_headers.json,A186C726EA2DE4794B18BD045C67BBBDD3800D8E1B4B52126B48C52655F79131,record_search_metadata,mathematics; dataset; Amharic,Machine Translation Evaluation Dataset for Amharic|license=cc-by-4.0|url=None ; Amharic event text classification from social media using hybrid deep learning|license=cc-by-4.0|url=None ; Amharic WSD Dataset: Advancing Word Sense Disambiguation in Amharic|license=cc-by-4.0|url=None,metadata-only; inspect candidate license/access fields before any body capture,candidate_metadata_found_requires_manual_gate,metadata-only; no raw source/data/PDF bodies captured; candidates require license/language/source-domain review before source-canon use,false
R9-R2-Q-001-InternetArchive,InternetArchive,Amharic,amharic mathematics dataset,https://archive.org/advancedsearch.php?q=amharic+mathematics+dataset&fl%5B%5D=identifier&fl%5B%5D=title&fl%5B%5D=creator&fl%5B%5D=licenseurl&fl%5B%5D=date&fl%5B%5D=subject&fl%5B%5D=language&rows=5&page=1&output=json,200,0,work/source_canon_witnesses/20260704_r9_archive_probe_round2/R9-R2-Q-001_internetarchive_amharic_mathematics_dataset.json,EDF814ECCB3F18178E617691203C09980044038ADD1C3EF80D86D134CB87DB3C,work/source_canon_witnesses/20260704_r9_archive_probe_round2/R9-R2-Q-001_internetarchive_amharic_mathematics_dataset_headers.json,F623CDBF576D40F1D89053F2AF29947FE9C4300F98569BD116841CC1784882AA,advancedsearch_metadata,mathematics; dataset; Amharic,no top items,empty/zero-result metadata only,explicit_gap_or_no_result_metadata,metadata-only; no raw source/data/PDF bodies captured; candidates require license/language/source-domain review before source-canon use,false
R9-R2-Q-002-GitHub,GitHub,Amharic,amharic algebra math,https://api.github.com/search/repositories?q=amharic+algebra+math&per_page=5,200,0,work/source_canon_witnesses/20260704_r9_archive_probe_round2/R9-R2-Q-002_github_amharic_algebra_math.json,4AF480B8EE5B87B369A76C49BD22C9A783908272EBFFBE97898F8AB0F0772A5F,work/source_canon_witnesses/20260704_r9_archive_probe_round2/R9-R2-Q-002_github_amharic_algebra_math_headers.json,ECF8FE108094A554F12600F3EFEAAD6DBA07F4205747E146C44C4D8FD13F45B5,repository_search_metadata,algebra; mathematics; Amharic,no top items,empty/zero-result metadata only,explicit_gap_or_no_result_metadata,metadata-only; no raw source/data/PDF bodies captured; candidates require license/language/source-domain review before source-canon use,false
R9-R2-Q-002-HuggingFace,HuggingFace,Amharic,amharic algebra math,https://huggingface.co/api/datasets?search=amharic+algebra+math&limit=5,200,0,work/source_canon_witnesses/20260704_r9_archive_probe_round2/R9-R2-Q-002_huggingface_amharic_algebra_math.json,4F53CDA18C2BAA0C0354BB5F9A3ECBE5ED12AB4D8E11BA873C2F11161202B945,work/source_canon_witnesses/20260704_r9_archive_probe_round2/R9-R2-Q-002_huggingface_amharic_algebra_math_headers.json,69B30908A66515DA4D04C80A38371CF0351697F192C77BBEF9F97C39EC5804C4,dataset_search_metadata,algebra; mathematics; Amharic,no top items,empty/zero-result metadata only,explicit_gap_or_no_result_metadata,metadata-only; no raw source/data/PDF bodies captured; candidates require license/language/source-domain review before source-canon use,false
R9-R2-Q-002-Zenodo,Zenodo,Amharic,amharic algebra math,https://zenodo.org/api/records?q=amharic+algebra+math&size=5,200,23124,work/source_canon_witnesses/20260704_r9_archive_probe_round2/R9-R2-Q-002_zenodo_amharic_algebra_math.json,826C6DCBE3BF76E1E95132789D039377A605DC06FBB7F0B2B6DB4F8ED6FD43BC,work/source_canon_witnesses/20260704_r9_archive_probe_round2/R9-R2-Q-002_zenodo_amharic_algebra_math_headers.json,0C495CEB45569FB6DB89CF4E0D98A93391A190285C91B0A8401D01FC794AAEF8,record_search_metadata,algebra; mathematics; Amharic,"Isomorfismos, grupos diedros y cuadrados mágicos|license=cc-by-4.0|url=None ; Ổn định tiệm cận của tập giả giá của các thành phần thuần nhất của môđun phân bậc|license=cc-by-4.0|url=None ; MATH+ Adventskalender 2023: Aufgaben und Lösungen|license=cc-by-4.0|url=None",metadata-only; inspect candidate license/access fields before any body capture,candidate_metadata_found_requires_manual_gate,metadata-only; no raw source/data/PDF bodies captured; candidates require license/language/source-domain review before source-canon use,false
R9-R2-Q-002-InternetArchive,InternetArchive,Amharic,amharic algebra math,https://archive.org/advancedsearch.php?q=amharic+algebra+math&fl%5B%5D=identifier&fl%5B%5D=title&fl%5B%5D=creator&fl%5B%5D=licenseurl&fl%5B%5D=date&fl%5B%5D=subject&fl%5B%5D=language&rows=5&page=1&output=json,200,0,work/source_canon_witnesses/20260704_r9_archive_probe_round2/R9-R2-Q-002_internetarchive_amharic_algebra_math.json,3298B83899877D71567EC6770F4773CD34279023821E38612E072F72725E2FD2,work/source_canon_witnesses/20260704_r9_archive_probe_round2/R9-R2-Q-002_internetarchive_amharic_algebra_math_headers.json,4C94D15F10C8110D00143BE5DD69C57F508B00D023453A118B8F531433FCC0D1,advancedsearch_metadata,algebra; mathematics; Amharic,no top items,empty/zero-result metadata only,explicit_gap_or_no_result_metadata,metadata-only; no raw source/data/PDF bodies captured; candidates require license/language/source-domain review before source-canon use,false
R9-R2-Q-003-GitHub,GitHub,Hausa,hausa lissafi mathematics,https://api.github.com/search/repositories?q=hausa+lissafi+mathematics&per_page=5,200,0,work/source_canon_witnesses/20260704_r9_archive_probe_round2/R9-R2-Q-003_github_hausa_lissafi_mathematics.json,4AF480B8EE5B87B369A76C49BD22C9A783908272EBFFBE97898F8AB0F0772A5F,work/source_canon_witnesses/20260704_r9_archive_probe_round2/R9-R2-Q-003_github_hausa_lissafi_mathematics_headers.json,EB78925859B4292729076AD83E4652753C373D9281B3B85DA7753DCFABD9BF9B,repository_search_metadata,lissafi; mathematics; Hausa,no top items,empty/zero-result metadata only,explicit_gap_or_no_result_metadata,metadata-only; no raw source/data/PDF bodies captured; candidates require license/language/source-domain review before source-canon use,false
R9-R2-Q-003-HuggingFace,HuggingFace,Hausa,hausa lissafi mathematics,https://huggingface.co/api/datasets?search=hausa+lissafi+mathematics&limit=5,200,0,work/source_canon_witnesses/20260704_r9_archive_probe_round2/R9-R2-Q-003_huggingface_hausa_lissafi_mathematics.json,4F53CDA18C2BAA0C0354BB5F9A3ECBE5ED12AB4D8E11BA873C2F11161202B945,work/source_canon_witnesses/20260704_r9_archive_probe_round2/R9-R2-Q-003_huggingface_hausa_lissafi_mathematics_headers.json,D37957C9F23B9BC67810AC22F52B2BDB23DA22A08C8E23A1879C15F5495FDD5D,dataset_search_metadata,lissafi; mathematics; Hausa,no top items,empty/zero-result metadata only,explicit_gap_or_no_result_metadata,metadata-only; no raw source/data/PDF bodies captured; candidates require license/language/source-domain review before source-canon use,false
