"PackageNumber","Kind","PathCount","Bytes","SamplePath"
"127","source_intake_manifest_package","2","1833","manifests/source-intake/20260703_remote_noether_pc_branch_package127_intake.json"
"133","source_intake_manifest_package","2","4378","manifests/source-intake/20260703_remote_noether_pc_branch_package133_return_ledger_template.json"
"134","generic_package_reference","3","16355","noether-slavic-handoff/20260629/cross-session-coordination/20260703/NOETHER_RELATION_FUNCTION_PACKAGE134_LARGE_ARTIFACT_POINTER_INTAKE_20260703.json"
"135","generic_package_reference","3","15001","noether-slavic-handoff/20260629/cross-session-coordination/20260703/NOETHER_RELATION_FUNCTION_PACKAGE135_LARGE_ARTIFACT_POINTER_INTAKE_20260703.json"
"136","generic_package_reference","6","24943","noether-slavic-handoff/20260629/cross-session-coordination/20260703/NOETHER_PC_BRANCH_STATUS_THROUGH_PACKAGE136_20260703.json"
"140","source_intake_manifest_package","2","2584","manifests/source-intake/20260703_remote_noether_pc_branch_package140_review_return_scaffold.json"
"141","generic_package_reference","3","18046","noether-slavic-handoff/20260629/cross-session-coordination/20260703/NOETHER_PC_BRANCH_STATUS_THROUGH_PACKAGE141_20260703.json"
"141","source_intake_manifest_package","4","6436","manifests/source-intake/20260703_remote_noether_pc_branch_package141_evidence_rubric_scaffold.json"
"142","generic_package_reference","3","13056","noether-slavic-handoff/20260629/cross-session-coordination/20260703/NOETHER_PC_BRANCH_STATUS_THROUGH_PACKAGE142_20260703.json"
"143","generic_package_reference","3","13191","noether-slavic-handoff/20260629/cross-session-coordination/20260703/NOETHER_PC_BRANCH_STATUS_THROUGH_PACKAGE143_20260703.json"
"144","generic_package_reference","3","13437","noether-slavic-handoff/20260629/cross-session-coordination/20260703/NOETHER_PC_BRANCH_STATUS_THROUGH_PACKAGE144_20260703.json"
"147","generic_package_reference","3","23305","noether-slavic-handoff/20260629/cross-session-coordination/20260703/NOETHER_PC_BRANCH_STATUS_THROUGH_PACKAGE147_20260703.json"
"148","generic_package_reference","3","11740","noether-slavic-handoff/20260629/cross-session-coordination/20260703/NOETHER_PC_BRANCH_STATUS_THROUGH_PACKAGE148_20260703.json"
"148","source_intake_manifest_package","2","3843","manifests/source-intake/20260704_remote_noether_pc_branch_status_through_package148.json"
"149","noether_session_output_package","5","55560","noether-slavic-handoff/20260629/cross-session-coordination/20260704/NOETHER_SESSION_OUTPUT_PACKAGE149_20260704T062951_ROLLING_SNAPSHOT/lane_outputs/noether-cjk-source-evidence-draft-lane/NOETHER_CJK_DRAFT_CORPUS_TRANSLATION_SLICES_TEX_SIDECAR_20260704.tex"
"149","source_intake_manifest_package","2","2900","manifests/source-intake/20260705_backup_dump_package149_cjk_tex_sidecars.json"
"323","noether_session_output_package","15","675328","interlanguage-sidecar/20260704/noether_pc_packages_324_325_20260704/noether-slavic-handoff/20260629/cross-session-coordination/20260704/NOETHER_SESSION_OUTPUT_PACKAGE324_20260704T215004_ROLLING_DELTA_AFTER_PACKAGE323/NOETHER_SESSION_OUTPUT_PACKAGE324_MANIFEST.csv"
"324","noether_session_output_package","27","725197","interlanguage-sidecar/20260704/noether_pc_packages_324_325_20260704/noether-slavic-handoff/20260629/cross-session-coordination/20260704/NOETHER_SESSION_OUTPUT_PACKAGE324_20260704T215004_ROLLING_DELTA_AFTER_PACKAGE323/NOETHER_SESSION_OUTPUT_PACKAGE324_MANIFEST.csv"
