"Name","Count","Bytes"
".tex","3473","304425895"
".json","3252","173864359"
".md","2819","51097578"
".pdf","2401","4809968265"
".csv","2355","165351655"
".txt","1418","108414809"
".html","365","78460740"
".sha256","241","802553"
".zip","167","1024678388"
".py","149","1116942"
".txt""","75","1026442"
".mjs","67","3008887"
".wiki""","48","610273"
".jsonl","42","2427169"
".sty","41","1745767"
".predelim_bak","33","2509359"
".json""","30","238672"
".tex""","28","729967"
".png","25","5983872"
".xml""","20","349448"
".wiki","18","401364"
".ps1","17","187600"
".xml","17","75143"
".ptx","15","287346"
".bib","10","206471"
".lean","10","18518"
".bin","10","7499888"
".yml","9","65560"
".log","8","532535"
".wave2_bak","7","734770"
".wikitext","7","45996"
"","7","94831"
".mp","6","18571"
".diff","5","479531"
".source","5","120947"
".cls","4","108768"
".php","4","544519"
".ts","4","8850"
".m2","4","4537"
".sh","3","3277"
".tar","3","13303939"
".bbl","3","16958"
".body","3","69328"
".bst","3","90185"
".dic","2","10428116"
".def","2","90266"
".ttf","2","1209468"
".tsv","2","24197"
".cfg","2","27781"
".xcu","2","2645"
".aux","2","290"
".aff","2","631282"
".toml","2","840"
".doc","2","645120"
".part006","2","138000000"
".qmd","2","5344"
".part001","2","138000000"
".part002","2","138000000"
".gitignore","2","222"
".part003","2","138000000"
".part004","2","138000000"
".part005","2","138000000"
".part007","2","109961845"
".oxt","2","2252408"
".xpi","1","481417"
".xlsx","1","45729"
".cff","1","675"
".part008","1","90000000"
".part010","1","90000000"
".part011","1","90000000"
".part012","1","90000000"
".part013","1","70946270"
".jpg","1","113776"
".gitattributes","1","932"
".dtx","1","20278"
".docx","1","9298096"
".part009","1","90000000"
".paper445_bak","1","93339"
