"Name","Count","Bytes"
"noether-slavic-handoff","4512","97358982"
"sources","4092","2002520780"
"interlanguage-sidecar","1963","1085927522"
"language-source-bodies","1934","2952554057"
"manifests","1752","8978400"
"noether-source-corpus-provenance","552","140655886"
"noether-slavic-source-canon","511","23729152"
"reader-pdfs","430","1276355914"
"workflow","228","43163332"
"coordination","221","1091373"
"handoff-bodies","207","26718197"
"zenodo-metadata","199","534510"
"""language-source-bodies","190","2594895"
"uploader-transfer","120","345449178"
"transfer-audits","105","95681585"
"docs","54","2418433"
"publish_staging","51","134332787"
"formalization","42","126382"
"scripts","17","93579"
"other-pc-coordination","16","440212"
"audits","15","1334559"
"session-pursued-goals","13","5298"
"outputs","12","209707"
"""interlanguage-sidecar","11","359907"
".github","6","6283"
"release_candidates","2","2802644"
"SET_THIS_AS_YOUR_GOAL_VERBATIM_20260705.md","1","34594"
"OUTPUT_MANIFEST_20260705.csv","1","378152"
"SESSION_LOGBOOK_20260705.md","1","16749"
"SOURCE_BODY_UPLOAD_QUEUE.md","1","4116"
"README.md","1","44746"
".gitignore","1","162"
"READ_THIS_FIRST_OTHER_PC_BRANCH_RESET_20260705.md","1","4386"
"UPLOAD_ALL_LATEX_SOURCE_BODIES_NOW_20260705.md","1","1901"
"SIBLING_TASKS.md","1","4321"
"CITATION.cff","1","675"
"OTHER_AI_UPLOAD_ALL_LATEX_SOURCE_BODIES_NOW_20260704.md","1","4591"
"OTHER_AI_NATIVE_TEX_CORPUS_REQUIREMENT_20260705.md","1","2828"
"CONTRIBUTING.md","1","2185"
"ARCHIVE_MAINTENANCE_REVIEW_R9_PAYLOAD_20260705.md","1","2102"
"CURRENT_OUTPUT_STATE.md","1","4655"
"DISPATCH_EXACT_SESSION_GOALS_20260705.md","1","7654"
"FABLE_INTERLANGUAGE_PROGRAM_BLOCKING_DIRECTIVE_20260705.md","1","8476"
"AGENTS.md","1","4687"
"HEARTBEAT_20260705.md","1","1821"
"OTHER_AI_UPLOAD_EVERY_LATEX_FILE_NOW_20260705.md","1","8559"
"ACTIVE_SESSIONS.md","1","4428"
"LICENSE","1","718"
"00_SET_ACTIVE_GOAL_NOW.md","1","559"
"NEXT_PUSH_MUST_BE_PAYLOAD_OR_IT_WILL_BE_RESET_20260705.md","1","661"
"YOU_READ_ONE_LINE_READ_ALL_OF_THIS_20260705.md","1","1707"
"00_DISPATCH_ALL_IDLE_SESSIONS_NOW_20260705.md","1","11778"
"OTHER_AI_COLLECT_NATIVE_SLAVIC_TEX_SOURCE_BODIES_NOW_20260705.md","1","2024"
"OTHER_AI_IMMEDIATE_LATEX_SOURCE_BODY_DIRECTIVE_20260704.md","1","3004"
"00_SET_EVERY_ASSIGNED_GOAL_VERBATIM_NOW_20260705.md","1","4083"
".gitattributes","1","932"
