"Lane","Path","RelativePath","Extension","Bytes","LastWriteUtc","SHA256"
"noether-r2-pan-turkic-hard-blockers","C:\Users\memo_\Documents\Codex\2026-07-04\noether-r2-pan-turkic-hard-blockers\outputs\transfer\R2_212DFB_FOLLOWUP_GAP_AUDIT_20260706_CURRENT_PACKAGE.sha256","noether-r2-pan-turkic-hard-blockers\outputs\transfer\R2_212DFB_FOLLOWUP_GAP_AUDIT_20260706_CURRENT_PACKAGE.sha256",".sha256","141","2026-07-06T07:49:19.7002663Z","0DD4BEEBD6E5B675EED25A8F44C4B0008F41B5B586251A756283537A17E250D5"
"noether-r2-pan-turkic-hard-blockers","C:\Users\memo_\Documents\Codex\2026-07-04\noether-r2-pan-turkic-hard-blockers\outputs\transfer\R2_212DFB_FOLLOWUP_GAP_AUDIT_20260706_TRANSFER_SUMMARY.csv","noether-r2-pan-turkic-hard-blockers\outputs\transfer\R2_212DFB_FOLLOWUP_GAP_AUDIT_20260706_TRANSFER_SUMMARY.csv",".csv","759","2026-07-06T07:49:19.6982589Z","62FF5AF27A7ED815ABF3E5A14648F62CB1A6699B86B0643B1EF0031BBD6EFF42"
"noether-r2-pan-turkic-hard-blockers","C:\Users\memo_\Documents\Codex\2026-07-04\noether-r2-pan-turkic-hard-blockers\outputs\transfer\R2_212DFB_FOLLOWUP_GAP_AUDIT_20260706_CURRENT_PACKAGE.zip","noether-r2-pan-turkic-hard-blockers\outputs\transfer\R2_212DFB_FOLLOWUP_GAP_AUDIT_20260706_CURRENT_PACKAGE.zip",".zip","40217","2026-07-06T07:49:19.6470529Z","5967F1BD404E0D4755582F0A59520181EFB3CC128156875C4DB50C586653BA68"
"noether-r2-pan-turkic-hard-blockers","C:\Users\memo_\Documents\Codex\2026-07-04\noether-r2-pan-turkic-hard-blockers\outputs\R2_212DFB_FOLLOWUP_GAP_AUDIT_20260706\SHA256SUMS.txt","noether-r2-pan-turkic-hard-blockers\outputs\R2_212DFB_FOLLOWUP_GAP_AUDIT_20260706\SHA256SUMS.txt",".txt","2176","2026-07-06T07:49:18.1192181Z","A73F1729316D72C308B93E691FE1FBA1843938D00E440EA9E8C0F5591C6F2406"
"noether-r2-pan-turkic-hard-blockers","C:\Users\memo_\Documents\Codex\2026-07-04\noether-r2-pan-turkic-hard-blockers\outputs\R2_212DFB_FOLLOWUP_GAP_AUDIT_20260706\MANIFEST.csv","noether-r2-pan-turkic-hard-blockers\outputs\R2_212DFB_FOLLOWUP_GAP_AUDIT_20260706\MANIFEST.csv",".csv","2808","2026-07-06T07:49:18.0973681Z","C9AEEE9093FE7A75B0E000E9C33D9CDFD036B6EB785A70F5139BBCC294B7B6A3"
"noether-r2-pan-turkic-hard-blockers","C:\Users\memo_\Documents\Codex\2026-07-04\noether-r2-pan-turkic-hard-blockers\outputs\R2_212DFB_FOLLOWUP_GAP_AUDIT_20260706\VALIDATION.csv","noether-r2-pan-turkic-hard-blockers\outputs\R2_212DFB_FOLLOWUP_GAP_AUDIT_20260706\VALIDATION.csv",".csv","718","2026-07-06T07:49:17.9900440Z","2DF68D847D0436C3220D82C559D2A65C58BB6A5A64E4AD3FFD21479351257172"
"noether-r2-pan-turkic-hard-blockers","C:\Users\memo_\Documents\Codex\2026-07-04\noether-r2-pan-turkic-hard-blockers\outputs\R2_212DFB_FOLLOWUP_GAP_AUDIT_20260706\README.md","noether-r2-pan-turkic-hard-blockers\outputs\R2_212DFB_FOLLOWUP_GAP_AUDIT_20260706\README.md",".md","912","2026-07-06T07:49:17.9483498Z","19B9D4E1160DD65D1DE903C953BDCD6AC6D59C9742F3CD53804E746513468086"
"noether-r2-pan-turkic-hard-blockers","C:\Users\memo_\Documents\Codex\2026-07-04\noether-r2-pan-turkic-hard-blockers\outputs\R2_212DFB_FOLLOWUP_GAP_AUDIT_20260706\SESSION_LOGBOOK_20260705.md","noether-r2-pan-turkic-hard-blockers\outputs\R2_212DFB_FOLLOWUP_GAP_AUDIT_20260706\SESSION_LOGBOOK_20260705.md",".md","725","2026-07-06T07:49:17.9450245Z","1A7A21B24AAD0ADEB9D9C5B52310E5E9F061CD2E8ECD21929BFFBBF24E05556D"
"noether-r2-pan-turkic-hard-blockers","C:\Users\memo_\Documents\Codex\2026-07-04\noether-r2-pan-turkic-hard-blockers\outputs\R2_212DFB_FOLLOWUP_GAP_AUDIT_20260706\ACTIVE_SESSION_STATE.md","noether-r2-pan-turkic-hard-blockers\outputs\R2_212DFB_FOLLOWUP_GAP_AUDIT_20260706\ACTIVE_SESSION_STATE.md",".md","986","2026-07-06T07:49:17.9420204Z","FE1711CD98404A916A65682A2D27D8EEDFD998E16A7251A705F0506623133427"
"noether-r2-pan-turkic-hard-blockers","C:\Users\memo_\Documents\Codex\2026-07-04\noether-r2-pan-turkic-hard-blockers\outputs\R2_212DFB_FOLLOWUP_GAP_AUDIT_20260706\HEARTBEAT_20260705.md","noether-r2-pan-turkic-hard-blockers\outputs\R2_212DFB_FOLLOWUP_GAP_AUDIT_20260706\HEARTBEAT_20260705.md",".md","663","2026-07-06T07:49:17.9380163Z","75634B9A831BDEF48E6810396A7448D35F4C516590654D0978D983FDE0F80623"
