sanitization_id,source_class,disposition,reason,public_effect,supersession_status
SGA2-X-P23-L3456-SAN-001,producer build and engine logs,excluded,local runtime paths are operational evidence,build results remain in validation JSON and independent audits,excluded_not_superseded
SGA2-X-P23-L3456-SAN-002,independent build and engine logs,excluded,local runtime paths are operational evidence,independent rebuild PDFs and validation JSON remain,excluded_not_superseded
SGA2-X-P23-L3456-SAN-003,LaTeX aux log and out files,excluded,ephemeral build products,no loss of editable target or review evidence,excluded_ephemeral
SGA2-X-P23-L3456-SAN-004,validation and generation scripts,excluded,public payload is data and evidence rather than executable local workflow,validation receipts remain as data,excluded_tooling
SGA2-X-P23-L3456-SAN-005,private same-edition source page rasters physical100-102,excluded,page-image redistribution rights unresolved,hash locator geometry and QA bindings remain public,rights_curated_projection
SGA2-X-P23-L3456-SAN-006,full 216-page same-edition reader,excluded,not part of the English checkpoint and page-image rights unresolved,parent identity and exact page locators remain public,rights_curated_projection
SGA2-X-P23-L3456-SAN-007,jcreinhold e7a259f Markdown excerpts,excluded,comparison-only LLM lineage and not source authority,accepted and rejected decisions remain machine-readable,excluded_comparison_lineage
SGA2-X-P23-L3456-SAN-008,Corollary2.5 proof-absence diagnostic artifact,excluded,not a translation unit and not independently reviewed,source structure is disclosed without inventing a proof,excluded_internal_diagnostic
SGA2-X-P23-L3456-SAN-009,raw extracted PDF text and font-table files,excluded,intermediate diagnostic outputs,hashes and findings remain in validations,excluded_intermediate
SGA2-X-P23-L3456-SAN-010,prevalidation and privacy-scan internals,excluded,intermediate review-process state,final independent validation and aggregate privacy scan control release,excluded_internal
SGA2-X-P23-L3456-SAN-011,pre-checkpoint SHA manifests,excluded,they enumerate files intentionally omitted from the public projection,checkpoint true-ordinal manifest replaces them,superseded_by_checkpoint_manifest
SGA2-X-P23-L3456-SAN-012,private absolute filesystem paths,prohibited,public hygiene requirement,text PDF-metadata and PDF-text scans must report zero hits,release_gate
SGA2-X-P23-L3456-SAN-013,source-reference slices outside French3414-3456,excluded,outside this bounded checkpoint despite use during cross-reference audit,locators and hashes remain in unit machine evidence,bounded_scope_exclusion
SGA2-X-P23-L3456-SAN-014,original local producer and review directories,preserved_private,public projection must not rewrite custody evidence,projection has its own path hashes and ZIP identity,projection_does_not_supersede_originals
