"witness_id","target_family","language_access_target","source_title","source_format","source_url","local_path","bytes","sha256","text_or_aux_local_path","text_or_aux_sha256","video_or_dynamic_routes","source_archive_status","license_permission_signal","topic_language_access_tags","evidence_tier","ethics_authority_note","allowed_current_use","blocked_before","source_csv"
"R6-CR-P2-015","Creole/contact","Jamaican Creole / Jamaican Patois","Jamaica Early Childhood Curriculum Guide 4-5","application/pdf","https://moey.gov.jm/wp-content/uploads/2015/04/JECCG_Four-to-Five-Year-Old__final_intrnt.pdf","C:\Users\memo_\Documents\Codex\2026-06-28\see-attached-you-do-prompt-d\outputs\sources\non_slavic_reference_corpus\20260701T203000Z_r6_creole_contact_exact_witness_capture_pass2\captures\jamaica_early_childhood_curriculum_guide_4_5.pdf","2163791","649c98526f7979c8ae017730bb522365eea135e44da8af98d8e2999709650bdc","","","","no_TeX_LaTeX_arXiv_or_eprint_source_archive_located in R6 evidence; captured PDF/HTML/context only","license/reuse pending; source-owner/reviewer return required","Jamaican Creole / Jamaican Patois; creole/contact; official curriculum guide mentioning Jamaican patois/creole and mathematics concepts; source-canon","T2 local PDF capture; source-authority/reuse review still required","curriculum/context witness; exact Jamaican Creole STEM witness still pending; Use as Jamaican curriculum/STEM context; exact Jamaican Creole/Patois STEM wording remains pending.","captured_policy_or_context_pointer","no accepted source-authority row, term row, excerpt, reuse, translation, constructed surface, or pilot","R6_CREOLE_CONTACT_EXACT_WITNESS_CAPTURE_PASS2_20260701T203000Z.csv"
"R6-CR-P2-016","Creole/contact","Jamaican Creole / Jamaican Patois","Jamaica current STEM project stakeholder plan","application/pdf","https://moey.gov.jm/wp-content/uploads/2025/06/SEP-Jamaica-Education-Project-P178595-16-JUN-2025.pdf","C:\Users\memo_\Documents\Codex\2026-06-28\see-attached-you-do-prompt-d\outputs\sources\non_slavic_reference_corpus\20260701T203000Z_r6_creole_contact_exact_witness_capture_pass2\captures\jamaica_education_project_sep_2025.pdf","868128","2ec4e8c0e9fa78a62c01a5e76431941a3fe752346f1595dc26c354bd0f813e22","","","","no_TeX_LaTeX_arXiv_or_eprint_source_archive_located in R6 evidence; captured PDF/HTML/context only","license/reuse pending; source-owner/reviewer return required","Jamaican Creole / Jamaican Patois; creole/contact; current official STEM/curriculum project context; not Patois witness; source-canon","T2 local PDF capture; source-authority/reuse review still required","policy/context source; not term witness; Use as Jamaican curriculum/STEM context; exact Jamaican Creole/Patois STEM wording remains pending.","captured_policy_or_context_pointer","no accepted source-authority row, term row, excerpt, reuse, translation, constructed surface, or pilot","R6_CREOLE_CONTACT_EXACT_WITNESS_CAPTURE_PASS2_20260701T203000Z.csv"
"R6-KR-SAR-001","Creole/contact","Kreyol / Haitian Creole","MIT-Ayiti Matematik subject index","HTML local capture","https://mit-ayiti.net/matye/matematik/","C:\Users\memo_\Documents\Codex\2026-06-28\see-attached-you-do-prompt-d\outputs\sources\non_slavic_reference_corpus\20260630T213000Z_r6_kreyol_asl_source_capture_pass3\html_captures\kreyol\mit_ayiti_matematik_index.html","192414","b32e6dbb79d9eb78e49af78478b0704971d0b09eeadf7904c4c30fdb0206f4a2","","","","no_TeX_LaTeX_arXiv_or_eprint_source_archive_located_in_R6_evidence; HTML witness only","license/reuse pending; link-only until source-owner or reviewer return","Kreyol; Haitian Creole; mathematics; numeracy; MIT-Ayiti; HTML; source-authority-request","T2 exact capture; T3 candidate classroom/source route; T4/T5 missing","Can this MIT-Ayiti Matematik index be treated as an authoritative route for Kreyol STEM/math resource discovery?","link_pointer_and_route_metadata_only","no excerpt, copied prose, term promotion, translation, surface, or pilot","R6_KREYOL_NUMERACY_SOURCE_AUTHORITY_READER_20260701T132500Z.csv"
"R6-KR-SAR-002","Creole/contact","Kreyol / Haitian Creole","MIT-Ayiti math teaching article","HTML local capture","https://mit-ayiti.net/anseyman-matematik/","C:\Users\memo_\Documents\Codex\2026-06-28\see-attached-you-do-prompt-d\outputs\sources\non_slavic_reference_corpus\20260630T213000Z_r6_kreyol_asl_source_capture_pass3\html_captures\kreyol\mit_ayiti_anseyman_matematik.html","115866","e60423506a27529b140f43bbaf327630dfc12daf2985ee53f8c26a2aeda85d27","","","","no_TeX_LaTeX_arXiv_or_eprint_source_archive_located_in_R6_evidence; HTML witness only","license/reuse pending; link-only until source-owner or reviewer return","Kreyol; Haitian Creole; mathematics; numeracy; MIT-Ayiti; HTML; source-authority-request","T2 exact capture; T3 candidate local classroom/source route; T4/T5 missing","Can this article be used as Kreyol classroom-register evidence for math teaching prose and resource framing?","source_context_and_reviewer_question_only","no copied prose, excerpt, term promotion, translation, surface, or pilot","R6_KREYOL_NUMERACY_SOURCE_AUTHORITY_READER_20260701T132500Z.csv"
"R6-KR-SAR-003","Creole/contact","Kreyol / Haitian Creole","Tiraj san remiz avek lod","HTML local capture","https://mit-ayiti.net/resous/tiraj-san-remiz-avek-lod/","C:\Users\memo_\Documents\Codex\2026-06-28\see-attached-you-do-prompt-d\outputs\sources\non_slavic_reference_corpus\20260630T213000Z_r6_kreyol_asl_source_capture_pass3\html_captures\kreyol\mit_ayiti_tiraj_san_remiz_avek_lod.html","117353","05e2428742f1b70189e69b15cfa48f7d553a42656dc589cbce571e57bb446a21","","","","no_TeX_LaTeX_arXiv_or_eprint_source_archive_located_in_R6_evidence; HTML witness only","license/reuse pending; link-only until source-owner or reviewer return","Kreyol; Haitian Creole; mathematics; numeracy; MIT-Ayiti; HTML; source-authority-request","T2 exact capture; T3 candidate domain/classroom source; T4/T5 missing","Can this resource support Kreyol probability/combinatorics terminology and lesson-structure questions for a later numeracy packet?","video/resource_pointer_and_domain_context_only","no copied media/prose, excerpt, term promotion, translation, surface, or pilot","R6_KREYOL_NUMERACY_SOURCE_AUTHORITY_READER_20260701T132500Z.csv"
"R6-KR-SAR-004","Creole/contact","Kreyol / Haitian Creole","CAPTEH - Matematik k ap bouyi sou 3 woch dife","HTML local capture","https://mit-ayiti.net/resous/matematik-k-ap-bouyi-sou-3-woch-dife/","C:\Users\memo_\Documents\Codex\2026-06-28\see-attached-you-do-prompt-d\outputs\sources\non_slavic_reference_corpus\20260630T213000Z_r6_kreyol_asl_source_capture_pass3\html_captures\kreyol\mit_ayiti_matematik_k_ap_bouyi_sou_3_woch_dife.html","133298","34e8592f68d669158040dc025ba7e85c4af969cdb32b082db6ec36e8ce48785d","","","","no_TeX_LaTeX_arXiv_or_eprint_source_archive_located_in_R6_evidence; HTML witness only","license/reuse pending; link-only until source-owner or reviewer return","Kreyol; Haitian Creole; mathematics; numeracy; MIT-Ayiti; HTML; source-authority-request","T2 exact capture; T3 candidate early-numeracy classroom source; T4/T5 missing","Can this resource support Kreyol early-numeracy packet planning and symbol/proof-literacy bridge questions?","source_pointer_and_reuse_question_only","no copied download/prose, excerpt, term promotion, translation, surface, or pilot","R6_KREYOL_NUMERACY_SOURCE_AUTHORITY_READER_20260701T132500Z.csv"
"R6-CR-P2-010","Creole/contact","Mauritian/Seychellois/Indian Ocean Creoles","Mauritius MIE curriculum page","text/html","https://mie.ac.mu/curriculum.html","C:\Users\memo_\Documents\Codex\2026-06-28\see-attached-you-do-prompt-d\outputs\sources\non_slavic_reference_corpus\20260701T203000Z_r6_creole_contact_exact_witness_capture_pass2\captures\mauritius_mie_curriculum.html","16908","6bf4f367f90237bd4b767dcfcd893b1f23ccbbed88cc75ab1633870f9b90376a","","","","no_TeX_LaTeX_arXiv_or_eprint_source_archive_located in R6 evidence; captured PDF/HTML/context only","license/reuse pending; source-owner/reviewer return required","Mauritian/Seychellois/Indian Ocean Creoles; creole/contact; MIE curriculum locator with Kreol Morisien/Kreol Rodrige resource pointers; source-canon","T2 local HTML capture; source-authority/reuse review still required","official/OER locator; exact STEM witness pending; Use as MIE Kreol Morisien/Kreol Rodrige locator/context; extract exact textbook/practice-paper rows only after source-owner/reuse review.","captured_candidate_source_pointer","no accepted source-authority row, term row, excerpt, reuse, translation, constructed surface, or pilot","R6_CREOLE_CONTACT_EXACT_WITNESS_CAPTURE_PASS2_20260701T203000Z.csv"
"R6-CR-P2-011","Creole/contact","Mauritian/Seychellois/Indian Ocean Creoles","MIE curriculum books page","text/html; charset=UTF-8","https://web.mie.ac.mu/curriculum_books/","C:\Users\memo_\Documents\Codex\2026-06-28\see-attached-you-do-prompt-d\outputs\sources\non_slavic_reference_corpus\20260701T203000Z_r6_creole_contact_exact_witness_capture_pass2\captures\mauritius_mie_curriculum_books.html","116622","ef972eaf0ea191e456da7d6598ff7306b6fc8b494e7cb6784c08ec7e1440199b","","","","no_TeX_LaTeX_arXiv_or_eprint_source_archive_located in R6 evidence; captured PDF/HTML/context only","license/reuse pending; source-owner/reviewer return required","Mauritian/Seychellois/Indian Ocean Creoles; creole/contact; MIE curriculum/textbook locator with Kreol resources and practice papers; source-canon","T2 local HTML capture; source-authority/reuse review still required","official/OER locator; exact STEM witness pending; Use as MIE Kreol Morisien/Kreol Rodrige locator/context; extract exact textbook/practice-paper rows only after source-owner/reuse review.","captured_candidate_source_pointer","no accepted source-authority row, term row, excerpt, reuse, translation, constructed surface, or pilot","R6_CREOLE_CONTACT_EXACT_WITNESS_CAPTURE_PASS2_20260701T203000Z.csv"
"R6-CR-P2-012","Creole/contact","Mauritian/Seychellois/Indian Ocean Creoles","MIE FPLNS implementation guidelines","application/pdf","https://web.mie.ac.mu/wp-content/uploads/2025/01/Implementation-guidelines_abridged.pdf","C:\Users\memo_\Documents\Codex\2026-06-28\see-attached-you-do-prompt-d\outputs\sources\non_slavic_reference_corpus\20260701T203000Z_r6_creole_contact_exact_witness_capture_pass2\captures\mauritius_fplns_implementation_guidelines_abridged.pdf","1330712","7aabdbceec529a90f1268c78e9c89215353ee93b04492e80de8189eac917e270","","","","no_TeX_LaTeX_arXiv_or_eprint_source_archive_located in R6 evidence; captured PDF/HTML/context only","license/reuse pending; source-owner/reviewer return required","Mauritian/Seychellois/Indian Ocean Creoles; creole/contact; Mauritius implementation guideline with Kreol Morisien/numeracy context; source-canon","T2 local PDF capture; source-authority/reuse review still required","policy/context source; not term witness; Use as MIE Kreol Morisien/Kreol Rodrige locator/context; extract exact textbook/practice-paper rows only after source-owner/reuse review.","captured_policy_or_context_pointer","no accepted source-authority row, term row, excerpt, reuse, translation, constructed surface, or pilot","R6_CREOLE_CONTACT_EXACT_WITNESS_CAPTURE_PASS2_20260701T203000Z.csv"
"R6-CR-P2-018","Creole/contact","Nigerian Pidgin","NERDC primary 4-6 mathematics curriculum","application/pdf","https://nerdc.gov.ng/content_manager/primary/pri4-6_maths.pdf","C:\Users\memo_\Documents\Codex\2026-06-28\see-attached-you-do-prompt-d\outputs\sources\non_slavic_reference_corpus\20260701T203000Z_r6_creole_contact_exact_witness_capture_pass2\captures\nigeria_nerdc_pri4_6_maths.pdf","1340205","91fe69d3fed70762f334d3a5e850a062fbe542c16547c44b6f38da0de3683454","","","","no_TeX_LaTeX_arXiv_or_eprint_source_archive_located in R6 evidence; captured PDF/HTML/context only","license/reuse pending; source-owner/reviewer return required","Nigerian Pidgin; creole/contact; official Nigerian mathematics comparator only; English, not Nigerian Pidgin; source-canon","T2 local PDF capture; source-authority/reuse review still required","comparator curriculum source; not Pidgin witness; Use NERDC math as English comparator only and keep Nigerian Pidgin source row open.","captured_policy_or_context_pointer","no accepted source-authority row, term row, excerpt, reuse, translation, constructed surface, or pilot","R6_CREOLE_CONTACT_EXACT_WITNESS_CAPTURE_PASS2_20260701T203000Z.csv"
