slug,pdf,page,png,width,height,mean_gray,stddev_gray,black_fraction,trim_box,trim_x,trim_y,trim_area_fraction,blankish,dark_or_inverted
00_pdf__gauss_werke_band01,00_pdf__gauss_werke_band01.pdf,1,manuscript_translation_project\release_candidates\gauss_author_current_strict_audit\sample_pages\00_pdf__gauss_werke_band01\page_00001.png,745,1053,0.99372,0.06141,0.01523,479x404+0+0,0,0,0.24668,False,False
00_pdf__gauss_werke_band01,00_pdf__gauss_werke_band01.pdf,2,manuscript_translation_project\release_candidates\gauss_author_current_strict_audit\sample_pages\00_pdf__gauss_werke_band01\page_00002.png,745,1053,0.99576,0.0504,0.01042,377x314+0+0,0,0,0.1509,False,False
00_pdf__gauss_werke_band01,00_pdf__gauss_werke_band01.pdf,3,manuscript_translation_project\release_candidates\gauss_author_current_strict_audit\sample_pages\00_pdf__gauss_werke_band01\page_00003.png,745,1053,0.96816,0.1251,0.09077,567x659+0+0,0,0,0.4763,False,False
00_pdf__gauss_werke_band01,00_pdf__gauss_werke_band01.pdf,4,manuscript_translation_project\release_candidates\gauss_author_current_strict_audit\sample_pages\00_pdf__gauss_werke_band01\page_00004.png,745,1053,0.94029,0.16605,0.17105,567x909+0+0,0,0,0.657,False,False
00_pdf__gauss_werke_band01,00_pdf__gauss_werke_band01.pdf,5,manuscript_translation_project\release_candidates\gauss_author_current_strict_audit\sample_pages\00_pdf__gauss_werke_band01\page_00005.png,745,1053,0.94084,0.16465,0.17018,567x909+0+0,0,0,0.657,False,False
00_pdf__gauss_werke_band01,00_pdf__gauss_werke_band01.pdf,12,manuscript_translation_project\release_candidates\gauss_author_current_strict_audit\sample_pages\00_pdf__gauss_werke_band01\page_00012.png,745,1053,0.95921,0.14101,0.11575,567x908+0+0,0,0,0.65627,False,False
00_pdf__gauss_werke_band01,00_pdf__gauss_werke_band01.pdf,22,manuscript_translation_project\release_candidates\gauss_author_current_strict_audit\sample_pages\00_pdf__gauss_werke_band01\page_00022.png,745,1053,0.96527,0.13481,0.09392,567x837+0+0,0,0,0.60496,False,False
00_pdf__gauss_werke_band01,00_pdf__gauss_werke_band01.pdf,33,manuscript_translation_project\release_candidates\gauss_author_current_strict_audit\sample_pages\00_pdf__gauss_werke_band01\page_00033.png,745,1053,0.98006,0.10526,0.05137,568x942+0+0,0,0,0.68205,False,False
00_pdf__gauss_werke_band01,00_pdf__gauss_werke_band01.pdf,43,manuscript_translation_project\release_candidates\gauss_author_current_strict_audit\sample_pages\00_pdf__gauss_werke_band01\page_00043.png,745,1053,0.94827,0.15857,0.14418,568x942+0+0,0,0,0.68205,False,False
00_pdf__gauss_werke_band01,00_pdf__gauss_werke_band01.pdf,54,manuscript_translation_project\release_candidates\gauss_author_current_strict_audit\sample_pages\00_pdf__gauss_werke_band01\page_00054.png,745,1053,0.94993,0.15542,0.14125,567x909+0+0,0,0,0.657,False,False
00_pdf__gauss_werke_band01,00_pdf__gauss_werke_band01.pdf,64,manuscript_translation_project\release_candidates\gauss_author_current_strict_audit\sample_pages\00_pdf__gauss_werke_band01\page_00064.png,745,1053,0.95185,0.15288,0.13555,567x909+0+0,0,0,0.657,False,False
00_pdf__gauss_werke_band01,00_pdf__gauss_werke_band01.pdf,75,manuscript_translation_project\release_candidates\gauss_author_current_strict_audit\sample_pages\00_pdf__gauss_werke_band01\page_00075.png,745,1053,0.96309,0.13253,0.10801,568x908+0+0,0,0,0.65743,False,False
00_pdf__gauss_werke_band01,00_pdf__gauss_werke_band01.pdf,85,manuscript_translation_project\release_candidates\gauss_author_current_strict_audit\sample_pages\00_pdf__gauss_werke_band01\page_00085.png,745,1053,0.95375,0.14949,0.13117,568x907+0+0,0,0,0.65671,False,False
00_pdf__gauss_werke_band01,00_pdf__gauss_werke_band01.pdf,96,manuscript_translation_project\release_candidates\gauss_author_current_strict_audit\sample_pages\00_pdf__gauss_werke_band01\page_00096.png,745,1053,0.95979,0.141,0.11213,568x910+0+0,0,0,0.65888,False,False
00_pdf__gauss_werke_band01,00_pdf__gauss_werke_band01.pdf,106,manuscript_translation_project\release_candidates\gauss_author_current_strict_audit\sample_pages\00_pdf__gauss_werke_band01\page_00106.png,745,1053,0.96445,0.13142,0.10152,567x765+0+0,0,0,0.55292,False,False
00_pdf__gauss_werke_band01,00_pdf__gauss_werke_band01.pdf,117,manuscript_translation_project\release_candidates\gauss_author_current_strict_audit\sample_pages\00_pdf__gauss_werke_band01\page_00117.png,745,1053,0.9544,0.14793,0.12983,584x918+0+0,0,0,0.68339,False,False
00_pdf__gauss_werke_band01,00_pdf__gauss_werke_band01.pdf,127,manuscript_translation_project\release_candidates\gauss_author_current_strict_audit\sample_pages\00_pdf__gauss_werke_band01\page_00127.png,745,1053,0.95525,0.14681,0.1269,568x920+0+0,0,0,0.66612,False,False
00_pdf__gauss_werke_band01,00_pdf__gauss_werke_band01.pdf,138,manuscript_translation_project\release_candidates\gauss_author_current_strict_audit\sample_pages\00_pdf__gauss_werke_band01\page_00138.png,745,1053,0.95984,0.13926,0.11351,568x908+0+0,0,0,0.65743,False,False
00_pdf__gauss_werke_band01,00_pdf__gauss_werke_band01.pdf,149,manuscript_translation_project\release_candidates\gauss_author_current_strict_audit\sample_pages\00_pdf__gauss_werke_band01\page_00149.png,745,1053,0.94999,0.15399,0.1418,568x912+0+0,0,0,0.66033,False,False
00_pdf__gauss_werke_band01,00_pdf__gauss_werke_band01.pdf,159,manuscript_translation_project\release_candidates\gauss_author_current_strict_audit\sample_pages\00_pdf__gauss_werke_band01\page_00159.png,745,1053,0.99724,0.0388,0.00748,566x905+0+0,0,0,0.65295,False,False
00_pdf__gauss_werke_band01,00_pdf__gauss_werke_band01.pdf,170,manuscript_translation_project\release_candidates\gauss_author_current_strict_audit\sample_pages\00_pdf__gauss_werke_band01\page_00170.png,745,1053,0.9609,0.1383,0.11023,567x911+0+0,0,0,0.65844,False,False
00_pdf__gauss_werke_band01,00_pdf__gauss_werke_band01.pdf,180,manuscript_translation_project\release_candidates\gauss_author_current_strict_audit\sample_pages\00_pdf__gauss_werke_band01\page_00180.png,745,1053,0.94897,0.1557,0.14514,567x909+0+0,0,0,0.657,False,False
00_pdf__gauss_werke_band01,00_pdf__gauss_werke_band01.pdf,191,manuscript_translation_project\release_candidates\gauss_author_current_strict_audit\sample_pages\00_pdf__gauss_werke_band01\page_00191.png,745,1053,0.96985,0.12717,0.07938,567x858+0+0,0,0,0.62013,False,False
00_pdf__gauss_werke_band01,00_pdf__gauss_werke_band01.pdf,201,manuscript_translation_project\release_candidates\gauss_author_current_strict_audit\sample_pages\00_pdf__gauss_werke_band01\page_00201.png,745,1053,0.94319,0.16334,0.16105,570x957+0+0,0,0,0.69535,False,False
00_pdf__gauss_werke_band01,00_pdf__gauss_werke_band01.pdf,212,manuscript_translation_project\release_candidates\gauss_author_current_strict_audit\sample_pages\00_pdf__gauss_werke_band01\page_00212.png,745,1053,0.9425,0.16401,0.16317,568x957+0+0,0,0,0.69291,False,False
00_pdf__gauss_werke_band01,00_pdf__gauss_werke_band01.pdf,222,manuscript_translation_project\release_candidates\gauss_author_current_strict_audit\sample_pages\00_pdf__gauss_werke_band01\page_00222.png,745,1053,0.96266,0.13465,0.10617,567x816+0+0,0,0,0.58978,False,False
00_pdf__gauss_werke_band01,00_pdf__gauss_werke_band01.pdf,233,manuscript_translation_project\release_candidates\gauss_author_current_strict_audit\sample_pages\00_pdf__gauss_werke_band01\page_00233.png,745,1053,0.96116,0.13846,0.10848,568x957+0+0,0,0,0.69291,False,False
00_pdf__gauss_werke_band01,00_pdf__gauss_werke_band01.pdf,243,manuscript_translation_project\release_candidates\gauss_author_current_strict_audit\sample_pages\00_pdf__gauss_werke_band01\page_00243.png,745,1053,0.95922,0.14112,0.11474,568x957+0+0,0,0,0.69291,False,False
00_pdf__gauss_werke_band01,00_pdf__gauss_werke_band01.pdf,250,manuscript_translation_project\release_candidates\gauss_author_current_strict_audit\sample_pages\00_pdf__gauss_werke_band01\page_00250.png,745,1053,0.96873,0.12656,0.08444,657x958+0+0,0,0,0.80232,False,False
