"id","language","witness","url","source_form","sha256","size_bytes","license_signal","topic_tags","source_canon_value_and_gap","local_path"
"CWS-KY-001","Kyrgyz","МАТЕМАТИКА ... V-IX класстар","https://edu.gov.kg/media/files/c832083a-4db8-4b7f-89cc-315d5535f520.pdf","current PDF capture","34FD87987F76E5E25C2D7C29A3E1D5CA310E99193774ADACA1D2FB7BE4A5414C","601365","ministry/government PDF; no explicit reusable license found in capture","Kyrgyz; mathematics curriculum; algebra; polynomial base","Official curriculum-level mathematics/algebra provenance; no TeX/source package; no Noetherian-ring or polynomial-ring hard-row source.","C:\Users\memo_\Documents\Codex\2026-07-04\noether-r2-pan-turkic-hard-blockers\outputs\sources\current_web_source_canon_20260704\CWS-KY-001_edu_gov_kg_matematika_curriculum.pdf"
"CWS-KY-002","Kyrgyz","Kaldybaev S.K. Algebra 8 klass","https://daramet.tm.kg/wp-content/uploads/2017/11/Kaldybaev-S.K.Algebra-8-klass.pdf","current PDF capture; TLS relaxed for capture after normal TLS failed","3ADF45747524AC0691C659B5AB1568F9AE4DACF3886ECDE92A57AD31E601FBE4","2319102","no explicit reusable license found in capture","Kyrgyz; algebra textbook; polynomial base","Kyrgyz algebra/PDF provenance; text extraction is thin, likely scan/image-heavy; no TeX/source package; no Noetherian-ring or polynomial-ring hard-row source.","C:\Users\memo_\Documents\Codex\2026-07-04\noether-r2-pan-turkic-hard-blockers\outputs\sources\current_web_source_canon_20260704\CWS-KY-002_daramet_algebra_8_klass.pdf"
"CWS-TK-001","Turkmen","Gutlyýew G - Ýokary matematika (köplükler nazaryýeti, çyzykly algebra, wektor algebrasy, analitik geometriýa)","https://www.kitaphana.net/book/10","current HTML page capture","C576894C31C8E14CF38BCF8B41FE2536BE2BBA06EE107822501358B4080C8BE2","33760","copyright symbol in capture","Turkmen; higher mathematics; set theory; linear algebra; vector algebra; analytic geometry","Turkmen publication-page provenance with format/size metadata on page; no local PDF hash/source package; no exact Noetherian-ring or polynomial-ring row.","C:\Users\memo_\Documents\Codex\2026-07-04\noether-r2-pan-turkic-hard-blockers\outputs\sources\current_web_source_canon_20260704\CWS-TK-001_kitaphana_book_10_yokary_matematika.html"
"CWS-TK-002","Turkmen","Kömekow B - Çyzykly algebra we geometriýa","https://www.kitaphana.net/book/13","current HTML page capture","9164600E072C33FB4EC970918A0FA9DDAD5819EF54E94FDEAF5B3E9F9ACE72D0","31849","copyright symbol in capture","Turkmen; linear algebra; geometry; TDU","Turkmen publication-page provenance; no local PDF hash/source package; no exact hard-row support.","C:\Users\memo_\Documents\Codex\2026-07-04\noether-r2-pan-turkic-hard-blockers\outputs\sources\current_web_source_canon_20260704\CWS-TK-002_kitaphana_book_13_cyzykly_algebra.html"
"CWS-TT-001","Tatar","Перечень учебников и учебных пособий 2015-2016 гг.","https://edu.tatar.ru/upload/storage/org1270/files/%D0%9F%D0%B5%D1%80%D0%B5%D1%87%D0%B5%D0%BD%D1%8C%20%D1%83%D1%87%D0%B5%D0%B1%D0%BD%D0%B8%D0%BA%D0%BE%D0%B2%20%D0%B8%20%D1%83%D1%87%D0%B5%D0%B1%D0%BD%D1%8B%D1%85%20%D0%BF%D0%BE%D1%81%D0%BE%D0%B1%D0%B8%D0%B9%202015-2016%20%D0%B3%D0%B3.pdf","current PDF capture","3D85EFBC03216384A72DD0AA5773FF3EA1925E3CC97DF3FB8F5B6FD166E3AF5E","616379","no explicit reusable license found in capture","Tatar; textbook list; mathematics; algebra source shelf","Tatar-language mathematics/algebra textbook-list provenance, not source text itself; no TeX/source package; no exact hard-row support.","C:\Users\memo_\Documents\Codex\2026-07-04\noether-r2-pan-turkic-hard-blockers\outputs\sources\current_web_source_canon_20260704\CWS-TT-001_edu_tatar_textbook_list_2015_2016.pdf"
"CWS-TT-002","Tatar","Татар телендә математикадан уку материаллары булдырырга йогынты ясаучы факторлар турында","https://ft.antat.ru/uploads/75473680a2299b1cbd-%D0%A4%D0%A2_2025-1-1-106-112.pdf","current PDF capture","CBDCE778574D1ACD582BDADDDFCA15FDEE01138C50444044B200FE3CFF158408","316306","journal PDF; no explicit reusable license found in capture","Tatar; mathematics materials; bilingual education; terminology","Direct PDF provenance for a Tatar-language mathematics-materials article; no TeX/source package; not Noetherian-ring or polynomial-ring support.","C:\Users\memo_\Documents\Codex\2026-07-04\noether-r2-pan-turkic-hard-blockers\outputs\sources\current_web_source_canon_20260704\CWS-TT-002_fanni_tatarstan_2025_math_tatar.pdf"
"CWS-UG-001","Uyghur","بىر نامەلۇملۇق كۆپ ئەزالىق - ئۇيغۇر قامۇسى","https://wiki.uygur.com/bir_namelumluq_kop_ezaliq/","current HTML page capture","DBC25492313F500AA04476DD72AA22B0D6062A14CA0906F916A93C38BA2F039E","84523","copyright signal in capture","Uyghur; polynomial of one indeterminate; dictionary","Exact polynomial-adjacent dictionary witness; no TeX/source package; no authority/license/native-review closure.","C:\Users\memo_\Documents\Codex\2026-07-04\noether-r2-pan-turkic-hard-blockers\outputs\sources\current_web_source_canon_20260704\CWS-UG-001_uygur_com_one_indeterminate_polynomial.html"
"CWS-UG-002","Uyghur","نوئېتېر سخېمىسى - ئۇيغۇر قامۇسى","https://wiki.uygur.com/noeter_sxemisi/","current HTML page capture","08B78DCE564E70A2A21CCADD44A1D8907951132DB0AE7B598FEBEA9C3833F3C7","84369","copyright signal in capture","Uyghur; Noetherian scheme; dictionary","Noetherian-adjacent dictionary witness; no TeX/source package; no authority/license/native-review closure.","C:\Users\memo_\Documents\Codex\2026-07-04\noether-r2-pan-turkic-hard-blockers\outputs\sources\current_web_source_canon_20260704\CWS-UG-002_uygur_com_noetherian_scheme.html"
"CWS-UG-003","Uyghur","سول نوئېتېر ھالقىسى - ئۇيغۇر قامۇسى","https://wiki.uygur.com/sol_noeter_halqisi/","current HTML page capture","24921876E3E138BF32B9C9E13C895FF7126A52C9B53ECA094221000711C09D3D","84420","copyright signal in capture","Uyghur; left Noetherian ring; dictionary","Noetherian-ring-adjacent dictionary witness; no TeX/source package; no authority/license/native-review closure.","C:\Users\memo_\Documents\Codex\2026-07-04\noether-r2-pan-turkic-hard-blockers\outputs\sources\current_web_source_canon_20260704\CWS-UG-003_uygur_com_left_noetherian_ring.html"
"CWS-UG-004","Uyghur","دائىرىلىك نوئېتېر سخېمىسى - ئۇيغۇر قامۇسى","https://wiki.uygur.com/dairilik_noeter_sxemisi/","current HTML page capture","44FAD5BFB58C0A03B65EA3627CA64AE68287549414380A136E18E4FB8077F1C3","84497","copyright signal in capture","Uyghur; locally Noetherian scheme; dictionary","Noetherian-adjacent dictionary witness; no TeX/source package; no authority/license/native-review closure.","C:\Users\memo_\Documents\Codex\2026-07-04\noether-r2-pan-turkic-hard-blockers\outputs\sources\current_web_source_canon_20260704\CWS-UG-004_uygur_com_locally_noetherian_scheme.html"
