"branch_head","ledger_source","language_gate","category","source_use_status","evidence_or_weight_basis","boundary"
"ac6f4eb7490b1bba788444ddb2361fc65c3d9f6e","FABLE_BRANCH_WEIGHT_WITNESS_LEDGER.csv","ar","branch-weight/source-use/adverse-evidence","source-backed draft support permitted for resolved rows only","native=87;ocr=29;witness=0;resolved_draft=61;unresolved=2;blockers=6","counts are evidence-routing weights, not acceptance or completion scores"
"ac6f4eb7490b1bba788444ddb2361fc65c3d9f6e","FABLE_BRANCH_WEIGHT_WITNESS_LEDGER.csv","fa_IR","branch-weight/source-use/adverse-evidence","source-backed draft support permitted for resolved rows only","native=21;ocr=6;witness=0;resolved_draft=72;unresolved=2;blockers=0","counts are evidence-routing weights, not acceptance or completion scores"
"ac6f4eb7490b1bba788444ddb2361fc65c3d9f6e","FABLE_BRANCH_WEIGHT_WITNESS_LEDGER.csv","prs_AF","branch-weight/source-use/adverse-evidence","source-body or witness present; draft expansion blocked or pending","native=11;ocr=3;witness=0;resolved_draft=0;unresolved=1;blockers=1","counts are evidence-routing weights, not acceptance or completion scores"
"ac6f4eb7490b1bba788444ddb2361fc65c3d9f6e","FABLE_BRANCH_WEIGHT_WITNESS_LEDGER.csv","tg_Cyrl_TJ","branch-weight/source-use/adverse-evidence","source-body or witness present; draft expansion blocked or pending","native=19;ocr=6;witness=0;resolved_draft=0;unresolved=2;blockers=1","counts are evidence-routing weights, not acceptance or completion scores"
"ac6f4eb7490b1bba788444ddb2361fc65c3d9f6e","FABLE_BRANCH_WEIGHT_WITNESS_LEDGER.csv","ur_Arab","branch-weight/source-use/adverse-evidence","source-backed draft support permitted for resolved rows only","native=0;ocr=0;witness=14;resolved_draft=15;unresolved=0;blockers=3","counts are evidence-routing weights, not acceptance or completion scores"
"ac6f4eb7490b1bba788444ddb2361fc65c3d9f6e","FABLE_BRANCH_WEIGHT_WITNESS_LEDGER.csv","ota_Arab","branch-weight/source-use/adverse-evidence","source-body or witness present; draft expansion blocked or pending","native=0;ocr=0;witness=7;resolved_draft=0;unresolved=0;blockers=3","counts are evidence-routing weights, not acceptance or completion scores"
"ac6f4eb7490b1bba788444ddb2361fc65c3d9f6e","FABLE_BRANCH_WEIGHT_WITNESS_LEDGER.csv","ug_Arab","branch-weight/source-use/adverse-evidence","source-body or witness present; draft expansion blocked or pending","native=18;ocr=0;witness=0;resolved_draft=0;unresolved=1;blockers=0","counts are evidence-routing weights, not acceptance or completion scores"
"ac6f4eb7490b1bba788444ddb2361fc65c3d9f6e","FABLE_BRANCH_WEIGHT_WITNESS_LEDGER.csv","tr_Latn","branch-weight/source-use/adverse-evidence","source-body or witness present; draft expansion blocked or pending","native=4;ocr=0;witness=0;resolved_draft=0;unresolved=0;blockers=0","counts are evidence-routing weights, not acceptance or completion scores"
"ac6f4eb7490b1bba788444ddb2361fc65c3d9f6e","FABLE_BRANCH_WEIGHT_WITNESS_LEDGER.csv","Hindustani","branch-weight/source-use/adverse-evidence","source-canon gap","native=0;ocr=0;witness=0;resolved_draft=0;unresolved=0;blockers=0","counts are evidence-routing weights, not acceptance or completion scores"
"ac6f4eb7490b1bba788444ddb2361fc65c3d9f6e","FABLE_BRANCH_WEIGHT_WITNESS_LEDGER.csv","Pan-Turkic","branch-weight/source-use/adverse-evidence","source-canon gap","native=0;ocr=0;witness=0;resolved_draft=0;unresolved=0;blockers=0","counts are evidence-routing weights, not acceptance or completion scores"
