"branch_head","language_gate","concept","target_rendering","term_alternatives_or_register_notes","formula_neighboring_usage_note","source_context_locator","source_resolution_status","boundary"
"ac6f4eb7490b1bba788444ddb2361fc65c3d9f6e","ar","Noetherian ring","الحلقة النوثرية","حلقة نوثرية | الحلقة النوثرية | حلقات نوثرية; نوتيرية kept only as searched variant/adverse form","Use only next to ring/module/ideal-chain, finite-generation, theorem, or definition contexts in the cited source row.","pdf-page-1:line-15:utf16-33","resolved-source-context","term/register and formula-neighboring support only; no accepted terminology"
"ac6f4eb7490b1bba788444ddb2361fc65c3d9f6e","ar","Noetherian ring","حلقات نوثرية","حلقة نوثرية | الحلقة النوثرية | حلقات نوثرية; نوتيرية kept only as searched variant/adverse form","Use only next to ring/module/ideal-chain, finite-generation, theorem, or definition contexts in the cited source row.","pdf-page-1:line-15:utf16-69","resolved-source-context","term/register and formula-neighboring support only; no accepted terminology"
"ac6f4eb7490b1bba788444ddb2361fc65c3d9f6e","ar","Noetherian ring","النوثرية","حلقة نوثرية | الحلقة النوثرية | حلقات نوثرية; نوتيرية kept only as searched variant/adverse form","Use only next to ring/module/ideal-chain, finite-generation, theorem, or definition contexts in the cited source row.","pdf-page-1:line-15:utf16-40","resolved-source-context","term/register and formula-neighboring support only; no accepted terminology"
"ac6f4eb7490b1bba788444ddb2361fc65c3d9f6e","ar","ideal","مثالي","مثالي | المثاليات; Arabic-only support","Use only next to ideal notation, inclusion, quotient/localization, or ring-structure context in the cited source row.","pdf-page-1:line-16:utf16-6","resolved-source-context","term/register and formula-neighboring support only; no accepted terminology"
"ac6f4eb7490b1bba788444ddb2361fc65c3d9f6e","ar","Noetherian ring","النوثرية","حلقة نوثرية | الحلقة النوثرية | حلقات نوثرية; نوتيرية kept only as searched variant/adverse form","Use only next to ring/module/ideal-chain, finite-generation, theorem, or definition contexts in the cited source row.","pdf-page-1:line-18:utf16-18","resolved-source-context","term/register and formula-neighboring support only; no accepted terminology"
"ac6f4eb7490b1bba788444ddb2361fc65c3d9f6e","ar","ideal","مثالي","مثالي | المثاليات; Arabic-only support","Use only next to ideal notation, inclusion, quotient/localization, or ring-structure context in the cited source row.","pdf-page-1:line-18:utf16-81","resolved-source-context","term/register and formula-neighboring support only; no accepted terminology"
"ac6f4eb7490b1bba788444ddb2361fc65c3d9f6e","ar","Noetherian ring","الحلقة النوثرية","حلقة نوثرية | الحلقة النوثرية | حلقات نوثرية; نوتيرية kept only as searched variant/adverse form","Use only next to ring/module/ideal-chain, finite-generation, theorem, or definition contexts in the cited source row.","pdf-page-1:line-24:utf16-85","resolved-source-context","term/register and formula-neighboring support only; no accepted terminology"
"ac6f4eb7490b1bba788444ddb2361fc65c3d9f6e","ar","Noetherian ring","النوثرية","حلقة نوثرية | الحلقة النوثرية | حلقات نوثرية; نوتيرية kept only as searched variant/adverse form","Use only next to ring/module/ideal-chain, finite-generation, theorem, or definition contexts in the cited source row.","pdf-page-1:line-24:utf16-92","resolved-source-context","term/register and formula-neighboring support only; no accepted terminology"
"ac6f4eb7490b1bba788444ddb2361fc65c3d9f6e","ar","ideal","مثالي","مثالي | المثاليات; Arabic-only support","Use only next to ideal notation, inclusion, quotient/localization, or ring-structure context in the cited source row.","pdf-page-3:line-26:utf16-42","resolved-source-context","term/register and formula-neighboring support only; no accepted terminology"
"ac6f4eb7490b1bba788444ddb2361fc65c3d9f6e","ar","ideal","مثالي","مثالي | المثاليات; Arabic-only support","Use only next to ideal notation, inclusion, quotient/localization, or ring-structure context in the cited source row.","pdf-page-4:line-30:utf16-43","resolved-source-context","term/register and formula-neighboring support only; no accepted terminology"
"ac6f4eb7490b1bba788444ddb2361fc65c3d9f6e","ar","ideal","مثالي","مثالي | المثاليات; Arabic-only support","Use only next to ideal notation, inclusion, quotient/localization, or ring-structure context in the cited source row.","pdf-page-4:line-31:utf16-57","resolved-source-context","term/register and formula-neighboring support only; no accepted terminology"
"ac6f4eb7490b1bba788444ddb2361fc65c3d9f6e","ar","ideal","المثالي","مثالي | المثاليات; Arabic-only support","Use only next to ideal notation, inclusion, quotient/localization, or ring-structure context in the cited source row.","pdf-page-4:line-31:utf16-55","resolved-source-context","term/register and formula-neighboring support only; no accepted terminology"
"ac6f4eb7490b1bba788444ddb2361fc65c3d9f6e","ar","ideal","مثالي","مثالي | المثاليات; Arabic-only support","Use only next to ideal notation, inclusion, quotient/localization, or ring-structure context in the cited source row.","pdf-page-4:line-35:utf16-69","resolved-source-context","term/register and formula-neighboring support only; no accepted terminology"
"ac6f4eb7490b1bba788444ddb2361fc65c3d9f6e","ar","ideal","مثالي","مثالي | المثاليات; Arabic-only support","Use only next to ideal notation, inclusion, quotient/localization, or ring-structure context in the cited source row.","pdf-page-4:line-36:utf16-3","resolved-source-context","term/register and formula-neighboring support only; no accepted terminology"
"ac6f4eb7490b1bba788444ddb2361fc65c3d9f6e","ar","ideal","المثالي","مثالي | المثاليات; Arabic-only support","Use only next to ideal notation, inclusion, quotient/localization, or ring-structure context in the cited source row.","pdf-page-4:line-36:utf16-1","resolved-source-context","term/register and formula-neighboring support only; no accepted terminology"
"ac6f4eb7490b1bba788444ddb2361fc65c3d9f6e","ar","ideal","مثالي","مثالي | المثاليات; Arabic-only support","Use only next to ideal notation, inclusion, quotient/localization, or ring-structure context in the cited source row.","pdf-page-4:line-37:utf16-43","resolved-source-context","term/register and formula-neighboring support only; no accepted terminology"
"ac6f4eb7490b1bba788444ddb2361fc65c3d9f6e","ar","ideal","المثالي","مثالي | المثاليات; Arabic-only support","Use only next to ideal notation, inclusion, quotient/localization, or ring-structure context in the cited source row.","pdf-page-4:line-37:utf16-67","resolved-source-context","term/register and formula-neighboring support only; no accepted terminology"
"ac6f4eb7490b1bba788444ddb2361fc65c3d9f6e","ar","ideal","مثالي","مثالي | المثاليات; Arabic-only support","Use only next to ideal notation, inclusion, quotient/localization, or ring-structure context in the cited source row.","pdf-page-4:line-38:utf16-41","resolved-source-context","term/register and formula-neighboring support only; no accepted terminology"
"ac6f4eb7490b1bba788444ddb2361fc65c3d9f6e","ar","ideal","مثالي","مثالي | المثاليات; Arabic-only support","Use only next to ideal notation, inclusion, quotient/localization, or ring-structure context in the cited source row.","pdf-page-4:line-40:utf16-49","resolved-source-context","term/register and formula-neighboring support only; no accepted terminology"
"ac6f4eb7490b1bba788444ddb2361fc65c3d9f6e","ar","ideal","مثالي","مثالي | المثاليات; Arabic-only support","Use only next to ideal notation, inclusion, quotient/localization, or ring-structure context in the cited source row.","pdf-page-4:line-41:utf16-56","resolved-source-context","term/register and formula-neighboring support only; no accepted terminology"
"ac6f4eb7490b1bba788444ddb2361fc65c3d9f6e","ar","ideal","مثالي","مثالي | المثاليات; Arabic-only support","Use only next to ideal notation, inclusion, quotient/localization, or ring-structure context in the cited source row.","pdf-page-4:line-42:utf16-48","resolved-source-context","term/register and formula-neighboring support only; no accepted terminology"
"ac6f4eb7490b1bba788444ddb2361fc65c3d9f6e","ar","ideal","المثالي","مثالي | المثاليات; Arabic-only support","Use only next to ideal notation, inclusion, quotient/localization, or ring-structure context in the cited source row.","pdf-page-4:line-42:utf16-46","resolved-source-context","term/register and formula-neighboring support only; no accepted terminology"
"ac6f4eb7490b1bba788444ddb2361fc65c3d9f6e","ar","ideal","مثالي","مثالي | المثاليات; Arabic-only support","Use only next to ideal notation, inclusion, quotient/localization, or ring-structure context in the cited source row.","pdf-page-4:line-43:utf16-81","resolved-source-context","term/register and formula-neighboring support only; no accepted terminology"
"ac6f4eb7490b1bba788444ddb2361fc65c3d9f6e","ar","ideal","المثالي","مثالي | المثاليات; Arabic-only support","Use only next to ideal notation, inclusion, quotient/localization, or ring-structure context in the cited source row.","pdf-page-4:line-43:utf16-79","resolved-source-context","term/register and formula-neighboring support only; no accepted terminology"
"ac6f4eb7490b1bba788444ddb2361fc65c3d9f6e","ar","ideal","مثالي","مثالي | المثاليات; Arabic-only support","Use only next to ideal notation, inclusion, quotient/localization, or ring-structure context in the cited source row.","pdf-page-1:line-22:utf16-31","resolved-source-context","term/register and formula-neighboring support only; no accepted terminology"
"ac6f4eb7490b1bba788444ddb2361fc65c3d9f6e","ar","ideal","مثالي","مثالي | المثاليات; Arabic-only support","Use only next to ideal notation, inclusion, quotient/localization, or ring-structure context in the cited source row.","pdf-page-1:line-23:utf16-30","resolved-source-context","term/register and formula-neighboring support only; no accepted terminology"
"ac6f4eb7490b1bba788444ddb2361fc65c3d9f6e","ar","matrix / matrix ring context","مصفوفة","source form only; no accepted terminology claim","Use only as a matrix or matrix-ring neighbor; not enough by itself for invariant-theory term promotion.","pdf-page-1:line-23:utf16-80","resolved-source-context","term/register and formula-neighboring support only; no accepted terminology"
"ac6f4eb7490b1bba788444ddb2361fc65c3d9f6e","ar","ideal","مثالي","مثالي | المثاليات; Arabic-only support","Use only next to ideal notation, inclusion, quotient/localization, or ring-structure context in the cited source row.","pdf-page-1:line-25:utf16-29","resolved-source-context","term/register and formula-neighboring support only; no accepted terminology"
"ac6f4eb7490b1bba788444ddb2361fc65c3d9f6e","ar","ideal","المثالي","مثالي | المثاليات; Arabic-only support","Use only next to ideal notation, inclusion, quotient/localization, or ring-structure context in the cited source row.","pdf-page-1:line-25:utf16-27","resolved-source-context","term/register and formula-neighboring support only; no accepted terminology"
"ac6f4eb7490b1bba788444ddb2361fc65c3d9f6e","ar","ideal","مثالي","مثالي | المثاليات; Arabic-only support","Use only next to ideal notation, inclusion, quotient/localization, or ring-structure context in the cited source row.","pdf-page-2:line-18:utf16-96","resolved-source-context","term/register and formula-neighboring support only; no accepted terminology"
"ac6f4eb7490b1bba788444ddb2361fc65c3d9f6e","ar","ideal","المثالي","مثالي | المثاليات; Arabic-only support","Use only next to ideal notation, inclusion, quotient/localization, or ring-structure context in the cited source row.","pdf-page-2:line-18:utf16-94","resolved-source-context","term/register and formula-neighboring support only; no accepted terminology"
"ac6f4eb7490b1bba788444ddb2361fc65c3d9f6e","ar","ideal","مثالي","مثالي | المثاليات; Arabic-only support","Use only next to ideal notation, inclusion, quotient/localization, or ring-structure context in the cited source row.","pdf-page-2:line-21:utf16-66","resolved-source-context","term/register and formula-neighboring support only; no accepted terminology"
"ac6f4eb7490b1bba788444ddb2361fc65c3d9f6e","ar","ideal","المثالي","مثالي | المثاليات; Arabic-only support","Use only next to ideal notation, inclusion, quotient/localization, or ring-structure context in the cited source row.","pdf-page-2:line-21:utf16-64","resolved-source-context","term/register and formula-neighboring support only; no accepted terminology"
"ac6f4eb7490b1bba788444ddb2361fc65c3d9f6e","ar","ideal","مثالي","مثالي | المثاليات; Arabic-only support","Use only next to ideal notation, inclusion, quotient/localization, or ring-structure context in the cited source row.","pdf-page-2:line-27:utf16-17","resolved-source-context","term/register and formula-neighboring support only; no accepted terminology"
"ac6f4eb7490b1bba788444ddb2361fc65c3d9f6e","ar","ideal","مثالي","مثالي | المثاليات; Arabic-only support","Use only next to ideal notation, inclusion, quotient/localization, or ring-structure context in the cited source row.","pdf-page-2:line-47:utf16-105","resolved-source-context","term/register and formula-neighboring support only; no accepted terminology"
"ac6f4eb7490b1bba788444ddb2361fc65c3d9f6e","ar","ideal","المثالي","مثالي | المثاليات; Arabic-only support","Use only next to ideal notation, inclusion, quotient/localization, or ring-structure context in the cited source row.","pdf-page-2:line-47:utf16-103","resolved-source-context","term/register and formula-neighboring support only; no accepted terminology"
"ac6f4eb7490b1bba788444ddb2361fc65c3d9f6e","ar","ideal","مثالي","مثالي | المثاليات; Arabic-only support","Use only next to ideal notation, inclusion, quotient/localization, or ring-structure context in the cited source row.","pdf-page-3:line-18:utf16-58","resolved-source-context","term/register and formula-neighboring support only; no accepted terminology"
"ac6f4eb7490b1bba788444ddb2361fc65c3d9f6e","ar","ideal","مثالي","مثالي | المثاليات; Arabic-only support","Use only next to ideal notation, inclusion, quotient/localization, or ring-structure context in the cited source row.","pdf-page-3:line-23:utf16-85","resolved-source-context","term/register and formula-neighboring support only; no accepted terminology"
"ac6f4eb7490b1bba788444ddb2361fc65c3d9f6e","ar","ideal","المثالي","مثالي | المثاليات; Arabic-only support","Use only next to ideal notation, inclusion, quotient/localization, or ring-structure context in the cited source row.","pdf-page-3:line-23:utf16-83","resolved-source-context","term/register and formula-neighboring support only; no accepted terminology"
"ac6f4eb7490b1bba788444ddb2361fc65c3d9f6e","ar","ideal","مثالي","مثالي | المثاليات; Arabic-only support","Use only next to ideal notation, inclusion, quotient/localization, or ring-structure context in the cited source row.","pdf-page-3:line-31:utf16-96","resolved-source-context","term/register and formula-neighboring support only; no accepted terminology"
"ac6f4eb7490b1bba788444ddb2361fc65c3d9f6e","ar","ideal","المثالي","مثالي | المثاليات; Arabic-only support","Use only next to ideal notation, inclusion, quotient/localization, or ring-structure context in the cited source row.","pdf-page-3:line-31:utf16-94","resolved-source-context","term/register and formula-neighboring support only; no accepted terminology"
