"branch_head","language_gate","native_source_body_rows","ocr_or_extracted_witness_rows","source_manifest_gap_rows","witness_recovery_rows","source_resolved_draft_rows","unresolved_source_context_rows","blocker_rows","status","boundary_note","ac6f4_alignment"
"212dfb1c7728f7c23274714434aa35d590e1aab7","ar","87","29","0","0","61","2","6","source-backed draft support permitted for resolved rows only","gate-separated; no cross-language authorization","carried-forward source-body/source-witness status under ac6f4"
"212dfb1c7728f7c23274714434aa35d590e1aab7","fa_IR","21","6","0","0","72","2","0","source-backed draft support permitted for resolved rows only","gate-separated; no cross-language authorization","carried-forward source-body/source-witness status under ac6f4"
"212dfb1c7728f7c23274714434aa35d590e1aab7","prs_AF","11","3","0","0","0","1","1","source-body or witness present; draft expansion blocked or pending","gate-separated; no cross-language authorization","carried-forward source-body/source-witness status under ac6f4"
"212dfb1c7728f7c23274714434aa35d590e1aab7","tg_Cyrl_TJ","19","6","0","0","0","2","1","source-body or witness present; draft expansion blocked or pending","gate-separated; no cross-language authorization","carried-forward source-body/source-witness status under ac6f4"
"212dfb1c7728f7c23274714434aa35d590e1aab7","ur_Arab","0","0","1","14","15","0","3","source-backed draft support permitted for resolved rows only","gate-separated; no cross-language authorization","carried-forward source-body/source-witness status under ac6f4"
"212dfb1c7728f7c23274714434aa35d590e1aab7","ota_Arab","0","0","1","7","0","0","3","source-body or witness present; draft expansion blocked or pending","gate-separated; no cross-language authorization","carried-forward source-body/source-witness status under ac6f4"
"212dfb1c7728f7c23274714434aa35d590e1aab7","ug_Arab","18","0","0","0","0","1","0","source-body or witness present; draft expansion blocked or pending","gate-separated; no cross-language authorization","carried-forward source-body/source-witness status under ac6f4"
"212dfb1c7728f7c23274714434aa35d590e1aab7","tr_Latn","4","0","0","0","0","0","0","source-body or witness present; draft expansion blocked or pending","gate-separated; no cross-language authorization","carried-forward source-body/source-witness status under ac6f4"
"212dfb1c7728f7c23274714434aa35d590e1aab7","Hindustani","0","0","0","0","0","0","0","source-canon gap","gate-separated; no cross-language authorization","carried-forward source-body/source-witness status under ac6f4"
"212dfb1c7728f7c23274714434aa35d590e1aab7","Pan-Turkic","0","0","0","0","0","0","0","source-canon gap","gate-separated; no cross-language authorization","carried-forward source-body/source-witness status under ac6f4"
