bundle,language_or_lane,source_like_entries,bytes,sample_paths
Interlanguage_LaTeX_SourceBodies_CJK_ZH_JA_20260704.zip,ukrainian,0,0,
Interlanguage_LaTeX_SourceBodies_CJK_ZH_JA_20260704.zip,russian,0,0,
Interlanguage_LaTeX_SourceBodies_CJK_ZH_JA_20260704.zip,interslavic,0,0,
Interlanguage_LaTeX_SourceBodies_CJK_ZH_JA_20260704.zip,czech,0,0,
Interlanguage_LaTeX_SourceBodies_CJK_ZH_JA_20260704.zip,polish,0,0,
Interlanguage_LaTeX_SourceBodies_CJK_ZH_JA_20260704.zip,slovak,0,0,
Interlanguage_LaTeX_SourceBodies_CJK_ZH_JA_20260704.zip,slovenian,0,0,
Interlanguage_LaTeX_SourceBodies_CJK_ZH_JA_20260704.zip,croatian,0,0,
Interlanguage_LaTeX_SourceBodies_CJK_ZH_JA_20260704.zip,serbian,0,0,
Interlanguage_LaTeX_SourceBodies_CJK_ZH_JA_20260704.zip,bulgarian,0,0,
Interlanguage_LaTeX_SourceBodies_CJK_ZH_JA_20260704.zip,macedonian,0,0,
Interlanguage_LaTeX_SourceBodies_CJK_ZH_JA_20260704.zip,belarusian,0,0,
Interlanguage_LaTeX_SourceBodies_CJK_ZH_JA_20260704.zip,sorbian,0,0,
Interlanguage_LaTeX_SourceBodies_CJK_ZH_JA_20260704.zip,slavic_linguistics,0,0,
Interlanguage_LaTeX_SourceBodies_CJK_ZH_JA_20260704.zip,chinese_japanese_cjk,168,8226330,sources/zh_CINTA_cn/CINTA-cn-master/CINTA-cn.tex | sources/zh_CINTA_cn/CINTA-cn-master/Notes/reinvent-bezout.tex | sources/zh_CINTA_cn/CINTA-cn-master/Notes/uniqueness-bezout.tex | sources/zh_CINTA_cn/CINTA-cn-master/Slides/mcs-01-numbers-euclid.tex | sources/zh_CINTA_cn/CINTA-cn-master/Slides/mcs-02-cong-euler.tex | sources/zh_CINTA_cn/CINTA-cn-master/Slides/mcs-03-groups.tex | sources/zh_CINTA_cn/CINTA-cn-master/Slides/mcs-04-homo-iso.tex | sources/zh_CINTA_cn/CINTA-cn-master/Slides/mcs-05-crt.tex
Interlanguage_LaTeX_SourceBodies_CJK_ZH_JA_20260704.zip,arabic_persian_rtl,0,0,
Interlanguage_LaTeX_SourceBodies_CJK_ZH_JA_20260704.zip,romance_es_fr,0,0,
Interlanguage_LaTeX_SourceBodies_CJK_ZH_JA_20260704.zip,TOTAL_SOURCE_LIKE,168,8226330,sources/zh_CINTA_cn/CINTA-cn-master/CINTA-cn.tex | sources/zh_CINTA_cn/CINTA-cn-master/Notes/reinvent-bezout.tex | sources/zh_CINTA_cn/CINTA-cn-master/Notes/uniqueness-bezout.tex | sources/zh_CINTA_cn/CINTA-cn-master/Slides/mcs-01-numbers-euclid.tex | sources/zh_CINTA_cn/CINTA-cn-master/Slides/mcs-02-cong-euler.tex | sources/zh_CINTA_cn/CINTA-cn-master/Slides/mcs-03-groups.tex | sources/zh_CINTA_cn/CINTA-cn-master/Slides/mcs-04-homo-iso.tex | sources/zh_CINTA_cn/CINTA-cn-master/Slides/mcs-05-crt.tex
Interlanguage_LaTeX_SourceBodies_Persian_RTL_Arabic_20260704.zip,ukrainian,0,0,
Interlanguage_LaTeX_SourceBodies_Persian_RTL_Arabic_20260704.zip,russian,0,0,
Interlanguage_LaTeX_SourceBodies_Persian_RTL_Arabic_20260704.zip,interslavic,0,0,
Interlanguage_LaTeX_SourceBodies_Persian_RTL_Arabic_20260704.zip,czech,0,0,
Interlanguage_LaTeX_SourceBodies_Persian_RTL_Arabic_20260704.zip,polish,0,0,
Interlanguage_LaTeX_SourceBodies_Persian_RTL_Arabic_20260704.zip,slovak,0,0,
Interlanguage_LaTeX_SourceBodies_Persian_RTL_Arabic_20260704.zip,slovenian,0,0,
Interlanguage_LaTeX_SourceBodies_Persian_RTL_Arabic_20260704.zip,croatian,0,0,
Interlanguage_LaTeX_SourceBodies_Persian_RTL_Arabic_20260704.zip,serbian,0,0,
Interlanguage_LaTeX_SourceBodies_Persian_RTL_Arabic_20260704.zip,bulgarian,0,0,
Interlanguage_LaTeX_SourceBodies_Persian_RTL_Arabic_20260704.zip,macedonian,0,0,
Interlanguage_LaTeX_SourceBodies_Persian_RTL_Arabic_20260704.zip,belarusian,0,0,
Interlanguage_LaTeX_SourceBodies_Persian_RTL_Arabic_20260704.zip,sorbian,0,0,
