german,spanish,japanese,location,note
nichtkommutativer Körper,cuerpo no conmutativo (anillo de división) / anillo de división,非可換体（斜体） / 斜体,Paper40 global,Historical Körper retained at first occurrence; algebraically division-ring-aware thereafter.
Divisionsalgebra,álgebra de división,除法代数,Paper40 §§6--9,Central-simple/division algebra context.
reziproke Darstellung,representación recíproca,相反表現,Paper40 §§1--4,Noether/Brauer reciprocal representation terminology.
direkte Darstellung,representación directa,直接表現,Paper40 §§1--4,Paired with reciprocal representation.
reziprok-isomorph,recíprocamente isomorfo,相反同型,Paper40 §6,Used for opposite/reciprocal algebraic structure.
Zerfällungskörper,cuerpo de descomposición,分解体,Paper40 §§7--9,Splitting field; kept distinct from Abspaltungskörper.
Abspaltungskörper,cuerpo de escisión parcial,部分分解体,Paper40 §9,Split-off/decomposition field for representation components; deliberately not collapsed into Zerfällungskörper.
absolut irreduzibel,absolutamente irreducible,絶対既約,Paper40 passim,Representation-theoretic sense.
vollständig reduzibel,completamente reducible,完全可約,Paper40 passim,Representation/module terminology.
Radikal,radical,根基,"Paper40 §§4,8--9",Radical of hypercomplex system/algebra.
Erweiterungsring,anillo de extensión,拡大環,Paper40 §5,Extension ring after coefficient extension.
Kontraktionsmodul,módulo de contracción,収縮加群,Paper40 §5,Paired with extension module.
komplementäre Basis,base complementaria,相補基底,Paper40 §6,Basis used in Galois-theoretic argument.
Schurscher Index,índice de Schur,Schur の指数,Paper40 §9,Schur index of associated algebra class.
Algebrenklassengruppe,grupo de clases de álgebras,代数類群,Paper40 §9,Brauer class group language.
einfach-geschlossen,simple-cerrado,単純閉,Paper40 §§6--7,Closed substructure in the noncommutative Galois theory passage.
reguläre Elemente,elementos regulares,正則元,Paper40 §6,Regular elements in simple system context.
