symbol_or_macro,meaning,use
"\frakO, \frako, \frakp",Fraktur order/prime notation,Paper37 normal basis and local group-ring notation
\Om,Omega base field in Paper38 source/control,Defined as \Omega in all current TeX
\N,Norm operator,Paper38 local degree/norm notation
\mathfrak R_K,Brauer algebra group assigned to K,Paper38 ordering theorem
"a_{S,T}",factor-system constants,Paper39 crossed-product notation
"u_S, v_S",crossed-product group symbols,Paper39
"(a,Z)",cyclic algebra with cyclic splitting field Z,Paper38/Paper39
"\Omega_\lambda, \Delta_\lambda",root-number/discriminant factors,Paper37 conductor comparison
"\Gcal, \Hcal, \Kcal, \Pcal, \Scal, \Tcal, \Zcal",calligraphic/Fraktur control macros for Paper40 source symbols,Paper40 control/cumulative TeX
\Sp,trace operator abbreviation in Paper40 controls,"Defined as operator macro, not a product of S and p"
"\frR, \frS, \frT, \frZ, \frB, \frD, \frM, \frN, \frP",Fraktur algebra/module/ring symbols,Paper40 Spanish/Japanese cumulative support
