"package_root","lane_classification","file_count"
"interlanguage-method-authority-761bec88-current-frontier-authority-routing-20260707","interlanguage_authority_visibility","370"
"interlanguage-method-authority-761bec88-local-sibling-recovery-addendum-20260707","interlanguage_authority_visibility","25"
"olp-relation-function-support-761bec88-0b6a-heartbeat-source-use-adverse-recovery-20260707","olp_relation_function_support","15"
"non-slavic-core-19b2ab4b-761-branch-visibility-route-20260707","non_slavic_core_route","14"
"r9-africa-horn-west-761bec88-arabic-inbound-wake-recovery-20260707","r9_africa_horn_west_lane","12"
"r7-malay-sea-pacific-761bec88-same-frontier-dedup-reverify-20260707","r7_malay_sea_pacific_lane","11"
"session12-20260705","b3_transfer_audit","11"
"persianate-tajik-source-evidence-draft-lane-761bec88-b3-frontier-recovery-20260707","persianate_tajik_lane","9"
"cjk-source-evidence-draft-lane-761bec88-dedup-idle-stale-recovery-20260707","cjk_lane","8"
"r2-pan-turkic-hard-blockers-761bec88-frontier-recovery-20260707","r2_pan_turkic_lane","4"
