"branch_head","lexeme_id","raw_witness_counts","capped_log_counts","effective_branch_number_D","kl_skew_from_target","branch_distribution_p","active_branch_count","source_basis","marginal_dominant_baseline_access","marginal_non_dominant_access_gain","marginal_status","notes","claim_boundary"
"28019a34851454d37431f2c900c80b45ea90f23e","rf_relation","Germanic:37; Slavic_East:0; Slavic_West:2; Slavic_South:405; Romance:0; Semitic:0; CJK:0; Malayic:0; Other:0","Germanic:3.6376; Slavic_East:0; Slavic_West:1.0986; Slavic_South:6.0064; Romance:0; Semitic:0; CJK:0; Malayic:0; Other:0","2.5217","0.4614","Germanic:0.3386; Slavic_East:0; Slavic_West:0.1023; Slavic_South:0.5591; Romance:0; Semitic:0; CJK:0; Malayic:0; Other:0","3","term_probe_counts.csv + forms.csv source-witness rows; generated-draft rows excluded","Germanic share 0.3386","Slavic East/West/South capped share 0.6614","source-probe-balanced-enough-for-language-owner-review","source-probe-balanced-enough-for-language-owner-review; no native review, no accepted terminology","witness-weight support only; no accepted terminology or review claim"
"28019a34851454d37431f2c900c80b45ea90f23e","rf_function","Germanic:139; Slavic_East:4; Slavic_West:1; Slavic_South:1329; Romance:0; Semitic:0; CJK:0; Malayic:0; Other:0","Germanic:4.9416; Slavic_East:1.6094; Slavic_West:0.6931; Slavic_South:7.1929; Romance:0; Semitic:0; CJK:0; Malayic:0; Other:0","3.0175","0.2819","Germanic:0.3423; Slavic_East:0.1115; Slavic_West:0.048; Slavic_South:0.4982; Romance:0; Semitic:0; CJK:0; Malayic:0; Other:0","4","term_probe_counts.csv + forms.csv source-witness rows; generated-draft rows excluded","Germanic share 0.3423","Slavic East/West/South capped share 0.6577","source-probe-balanced-enough-for-language-owner-review","source-probe-balanced-enough-for-language-owner-review; no native review, no accepted terminology","witness-weight support only; no accepted terminology or review claim"
"28019a34851454d37431f2c900c80b45ea90f23e","rf_domain","Germanic:79; Slavic_East:1; Slavic_West:1; Slavic_South:108; Romance:0; Semitic:0; CJK:0; Malayic:0; Other:0","Germanic:4.382; Slavic_East:0.6931; Slavic_West:0.6931; Slavic_South:4.6913; Romance:0; Semitic:0; CJK:0; Malayic:0; Other:0","2.956","0.3025","Germanic:0.4189; Slavic_East:0.0663; Slavic_West:0.0663; Slavic_South:0.4485; Romance:0; Semitic:0; CJK:0; Malayic:0; Other:0","4","term_probe_counts.csv + forms.csv source-witness rows; generated-draft rows excluded","Germanic share 0.4189","Slavic East/West/South capped share 0.5811","source-probe-balanced-enough-for-language-owner-review","source-probe-balanced-enough-for-language-owner-review; no native review, no accepted terminology","witness-weight support only; no accepted terminology or review claim"
"28019a34851454d37431f2c900c80b45ea90f23e","rf_codomain","Germanic:51; Slavic_East:0; Slavic_West:1; Slavic_South:5; Romance:0; Semitic:0; CJK:0; Malayic:0; Other:0","Germanic:3.9512; Slavic_East:0; Slavic_West:0.6931; Slavic_South:1.7918; Romance:0; Semitic:0; CJK:0; Malayic:0; Other:0","2.4486","0.4908","Germanic:0.6139; Slavic_East:0; Slavic_West:0.1077; Slavic_South:0.2784; Romance:0; Semitic:0; CJK:0; Malayic:0; Other:0","3","term_probe_counts.csv + forms.csv source-witness rows; generated-draft rows excluded","Germanic share 0.6139","Slavic East/West/South capped share 0.3861","source-probe-balanced-enough-for-language-owner-review","source-probe-balanced-enough-for-language-owner-review; no native review, no accepted terminology","witness-weight support only; no accepted terminology or review claim"
"28019a34851454d37431f2c900c80b45ea90f23e","rf_image_range","Germanic:140; Slavic_East:11; Slavic_West:65; Slavic_South:126; Romance:0; Semitic:0; CJK:0; Malayic:0; Other:0","Germanic:4.9488; Slavic_East:2.4849; Slavic_West:4.1897; Slavic_South:4.8442; Romance:0; Semitic:0; CJK:0; Malayic:0; Other:0","3.8762","0.0314","Germanic:0.3005; Slavic_East:0.1509; Slavic_West:0.2544; Slavic_South:0.2942; Romance:0; Semitic:0; CJK:0; Malayic:0; Other:0","4","term_probe_counts.csv + forms.csv source-witness rows; generated-draft rows excluded","Germanic share 0.3005","Slavic East/West/South capped share 0.6995","source-probe-balanced-enough-for-language-owner-review","source-probe-balanced-enough-for-language-owner-review; no native review, no accepted terminology","witness-weight support only; no accepted terminology or review claim"
"28019a34851454d37431f2c900c80b45ea90f23e","rf_injective","Germanic:29; Slavic_East:1; Slavic_West:1; Slavic_South:9; Romance:0; Semitic:0; CJK:0; Malayic:0; Other:0","Germanic:3.4012; Slavic_East:0.6931; Slavic_West:0.6931; Slavic_South:2.3026; Romance:0; Semitic:0; CJK:0; Malayic:0; Other:0","3.2293","0.214","Germanic:0.4797; Slavic_East:0.0978; Slavic_West:0.0978; Slavic_South:0.3248; Romance:0; Semitic:0; CJK:0; Malayic:0; Other:0","4","term_probe_counts.csv + forms.csv source-witness rows; generated-draft rows excluded","Germanic share 0.4797","Slavic East/West/South capped share 0.5203","source-probe-balanced-enough-for-language-owner-review","source-probe-balanced-enough-for-language-owner-review; no native review, no accepted terminology","witness-weight support only; no accepted terminology or review claim"
"28019a34851454d37431f2c900c80b45ea90f23e","rf_surjective","Germanic:28; Slavic_East:1; Slavic_West:1; Slavic_South:9; Romance:0; Semitic:0; CJK:0; Malayic:0; Other:0","Germanic:3.3673; Slavic_East:0.6931; Slavic_West:0.6931; Slavic_South:2.3026; Romance:0; Semitic:0; CJK:0; Malayic:0; Other:0","3.2361","0.2119","Germanic:0.4772; Slavic_East:0.0982; Slavic_West:0.0982; Slavic_South:0.3263; Romance:0; Semitic:0; CJK:0; Malayic:0; Other:0","4","term_probe_counts.csv + forms.csv source-witness rows; generated-draft rows excluded","Germanic share 0.4772","Slavic East/West/South capped share 0.5228","source-probe-balanced-enough-for-language-owner-review","source-probe-balanced-enough-for-language-owner-review; no native review, no accepted terminology","witness-weight support only; no accepted terminology or review claim"
"28019a34851454d37431f2c900c80b45ea90f23e","rf_bijective","Germanic:9; Slavic_East:1; Slavic_West:1; Slavic_South:21; Romance:0; Semitic:0; CJK:0; Malayic:0; Other:0","Germanic:2.3026; Slavic_East:0.6931; Slavic_West:0.6931; Slavic_South:3.091; Romance:0; Semitic:0; CJK:0; Malayic:0; Other:0","3.2909","0.1951","Germanic:0.3396; Slavic_East:0.1022; Slavic_West:0.1022; Slavic_South:0.4559; Romance:0; Semitic:0; CJK:0; Malayic:0; Other:0","4","term_probe_counts.csv + forms.csv source-witness rows; generated-draft rows excluded","Germanic share 0.3396","Slavic East/West/South capped share 0.6604","source-probe-balanced-enough-for-language-owner-review","source-probe-balanced-enough-for-language-owner-review; no native review, no accepted terminology","witness-weight support only; no accepted terminology or review claim"
"28019a34851454d37431f2c900c80b45ea90f23e","rf_equivalence_relation","Germanic:5; Slavic_East:1; Slavic_West:0; Slavic_South:142; Romance:0; Semitic:0; CJK:0; Malayic:0; Other:0","Germanic:1.7918; Slavic_East:0.6931; Slavic_West:0; Slavic_South:4.9628; Romance:0; Semitic:0; CJK:0; Malayic:0; Other:0","2.303","0.5521","Germanic:0.2406; Slavic_East:0.0931; Slavic_West:0; Slavic_South:0.6664; Romance:0; Semitic:0; CJK:0; Malayic:0; Other:0","3","term_probe_counts.csv + forms.csv source-witness rows; generated-draft rows excluded","Germanic share 0.2406","Slavic East/West/South capped share 0.7594","source-probe-balanced-enough-for-language-owner-review","source-probe-balanced-enough-for-language-owner-review; no native review, no accepted terminology","witness-weight support only; no accepted terminology or review claim"
"28019a34851454d37431f2c900c80b45ea90f23e","rf_partial_order","Germanic:9; Slavic_East:2; Slavic_West:0; Slavic_South:39; Romance:0; Semitic:0; CJK:0; Malayic:0; Other:0","Germanic:2.3026; Slavic_East:1.0986; Slavic_West:0; Slavic_South:3.6889; Romance:0; Semitic:0; CJK:0; Malayic:0; Other:0","2.7023","0.3922","Germanic:0.3248; Slavic_East:0.155; Slavic_West:0; Slavic_South:0.5203; Romance:0; Semitic:0; CJK:0; Malayic:0; Other:0","3","term_probe_counts.csv + forms.csv source-witness rows; generated-draft rows excluded","Germanic share 0.3248","Slavic East/West/South capped share 0.6752","source-probe-balanced-enough-for-language-owner-review","source-probe-balanced-enough-for-language-owner-review; no native review, no accepted terminology","witness-weight support only; no accepted terminology or review claim"
