volume,source_pages,source_page_count,reader_pdf_start_page,reader_pdf_end_page,reader_pdf_pages,source_layer,pdf_or_source_path
I,1-12,12,1,12,12,2026-06-02 gap fill,sources/classical/cayley-volume-i-suspect-draft-reader-2026-06-02/gap_fills/pages_001_012/cayley_vol01_pages001_012_suspect_draft.pdf
I,13-25,13,13,21,9,2026-05-29 repaired slice source,sources/classical/cayley-current-slice-and-source-rebuild-2026-05-29/cayley_repaired_slice_sources_2026-05-29/sources_tex_Vol_I/cayley_vol01_pages_013_025.pdf
I,26-37,12,22,33,12,2026-05-29 repaired slice source,sources/classical/cayley-current-slice-and-source-rebuild-2026-05-29/cayley_repaired_slice_sources_2026-05-29/sources_tex_Vol_I/cayley_vol01_pages_026_037.pdf
I,38-50,13,34,46,13,2026-06-02 gap fill,sources/classical/cayley-volume-i-suspect-draft-reader-2026-06-02/gap_fills/pages_038_050/cayley_vol01_pages038_050_suspect_draft.pdf
I,51-75,25,47,64,18,2026-05-29 repaired slice source,sources/classical/cayley-current-slice-and-source-rebuild-2026-05-29/cayley_repaired_slice_sources_2026-05-29/sources_tex_Vol_I/cayley_vol01_pages_051_075.pdf
I,76-100,25,65,88,24,2026-05-29 repaired slice source,sources/classical/cayley-current-slice-and-source-rebuild-2026-05-29/cayley_repaired_slice_sources_2026-05-29/sources_tex_Vol_I/cayley_vol01_pages_076_100.pdf
I,101-125,25,89,107,19,2026-05-29 repaired slice source,sources/classical/cayley-current-slice-and-source-rebuild-2026-05-29/cayley_repaired_slice_sources_2026-05-29/sources_tex_Vol_I/cayley_vol01_pages_101_125.pdf
I,126-150,25,108,133,26,2026-05-29 repaired slice source,sources/classical/cayley-current-slice-and-source-rebuild-2026-05-29/cayley_repaired_slice_sources_2026-05-29/sources_tex_Vol_I/cayley_vol01_pages_126_150.pdf
I,151-175,25,134,160,27,2026-05-29 repaired slice source,sources/classical/cayley-current-slice-and-source-rebuild-2026-05-29/cayley_repaired_slice_sources_2026-05-29/sources_tex_Vol_I/cayley_vol01_pages_151_175.pdf
I,176-200,25,161,186,26,2026-05-29 repaired slice source,sources/classical/cayley-current-slice-and-source-rebuild-2026-05-29/cayley_repaired_slice_sources_2026-05-29/sources_tex_Vol_I/cayley_vol01_pages_176_200.pdf
I,201-225,25,187,212,26,2026-05-29 repaired slice source,sources/classical/cayley-current-slice-and-source-rebuild-2026-05-29/cayley_repaired_slice_sources_2026-05-29/sources_tex_Vol_I/cayley_vol01_pages_201_225.pdf
I,226-250,25,213,238,26,2026-05-29 repaired slice source,sources/classical/cayley-current-slice-and-source-rebuild-2026-05-29/cayley_repaired_slice_sources_2026-05-29/sources_tex_Vol_I/cayley_vol01_pages_226_250.pdf
I,251-262,12,239,251,13,2026-06-02 gap fill,sources/classical/cayley-volume-i-suspect-draft-reader-2026-06-02/gap_fills/pages_251_262/cayley_vol01_pages251_262_suspect_draft.pdf
I,263-275,13,252,265,14,2026-05-29 repaired slice source,sources/classical/cayley-current-slice-and-source-rebuild-2026-05-29/cayley_repaired_slice_sources_2026-05-29/sources_tex_Vol_I/cayley_vol01_pages_263_275.pdf
