"field","value"
"packet_path","C:\Users\memo_\Documents\Codex\2026-07-04\noether-r3-arabic-persianate-linear-algebra\outputs\R3_2B1FED31_58566_7B77_BRANCH_VISIBILITY_AUDIT_20260706\R3_2B1FED31_58566_7B77_BRANCH_VISIBILITY_AUDIT_20260706_20260706T212349Z"
"prior_frontier","58566b83bd3cdc838d25f3659b4b0d81af4ac103"
"current_frontier","2b1fed3166138969bf5f5b31f056ef93de6eca6c"
"branch_delta_rows","59"
"branch_visible_7b77_files","20"
"branch_local_hash_matches","20"
"branch_local_hash_mismatches","0"
"r3_source_fact_change","false"
"new_generated_draft_rows","false"
"language_lane_git_push","false"
