"language","arxiv_id","title","source_url","relative_path","extension","bytes","sha256","classification"
"French","0910.2557v1","Un anneau de deformation universel en conducteur superieur","https://arxiv.org/e-print/0910.2557v1","interlanguage-sidecar\20260704\latex_source_body_bundles\romance_live_arxiv_candidates_20260705\extracted\0910.2557v1\0910.2557v1.tex",".tex","13748","2A7E878111765C2FC699F2392147B360D426D8A00B8976DD7165A704EA67419E","candidate source-like file extracted/decompressed from live arXiv e-print"
"French","1407.3941v1","Groupes d'extensions et foncteurs polynomiaux","https://arxiv.org/e-print/1407.3941v1","interlanguage-sidecar\20260704\latex_source_body_bundles\romance_live_arxiv_candidates_20260705\extracted\1407.3941v1\polext.tex",".tex","79064","1D3663AC261ABA8379901286B68AE6DAC8D978CA0ABC5B059FB81E634237C754","candidate source-like file extracted/decompressed from live arXiv e-print"
"French","2504.20230v1","Finitude du groupe de Tate-Shafarevich pour les groupes de type multiplicatif constants sur des corps des fonctions","https://arxiv.org/e-print/2504.20230v1","interlanguage-sidecar\20260704\latex_source_body_bundles\romance_live_arxiv_candidates_20260705\extracted\2504.20230v1\Biblio.bib",".bib","17161","485BBBF1A33FF81607305DBA1EAF939223EF9A3ED570E2B6267AE7CF62FDF388","candidate source-like file extracted/decompressed from live arXiv e-print"
"French","2504.20230v1","Finitude du groupe de Tate-Shafarevich pour les groupes de type multiplicatif constants sur des corps des fonctions","https://arxiv.org/e-print/2504.20230v1","interlanguage-sidecar\20260704\latex_source_body_bundles\romance_live_arxiv_candidates_20260705\extracted\2504.20230v1\include.sty",".sty","67564","2904F43B98587CE3C395586A744C8742C964BCADF29CA86C22A9AB694E25EBE8","candidate source-like file extracted/decompressed from live arXiv e-print"
"French","2504.20230v1","Finitude du groupe de Tate-Shafarevich pour les groupes de type multiplicatif constants sur des corps des fonctions","https://arxiv.org/e-print/2504.20230v1","interlanguage-sidecar\20260704\latex_source_body_bundles\romance_live_arxiv_candidates_20260705\extracted\2504.20230v1\main.tex",".tex","87959","B3911AC1B0534D1509AE4D7DEF28F216B4EE312F6E94F8BF789FAF468644DB74","candidate source-like file extracted/decompressed from live arXiv e-print"
"French","2506.03851v1","Algebraic identities to prove that a neat finite free algebra is tracically etale","https://arxiv.org/e-print/2506.03851v1","interlanguage-sidecar\20260704\latex_source_body_bundles\romance_live_arxiv_candidates_20260705\extracted\2506.03851v1\FrenchMacrosClspadic.tex",".tex","40805","6E4CEC89F1650F90D38C7F2A02C1E24D5155889090A72DD1772701185E2E4E0D","candidate source-like file extracted/decompressed from live arXiv e-print"
"French","2506.03851v1","Algebraic identities to prove that a neat finite free algebra is tracically etale","https://arxiv.org/e-print/2506.03851v1","interlanguage-sidecar\20260704\latex_source_body_bundles\romance_live_arxiv_candidates_20260705\extracted\2506.03851v1\FrenchTheoremsClspadic.tex",".tex","2869","F3BD0E65ECC3B09592F774785399BBDE23C64FA25B8899F2B2C3F5762A116D69","candidate source-like file extracted/decompressed from live arXiv e-print"
"French","2506.03851v1","Algebraic identities to prove that a neat finite free algebra is tracically etale","https://arxiv.org/e-print/2506.03851v1","interlanguage-sidecar\20260704\latex_source_body_bundles\romance_live_arxiv_candidates_20260705\extracted\2506.03851v1\KhalerNoetDiff.tex",".tex","33398","9359D1D012ADE302463CC1A18DB6890065603427D1D95B57A915141A5131103F","candidate source-like file extracted/decompressed from live arXiv e-print"
"French","2506.03851v1","Algebraic identities to prove that a neat finite free algebra is tracically etale","https://arxiv.org/e-print/2506.03851v1","interlanguage-sidecar\20260704\latex_source_body_bundles\romance_live_arxiv_candidates_20260705\extracted\2506.03851v1\MathMacrosClspadic.tex",".tex","34641","3E7D98D5082C39ABFA7E47BD973AF15E84EE3F21F3619A7167F524F808A0DAC2","candidate source-like file extracted/decompressed from live arXiv e-print"
"Spanish","1312.6798v1","Re-filtracion y propiedades de regularidad de anillos multi-filtrados","https://arxiv.org/e-print/1312.6798v1","interlanguage-sidecar\20260704\latex_source_body_bundles\romance_live_arxiv_candidates_20260705\extracted\1312.6798v1\1312.6798v1.tex",".tex","65255","0C26CC9B4DA307FB85A3EB40559693F7CB3CF694894D8E83644F527FDFB7AD7B","candidate source-like file extracted/decompressed from live arXiv e-print"
