"row_type","branch_range","commit","path_or_subject","r7_relevance","r7_effect","required_r7_action"
"commit","c7fb7e644e04102b67cc5da379ba9d4226feaef8..212dfb1c7728f7c23274714434aa35d590e1aab7","212dfb1c","Add R6 retry R3 c7fb alignment batch","method_or_sibling_alignment","no direct R7 body-tree change observed","carry source-use/adverse boundaries; keep B3 queue for local-only R7 bodies"
"changed_path","c7fb7e644e04102b67cc5da379ba9d4226feaef8..212dfb1c7728f7c23274714434aa35d590e1aab7","","interlanguage-sidecar/rtl-persianate-arabic-c7fb-current-head-continuation-20260706/R3_C7FB_CURRENT_HEAD_CONTINUATION_20260706T043558Z/B3_UPLOADER_READY_SUMMARY.csv","sibling_or_b3_context","no direct R7 source-body change; method/B3 context only","record as branch-context carry-forward; no draft promotion"
"changed_path","c7fb7e644e04102b67cc5da379ba9d4226feaef8..212dfb1c7728f7c23274714434aa35d590e1aab7","","interlanguage-sidecar/rtl-persianate-arabic-c7fb-current-head-continuation-20260706/R3_C7FB_CURRENT_HEAD_CONTINUATION_20260706T043558Z/BRANCH_C7FB_INSTRUCTIONS_AND_AUTHORITY_INPUTS.csv","sibling_or_b3_context","no direct R7 source-body change; method/B3 context only","record as branch-context carry-forward; no draft promotion"
"changed_path","c7fb7e644e04102b67cc5da379ba9d4226feaef8..212dfb1c7728f7c23274714434aa35d590e1aab7","","interlanguage-sidecar/rtl-persianate-arabic-c7fb-current-head-continuation-20260706/R3_C7FB_CURRENT_HEAD_CONTINUATION_20260706T043558Z/BRANCH_C7FB_PACKAGED_R3_ARTIFACTS.csv","sibling_or_b3_context","no direct R7 source-body change; method/B3 context only","record as branch-context carry-forward; no draft promotion"
"changed_path","c7fb7e644e04102b67cc5da379ba9d4226feaef8..212dfb1c7728f7c23274714434aa35d590e1aab7","","interlanguage-sidecar/rtl-persianate-arabic-c7fb-current-head-continuation-20260706/R3_C7FB_CURRENT_HEAD_CONTINUATION_20260706T043558Z/BRANCH_C7FB_R3_TREE_PATHS.csv","sibling_or_b3_context","no direct R7 source-body change; method/B3 context only","record as branch-context carry-forward; no draft promotion"
"changed_path","c7fb7e644e04102b67cc5da379ba9d4226feaef8..212dfb1c7728f7c23274714434aa35d590e1aab7","","interlanguage-sidecar/rtl-persianate-arabic-c7fb-current-head-continuation-20260706/R3_C7FB_CURRENT_HEAD_CONTINUATION_20260706T043558Z/LOCAL_INPUT_PACKET_INDEX.csv","sibling_or_b3_context","no direct R7 source-body change; method/B3 context only","record as branch-context carry-forward; no draft promotion"
"changed_path","c7fb7e644e04102b67cc5da379ba9d4226feaef8..212dfb1c7728f7c23274714434aa35d590e1aab7","","interlanguage-sidecar/rtl-persianate-arabic-c7fb-current-head-continuation-20260706/R3_C7FB_CURRENT_HEAD_CONTINUATION_20260706T043558Z/MANIFEST.csv","sibling_or_b3_context","no direct R7 source-body change; method/B3 context only","record as branch-context carry-forward; no draft promotion"
"changed_path","c7fb7e644e04102b67cc5da379ba9d4226feaef8..212dfb1c7728f7c23274714434aa35d590e1aab7","","interlanguage-sidecar/rtl-persianate-arabic-c7fb-current-head-continuation-20260706/R3_C7FB_CURRENT_HEAD_CONTINUATION_20260706T043558Z/PACKAGE_VALIDATION.json","sibling_or_b3_context","no direct R7 source-body change; method/B3 context only","record as branch-context carry-forward; no draft promotion"
"changed_path","c7fb7e644e04102b67cc5da379ba9d4226feaef8..212dfb1c7728f7c23274714434aa35d590e1aab7","","interlanguage-sidecar/rtl-persianate-arabic-c7fb-current-head-continuation-20260706/R3_C7FB_CURRENT_HEAD_CONTINUATION_20260706T043558Z/R3_C7FB_BLOCKERS_GAPS_NEXT_ACTIONS.csv","sibling_or_b3_context","no direct R7 source-body change; method/B3 context only","record as branch-context carry-forward; no draft promotion"
"changed_path","c7fb7e644e04102b67cc5da379ba9d4226feaef8..212dfb1c7728f7c23274714434aa35d590e1aab7","","interlanguage-sidecar/rtl-persianate-arabic-c7fb-current-head-continuation-20260706/R3_C7FB_CURRENT_HEAD_CONTINUATION_20260706T043558Z/R3_C7FB_FABLE_SOURCE_USE_ADVERSE_LEDGER.csv","sibling_or_b3_context","no direct R7 source-body change; method/B3 context only","record as branch-context carry-forward; no draft promotion"
"changed_path","c7fb7e644e04102b67cc5da379ba9d4226feaef8..212dfb1c7728f7c23274714434aa35d590e1aab7","","interlanguage-sidecar/rtl-persianate-arabic-c7fb-current-head-continuation-20260706/R3_C7FB_CURRENT_HEAD_CONTINUATION_20260706T043558Z/R3_C7FB_PRETRANSLATION_INTERLINEAR_ROWS.csv","sibling_or_b3_context","no direct R7 source-body change; method/B3 context only","record as branch-context carry-forward; no draft promotion"
