"branch_head_active","previous_branch_head","carry_forward_type","direct_r7_body_change_at_212dfb","branch_effect","c7fb_delta_direct_r7_body_change","c7fb_delta_effect","draft_row_id","source_witness_row_id","source_language","source_title","source_url","source_sha256","extracted_text_relative_path","target_renderings_generated_draft","source_context_refs","term_alternatives_register_notes","formula_neighboring_usage_note","interlinear_scaffold","status"
"c7fb7e644e04102b67cc5da379ba9d4226feaef8","8f7d1cb30ca4347812d05bfbe110b134bb758870","source-backed generated-draft/non-canonical pretranslation/interlinear rows","no","212dfb packages R6/R3/old-B alignment; R7 source-body gap and draft/blocker boundaries carry forward","no","R3/R6/authority packages change method/source-use context only; R7 body tree is branch-visible under language-source-bodies/r7-malay-sea-pacific-20260705 and local R7 payload remains B3-transfer-ready","R7-8F7D1CB-MI-ID-PROOF-01","MI-ID-PROOF-01","Indonesian","neliti_weyl_algebra_noether_prime_ring","https://media.neliti.com/media/publications/246767-aljabar-weyl-contoh-gelanggang-noether-d-a0525230.pdf","BBC6D32ACEC9BE1F0CDB72B02BF16B0AC52DD87C4BD6BA1ECDDABCCEDB26140D","outputs/R7_WHOLE_CORPUS_WORKCYCLE4_SOURCE_GATED_EXTRACTION_PRETRANSLATION_20260706/extracted-text/MI-ID-PROOF-01.txt","gelanggang; ring/gelanggang alternative context; Noether / Noetherian; ideal; maksimal; polinom; modul; submodul; grup","gelanggang[44]; ring[6]; Noether[33]; ideal[30]; maksimal[1]; polinom[18]; modul[15]; submodul[3]; grup[3]","Use as Indonesian source-context support only; no accepted terminology, native review, or Malay/Brunei/Singapore transfer beyond the source row.","Use only next to exact extracted algebra/course/proof context; course/catalog rows are terminology/course-context support, not proof authority unless passage shows proof prose.","source form(s) -> generated draft rendering(s): gelanggang; ring/gelanggang alternative context; Noether / Noetherian; ideal; maksimal; polinom; modul; submodul; grup","generated-draft/non-canonical/source-backed R7 support"
"c7fb7e644e04102b67cc5da379ba9d4226feaef8","8f7d1cb30ca4347812d05bfbe110b134bb758870","source-backed generated-draft/non-canonical pretranslation/interlinear rows","no","212dfb packages R6/R3/old-B alignment; R7 source-body gap and draft/blocker boundaries carry forward","no","R3/R6/authority packages change method/source-use context only; R7 body tree is branch-visible under language-source-bodies/r7-malay-sea-pacific-20260705 and local R7 payload remains B3-transfer-ready","R7-8F7D1CB-MI-ID-PROOF-02","MI-ID-PROOF-02","Indonesian","uin_alauddin_struktur_aljabar_teori_ring","https://repositori.uin-alauddin.ac.id/23785/2/Struktur%20Aljabar%20-%20Teori%20Ring.pdf","A827A870E62C7EBB5EA1CEDA21FB36581E8252ECB6EAD205F17C6D8E07A5CC31","outputs/R7_WHOLE_CORPUS_WORKCYCLE4_SOURCE_GATED_EXTRACTION_PRETRANSLATION_20260706/extracted-text/MI-ID-PROOF-02.txt","gelanggang; ring/gelanggang alternative context; ideal; prima; polinom; suku banyak; modul; homomorfisma; homomorfisme; isomorfisma; grup; kumpulan","gelanggang[4]; ring[293]; ideal[60]; prima[2]; polinom[84]; suku banyak[4]; modul[8]; homomorfisma[29]; homomorfisme[4]; isomorfisma[16]; grup[39]; kumpulan[7]","Use as Indonesian source-context support only; no accepted terminology, native review, or Malay/Brunei/Singapore transfer beyond the source row.","Use only next to exact extracted algebra/course/proof context; course/catalog rows are terminology/course-context support, not proof authority unless passage shows proof prose.","source form(s) -> generated draft rendering(s): gelanggang; ring/gelanggang alternative context; ideal; prima; polinom; suku banyak; modul; homomorfisma; homomorfisme; isomorfisma; grup; kumpulan","generated-draft/non-canonical/source-backed R7 support"
"c7fb7e644e04102b67cc5da379ba9d4226feaef8","8f7d1cb30ca4347812d05bfbe110b134bb758870","source-backed generated-draft/non-canonical pretranslation/interlinear rows","no","212dfb packages R6/R3/old-B alignment; R7 source-body gap and draft/blocker boundaries carry forward","no","R3/R6/authority packages change method/source-use context only; R7 body tree is branch-visible under language-source-bodies/r7-malay-sea-pacific-20260705 and local R7 payload remains B3-transfer-ready","R7-8F7D1CB-MI-ID-PROOF-03","MI-ID-PROOF-03","Indonesian","um_surabaya_pid_ufd_noetherian_ring","https://journal.um-surabaya.ac.id/matematika/article/download/2319/2127/8538","9ACB315B58FFFF952A1F409CA7AE4CDC4EEE395CD665AC682F2628E541F08541","outputs/R7_WHOLE_CORPUS_WORKCYCLE4_SOURCE_GATED_EXTRACTION_PRETRANSLATION_20260706/extracted-text/MI-ID-PROOF-03.txt","gelanggang; ring/gelanggang alternative context; Noether / Noetherian; ideal; prima; maksimal","gelanggang[30]; ring[1]; Noether[31]; ideal[76]; prima[6]; maksimal[14]","Use as Indonesian source-context support only; no accepted terminology, native review, or Malay/Brunei/Singapore transfer beyond the source row.","Use only next to exact extracted algebra/course/proof context; course/catalog rows are terminology/course-context support, not proof authority unless passage shows proof prose.","source form(s) -> generated draft rendering(s): gelanggang; ring/gelanggang alternative context; Noether / Noetherian; ideal; prima; maksimal","generated-draft/non-canonical/source-backed R7 support"
"c7fb7e644e04102b67cc5da379ba9d4226feaef8","8f7d1cb30ca4347812d05bfbe110b134bb758870","source-backed generated-draft/non-canonical pretranslation/interlinear rows","no","212dfb packages R6/R3/old-B alignment; R7 source-body gap and draft/blocker boundaries carry forward","no","R3/R6/authority packages change method/source-use context only; R7 body tree is branch-visible under language-source-bodies/r7-malay-sea-pacific-20260705 and local R7 payload remains B3-transfer-ready","R7-8F7D1CB-MI-ID-PROOF-04","MI-ID-PROOF-04","Indonesian","unhas_prime_maximal_ideals_polynomial_rings","https://journal.unhas.ac.id/index.php/jmsk/article/download/3431/1967/6825","18CFDBE1D8CAD27EDA19A6DAB1E9D258EF4F7874407D3746A8CBD6BFBBDEF16A","outputs/R7_WHOLE_CORPUS_WORKCYCLE4_SOURCE_GATED_EXTRACTION_PRETRANSLATION_20260706/extracted-text/MI-ID-PROOF-04.txt","gelanggang; ring/gelanggang alternative context; ideal; prima; maksimal; polinom","gelanggang[25]; ring[1]; ideal[72]; prima[32]; maksimal[38]; polinom[9]","Use as Indonesian source-context support only; no accepted terminology, native review, or Malay/Brunei/Singapore transfer beyond the source row.","Use only next to exact extracted algebra/course/proof context; course/catalog rows are terminology/course-context support, not proof authority unless passage shows proof prose.","source form(s) -> generated draft rendering(s): gelanggang; ring/gelanggang alternative context; ideal; prima; maksimal; polinom","generated-draft/non-canonical/source-backed R7 support"
"c7fb7e644e04102b67cc5da379ba9d4226feaef8","8f7d1cb30ca4347812d05bfbe110b134bb758870","source-backed generated-draft/non-canonical pretranslation/interlinear rows","no","212dfb packages R6/R3/old-B alignment; R7 source-body gap and draft/blocker boundaries carry forward","no","R3/R6/authority packages change method/source-use context only; R7 body tree is branch-visible under language-source-bodies/r7-malay-sea-pacific-20260705 and local R7 payload remains B3-transfer-ready","R7-8F7D1CB-MI-ID-PROOF-05","MI-ID-PROOF-05","Indonesian","walisongo_artin_ring_ideal_homomorphism_factor_ring","https://journal.walisongo.ac.id/index.php/square/article/download/17610/5821","04D26A349D7DDCEFBC4CF83F9D8B10E5A79BDFA68A023ADE6AA6CE26A05046E9","outputs/R7_WHOLE_CORPUS_WORKCYCLE4_SOURCE_GATED_EXTRACTION_PRETRANSLATION_20260706/extracted-text/MI-ID-PROOF-05.txt","gelanggang; ring/gelanggang alternative context; Noether / Noetherian; ideal; prima; maksimal; polinom; modul; submodul; homomorfisma; grup; kumpulan","gelanggang[67]; ring[7]; Noether[1]; ideal[48]; prima[16]; maksimal[15]; polinom[1]; modul[7]; submodul[4]; homomorfisma[13]; grup[3]; kumpulan[1]","Use as Indonesian source-context support only; no accepted terminology, native review, or Malay/Brunei/Singapore transfer beyond the source row.","Use only next to exact extracted algebra/course/proof context; course/catalog rows are terminology/course-context support, not proof authority unless passage shows proof prose.","source form(s) -> generated draft rendering(s): gelanggang; ring/gelanggang alternative context; Noether / Noetherian; ideal; prima; maksimal; polinom; modul; submodul; homomorfisma; grup; kumpulan","generated-draft/non-canonical/source-backed R7 support"
"c7fb7e644e04102b67cc5da379ba9d4226feaef8","8f7d1cb30ca4347812d05bfbe110b134bb758870","source-backed generated-draft/non-canonical pretranslation/interlinear rows","no","212dfb packages R6/R3/old-B alignment; R7 source-body gap and draft/blocker boundaries carry forward","no","R3/R6/authority packages change method/source-use context only; R7 body tree is branch-visible under language-source-bodies/r7-malay-sea-pacific-20260705 and local R7 payload remains B3-transfer-ready","R7-8F7D1CB-MI-ID-SPEC-01","MI-ID-SPEC-01","Indonesian","indonesia_unipasby_gelanggang_s_prima_penuh_2025","https://jurnal.unipasby.ac.id/buana_matematika/article/download/10284/6250","B6D2CCBA134E19715D6B8907F2DC48FE562BF3580E737C0039A03CE1F5009788","outputs/R7_WHOLE_CORPUS_WORKCYCLE4_SOURCE_GATED_EXTRACTION_PRETRANSLATION_20260706/extracted-text/MI-ID-SPEC-01.txt","gelanggang; ring/gelanggang alternative context; ideal; prima; modul; submodul","gelanggang[66]; ring[8]; ideal[70]; prima[94]; modul[12]; submodul[4]","Use as Indonesian source-context support only; no accepted terminology, native review, or Malay/Brunei/Singapore transfer beyond the source row.","Use only next to exact extracted algebra/course/proof context; course/catalog rows are terminology/course-context support, not proof authority unless passage shows proof prose.","source form(s) -> generated draft rendering(s): gelanggang; ring/gelanggang alternative context; ideal; prima; modul; submodul","generated-draft/non-canonical/source-backed R7 support"
"c7fb7e644e04102b67cc5da379ba9d4226feaef8","8f7d1cb30ca4347812d05bfbe110b134bb758870","source-backed generated-draft/non-canonical pretranslation/interlinear rows","no","212dfb packages R6/R3/old-B alignment; R7 source-body gap and draft/blocker boundaries carry forward","no","R3/R6/authority packages change method/source-use context only; R7 body tree is branch-visible under language-source-bodies/r7-malay-sea-pacific-20260705 and local R7 payload remains B3-transfer-ready","R7-8F7D1CB-MI-ID-SPEC-02","MI-ID-SPEC-02","Indonesian","indonesia_unpatti_ring_prima_semiprima_2013","https://ejournal.unpatti.ac.id/ppr_iteminfo_lnk.php?id=658","24B389157A2440A7464280DC66CDE66D0A43E3B98297003F130AEC99C5F195BD","outputs/R7_WHOLE_CORPUS_WORKCYCLE4_SOURCE_GATED_EXTRACTION_PRETRANSLATION_20260706/extracted-text/MI-ID-SPEC-02.txt","gelanggang; ring/gelanggang alternative context; prima; modul; grup","gelanggang[1]; ring[69]; prima[49]; modul[1]; grup[2]","Use as Indonesian source-context support only; no accepted terminology, native review, or Malay/Brunei/Singapore transfer beyond the source row.","Use only next to exact extracted algebra/course/proof context; course/catalog rows are terminology/course-context support, not proof authority unless passage shows proof prose.","source form(s) -> generated draft rendering(s): gelanggang; ring/gelanggang alternative context; prima; modul; grup","generated-draft/non-canonical/source-backed R7 support"
"c7fb7e644e04102b67cc5da379ba9d4226feaef8","8f7d1cb30ca4347812d05bfbe110b134bb758870","source-backed generated-draft/non-canonical pretranslation/interlinear rows","no","212dfb packages R6/R3/old-B alignment; R7 source-body gap and draft/blocker boundaries carry forward","no","R3/R6/authority packages change method/source-use context only; R7 body tree is branch-visible under language-source-bodies/r7-malay-sea-pacific-20260705 and local R7 payload remains B3-transfer-ready","R7-8F7D1CB-MI-ID-SPEC-03","MI-ID-SPEC-03","Indonesian","indonesia_unram_semeton_noetherian_module_2025","https://eigen.unram.ac.id/index.php/semeton/article/download/263/164","5EAE5820AFA39D1BC042277ED6C271D123746492942C85F4B2832625DF949F70","outputs/R7_WHOLE_CORPUS_WORKCYCLE4_SOURCE_GATED_EXTRACTION_PRETRANSLATION_20260706/extracted-text/MI-ID-SPEC-03.txt","gelanggang; ring/gelanggang alternative context; Noether / Noetherian; ideal; prima; maksimal; modul; submodul; kategori","gelanggang[1]; ring[15]; Noether[76]; ideal[16]; prima[1]; maksimal[3]; modul[111]; submodul[32]; kategori[1]","Use as Indonesian source-context support only; no accepted terminology, native review, or Malay/Brunei/Singapore transfer beyond the source row.","Use only next to exact extracted algebra/course/proof context; course/catalog rows are terminology/course-context support, not proof authority unless passage shows proof prose.","source form(s) -> generated draft rendering(s): gelanggang; ring/gelanggang alternative context; Noether / Noetherian; ideal; prima; maksimal; modul; submodul; kategori","generated-draft/non-canonical/source-backed R7 support"
"c7fb7e644e04102b67cc5da379ba9d4226feaef8","8f7d1cb30ca4347812d05bfbe110b134bb758870","source-backed generated-draft/non-canonical pretranslation/interlinear rows","no","212dfb packages R6/R3/old-B alignment; R7 source-body gap and draft/blocker boundaries carry forward","no","R3/R6/authority packages change method/source-use context only; R7 body tree is branch-visible under language-source-bodies/r7-malay-sea-pacific-20260705 and local R7 payload remains B3-transfer-ready","R7-8F7D1CB-MI-MY-COURSE-01","MI-MY-COURSE-01","Malaysian Malay","malaysia_ukm_pusat_pengajian_sains_matematik_2012_2013","https://www.ukm.my/fst/wp-content/uploads/2015/12/25ppsm.pdf","4CBA7ACEC085DEFCC9FCE85E8900A8204A27F08188E65CE65DD4351D0B89972A","outputs/R7_WHOLE_CORPUS_WORKCYCLE4_SOURCE_GATED_EXTRACTION_PRETRANSLATION_20260706/extracted-text/MI-MY-COURSE-01.txt","gelanggang; ring/gelanggang alternative context; prima; polinom; homomorfisma; isomorfisma; kumpulan; kategori","gelanggang[4]; ring[34]; prima[1]; polinom[5]; homomorfisma[2]; isomorfisma[1]; kumpulan[12]; kategori[3]","Use as Malaysian Malay source-context support only; no accepted terminology, native review, or Malay/Brunei/Singapore transfer beyond the source row.","Use only next to exact extracted algebra/course/proof context; course/catalog rows are terminology/course-context support, not proof authority unless passage shows proof prose.","source form(s) -> generated draft rendering(s): gelanggang; ring/gelanggang alternative context; prima; polinom; homomorfisma; isomorfisma; kumpulan; kategori","generated-draft/non-canonical/source-backed R7 support"
"c7fb7e644e04102b67cc5da379ba9d4226feaef8","8f7d1cb30ca4347812d05bfbe110b134bb758870","source-backed generated-draft/non-canonical pretranslation/interlinear rows","no","212dfb packages R6/R3/old-B alignment; R7 source-body gap and draft/blocker boundaries carry forward","no","R3/R6/authority packages change method/source-use context only; R7 body tree is branch-visible under language-source-bodies/r7-malay-sea-pacific-20260705 and local R7 payload remains B3-transfer-ready","R7-8F7D1CB-MI-MY-COURSE-02","MI-MY-COURSE-02","Malaysian Malay","malaysia_umt_matematik_kewangan_programme_2023","https://www.umt.edu.my/wp-content/uploads/2023/11/Matematik-Kewangan.pdf","50ACCF000861AD9841134333EB73AC6B0BB184A9B091EBD71B5039620A2BBA4B","outputs/R7_WHOLE_CORPUS_WORKCYCLE4_SOURCE_GATED_EXTRACTION_PRETRANSLATION_20260706/extracted-text/MI-MY-COURSE-02.txt","gelanggang; ring/gelanggang alternative context; polinom; modul; kumpulan; kategori","gelanggang[1]; ring[7]; polinom[1]; modul[3]; kumpulan[2]; kategori[2]","Use as Malaysian Malay source-context support only; no accepted terminology, native review, or Malay/Brunei/Singapore transfer beyond the source row.","Use only next to exact extracted algebra/course/proof context; course/catalog rows are terminology/course-context support, not proof authority unless passage shows proof prose.","source form(s) -> generated draft rendering(s): gelanggang; ring/gelanggang alternative context; polinom; modul; kumpulan; kategori","generated-draft/non-canonical/source-backed R7 support"
