"branch_head_active","previous_branch_head","carry_forward_type","direct_r7_body_change_at_212dfb","branch_effect","c7fb_delta_direct_r7_body_change","c7fb_delta_effect","held_row_id","source_witness_row_id","source_language","source_title","source_role_label","status_bucket","package_relative_path","reason_not_translation_evidence","next_recovery_action","authority_boundary"
"c7fb7e644e04102b67cc5da379ba9d4226feaef8","8f7d1cb30ca4347812d05bfbe110b134bb758870","comparator/title/route/source-return held rows","no","212dfb packages R6/R3/old-B alignment; R7 source-body gap and draft/blocker boundaries carry forward","no","R3/R6/authority packages change method/source-use context only; R7 body tree is branch-visible under language-source-bodies/r7-malay-sea-pacific-20260705 and local R7 payload remains B3-transfer-ready","WC5-HELD-MI-ID-GLOS-01","MI-ID-GLOS-01","Indonesian","indonesia_glosarium_matematika_1993_wikimedia_mirror","comparator_only_body_not_translation_authority","comparator-only-held","bodies/comparator_only_body_not_translation_authority/MI-ID-GLOS-01__indonesia_glosarium_matematika_1993_wikimedia_mirror.pdf","comparator-only; may support recovery/search but not translation authority","keep held label; do not promote","held/non-translation-evidence; no accepted terminology or gate promotion"
"c7fb7e644e04102b67cc5da379ba9d4226feaef8","8f7d1cb30ca4347812d05bfbe110b134bb758870","comparator/title/route/source-return held rows","no","212dfb packages R6/R3/old-B alignment; R7 source-body gap and draft/blocker boundaries carry forward","no","R3/R6/authority packages change method/source-use context only; R7 body tree is branch-visible under language-source-bodies/r7-malay-sea-pacific-20260705 and local R7 payload remains B3-transfer-ready","WC5-HELD-MI-ID-GLOS-02","MI-ID-GLOS-02","Indonesian","indonesia_glosarium_matematika_2008_wikimedia_mirror","comparator_only_body_not_translation_authority","comparator-only-held","bodies/comparator_only_body_not_translation_authority/MI-ID-GLOS-02__indonesia_glosarium_matematika_2008_wikimedia_mirror.pdf","comparator-only; may support recovery/search but not translation authority","keep held label; do not promote","held/non-translation-evidence; no accepted terminology or gate promotion"
"c7fb7e644e04102b67cc5da379ba9d4226feaef8","8f7d1cb30ca4347812d05bfbe110b134bb758870","comparator/title/route/source-return held rows","no","212dfb packages R6/R3/old-B alignment; R7 source-body gap and draft/blocker boundaries carry forward","no","R3/R6/authority packages change method/source-use context only; R7 body tree is branch-visible under language-source-bodies/r7-malay-sea-pacific-20260705 and local R7 payload remains B3-transfer-ready","WC5-HELD-MI-MY-GLOS-01","MI-MY-GLOS-01","Malaysian Malay","um_bm_to_english_math_terms","comparator_only_body_not_translation_authority","comparator-only-held","bodies/comparator_only_body_not_translation_authority/MI-MY-GLOS-01__um_bm_to_english_math_terms.pdf","comparator-only; may support recovery/search but not translation authority","keep held label; do not promote","held/non-translation-evidence; no accepted terminology or gate promotion"
"c7fb7e644e04102b67cc5da379ba9d4226feaef8","8f7d1cb30ca4347812d05bfbe110b134bb758870","comparator/title/route/source-return held rows","no","212dfb packages R6/R3/old-B alignment; R7 source-body gap and draft/blocker boundaries carry forward","no","R3/R6/authority packages change method/source-use context only; R7 body tree is branch-visible under language-source-bodies/r7-malay-sea-pacific-20260705 and local R7 payload remains B3-transfer-ready","WC5-HELD-MI-MY-GLOS-02","MI-MY-GLOS-02","Malaysian Malay","um_english_to_bm_math_terms","comparator_only_body_not_translation_authority","comparator-only-held","bodies/comparator_only_body_not_translation_authority/MI-MY-GLOS-02__um_english_to_bm_math_terms.pdf","comparator-only; may support recovery/search but not translation authority","keep held label; do not promote","held/non-translation-evidence; no accepted terminology or gate promotion"
"c7fb7e644e04102b67cc5da379ba9d4226feaef8","8f7d1cb30ca4347812d05bfbe110b134bb758870","comparator/title/route/source-return held rows","no","212dfb packages R6/R3/old-B alignment; R7 source-body gap and draft/blocker boundaries carry forward","no","R3/R6/authority packages change method/source-use context only; R7 body tree is branch-visible under language-source-bodies/r7-malay-sea-pacific-20260705 and local R7 payload remains B3-transfer-ready","WC5-HELD-MI-MY-PRPM-01","MI-MY-PRPM-01","Malaysian Malay","prpm_invarian_search","comparator_only_body_not_translation_authority","comparator-only-held","bodies/comparator_only_body_not_translation_authority/MI-MY-PRPM-01__prpm_invarian_search.html","comparator-only; may support recovery/search but not translation authority","keep held label; do not promote","held/non-translation-evidence; no accepted terminology or gate promotion"
"c7fb7e644e04102b67cc5da379ba9d4226feaef8","8f7d1cb30ca4347812d05bfbe110b134bb758870","comparator/title/route/source-return held rows","no","212dfb packages R6/R3/old-B alignment; R7 source-body gap and draft/blocker boundaries carry forward","no","R3/R6/authority packages change method/source-use context only; R7 body tree is branch-visible under language-source-bodies/r7-malay-sea-pacific-20260705 and local R7 payload remains B3-transfer-ready","WC5-HELD-MI-MY-PRPM-02","MI-MY-PRPM-02","Malaysian Malay","prpm_kovarian_search","comparator_only_body_not_translation_authority","comparator-only-held","bodies/comparator_only_body_not_translation_authority/MI-MY-PRPM-02__prpm_kovarian_search.html","comparator-only; may support recovery/search but not translation authority","keep held label; do not promote","held/non-translation-evidence; no accepted terminology or gate promotion"
"c7fb7e644e04102b67cc5da379ba9d4226feaef8","8f7d1cb30ca4347812d05bfbe110b134bb758870","comparator/title/route/source-return held rows","no","212dfb packages R6/R3/old-B alignment; R7 source-body gap and draft/blocker boundaries carry forward","no","R3/R6/authority packages change method/source-use context only; R7 body tree is branch-visible under language-source-bodies/r7-malay-sea-pacific-20260705 and local R7 payload remains B3-transfer-ready","WC5-HELD-MI-MY-PRPM-03","MI-MY-PRPM-03","Malaysian Malay","prpm_paduan_search","comparator_only_body_not_translation_authority","comparator-only-held","bodies/comparator_only_body_not_translation_authority/MI-MY-PRPM-03__prpm_paduan_search.html","comparator-only; may support recovery/search but not translation authority","keep held label; do not promote","held/non-translation-evidence; no accepted terminology or gate promotion"
"c7fb7e644e04102b67cc5da379ba9d4226feaef8","8f7d1cb30ca4347812d05bfbe110b134bb758870","comparator/title/route/source-return held rows","no","212dfb packages R6/R3/old-B alignment; R7 source-body gap and draft/blocker boundaries carry forward","no","R3/R6/authority packages change method/source-use context only; R7 body tree is branch-visible under language-source-bodies/r7-malay-sea-pacific-20260705 and local R7 payload remains B3-transfer-ready","WC5-HELD-MI-MY-PRPM-04","MI-MY-PRPM-04","Malaysian Malay","prpm_unggulan_search","comparator_only_body_not_translation_authority","comparator-only-held","bodies/comparator_only_body_not_translation_authority/MI-MY-PRPM-04__prpm_unggulan_search.html","comparator-only; may support recovery/search but not translation authority","keep held label; do not promote","held/non-translation-evidence; no accepted terminology or gate promotion"
"c7fb7e644e04102b67cc5da379ba9d4226feaef8","8f7d1cb30ca4347812d05bfbe110b134bb758870","comparator/title/route/source-return held rows","no","212dfb packages R6/R3/old-B alignment; R7 source-body gap and draft/blocker boundaries carry forward","no","R3/R6/authority packages change method/source-use context only; R7 body tree is branch-visible under language-source-bodies/r7-malay-sea-pacific-20260705 and local R7 payload remains B3-transfer-ready","WC5-HELD-BS-BRUNEI-CTX-01","BS-BRUNEI-CTX-01","Brunei","brunei_translation_language_education_1994","route_context_body_not_translation_authority","route-context-held","bodies/route_context_body_not_translation_authority/BS-BRUNEI-CTX-01__brunei_translation_language_education_1994.pdf","route-context only; exact target-language higher-algebra source gate missing","recover literal target-language higher-algebra source body or official provenance page; keep out of draft support until gate closes","held/non-translation-evidence; no accepted terminology or gate promotion"
"c7fb7e644e04102b67cc5da379ba9d4226feaef8","8f7d1cb30ca4347812d05bfbe110b134bb758870","comparator/title/route/source-return held rows","no","212dfb packages R6/R3/old-B alignment; R7 source-body gap and draft/blocker boundaries carry forward","no","R3/R6/authority packages change method/source-use context only; R7 body tree is branch-visible under language-source-bodies/r7-malay-sea-pacific-20260705 and local R7 payload remains B3-transfer-ready","WC5-HELD-BS-BRUNEI-CTX-02","BS-BRUNEI-CTX-02","Brunei","brunei_ubd_code_switching_intelligibility_emi_2017","route_context_body_not_translation_authority","route-context-held","bodies/route_context_body_not_translation_authority/BS-BRUNEI-CTX-02__brunei_ubd_code_switching_intelligibility_emi_2017.pdf","route-context only; exact target-language higher-algebra source gate missing","recover literal target-language higher-algebra source body or official provenance page; keep out of draft support until gate closes","held/non-translation-evidence; no accepted terminology or gate promotion"
