"recovery_id","branch_head_active","source_witness_row_id","source_language","source_use_label","current_gap","branch_path","local_path","next_action","boundary"
"R7-212DFB-RECOVER-BS-BRUNEI-DBP-GAP-01","212dfb1c7728f7c23274714434aa35d590e1aab7","BS-BRUNEI-DBP-GAP-01","Brunei","gap_no_body_not_copied","not_applicable_gap","","","continue source recovery; no body expected yet","recovery/gap row; no draft promotion unless source body/hash/use gate closes"
"R7-212DFB-RECOVER-SEA-ZHUANG-GAP-01","212dfb1c7728f7c23274714434aa35d590e1aab7","SEA-ZHUANG-GAP-01","Zhuang","gap_no_body_not_copied","not_applicable_gap","","","continue source recovery; no body expected yet","recovery/gap row; no draft promotion unless source body/hash/use gate closes"
"R7-212DFB-RECOVER-SEA-HMONG-01","212dfb1c7728f7c23274714434aa35d590e1aab7","SEA-HMONG-01","Hmong_Miao","gap_no_body_not_copied","not_applicable_gap","","","continue source recovery; no body expected yet","recovery/gap row; no draft promotion unless source body/hash/use gate closes"
"R7-212DFB-RECOVER-SEA-MIEN-01","212dfb1c7728f7c23274714434aa35d590e1aab7","SEA-MIEN-01","Mien_Yao","source_return_body_requires_exact_topic_gate","mismatch_or_branch_hash_missing","language-source-bodies/r7-malay-sea-pacific-20260705/bodies/source_return_body_requires_exact_topic_gate/SEA-MIEN-01__mien_global_language_resource_context.html","C:\Users\memo_\Documents\Codex\2026-07-04\noether-r7-malay-sea-pacific\language-source-bodies\malay-sea-pacific\bodies\source_return_body_requires_exact_topic_gate\SEA-MIEN-01__mien_global_language_resource_context.html","inspect branch/local hash mismatch or missing local row","recovery/gap row; no draft promotion unless source body/hash/use gate closes"
"R7-212DFB-RECOVER-SEA-KHMER-GAP-01","212dfb1c7728f7c23274714434aa35d590e1aab7","SEA-KHMER-GAP-01","Khmer","gap_no_body_not_copied","not_applicable_gap","","","continue source recovery; no body expected yet","recovery/gap row; no draft promotion unless source body/hash/use gate closes"
"R7-212DFB-RECOVER-MI-SOURCE-GAP-01","212dfb1c7728f7c23274714434aa35d590e1aab7","MI-SOURCE-GAP-01","Malay_Indonesian","gap_no_body_not_copied","not_applicable_gap","","","continue source recovery; no body expected yet","recovery/gap row; no draft promotion unless source body/hash/use gate closes"
"R7-212DFB-RECOVER-BS-SINGAPORE-GAP-01","212dfb1c7728f7c23274714434aa35d590e1aab7","BS-SINGAPORE-GAP-01","Singapore","gap_no_body_not_copied","not_applicable_gap","","","continue source recovery; no body expected yet","recovery/gap row; no draft promotion unless source body/hash/use gate closes"
"R7-212DFB-RECOVER-SEA-SOURCE-GAP-01","212dfb1c7728f7c23274714434aa35d590e1aab7","SEA-SOURCE-GAP-01","SEA_Pacific_cluster","gap_no_body_not_copied","not_applicable_gap","","","continue source recovery; no body expected yet","recovery/gap row; no draft promotion unless source body/hash/use gate closes"
"R7-212DFB-RECOVER-R7-REDACTION-001","212dfb1c7728f7c23274714434aa35d590e1aab7","R7-REDACTION-001","","provenance_safety_ledger_not_source_body","missing_local_included_file","language-source-bodies/r7-malay-sea-pacific-20260705/KEY_SHAPED_TOKEN_REDACTION_LEDGER_20260705.csv","","inspect branch/local hash mismatch or missing local row","recovery/gap row; no draft promotion unless source body/hash/use gate closes"
"R7-212DFB-RECOVER-REC-SINGAPORE-MOE-HTML-01","212dfb1c7728f7c23274714434aa35d590e1aab7","REC-SINGAPORE-MOE-HTML-01","English;Malay route metadata","native-source-body","local_payload_only_not_branch_visible","language-source-bodies/r7-malay-sea-pacific-20260705/bodies/route_context_body_not_translation_authority/REC-SINGAPORE-MOE-HTML-01__moe_primary_subjects_syllabuses.html","C:\Users\memo_\Documents\Codex\2026-07-04\noether-r7-malay-sea-pacific\language-source-bodies\malay-sea-pacific\bodies\route_context_body_not_translation_authority\REC-SINGAPORE-MOE-HTML-01__moe_primary_subjects_syllabuses.html","B3 upload/copy local workcycle5 body preserving row label","recovery/gap row; no draft promotion unless source body/hash/use gate closes"
