term_id,source_term,target_term,sense,status,source_evidence,wordweb_link,alternatives_or_crosswalk,adverse_evidence,rationale
HG127,irreduzible Darstellungen kommutativer Systeme,representationes irreducibile de sistems commutativ,irreducible direct representations of a commutative algebraic system,construction_candidate_scope_locked,R823:21291;21293,T17-S1 + none_irreducible_qualifier_not_in_wordweb_v10,représentations irréductibles de systèmes commutatifs; representaciones irreducibles de sistemas conmutativos,simple modules or arbitrary images without a representation map,The representation node is verified but irreducibility remains an explicit unfilled qualifier gap
HG128,kommutatives System über P,sistem commutativ super P,a finite-rank commutative system over the coefficient field P,carried_source_preserving_candidate,R823:21293,none_commutative_system_not_in_wordweb_v10,système commutatif sur P; sistema conmutativo sobre P,a field or ring assertion stronger than the historical system wording,The historical system category is retained because WordWeb v10 has no exact node
HG129,algebraisch abgeschlossener Erweiterungskörper Omega,corp de extension algebraicamente claudite Omega,an algebraically closed field containing P as a subfield,construction_candidate_scope_locked,R823:21293,T02-S1 + T25-S1 + none_algebraically_closed_not_in_wordweb_v10,corps d'extension algébriquement clos; cuerpo de extensión algebraicamente cerrado,a merely commutative field or a general extension ring,Field and structure-extension senses are linked while algebraic closure remains an explicit gap
HG130,Z_Omega,sistem extendite Z_Omega,the coefficient-extended system with the same displayed basis and coefficients in Omega,carried_construction_candidate_scope_locked,R823:21293,T25-S2,système étendu Z_Omega; sistema extendido Z_Omega,identifying Z and Z_Omega as equal systems,The scalar-extension link is exact and both directions concern representations rather than equality of systems
HG131,Darstellungen der Basiselemente hinreichend,representationes del elementos de base suffice,the stated sufficiency of representations of the basis elements already contained in P,source_preserving_analytic_candidate_scope_locked,R823:21293,T22-S1 + T17-S1,représentations des éléments de base suffisantes; representaciones de los elementos de base suficientes,rewriting the clause as a primitive-element assertion or omitting schon in P,The source wording is retained without resolving its compact historical phrasing beyond the stated basis and representation senses
HG132,umgekehrt,in direction converse,the reverse direction from a representation of Z_Omega to one of Z,construction_candidate_scope_locked,R823:21293,T46-S1,réciproquement; recíprocamente; viceversa,a generic contrast that does not assert the reverse implication,The verified converse sense marks the second direction explicitly
HG133,reguläre Darstellung,representation regular,the regular representation obtained by using the system itself as representation module,carried_construction_candidate_scope_locked,R823:21293,T17-S1 + none_regular_qualifier_not_in_wordweb_v10,représentation régulière; representación regular,a nonsingular matrix or an arbitrary representation,The source immediately defines regular by the module used and no broader modern property is added
HG134,Darstellungsmodul,modul de representation,the module on which the system acts to realize the representation,construction_candidate_scope_locked,R823:21293,T05-S1 + T17-S1,module de représentation; módulo de representación,a coefficient module unrelated to the displayed representation,The verified module and representation senses jointly control the compound
HG135,Radikal C,radical C,the radical of Z_Omega denoted C without a silently added subtype,source_preserving_candidate_scope_locked,R823:21293,none_radical_not_in_wordweb_v10,radical C; radical C,specifying Jacobson or nilradical without source authorization,The source says only Radikal and WordWeb v10 has no radical node
HG136,vollreduzibles System,sistem completemente reducibile,a fully reducible system whose quotient decomposes directly into fields,source_preserving_analytic_candidate_scope_locked,R823:21295,none_completely_reducible_not_in_wordweb_v10,système complètement réductible; sistema completamente reducible,reduced ring or merely reducible polynomial,The following direct-sum statement controls the historical sense but no exact WordWeb node exists
