"record_id","record_type","parent_id","revision","revision_of","supersedes","superseded_by","volume","expose","unit","source_lines","source_locator","authority_sha256","source_reading","target_reading","status","raw_cursor","substantive_cursor","target_tex_sha256","target_pdf_sha256","evidence_sha256","release_state"
"SGA2-X-P23-PROOF-IR@1","independent_review","","1","","","","SGA2","X","Proposition 2.3 proof independent review","3425-3427","printed116;physical101;running93","C2F899E92A904E312B550C6452A117FF23D30AF984B2254A0961D2DF0DACD042","complete proof with parts i and ii","bounded target independently source formula build render and machine checked","independent_pass_internal_evidence","3428","3429","96BFF50B8D9C982805A19F68766C1B23D0FCFB52AC7B0AD4D33C5770091BA004","F31CC1743790BA1115F9E964149EDE9D555E0BE1A233ADDEB4FC250B39F416A7","25B5459673581A8A2743F6CA7C75289E18765E89BC2CED49787915DA9BB4F135","internal_not_for_release"
"SGA2-X-P23-PROOF-IR-SOURCE@1","authority_replay","SGA2-X-P23-PROOF-IR@1","1","","","","SGA2","X","exact authority replay","3425-3427","printed116;physical101;running93","C2F899E92A904E312B550C6452A117FF23D30AF984B2254A0961D2DF0DACD042","three lines retained with terminal LF; blank3428 excluded","425-byte slice independently replayed exactly; next substantive3429","independent_source_replay_pass","3428","3429","96BFF50B8D9C982805A19F68766C1B23D0FCFB52AC7B0AD4D33C5770091BA004","F31CC1743790BA1115F9E964149EDE9D555E0BE1A233ADDEB4FC250B39F416A7","B12225CCCA08AD2432F5AF9C6330ABC31EDA8E1378FA96F3CECD8E2F91DE4231","internal_not_for_release"
"SGA2-X-P23-PROOF-IR-I@1","proof_step_review","SGA2-X-P23-PROOF-IR@1","1","","","","SGA2","X","part i disposition","3425","printed116;physical101;running93","C2F899E92A904E312B550C6452A117FF23D30AF984B2254A0961D2DF0DACD042","part i has been seen","part i has already been proved","independent_translation_pass","3428","3429","96BFF50B8D9C982805A19F68766C1B23D0FCFB52AC7B0AD4D33C5770091BA004","F31CC1743790BA1115F9E964149EDE9D555E0BE1A233ADDEB4FC250B39F416A7","B12225CCCA08AD2432F5AF9C6330ABC31EDA8E1378FA96F3CECD8E2F91DE4231","internal_not_for_release"
"SGA2-X-P23-PROOF-IR-II-LP@1","proof_step_review","SGA2-X-P23-PROOF-IR@1","1","","","","SGA2","X","part ii finite module and flat cases","3427","printed116;physical101;running93","C2F899E92A904E312B550C6452A117FF23D30AF984B2254A0961D2DF0DACD042","follows from i and hypothesis at least for L_U and P_U","dependency and at-least qualification retained","independent_formula_pass","3428","3429","96BFF50B8D9C982805A19F68766C1B23D0FCFB52AC7B0AD4D33C5770091BA004","F31CC1743790BA1115F9E964149EDE9D555E0BE1A233ADDEB4FC250B39F416A7","B12225CCCA08AD2432F5AF9C6330ABC31EDA8E1378FA96F3CECD8E2F91DE4231","internal_not_for_release"
"SGA2-X-P23-PROOF-IR-ETALE@1","formula_comparison","SGA2-X-P23-PROOF-IR@1","1","","","","SGA2","X","etale algebraization chain","3427","printed116;physical101;running93","C2F899E92A904E312B550C6452A117FF23D30AF984B2254A0961D2DF0DACD042","R over hat X; finite flat R prime over U; completion isomorphic to R","R R prime hats covering types and completion isomorphism retained","independent_formula_pass","3428","3429","96BFF50B8D9C982805A19F68766C1B23D0FCFB52AC7B0AD4D33C5770091BA004","F31CC1743790BA1115F9E964149EDE9D555E0BE1A233ADDEB4FC250B39F416A7","8ED65FBBD171532289F552F6B9CFC0F1CFA3DC733D6A4B885C4EBAAA5CCB562B","internal_not_for_release"
"SGA2-X-P23-PROOF-IR-RESTRICT@1","proof_step_review","SGA2-X-P23-PROOF-IR@1","1","","","","SGA2","X","restriction and etaleness conclusion","3427","printed116;physical101;running93","C2F899E92A904E312B550C6452A117FF23D30AF984B2254A0961D2DF0DACD042","R double prime over Y etale by X.1.1; R prime etale near Y","R double prime Proposition1.1 and neighborhood U prime conclusion retained","independent_formula_pass","3428","3429","96BFF50B8D9C982805A19F68766C1B23D0FCFB52AC7B0AD4D33C5770091BA004","F31CC1743790BA1115F9E964149EDE9D555E0BE1A233ADDEB4FC250B39F416A7","E59A5DADE48D40EA47B11A4747A72A21ABA090FA09F697F403FC5B4ACD0FB793","internal_not_for_release"
"SGA2-X-P23-PROOF-IR-BUILD@1","build_review","SGA2-X-P23-PROOF-IR@1","1","","","","SGA2","X","fresh independent pdfLaTeX rebuild","3425-3427","target1","C2F899E92A904E312B550C6452A117FF23D30AF984B2254A0961D2DF0DACD042","producer target TeX copied byte-identically","two passes exit zero; pass1 rerun only; pass2 and engine clean","independent_build_pass","3428","3429","96BFF50B8D9C982805A19F68766C1B23D0FCFB52AC7B0AD4D33C5770091BA004","F31CC1743790BA1115F9E964149EDE9D555E0BE1A233ADDEB4FC250B39F416A7","25B5459673581A8A2743F6CA7C75289E18765E89BC2CED49787915DA9BB4F135","internal_not_for_release"
"SGA2-X-P23-PROOF-IR-RENDER@1","render_review","SGA2-X-P23-PROOF-IR@1","1","","","","SGA2","X","target and source render QA","3425-3427","target1;source physical101","C2F899E92A904E312B550C6452A117FF23D30AF984B2254A0961D2DF0DACD042","proof occupies source physical101","one clean A4 target page; independent render and text match producer; 12 fonts pass","independent_render_pass","3428","3429","96BFF50B8D9C982805A19F68766C1B23D0FCFB52AC7B0AD4D33C5770091BA004","F31CC1743790BA1115F9E964149EDE9D555E0BE1A233ADDEB4FC250B39F416A7","8ED65FBBD171532289F552F6B9CFC0F1CFA3DC733D6A4B885C4EBAAA5CCB562B","internal_not_for_release"
"SGA2-X-P23-PROOF-IR-MACHINE@1","machine_evidence_review","SGA2-X-P23-PROOF-IR@1","1","","","","SGA2","X","producer CSV JSONL and manifest","3425-3427","producer machine controls","C2F899E92A904E312B550C6452A117FF23D30AF984B2254A0961D2DF0DACD042","CSV8x22 JSONL8 manifest24","rectangular formula-safe unique IDs closed hierarchy and 24 live identities","independent_machine_pass","3428","3429","96BFF50B8D9C982805A19F68766C1B23D0FCFB52AC7B0AD4D33C5770091BA004","F31CC1743790BA1115F9E964149EDE9D555E0BE1A233ADDEB4FC250B39F416A7","DEED6B14B367109FD86F69882C1FE32C0CF27A2E90585782F534DF034F72E750","internal_not_for_release"
"SGA2-X-P23-PROOF-IR-ARTIFACT@1","artifact_tool_review","SGA2-X-P23-PROOF-IR@1","1","","","","SGA2","X","producer and independent ledger visual QA","3425-3427","A:V machine panels","C2F899E92A904E312B550C6452A117FF23D30AF984B2254A0961D2DF0DACD042","producer panels cover all 22 columns with zero formula errors or triggers","producer panels inspected and independent review ledger queued for full QA","independent_artifact_tool_pass","3428","3429","96BFF50B8D9C982805A19F68766C1B23D0FCFB52AC7B0AD4D33C5770091BA004","F31CC1743790BA1115F9E964149EDE9D555E0BE1A233ADDEB4FC250B39F416A7","2905F8DFAACD21902F91262DD1D442D134E72E87B3D255FE05989E4026CC1AA5","internal_not_for_release"
