"lane","delta_status","source_relative_path","package_relative_path","bytes","sha256","source_last_write_utc","frontier_package","frontier_sha256","frontier_bytes"
"noether-r3-arabic-persianate-linear-algebra","MISSING_FROM_PACKAGE_FRONTIER","R3_SOURCE_ARCHIVE_FRONTIER_PROBE_20260704T234856Z\R3_SOURCE_ARCHIVE_FRONTIER_PROBE_CHECKSUMS_20260704T234856Z.sha256","lane_outputs\noether-r3-arabic-persianate-linear-algebra\R3_SOURCE_ARCHIVE_FRONTIER_PROBE_20260704T234856Z\R3_SOURCE_ARCHIVE_FRONTIER_PROBE_CHECKSUMS_20260704T234856Z.sha256","648","63F02014A7F996A684C27D77D12292CBE7566273897650B66DCC90A8DD0B3AEF","2026-07-04T23:48:58.3679589Z",,,
"noether-r3-arabic-persianate-linear-algebra","MISSING_FROM_PACKAGE_FRONTIER","R3_SOURCE_ARCHIVE_FRONTIER_PROBE_20260704T234856Z\R3_SOURCE_ARCHIVE_FRONTIER_PROBE_HANDOFF_20260704T234856Z.md","lane_outputs\noether-r3-arabic-persianate-linear-algebra\R3_SOURCE_ARCHIVE_FRONTIER_PROBE_20260704T234856Z\R3_SOURCE_ARCHIVE_FRONTIER_PROBE_HANDOFF_20260704T234856Z.md","1760","C128A06A68B64ECDC6C21302EEF5CF1597F33D66BFB8C939E24D51C0C17C4925","2026-07-04T23:48:57.9895599Z",,,
"noether-r3-arabic-persianate-linear-algebra","MISSING_FROM_PACKAGE_FRONTIER","R3_SOURCE_ARCHIVE_FRONTIER_PROBE_20260704T234856Z\R3_SOURCE_ARCHIVE_FRONTIER_PROBE_MANIFEST_20260704T234856Z.json","lane_outputs\noether-r3-arabic-persianate-linear-algebra\R3_SOURCE_ARCHIVE_FRONTIER_PROBE_20260704T234856Z\R3_SOURCE_ARCHIVE_FRONTIER_PROBE_MANIFEST_20260704T234856Z.json","7806","2C91C0B2CA4CB001D452160A92EB2DD4E5B636DF6BFB1D22D20F25391D40E896","2026-07-04T23:48:57.9949373Z",,,
"noether-r3-arabic-persianate-linear-algebra","MISSING_FROM_PACKAGE_FRONTIER","R3_SOURCE_ARCHIVE_FRONTIER_PROBE_20260704T234856Z\R3_SOURCE_ARCHIVE_FRONTIER_PROBE_ROWS_20260704T234856Z.csv","lane_outputs\noether-r3-arabic-persianate-linear-algebra\R3_SOURCE_ARCHIVE_FRONTIER_PROBE_20260704T234856Z\R3_SOURCE_ARCHIVE_FRONTIER_PROBE_ROWS_20260704T234856Z.csv","9371","85142CCD9E21A8DBB523BF1850E08F9F27CA453C5C0924342E066C03AC42B293","2026-07-04T23:48:57.2884833Z",,,
"noether-r3-arabic-persianate-linear-algebra","MISSING_FROM_PACKAGE_FRONTIER","R3_SOURCE_ARCHIVE_FRONTIER_PROBE_20260704T234856Z\R3_SOURCE_ARCHIVE_FRONTIER_PROBE_ROWS_20260704T234856Z.json","lane_outputs\noether-r3-arabic-persianate-linear-algebra\R3_SOURCE_ARCHIVE_FRONTIER_PROBE_20260704T234856Z\R3_SOURCE_ARCHIVE_FRONTIER_PROBE_ROWS_20260704T234856Z.json","13262","63C6E574A2C121C97F8DB4D61FD3DB69E4D7068D6436BED8AE5A8E4269D9CB2C","2026-07-04T23:48:57.5409215Z",,,
"noether-r3-arabic-persianate-linear-algebra","MISSING_FROM_PACKAGE_FRONTIER","R3_SOURCE_ARCHIVE_FRONTIER_PROBE_20260704T234856Z\R3_SOURCE_ARCHIVE_FRONTIER_PROBE_VALIDATION_20260704T234856Z.json","lane_outputs\noether-r3-arabic-persianate-linear-algebra\R3_SOURCE_ARCHIVE_FRONTIER_PROBE_20260704T234856Z\R3_SOURCE_ARCHIVE_FRONTIER_PROBE_VALIDATION_20260704T234856Z.json","3900","B4C0F05561906EE91250F045C927CC34829A094559A75A970F7DBEC2A7110223","2026-07-04T23:48:57.9681743Z",,,
"noether-r3-arabic-persianate-linear-algebra","MISSING_FROM_PACKAGE_FRONTIER","R3_SOURCE_ARCHIVE_FRONTIER_PROBE_CURRENT.txt","lane_outputs\noether-r3-arabic-persianate-linear-algebra\R3_SOURCE_ARCHIVE_FRONTIER_PROBE_CURRENT.txt","1395","E4680B767B5A0B2D8A634052B9B1F06A64AC37133D436367BA656FEA62D7FD81","2026-07-04T23:48:58.3709516Z",,,
"noether-r6-indigenous-creole-sign","MISSING_FROM_PACKAGE_FRONTIER","NOETHER_R6_BISLAMA_OFFICIAL_SOURCE_RETRY_ADDENDUM_20260705.csv","lane_outputs\noether-r6-indigenous-creole-sign\NOETHER_R6_BISLAMA_OFFICIAL_SOURCE_RETRY_ADDENDUM_20260705.csv","12765","4413D066F8850716AD4637ABB607037CBED50D0CC7EDB14629C6891ED0948DF0","2026-07-04T23:48:43.6485404Z",,,
"noether-r6-indigenous-creole-sign","MISSING_FROM_PACKAGE_FRONTIER","NOETHER_R6_BISLAMA_OFFICIAL_SOURCE_RETRY_ADDENDUM_20260705.md","lane_outputs\noether-r6-indigenous-creole-sign\NOETHER_R6_BISLAMA_OFFICIAL_SOURCE_RETRY_ADDENDUM_20260705.md","4620","311DE2B374151AB3A4F685B7A85B8E5534B8166442CDDA2C0D7D4BD6F313EE8C","2026-07-04T23:49:27.6046655Z",,,
"noether-romance-source-evidence-draft-lane","HASH_CHANGED_AFTER_PACKAGE_FRONTIER","NOETHER_ROMANCE_CORPUS_TRANSLATION_RUN_LOG_20260704.md","lane_outputs\noether-romance-source-evidence-draft-lane\NOETHER_ROMANCE_CORPUS_TRANSLATION_RUN_LOG_20260704.md","56707","EBFFB969F4D3657DD4BC7F30992FBF91FCA9372645B4E8E73B87B655D4DB9CFF","2026-07-04T23:48:59.9213538Z","353","7AB0EEE54819DD826728F47C52456D2C2D775E1BA2A34B800F1C35C87677C8A0","54130"
"noether-romance-source-evidence-draft-lane","HASH_CHANGED_AFTER_PACKAGE_FRONTIER","NOETHER_ROMANCE_SOURCE_CANON_CONTINUATION_AUDIT_20260704.md","lane_outputs\noether-romance-source-evidence-draft-lane\NOETHER_ROMANCE_SOURCE_CANON_CONTINUATION_AUDIT_20260704.md","14367","8018287EAB46004D0849BC330422E61912474519FF69E7DD921B90FBACCD1C93","2026-07-04T23:49:11.5308540Z","353","CFB99A1C66A80D59D2CB4D4D9F74C1F56E91A06E12BD521B08A87E0DDE0A697F","12901"
