manifest_id,language_code,script,language_group,source_body_class,source_kind,original_path,package_relative_path,sha256,bytes,duplicate_of_manifest_id,license_access_signal,topic_tags,provenance_note,separation_note,false_output_guard,created_utc
S06-RTL-0001,ar,Arab,arabic,native_source_body,pdf-source-body,C:\Users\memo_\Documents\Codex\2026-07-04\noether-arabic-rtl-source-evidence-draft-lane\sources\non_slavic_reference_corpus\20260705T013500Z_arabic_source_canon_heartbeat\downloads\jmilne_gt_arabic.pdf,native-source-bodies\ar\0001_jmilne_gt_arabic.pdf,77b97df62856083ff960790ea6cea27e5ad6927241d5f87751b376c8f644a904,1180346,,access-signal-recorded-from-local-cache-license-not-cleared-here,ring-module-field-noetherian,Literal local source-body or extracted witness copied from prior Noether source-canon caches; URLs should be read from originating lane manifests where present.,Native or publisher/source-body file kept outside OCR/extract and generated-draft areas.,"Does not authorize another language; Arabic evidence is not Persian evidence, and Persian evidence is not Arabic evidence.",2026-07-05T16:54:29Z
S06-RTL-0002,ar,Arab,arabic,native_source_body,html-web-source-body,C:\Users\memo_\Documents\Codex\2026-07-04\noether-arabic-rtl-source-evidence-draft-lane\sources\non_slavic_reference_corpus\20260705T013500Z_arabic_source_canon_heartbeat\downloads\jmilne_gt_metadata.html,native-source-bodies\ar\0002_jmilne_gt_metadata.html,f0d1e0661d3538a2b23fc9188e265bb2a4e65aaff24658746e3ee35b8c073f9b,5153,,access-signal-recorded-from-local-cache-license-not-cleared-here,ring-module-field-noetherian;course-bibliographic-or-metadata,Literal local source-body or extracted witness copied from prior Noether source-canon caches; URLs should be read from originating lane manifests where present.,Native or publisher/source-body file kept outside OCR/extract and generated-draft areas.,"Does not authorize another language; Arabic evidence is not Persian evidence, and Persian evidence is not Arabic evidence.",2026-07-05T16:54:29Z
S06-RTL-0003,ar,Arab,arabic,ocr_or_extracted_text_witness,ocr-or-extracted-text-witness,C:\Users\memo_\Documents\Codex\2026-07-04\noether-arabic-rtl-source-evidence-draft-lane\sources\non_slavic_reference_corpus\20260705T013500Z_arabic_source_canon_heartbeat\downloads\omu_modern_algebra_book45_first20.txt,ocr-witnesses\ar\0003_omu_modern_algebra_book45_first20.txt,44222affcdb16c842dbb1dc22b200f7fd60bc96d63e09b3a1b68e9e3febd4a05,52760,,access-signal-recorded-from-local-cache-license-not-cleared-here,linear-algebra-or-algebra;ring-module-field-noetherian,Literal local source-body or extracted witness copied from prior Noether source-canon caches; URLs should be read from originating lane manifests where present.,OCR/pdftotext/extracted witness kept outside native-source-bodies.,"Does not authorize another language; Arabic evidence is not Persian evidence, and Persian evidence is not Arabic evidence.",2026-07-05T16:54:29Z
S06-RTL-0004,ar,Arab,arabic,ocr_or_extracted_text_witness,ocr-or-extracted-text-witness,C:\Users\memo_\Documents\Codex\2026-07-04\noether-arabic-rtl-source-evidence-draft-lane\sources\non_slavic_reference_corpus\20260705T013500Z_arabic_source_canon_heartbeat\downloads\omu_modern_algebra_book45_first40.txt,ocr-witnesses\ar\0004_omu_modern_algebra_book45_first40.txt,b69465179c330f50ffa238e665dc69c42c85d7a58f66a83cf2d313e5c5b53e9d,111839,,access-signal-recorded-from-local-cache-license-not-cleared-here,linear-algebra-or-algebra;ring-module-field-noetherian,Literal local source-body or extracted witness copied from prior Noether source-canon caches; URLs should be read from originating lane manifests where present.,OCR/pdftotext/extracted witness kept outside native-source-bodies.,"Does not authorize another language; Arabic evidence is not Persian evidence, and Persian evidence is not Arabic evidence.",2026-07-05T16:54:29Z
S06-RTL-0005,ar,Arab,arabic,ocr_or_extracted_text_witness,ocr-or-extracted-text-witness,C:\Users\memo_\Documents\Codex\2026-07-04\noether-arabic-rtl-source-evidence-draft-lane\sources\non_slavic_reference_corpus\20260705T013500Z_arabic_source_canon_heartbeat\downloads\omu_modern_algebra_book45_first80.txt,ocr-witnesses\ar\0005_omu_modern_algebra_book45_first80.txt,2fcbfb414e46229a8742fe869c228fef9ea5ad6d4357e3100108f24261387497,239309,,access-signal-recorded-from-local-cache-license-not-cleared-here,linear-algebra-or-algebra;ring-module-field-noetherian,Literal local source-body or extracted witness copied from prior Noether source-canon caches; URLs should be read from originating lane manifests where present.,OCR/pdftotext/extracted witness kept outside native-source-bodies.,"Does not authorize another language; Arabic evidence is not Persian evidence, and Persian evidence is not Arabic evidence.",2026-07-05T16:54:29Z
S06-RTL-0006,ar,Arab,arabic,native_source_body,html-web-source-body,C:\Users\memo_\Documents\Codex\2026-07-04\noether-arabic-rtl-source-evidence-draft-lane\sources\non_slavic_reference_corpus\20260705T013500Z_arabic_source_canon_heartbeat\downloads\omu_modern_algebra_book45_metadata.html,native-source-bodies\ar\0006_omu_modern_algebra_book45_metadata.html,230538b261e8fc3da2e83a137d6686e6a3ab478c067d1375d8a669415015584d,25667,,access-signal-recorded-from-local-cache-license-not-cleared-here,linear-algebra-or-algebra;ring-module-field-noetherian;course-bibliographic-or-metadata,Literal local source-body or extracted witness copied from prior Noether source-canon caches; URLs should be read from originating lane manifests where present.,Native or publisher/source-body file kept outside OCR/extract and generated-draft areas.,"Does not authorize another language; Arabic evidence is not Persian evidence, and Persian evidence is not Arabic evidence.",2026-07-05T16:54:29Z
S06-RTL-0007,ar,Arab,arabic,native_source_body,pdf-source-body,C:\Users\memo_\Documents\Codex\2026-07-04\noether-arabic-rtl-source-evidence-draft-lane\sources\non_slavic_reference_corpus\20260705T013500Z_arabic_source_canon_heartbeat\downloads\omu_modern_algebra_book45.pdf,native-source-bodies\ar\0007_omu_modern_algebra_book45.pdf,e60fd267aed80573f506683c47e9e2f6ed9c36dde8809446c137dd5d1fc7188e,19319449,,access-signal-recorded-from-local-cache-license-not-cleared-here,linear-algebra-or-algebra;ring-module-field-noetherian,Literal local source-body or extracted witness copied from prior Noether source-canon caches; URLs should be read from originating lane manifests where present.,Native or publisher/source-body file kept outside OCR/extract and generated-draft areas.,"Does not authorize another language; Arabic evidence is not Persian evidence, and Persian evidence is not Arabic evidence.",2026-07-05T16:54:29Z
S06-RTL-0008,ar,Arab,arabic,native_source_body,mediawiki-wikitext-source-body,C:\Users\memo_\Documents\Codex\2026-07-04\noether-arabic-rtl-source-evidence-draft-lane\sources\non_slavic_reference_corpus\20260705T023000Z_arabic_mediawiki_source_text_probe\downloads\جبر_خطي_oldid_75057716.wiki.txt,native-source-bodies\ar\0008_جبر_خطي_oldid_75057716.wiki.txt,3762e086a6268f425014603d2e31867cb8b2a566f4aa1d9559d511e9b8173103,22214,,open-web-wiki-source-url-captured-license-not-revalidated-here,ring-module-field-noetherian;wiki-source;tex-or-source-archive,Literal local source-body or extracted witness copied from prior Noether source-canon caches; URLs should be read from originating lane manifests where present.,Native or publisher/source-body file kept outside OCR/extract and generated-draft areas.,"Does not authorize another language; Arabic evidence is not Persian evidence, and Persian evidence is not Arabic evidence.",2026-07-05T16:54:29Z
S06-RTL-0009,ar,Arab,arabic,native_source_body,mediawiki-wikitext-source-body,C:\Users\memo_\Documents\Codex\2026-07-04\noether-arabic-rtl-source-evidence-draft-lane\sources\non_slavic_reference_corpus\20260705T023000Z_arabic_mediawiki_source_text_probe\downloads\جبر_مجرد_oldid_75057721.wiki.txt,native-source-bodies\ar\0009_جبر_مجرد_oldid_75057721.wiki.txt,663c75b6560b85a8c41edf6429b2310a9e4ca25febce6294904cf33c4a28005d,4024,,open-web-wiki-source-url-captured-license-not-revalidated-here,ring-module-field-noetherian;wiki-source;tex-or-source-archive,Literal local source-body or extracted witness copied from prior Noether source-canon caches; URLs should be read from originating lane manifests where present.,Native or publisher/source-body file kept outside OCR/extract and generated-draft areas.,"Does not authorize another language; Arabic evidence is not Persian evidence, and Persian evidence is not Arabic evidence.",2026-07-05T16:54:29Z
S06-RTL-0010,ar,Arab,arabic,native_source_body,mediawiki-wikitext-source-body,C:\Users\memo_\Documents\Codex\2026-07-04\noether-arabic-rtl-source-evidence-draft-lane\sources\non_slavic_reference_corpus\20260705T023000Z_arabic_mediawiki_source_text_probe\downloads\حقل__رياضيات__oldid_75116379.wiki.txt,native-source-bodies\ar\0010_حقل__رياضيات__oldid_75116379.wiki.txt,8d1508ee0da4dec0962f8bada8ed9088ca04bda550686647f922a5f4c618089d,27673,,open-web-wiki-source-url-captured-license-not-revalidated-here,ring-module-field-noetherian;wiki-source;tex-or-source-archive,Literal local source-body or extracted witness copied from prior Noether source-canon caches; URLs should be read from originating lane manifests where present.,Native or publisher/source-body file kept outside OCR/extract and generated-draft areas.,"Does not authorize another language; Arabic evidence is not Persian evidence, and Persian evidence is not Arabic evidence.",2026-07-05T16:54:29Z
