audit_id,component_relpath,upstream_line,visible_locator_tex,normalized_locator,scope,section_context,context_cue,external_basis,audit_class,candidate_id,candidate_pattern_kind,candidate_visible_reference_tex,resolution_status,resolved_target_id,link_inserted
locator-audit-00001,SGA6_English_Complete_Layered_Terminal_SourceBacked_20260722.tex,91,0.12,0.12,front,front,,external_work_context,table_layout_dimension,,,,,,
locator-audit-00002,SGA6_sourcePDF001_525_English_Inherited_PartiallySourceSynchronized_fragment.tex,32,1.1,1.1,front,introduction,,,candidate_covered,reference-candidate-00013,roman_locator,VI 1.1,resolved,sga6.e06.thm.1-1,yes
locator-audit-00003,SGA6_sourcePDF001_525_English_Inherited_PartiallySourceSynchronized_fragment.tex,34,4.9,4.9,front,introduction,,external_work_context,candidate_covered,reference-candidate-00014,roman_locator,I 4.9,external,,no
locator-audit-00004,SGA6_sourcePDF001_525_English_Inherited_PartiallySourceSynchronized_fragment.tex,37,0.16,0.16,front,table-of-contents,,,table_layout_dimension,,,,,,
locator-audit-00005,SGA6_sourcePDF001_525_English_Inherited_PartiallySourceSynchronized_fragment.tex,37,0.64,0.64,front,table-of-contents,,,table_layout_dimension,,,,,,
locator-audit-00006,SGA6_sourcePDF001_525_English_Inherited_PartiallySourceSynchronized_fragment.tex,74,1.1,1.1,e00,1,,,structural_definition_or_tag,,,,,,
locator-audit-00007,SGA6_sourcePDF001_525_English_Inherited_PartiallySourceSynchronized_fragment.tex,85,1.1,1.1,e00,1,,,candidate_covered,reference-candidate-00016,parenthesized_locator,(1.1),resolved,sga6.e00.eq.1-1,yes
locator-audit-00008,SGA6_sourcePDF001_525_English_Inherited_PartiallySourceSynchronized_fragment.tex,86,1.2,1.2,e00,1,,,structural_definition_or_tag,,,,,,
locator-audit-00009,SGA6_sourcePDF001_525_English_Inherited_PartiallySourceSynchronized_fragment.tex,90,1.3,1.3,e00,1,,,structural_definition_or_tag,,,,,,
locator-audit-00010,SGA6_sourcePDF001_525_English_Inherited_PartiallySourceSynchronized_fragment.tex,99,1.2,1.2,e00,1,,,candidate_covered,reference-candidate-00017,parenthesized_locator,(1.2),resolved,sga6.e00.eq.1-2,yes
locator-audit-00011,SGA6_sourcePDF001_525_English_Inherited_PartiallySourceSynchronized_fragment.tex,112,1.2,1.2,e00,2,,,candidate_covered,reference-candidate-00018,parenthesized_locator,(1.2),resolved,sga6.e00.eq.1-2,yes
locator-audit-00012,SGA6_sourcePDF001_525_English_Inherited_PartiallySourceSynchronized_fragment.tex,125,2.1,2.1,e00,2,,,structural_definition_or_tag,,,,,,
locator-audit-00013,SGA6_sourcePDF001_525_English_Inherited_PartiallySourceSynchronized_fragment.tex,131,2.1,2.1,e00,2.1,,,structural_definition_or_tag,,,,,,
locator-audit-00014,SGA6_sourcePDF001_525_English_Inherited_PartiallySourceSynchronized_fragment.tex,134,2.1,2.1,e00,2.1,,,candidate_covered,reference-candidate-00020,parenthesized_locator,(2.1),resolved,sga6.e00.eq.2-1,yes
locator-audit-00015,SGA6_sourcePDF001_525_English_Inherited_PartiallySourceSynchronized_fragment.tex,136,2.2,2.2,e00,2.1,,,structural_definition_or_tag,,,,,,
locator-audit-00016,SGA6_sourcePDF001_525_English_Inherited_PartiallySourceSynchronized_fragment.tex,143,4.2,4.2,e00,2.2,,,candidate_covered,reference-candidate-00021,expose_locator,Exposé XIV 4.2,resolved,sga6.e14.para.4-2,yes
locator-audit-00017,SGA6_sourcePDF001_525_English_Inherited_PartiallySourceSynchronized_fragment.tex,145,4.3,4.3,e00,2.2,,,candidate_covered,reference-candidate-00022,expose_locator,"Exp. XIV, 4.3",resolved,sga6.e14.para.4-3,yes
locator-audit-00018,SGA6_sourcePDF001_525_English_Inherited_PartiallySourceSynchronized_fragment.tex,145,6.4,6.4,e00,2.2,,,candidate_covered,reference-candidate-00023,bare_locator,6.4,resolved,sga6.e14.para.6-4,yes
locator-audit-00019,SGA6_sourcePDF001_525_English_Inherited_PartiallySourceSynchronized_fragment.tex,147,2.3,2.3,e00,2.2,,,structural_definition_or_tag,,,,,,
locator-audit-00020,SGA6_sourcePDF001_525_English_Inherited_PartiallySourceSynchronized_fragment.tex,149,2.3,2.3,e00,2.3,,,structural_definition_or_tag,,,,,,
locator-audit-00021,SGA6_sourcePDF001_525_English_Inherited_PartiallySourceSynchronized_fragment.tex,152,2.3,2.3,e00,2.3,,,candidate_covered,reference-candidate-00024,parenthesized_locator,(2.3),resolved,sga6.e00.eq.2-3,yes
locator-audit-00022,SGA6_sourcePDF001_525_English_Inherited_PartiallySourceSynchronized_fragment.tex,157,2.4,2.4,e00,2.3,,,structural_definition_or_tag,,,,,,
locator-audit-00023,SGA6_sourcePDF001_525_English_Inherited_PartiallySourceSynchronized_fragment.tex,160,2.3,2.3,e00,2.3,,,candidate_covered,reference-candidate-00025,parenthesized_locator,(2.3),resolved,sga6.e00.eq.2-3,yes
locator-audit-00024,SGA6_sourcePDF001_525_English_Inherited_PartiallySourceSynchronized_fragment.tex,160,2.4,2.4,e00,2.3,,,candidate_covered,reference-candidate-00026,parenthesized_locator,(2.4),resolved,sga6.e00.eq.2-4,yes
locator-audit-00025,SGA6_sourcePDF001_525_English_Inherited_PartiallySourceSynchronized_fragment.tex,162,2.4,2.4,e00,2.3,,,structural_definition_or_tag,,,,,,
locator-audit-00026,SGA6_sourcePDF001_525_English_Inherited_PartiallySourceSynchronized_fragment.tex,168,2.5,2.5,e00,2.4,,,structural_definition_or_tag,,,,,,
locator-audit-00027,SGA6_sourcePDF001_525_English_Inherited_PartiallySourceSynchronized_fragment.tex,173,1.2,1.2,e00,2.4,,,candidate_covered,reference-candidate-00032,parenthesized_locator,(1.2),resolved,sga6.e00.eq.1-2,yes
locator-audit-00028,SGA6_sourcePDF001_525_English_Inherited_PartiallySourceSynchronized_fragment.tex,176,1.2,1.2,e00,3,,,candidate_covered,reference-candidate-00033,parenthesized_locator,(1.2),resolved,sga6.e00.eq.1-2,yes
locator-audit-00029,SGA6_sourcePDF001_525_English_Inherited_PartiallySourceSynchronized_fragment.tex,178,3.1,3.1,e00,3,,,structural_definition_or_tag,,,,,,
locator-audit-00030,SGA6_sourcePDF001_525_English_Inherited_PartiallySourceSynchronized_fragment.tex,179,2.3,2.3,e00,3.1,direct_context:in,,candidate_covered,reference-candidate-00034,bare_locator,2.3,resolved,sga6.e00.sec.2.3,yes
locator-audit-00031,SGA6_sourcePDF001_525_English_Inherited_PartiallySourceSynchronized_fragment.tex,184,3.1,3.1,e00,3.1,,,structural_definition_or_tag,,,,,,
locator-audit-00032,SGA6_sourcePDF001_525_English_Inherited_PartiallySourceSynchronized_fragment.tex,221,3.2,3.2,e00,3.1,,,structural_definition_or_tag,,,,,,
locator-audit-00033,SGA6_sourcePDF001_525_English_Inherited_PartiallySourceSynchronized_fragment.tex,222,1.2,1.2,e00,3.2,,,candidate_covered,reference-candidate-00038,parenthesized_locator,(1.2),resolved,sga6.e00.eq.1-2,yes
locator-audit-00034,SGA6_sourcePDF001_525_English_Inherited_PartiallySourceSynchronized_fragment.tex,222,2.5,2.5,e00,3.2,,,candidate_covered,reference-candidate-00039,parenthesized_locator,(2.5),resolved,sga6.e00.eq.2-5,yes
locator-audit-00035,SGA6_sourcePDF001_525_English_Inherited_PartiallySourceSynchronized_fragment.tex,222,3.1,3.1,e00,3.2,,,candidate_covered,reference-candidate-00040,parenthesized_locator,(3.1),resolved,sga6.e00.eq.3-1,yes
locator-audit-00036,SGA6_sourcePDF001_525_English_Inherited_PartiallySourceSynchronized_fragment.tex,226,2.1,2.1,e00,3.2,direct_context:definition_proposed_in,,candidate_covered,reference-candidate-00041,bare_locator,2.1,resolved,sga6.e00.sec.2.1,yes
locator-audit-00037,SGA6_sourcePDF001_525_English_Inherited_PartiallySourceSynchronized_fragment.tex,226,2.1,2.1,e00,3.2,,,candidate_covered,reference-candidate-00043,parenthesized_locator,(2.1),resolved,sga6.e00.eq.2-1,yes
locator-audit-00038,SGA6_sourcePDF001_525_English_Inherited_PartiallySourceSynchronized_fragment.tex,234,2.1,2.1,e00,3.2,,,candidate_covered,reference-candidate-00044,parenthesized_locator,(2.1),resolved,sga6.e00.eq.2-1,yes
locator-audit-00039,SGA6_sourcePDF001_525_English_Inherited_PartiallySourceSynchronized_fragment.tex,235,3.4,3.4,e00,3.2,,,structural_definition_or_tag,,,,,,
locator-audit-00040,SGA6_sourcePDF001_525_English_Inherited_PartiallySourceSynchronized_fragment.tex,238,3.3,3.3,e00,3.2,,,candidate_covered,reference-candidate-00046,parenthesized_locator,(3.3),resolved,sga6.e00.sec.3.3,yes
locator-audit-00041,SGA6_sourcePDF001_525_English_Inherited_PartiallySourceSynchronized_fragment.tex,240,3.3,3.3,e00,3.2,,,structural_definition_or_tag,,,,,,
locator-audit-00042,SGA6_sourcePDF001_525_English_Inherited_PartiallySourceSynchronized_fragment.tex,241,1.2,1.2,e00,3.3,,,candidate_covered,reference-candidate-00047,parenthesized_locator,(1.2),resolved,sga6.e00.eq.1-2,yes
locator-audit-00043,SGA6_sourcePDF001_525_English_Inherited_PartiallySourceSynchronized_fragment.tex,243,3.4,3.4,e00,3.3,,,candidate_covered,reference-candidate-00049,parenthesized_locator,(3.4),resolved,sga6.e00.eq.3-4,yes
locator-audit-00044,SGA6_sourcePDF001_525_English_Inherited_PartiallySourceSynchronized_fragment.tex,246,1.2,1.2,e00,4,,,candidate_covered,reference-candidate-00051,parenthesized_locator,(1.2),resolved,sga6.e00.eq.1-2,yes
locator-audit-00045,SGA6_sourcePDF001_525_English_Inherited_PartiallySourceSynchronized_fragment.tex,248,4.1,4.1,e00,4,,,structural_definition_or_tag,,,,,,
locator-audit-00046,SGA6_sourcePDF001_525_English_Inherited_PartiallySourceSynchronized_fragment.tex,249,3.1,3.1,e00,4.1,direct_context:in,,candidate_covered,reference-candidate-00052,bare_locator,3.1,resolved,sga6.e00.sec.3.1,yes
locator-audit-00047,SGA6_sourcePDF001_525_English_Inherited_PartiallySourceSynchronized_fragment.tex,249,3.1,3.1,e00,4.1,direct_context:of,,candidate_covered,reference-candidate-00053,bare_locator,3.1,resolved,sga6.e00.sec.3.1,yes
locator-audit-00048,SGA6_sourcePDF001_525_English_Inherited_PartiallySourceSynchronized_fragment.tex,249,3.1,3.1,e00,4.1,,,candidate_covered,reference-candidate-00054,parenthesized_locator,(3.1),resolved,sga6.e00.eq.3-1,yes
locator-audit-00049,SGA6_sourcePDF001_525_English_Inherited_PartiallySourceSynchronized_fragment.tex,253,3.2,3.2,e00,4.1,,,candidate_covered,reference-candidate-00056,parenthesized_locator,(3.2),resolved,sga6.e00.sec.3.2,yes
locator-audit-00050,SGA6_sourcePDF001_525_English_Inherited_PartiallySourceSynchronized_fragment.tex,255,4.2,4.2,e00,4.1,,,structural_definition_or_tag,,,,,,
locator-audit-00051,SGA6_sourcePDF001_525_English_Inherited_PartiallySourceSynchronized_fragment.tex,256,2.3,2.3,e00,4.2,direct_context:as_in,,candidate_covered,reference-candidate-00057,bare_locator,2.3,resolved,sga6.e00.sec.2.3,yes
locator-audit-00052,SGA6_sourcePDF001_525_English_Inherited_PartiallySourceSynchronized_fragment.tex,261,4.3,4.3,e00,4.2,,,structural_definition_or_tag,,,,,,
locator-audit-00053,SGA6_sourcePDF001_525_English_Inherited_PartiallySourceSynchronized_fragment.tex,262,1.2,1.2,e00,4.3,,,candidate_covered,reference-candidate-00058,parenthesized_locator,(1.2),resolved,sga6.e00.eq.1-2,yes
locator-audit-00054,SGA6_sourcePDF001_525_English_Inherited_PartiallySourceSynchronized_fragment.tex,266,3.4,3.4,e00,4.3,,,candidate_covered,reference-candidate-00059,parenthesized_locator,(3.4),resolved,sga6.e00.eq.3-4,yes
locator-audit-00055,SGA6_sourcePDF001_525_English_Inherited_PartiallySourceSynchronized_fragment.tex,266,3.3,3.3,e00,4.3,,,candidate_covered,reference-candidate-00060,parenthesized_locator,(3.3),resolved,sga6.e00.sec.3.3,yes
locator-audit-00056,SGA6_sourcePDF001_525_English_Inherited_PartiallySourceSynchronized_fragment.tex,270,2.1,2.1,e00,4.3,,,candidate_covered,reference-candidate-00061,parenthesized_locator,(2.1),resolved,sga6.e00.eq.2-1,yes
locator-audit-00057,SGA6_sourcePDF001_525_English_Inherited_PartiallySourceSynchronized_fragment.tex,271,4.1,4.1,e00,4.3,,,structural_definition_or_tag,,,,,,
locator-audit-00058,SGA6_sourcePDF001_525_English_Inherited_PartiallySourceSynchronized_fragment.tex,274,4.1,4.1,e00,4.3,,,candidate_covered,reference-candidate-00062,parenthesized_locator,(4.1),resolved,sga6.e00.eq.4-1,yes
locator-audit-00059,SGA6_sourcePDF001_525_English_Inherited_PartiallySourceSynchronized_fragment.tex,274,4.1,4.1,e00,4.3,,,candidate_covered,reference-candidate-00063,parenthesized_locator,(4.1),resolved,sga6.e00.eq.4-1,yes
locator-audit-00060,SGA6_sourcePDF001_525_English_Inherited_PartiallySourceSynchronized_fragment.tex,274,2.2,2.2,e00,4.3,,,candidate_covered,reference-candidate-00064,parenthesized_locator,(2.2),resolved,sga6.e00.eq.2-2,yes
locator-audit-00061,SGA6_sourcePDF001_525_English_Inherited_PartiallySourceSynchronized_fragment.tex,275,4.2,4.2,e00,4.3,,,structural_definition_or_tag,,,,,,
locator-audit-00062,SGA6_sourcePDF001_525_English_Inherited_PartiallySourceSynchronized_fragment.tex,280,4.4,4.4,e00,4.3,,,structural_definition_or_tag,,,,,,
locator-audit-00063,SGA6_sourcePDF001_525_English_Inherited_PartiallySourceSynchronized_fragment.tex,295,4.3,4.3,e00,4.4,direct_context:as_in,,candidate_covered,reference-candidate-00066,bare_locator,4.3,resolved,sga6.e00.sec.4.3,yes
locator-audit-00064,SGA6_sourcePDF001_525_English_Inherited_PartiallySourceSynchronized_fragment.tex,301,4.2,4.2,e00,4.4,,,candidate_covered,reference-candidate-00067,parenthesized_locator,(4.2),resolved,sga6.e00.eq.4-2,yes
locator-audit-00065,SGA6_sourcePDF001_525_English_Inherited_PartiallySourceSynchronized_fragment.tex,301,4.1,4.1,e00,4.4,direct_context:in,,candidate_covered,reference-candidate-00068,bare_locator,4.1,resolved,sga6.e00.sec.4.1,yes
locator-audit-00066,SGA6_sourcePDF001_525_English_Inherited_PartiallySourceSynchronized_fragment.tex,303,4.5,4.5,e00,4.4,,,structural_definition_or_tag,,,,,,
locator-audit-00067,SGA6_sourcePDF001_525_English_Inherited_PartiallySourceSynchronized_fragment.tex,304,4.2,4.2,e00,4.5,direct_context:question_raised_in,,candidate_covered,reference-candidate-00069,bare_locator,4.2,resolved,sga6.e00.sec.4.2,yes
locator-audit-00068,SGA6_sourcePDF001_525_English_Inherited_PartiallySourceSynchronized_fragment.tex,304,1.2,1.2,e00,4.5,,,candidate_covered,reference-candidate-00070,parenthesized_locator,(1.2),resolved,sga6.e00.eq.1-2,yes
locator-audit-00069,SGA6_sourcePDF001_525_English_Inherited_PartiallySourceSynchronized_fragment.tex,307,1.2,1.2,e00,5,,,candidate_covered,reference-candidate-00072,parenthesized_locator,(1.2),resolved,sga6.e00.eq.1-2,yes
locator-audit-00070,SGA6_sourcePDF001_525_English_Inherited_PartiallySourceSynchronized_fragment.tex,307,4.2,4.2,e00,5,direct_context:in,,candidate_covered,reference-candidate-00073,bare_locator,4.2,resolved,sga6.e00.sec.4.2,yes
locator-audit-00071,SGA6_sourcePDF001_525_English_Inherited_PartiallySourceSynchronized_fragment.tex,314,5.1,5.1,e00,5,,,structural_definition_or_tag,,,,,,
locator-audit-00072,SGA6_sourcePDF001_525_English_Inherited_PartiallySourceSynchronized_fragment.tex,317,5.1,5.1,e00,5,,,candidate_covered,reference-candidate-00076,parenthesized_locator,(5.1),resolved,sga6.e00.eq.5-1,yes
locator-audit-00073,SGA6_sourcePDF001_525_English_Inherited_PartiallySourceSynchronized_fragment.tex,322,5.2,5.2,e00,5,,,structural_definition_or_tag,,,,,,
locator-audit-00074,SGA6_sourcePDF001_525_English_Inherited_PartiallySourceSynchronized_fragment.tex,325,3.1,3.1,e00,5,,,candidate_covered,reference-candidate-00077,parenthesized_locator,(3.1),resolved,sga6.e00.eq.3-1,yes
locator-audit-00075,SGA6_sourcePDF001_525_English_Inherited_PartiallySourceSynchronized_fragment.tex,325,3.2,3.2,e00,5,,,candidate_covered,reference-candidate-00078,parenthesized_locator,(3.2),resolved,sga6.e00.sec.3.2,yes
locator-audit-00076,SGA6_sourcePDF001_525_English_Inherited_PartiallySourceSynchronized_fragment.tex,326,5.3,5.3,e00,5,,,structural_definition_or_tag,,,,,,
locator-audit-00077,SGA6_sourcePDF001_525_English_Inherited_PartiallySourceSynchronized_fragment.tex,333,5.3,5.3,e00,5,,,candidate_covered,reference-candidate-00079,parenthesized_locator,(5.3),resolved,sga6.e00.eq.5-3,yes
locator-audit-00078,SGA6_sourcePDF001_525_English_Inherited_PartiallySourceSynchronized_fragment.tex,333,5.3,5.3,e00,5,,,candidate_covered,reference-candidate-00080,parenthesized_locator,(5.3),resolved,sga6.e00.eq.5-3,yes
locator-audit-00079,SGA6_sourcePDF001_525_English_Inherited_PartiallySourceSynchronized_fragment.tex,334,5.4,5.4,e00,5,,,structural_definition_or_tag,,,,,,
locator-audit-00080,SGA6_sourcePDF001_525_English_Inherited_PartiallySourceSynchronized_fragment.tex,341,5.1,5.1,e00,5,,,candidate_covered,reference-candidate-00081,parenthesized_locator,(5.1),resolved,sga6.e00.eq.5-1,yes
locator-audit-00081,SGA6_sourcePDF001_525_English_Inherited_PartiallySourceSynchronized_fragment.tex,345,5.3,5.3,e00,5,,,candidate_covered,reference-candidate-00082,parenthesized_locator,(5.3),resolved,sga6.e00.eq.5-3,yes
locator-audit-00082,SGA6_sourcePDF001_525_English_Inherited_PartiallySourceSynchronized_fragment.tex,351,6.1,6.1,e00,6,,,structural_definition_or_tag,,,,,,
locator-audit-00083,SGA6_sourcePDF001_525_English_Inherited_PartiallySourceSynchronized_fragment.tex,359,6.2,6.2,e00,6,,,structural_definition_or_tag,,,,,,
locator-audit-00084,SGA6_sourcePDF001_525_English_Inherited_PartiallySourceSynchronized_fragment.tex,363,6.3,6.3,e00,6,,,structural_definition_or_tag,,,,,,
locator-audit-00085,SGA6_sourcePDF001_525_English_Inherited_PartiallySourceSynchronized_fragment.tex,366,6.2,6.2,e00,6,,,candidate_covered,reference-candidate-00084,parenthesized_locator,(6.2),resolved,sga6.e00.eq.6-2,yes
locator-audit-00086,SGA6_sourcePDF001_525_English_Inherited_PartiallySourceSynchronized_fragment.tex,379,6.4,6.4,e00,6,,,structural_definition_or_tag,,,,,,
locator-audit-00087,SGA6_sourcePDF001_525_English_Inherited_PartiallySourceSynchronized_fragment.tex,383,6.5,6.5,e00,6,,,structural_definition_or_tag,,,,,,
