audit_id,component_relpath,upstream_line,visible_subitem_tex,base_locator,subitem_label,candidate_id,candidate_pattern_kind,candidate_visible_reference_tex,resolution_status,resolved_target_id,link_inserted,coverage_status
subitem-reference-00001,SGA6_sourcePDF001_525_English_Inherited_PartiallySourceSynchronized_fragment.tex,3323,(5.1 (i)),5.1,i,reference-candidate-00421,locator_subitem,(5.1 (i)),resolved,sga6.e01.prop.5-1,yes,candidate_covered
subitem-reference-00002,SGA6_sourcePDF001_525_English_Inherited_PartiallySourceSynchronized_fragment.tex,3348,(5.1(ii)),5.1,ii,reference-candidate-00422,locator_subitem,(5.1(ii)),resolved,sga6.e01.prop.5-1,yes,candidate_covered
subitem-reference-00003,SGA6_sourcePDF001_525_English_Inherited_PartiallySourceSynchronized_fragment.tex,4223,1.1 (i),1.1,i,reference-candidate-00547,locator_subitem,1.1 (i),resolved,sga6.e02.prop.1-1,yes,candidate_covered
subitem-reference-00004,SGA6_sourcePDF001_525_English_Inherited_PartiallySourceSynchronized_fragment.tex,4474,(2.2.3 (ii)),2.2.3,ii,reference-candidate-00597,locator_subitem,(2.2.3 (ii)),resolved,sga6.e02.prop.2-2-3,yes,candidate_covered
subitem-reference-00005,SGA6_sourcePDF001_525_English_Inherited_PartiallySourceSynchronized_fragment.tex,4504,(2.2.3 (iii)),2.2.3,iii,reference-candidate-00607,locator_subitem,(2.2.3 (iii)),resolved,sga6.e02.prop.2-2-3,yes,candidate_covered
subitem-reference-00006,SGA6_sourcePDF001_525_English_Inherited_PartiallySourceSynchronized_fragment.tex,4506,(2.2.3 (iii)),2.2.3,iii,reference-candidate-00611,locator_subitem,(2.2.3 (iii)),resolved,sga6.e02.prop.2-2-3,yes,candidate_covered
subitem-reference-00007,SGA6_sourcePDF001_525_English_Inherited_PartiallySourceSynchronized_fragment.tex,4599,2.15.1 (ii),2.15.1,ii,reference-candidate-00650,roman_locator,I 2.15.1 (ii),resolved,sga6.e01.lem.2-15-1,yes,candidate_covered
subitem-reference-00008,SGA6_sourcePDF001_525_English_Inherited_PartiallySourceSynchronized_fragment.tex,4699,(1.1 (i)),1.1,i,reference-candidate-00678,locator_subitem,(1.1 (i)),resolved,sga6.e02.prop.1-1,yes,candidate_covered
subitem-reference-00009,SGA6_sourcePDF001_525_English_Inherited_PartiallySourceSynchronized_fragment.tex,4699,(1.1 (ii)),1.1,ii,reference-candidate-00679,locator_subitem,(1.1 (ii)),resolved,sga6.e02.prop.1-1,yes,candidate_covered
subitem-reference-00010,SGA6_sourcePDF001_525_English_Inherited_PartiallySourceSynchronized_fragment.tex,5622,2.2.2(a),2.2.2,a,reference-candidate-00790,roman_locator,II 2.2.2(a),resolved,sga6.e02.prop.2-2-2,yes,candidate_covered
