dependency_order,relative_path,upstream_bytes,upstream_sha256,working_bytes,working_sha256,upstream_decoded_text_sha256,stripped_retrofit_text_sha256,decoded_text_exact
1,SGA6_English_Complete_Layered_Terminal_SourceBacked_20260722.tex,5217,C8C015D13BEB9B0372BB441ABFE2C2D2EF038ED2BD2884B8C83E1F10334556C9,5392,79B98568FC1DA95D902B8485DFB4B8A734681B60616EB5ED2A90EE94C54CC487,C8C015D13BEB9B0372BB441ABFE2C2D2EF038ED2BD2884B8C83E1F10334556C9,C8C015D13BEB9B0372BB441ABFE2C2D2EF038ED2BD2884B8C83E1F10334556C9,yes
2,SGA6_sourcePDF001_525_English_Inherited_PartiallySourceSynchronized_fragment.tex,812912,3FE03C89BA0662A61607CDE80DDB24BC4683FA37C30C1DA580908CFAD186F68C,897124,607F1F3628046B0E6565E77099C7F012787827BE537BEED90EBEA8A804DFC644,3FE03C89BA0662A61607CDE80DDB24BC4683FA37C30C1DA580908CFAD186F68C,3FE03C89BA0662A61607CDE80DDB24BC4683FA37C30C1DA580908CFAD186F68C,yes
3,SGA6_tail_macro_state.tex,3943,7EB2EF408B4541FD6AE5CA295B00049601B44A789F8696D48FFEC9C4310F29F2,3943,7EB2EF408B4541FD6AE5CA295B00049601B44A789F8696D48FFEC9C4310F29F2,7EB2EF408B4541FD6AE5CA295B00049601B44A789F8696D48FFEC9C4310F29F2,7EB2EF408B4541FD6AE5CA295B00049601B44A789F8696D48FFEC9C4310F29F2,yes
4,SGA6_idx532_702_and_backmatter_English_Synchronized_body.tex,106658,9D70E93FB4BEE469FEAEC265883715A87706AED23C2F8BC3D5C419B87A68BF1B,121090,ACCEFD1B81E2E078BB79CC733D97078A85D8CA1FF32ED284E8F39B3C1CD00E48,9D70E93FB4BEE469FEAEC265883715A87706AED23C2F8BC3D5C419B87A68BF1B,9D70E93FB4BEE469FEAEC265883715A87706AED23C2F8BC3D5C419B87A68BF1B,yes
5,SGA6_Expose_X_idx598_607_English_SourceChecked_fragment.tex,19178,345E12F8035C1676DC1636EA8CF2E7311B5731E7A392DE8935E53EEE93EA7B4B,21042,D8E54B4D9FF4075F744972CAD3A05799D0260BF73A56B800106EBA322E19A4FA,345E12F8035C1676DC1636EA8CF2E7311B5731E7A392DE8935E53EEE93EA7B4B,345E12F8035C1676DC1636EA8CF2E7311B5731E7A392DE8935E53EEE93EA7B4B,yes
6,SGA6_idx608_646_English_SourceChecked_fragment.tex,354,43673F0693B77425759CBE3BA178A90A03739345B2AD9FF973BFC1D39FA133D0,354,43673F0693B77425759CBE3BA178A90A03739345B2AD9FF973BFC1D39FA133D0,43673F0693B77425759CBE3BA178A90A03739345B2AD9FF973BFC1D39FA133D0,43673F0693B77425759CBE3BA178A90A03739345B2AD9FF973BFC1D39FA133D0,yes
7,SGA6_idx608_615_English_SourceChecked_fragment.tex,15512,5EFBAE33A76AA0E8664D766F3999E669106E8559B93482EA9981111E80BB8134,16318,D188701B16A41DA1AD06BFCA7079EEAB47EB30077FBF7F956EB16CA2A194AB56,5EFBAE33A76AA0E8664D766F3999E669106E8559B93482EA9981111E80BB8134,5EFBAE33A76AA0E8664D766F3999E669106E8559B93482EA9981111E80BB8134,yes
8,SGA6_idx616_624_English_SourceChecked_fragment.tex,19279,3EB894128FD05B46F1E1A3ADD101275161B0AEC85F0897EF776506FB50EA21DF,20012,37830871C6137539A78C30E20774C4F80F12F40CEDC3B70095A3083455D62FC1,3EB894128FD05B46F1E1A3ADD101275161B0AEC85F0897EF776506FB50EA21DF,3EB894128FD05B46F1E1A3ADD101275161B0AEC85F0897EF776506FB50EA21DF,yes
9,SGA6_idx625_635_English_SourceChecked_fragment.tex,19962,913ED757DAC117102318AFF6A5D12B3D2EBF1BDE8E3F3F4D2BE8B5C71EC4CCFA,21081,96072B25456CA6A9978DE080F834AEB01121FFF521150C6D0230E61ACAC342D3,913ED757DAC117102318AFF6A5D12B3D2EBF1BDE8E3F3F4D2BE8B5C71EC4CCFA,913ED757DAC117102318AFF6A5D12B3D2EBF1BDE8E3F3F4D2BE8B5C71EC4CCFA,yes
10,SGA6_idx636_646_English_SourceChecked_fragment.tex,22876,DE5ED31B1A1D3153736C853000A0526E04B386A5711BE993228703809DF7AFAB,24580,EEF29D59BAFB79D65FEF2C531780C6BADADE477EBFDE0C8B43D46CCFF813A2ED,DE5ED31B1A1D3153736C853000A0526E04B386A5711BE993228703809DF7AFAB,DE5ED31B1A1D3153736C853000A0526E04B386A5711BE993228703809DF7AFAB,yes
