selection_id	source_archive_sha256	original_member_path	canonical_archive_path	member_kind	physical_page	bytes	compressed_bytes	sha256	accepted_state	authority_role
D001	B9FD630EE8221E8B20A5CF111B0BF05720CA860895C93728E4797A4160024123	Deligne_Diagram_Witness_Aid_D021_D045_20260608/Contact/D036_contact.jpg	diagram_witness_d036/Contact/D036_contact.jpg	CONTACT_SHEET		583917	511588	C259E7D4D0908BC76A66EA9E4E4608E222B9CD4217D07DFEEFA910B838038356	ZERO_ACCEPTED	LOCATOR_ONLY_NOT_AUTHORITY_SUBSTITUTE
D002	B9FD630EE8221E8B20A5CF111B0BF05720CA860895C93728E4797A4160024123	Deligne_Diagram_Witness_Aid_D021_D045_20260608/Images/D036_Le_groupe_fondamental_du_complement_d_une/D036_p001_diag01.png	diagram_witness_d036/Images/D036_Le_groupe_fondamental_du_complement_d_une/D036_p001_diag01.png	DIAGRAM_WITNESS_CROP	1	16342	14731	0F542E0BF735C90A32E8CAF37D101C37B93D02E642A3915ED11C2FF5EBE0DB60	ZERO_ACCEPTED	LOCATOR_ONLY_NOT_AUTHORITY_SUBSTITUTE
D003	B9FD630EE8221E8B20A5CF111B0BF05720CA860895C93728E4797A4160024123	Deligne_Diagram_Witness_Aid_D021_D045_20260608/Images/D036_Le_groupe_fondamental_du_complement_d_une/D036_p001_diag02.png	diagram_witness_d036/Images/D036_Le_groupe_fondamental_du_complement_d_une/D036_p001_diag02.png	DIAGRAM_WITNESS_CROP	1	8856	7879	454FCCD626C092C09C13195895A1AE288F015EA228D3A3A4B21B3171C28ED59C	ZERO_ACCEPTED	LOCATOR_ONLY_NOT_AUTHORITY_SUBSTITUTE
D004	B9FD630EE8221E8B20A5CF111B0BF05720CA860895C93728E4797A4160024123	Deligne_Diagram_Witness_Aid_D021_D045_20260608/Images/D036_Le_groupe_fondamental_du_complement_d_une/D036_p001_diag03.png	diagram_witness_d036/Images/D036_Le_groupe_fondamental_du_complement_d_une/D036_p001_diag03.png	DIAGRAM_WITNESS_CROP	1	52113	47676	83BF694922DE510326291FDDC1FF2E6A822335F08E2471972A3963DFEE7F4CD6	ZERO_ACCEPTED	LOCATOR_ONLY_NOT_AUTHORITY_SUBSTITUTE
D005	B9FD630EE8221E8B20A5CF111B0BF05720CA860895C93728E4797A4160024123	Deligne_Diagram_Witness_Aid_D021_D045_20260608/Images/D036_Le_groupe_fondamental_du_complement_d_une/D036_p001_diag04.png	diagram_witness_d036/Images/D036_Le_groupe_fondamental_du_complement_d_une/D036_p001_diag04.png	DIAGRAM_WITNESS_CROP	1	603049	568202	20E493FCD48C563B45D4B25CBDB7DF16AC6F1A46F193417F35B63150D4270618	ZERO_ACCEPTED	LOCATOR_ONLY_NOT_AUTHORITY_SUBSTITUTE
D006	B9FD630EE8221E8B20A5CF111B0BF05720CA860895C93728E4797A4160024123	Deligne_Diagram_Witness_Aid_D021_D045_20260608/Images/D036_Le_groupe_fondamental_du_complement_d_une/D036_p002_diag01.png	diagram_witness_d036/Images/D036_Le_groupe_fondamental_du_complement_d_une/D036_p002_diag01.png	DIAGRAM_WITNESS_CROP	2	765624	721340	BD23128B46C6EBD15FB8B83A4DD3AF8EBFCEB91C5F101B8A55BB9C913E5C4E02	ZERO_ACCEPTED	LOCATOR_ONLY_NOT_AUTHORITY_SUBSTITUTE
D007	B9FD630EE8221E8B20A5CF111B0BF05720CA860895C93728E4797A4160024123	Deligne_Diagram_Witness_Aid_D021_D045_20260608/Images/D036_Le_groupe_fondamental_du_complement_d_une/D036_p003_diag01.png	diagram_witness_d036/Images/D036_Le_groupe_fondamental_du_complement_d_une/D036_p003_diag01.png	DIAGRAM_WITNESS_CROP	3	168208	158157	ECBFED66BBE13BBB658440F5BA695B19B1DBCD62EA32F8BA6BB512CDAA19E963	ZERO_ACCEPTED	LOCATOR_ONLY_NOT_AUTHORITY_SUBSTITUTE
D008	B9FD630EE8221E8B20A5CF111B0BF05720CA860895C93728E4797A4160024123	Deligne_Diagram_Witness_Aid_D021_D045_20260608/Images/D036_Le_groupe_fondamental_du_complement_d_une/D036_p003_diag02.png	diagram_witness_d036/Images/D036_Le_groupe_fondamental_du_complement_d_une/D036_p003_diag02.png	DIAGRAM_WITNESS_CROP	3	423202	394370	2B65177BB48FAB98D7D5889FDD3C3EB5B3F3629D5701BBAFA1BCAD587C243636	ZERO_ACCEPTED	LOCATOR_ONLY_NOT_AUTHORITY_SUBSTITUTE
D009	B9FD630EE8221E8B20A5CF111B0BF05720CA860895C93728E4797A4160024123	Deligne_Diagram_Witness_Aid_D021_D045_20260608/Images/D036_Le_groupe_fondamental_du_complement_d_une/D036_p004_diag01.png	diagram_witness_d036/Images/D036_Le_groupe_fondamental_du_complement_d_une/D036_p004_diag01.png	DIAGRAM_WITNESS_CROP	4	779929	731756	48DE426CDE5148B5015640F24AE0AEC495039C90CA4010EB74D76F3B5D9E51CA	ZERO_ACCEPTED	LOCATOR_ONLY_NOT_AUTHORITY_SUBSTITUTE
D010	B9FD630EE8221E8B20A5CF111B0BF05720CA860895C93728E4797A4160024123	Deligne_Diagram_Witness_Aid_D021_D045_20260608/Images/D036_Le_groupe_fondamental_du_complement_d_une/D036_p005_diag01.png	diagram_witness_d036/Images/D036_Le_groupe_fondamental_du_complement_d_une/D036_p005_diag01.png	DIAGRAM_WITNESS_CROP	5	497896	466294	7ABD8CDA68E7A011DCE91EC68053393EB98F57EE729FDA228B1CD5498E467FB7	ZERO_ACCEPTED	LOCATOR_ONLY_NOT_AUTHORITY_SUBSTITUTE
