physical_page	authority_pdf_page	article_page	comparator_pdf_page	printed_folio	prompt_id	source_language	source_edition_action	english_translation_action	disposition	topology_marker
1	1	1	1	543-01	P01	FRENCH	REPLAY_AND_FREEZE_AUTHORITY_FRENCH	TRANSLATE_FROZEN_FRENCH_TO_STANDALONE_ENGLISH	INCLUDE_COMPLETE_WORK_EXCLUDING_REPEATED_FOLIO_FROM_READER_PROSE	543-01; Séminaire Bourbaki header; November 1979; exact accented title; [d'après W. FULTON]; sole byline par Pierre DELIGNE; Introduction; Theorems 1 and 2
2	2	2	2	543-02	P01	FRENCH	REPLAY_AND_FREEZE_AUTHORITY_FRENCH	TRANSLATE_FROZEN_FRENCH_TO_STANDALONE_ENGLISH	INCLUDE_COMPLETE_WORK_EXCLUDING_REPEATED_FOLIO_FROM_READER_PROSE	543-02; fundamental-group structure; Abhyankar-Fulton discussion; Theorem 3; introduction continues
3	3	3	3	543-03	P01	FRENCH	REPLAY_AND_FREEZE_AUTHORITY_FRENCH	TRANSLATE_FROZEN_FRENCH_TO_STANDALONE_ENGLISH	INCLUDE_COMPLETE_WORK_EXCLUDING_REPEATED_FOLIO_FROM_READER_PROSE	543-03; tubular-neighborhood fundamental-group argument; exact sequences; Section 0 Terminologie
4	4	4	4	543-04	P01	FRENCH	REPLAY_AND_FREEZE_AUTHORITY_FRENCH	TRANSLATE_FROZEN_FRENCH_TO_STANDALONE_ENGLISH	INCLUDE_COMPLETE_WORK_EXCLUDING_REPEATED_FOLIO_FROM_READER_PROSE	543-04; Section 1 Théorèmes du type de Lefschetz et Bertini; Assertion 1.1 and 1.2
5	5	5	5	543-05	P01	FRENCH	REPLAY_AND_FREEZE_AUTHORITY_FRENCH	TRANSLATE_FROZEN_FRENCH_TO_STANDALONE_ENGLISH	INCLUDE_COMPLETE_WORK_EXCLUDING_REPEATED_FOLIO_FROM_READER_PROSE	543-05; Conjecture 1.3; formula for n-star; Lemma 1.4 and proof
6	6	6	6	543-06	P01	FRENCH	REPLAY_AND_FREEZE_AUTHORITY_FRENCH	TRANSLATE_FROZEN_FRENCH_TO_STANDALONE_ENGLISH	INCLUDE_COMPLETE_WORK_EXCLUDING_REPEATED_FOLIO_FROM_READER_PROSE	543-06; Lemma 1.5; Grassmannian argument; opening of variant 1.6
7	7	7	7	543-07	P02	FRENCH	REPLAY_AND_FREEZE_AUTHORITY_FRENCH	TRANSLATE_FROZEN_FRENCH_TO_STANDALONE_ENGLISH	INCLUDE_COMPLETE_WORK_EXCLUDING_REPEATED_FOLIO_FROM_READER_PROSE	543-07; Theorem 1.6; Lemma 1.7; compactification setup and neighborhood formulas
8	8	8	8	543-08	P02	FRENCH	REPLAY_AND_FREEZE_AUTHORITY_FRENCH	TRANSLATE_FROZEN_FRENCH_TO_STANDALONE_ENGLISH	INCLUDE_COMPLETE_WORK_EXCLUDING_REPEATED_FOLIO_FROM_READER_PROSE	543-08; exact three-stage compactification/blowup diagram with arrows and dashed neighborhoods; proof of 1.6; Section 2 opens
9	9	9	9	543-09	P02	FRENCH	REPLAY_AND_FREEZE_AUTHORITY_FRENCH	TRANSLATE_FROZEN_FRENCH_TO_STANDALONE_ENGLISH	INCLUDE_COMPLETE_WORK_EXCLUDING_REPEATED_FOLIO_FROM_READER_PROSE	543-09; Proposition 2.2; exact local perpendicular diagram labeled u, v, and u-bar; homotopy sequences; proof continues
10	10	10	10	543-10	P02	FRENCH	REPLAY_AND_FREEZE_AUTHORITY_FRENCH	TRANSLATE_FROZEN_FRENCH_TO_STANDALONE_ENGLISH	INCLUDE_COMPLETE_WORK_EXCLUDING_REPEATED_FOLIO_FROM_READER_PROSE	543-10; proof of Theorem 1 completes; Bibliographie [1]-[9] including [2 bis]; dated postscript; Pierre DELIGNE and IHES address; physical EOF
