language_code,language_name,repo,path,payload_relative_path,blob_url,raw_url,repo_license_spdx,repo_license_url,bytes,sha256,language_evidence_terms,topic_tags
pl,Polish,K4cp3rski/Termodynamika_R,Homework/HW_1/Zad_2.tex,latex_payload/pl/K4cp3rski_Termodynamika_R/Homework/HW_1/Zad_2.tex,https://github.com/K4cp3rski/Termodynamika_R/blob/d7788e6dcd1c4fb79ceba45301620bff90a4d55f/Homework/HW_1/Zad_2.tex,https://raw.githubusercontent.com/K4cp3rski/Termodynamika_R/d7788e6dcd1c4fb79ceba45301620bff90a4d55f/Homework/HW_1/Zad_2.tex,MIT,,2779,9B2AE8A2B0DD5173FD48B9987AFE6E8515323963659A6FF76C81E3453EE311D1,pierścień,ring
pl,Polish,shgalus/shg,doc/algebra.tex,latex_payload/pl/shgalus_shg/doc/algebra.tex,https://github.com/shgalus/shg/blob/cf3e8f31559a8e06ed217f0661b3dcf9f82709cb/doc/algebra.tex,https://raw.githubusercontent.com/shgalus/shg/cf3e8f31559a8e06ed217f0661b3dcf9f82709cb/doc/algebra.tex,MIT,,1015,6B835C5B5DBFCDB0D457EBF1295ACF3829D20F30F010A300DE9FFAD63F65D760,pierścień,ring;group
pl,Polish,fechmistrz/almawaukh-knots,src/10-introduction/101b3-links_brunnian.tex,latex_payload/pl/fechmistrz_almawaukh-knots/src/10-introduction/101b3-links_brunnian.tex,https://github.com/fechmistrz/almawaukh-knots/blob/cdc91e02d1e9adacb2300fd28fdf95e410888bc4/src/10-introduction/101b3-links_brunnian.tex,https://raw.githubusercontent.com/fechmistrz/almawaukh-knots/cdc91e02d1e9adacb2300fd28fdf95e410888bc4/src/10-introduction/101b3-links_brunnian.tex,MIT,,1677,0ED2FC7991EEB61165B6348EEE326F1C6BE9D4DF018AED1FC17E9A79ABEA48F2,niezmiennik; algebra; pierścienie,algebra;ring;invariant
pl,Polish,Antyradek/iphist,chapters/zakres.tex,latex_payload/pl/Antyradek_iphist/chapters/zakres.tex,https://github.com/Antyradek/iphist/blob/e58d5ef3530f77571a05bb790e539c1dae4ba874/chapters/zakres.tex,https://raw.githubusercontent.com/Antyradek/iphist/e58d5ef3530f77571a05bb790e539c1dae4ba874/chapters/zakres.tex,GPL-3.0,,6699,B06F9C6A0E69A30EEA3501AD11753884DBAA69408E0249C0633A46DABB442C36,grupa; pierścienie,ring;group
pl,Polish,emcezet/cmos_dac,docs/notes/doc.tex,latex_payload/pl/emcezet_cmos_dac/docs/notes/doc.tex,https://github.com/emcezet/cmos_dac/blob/47b4865c5bd03d2bfddff82d293e439b02f00f48/docs/notes/doc.tex,https://raw.githubusercontent.com/emcezet/cmos_dac/47b4865c5bd03d2bfddff82d293e439b02f00f48/docs/notes/doc.tex,MIT,,78670,F602763BB79D0FACB6493F2EB481D7AFA95F89CDD15661BEE1BC3702D6A7E44D,moduł; twierdzenie; pierścienie,ring;module;field
cs,Czech,knedl1k/B2M01TIK,midterm/main.tex,latex_payload/cs/knedl1k_B2M01TIK/midterm/main.tex,https://github.com/knedl1k/B2M01TIK/blob/b97c43de7a1dd5a7e586fdac7415a940992bc8ae/midterm/main.tex,https://raw.githubusercontent.com/knedl1k/B2M01TIK/b97c43de7a1dd5a7e586fdac7415a940992bc8ae/midterm/main.tex,CC-BY-SA-4.0,,2594,10E76676BA74E57313F5A7C2FD31D2944DFD8AA3B9C26C02340C5C4088C23963,okruh; těleso; grupa,ring;group;field
cs,Czech,VUT-FEKT-IBE/BPC-IBE-SZZ,BPC-KOM/text.tex,latex_payload/cs/VUT-FEKT-IBE_BPC-IBE-SZZ/BPC-KOM/text.tex,https://github.com/VUT-FEKT-IBE/BPC-IBE-SZZ/blob/f54bde5df5c79d76a337ce067890a1ab8c3a2857/BPC-KOM/text.tex,https://raw.githubusercontent.com/VUT-FEKT-IBE/BPC-IBE-SZZ/f54bde5df5c79d76a337ce067890a1ab8c3a2857/BPC-KOM/text.tex,MIT,,67813,4DF625C1CD07BB2779BBD67103EC0B3D944755D17849EBF9A02A53EB122B2213,okruh; modul; okruhy,ring;module
cs,Czech,pkonas/AutoGenBook,output/book/sections/3-5.tex,latex_payload/cs/pkonas_AutoGenBook/output/book/sections/3-5.tex,https://github.com/pkonas/AutoGenBook/blob/ea39018449bfe2e6162adfa859f024521f5e91e6/output/book/sections/3-5.tex,https://raw.githubusercontent.com/pkonas/AutoGenBook/ea39018449bfe2e6162adfa859f024521f5e91e6/output/book/sections/3-5.tex,APACHE-2.0,,6390,7C45B129793FBC56DDCEC8F674B73438E60CDB68F3CDF48535EF744187B45B3C,okruh; okruhy,ring
cs,Czech,RoboticsBrno/RoboticsBrno-guides,RoboticsManual/zacatek.tex,latex_payload/cs/RoboticsBrno_RoboticsBrno-guides/RoboticsManual/zacatek.tex,https://github.com/RoboticsBrno/RoboticsBrno-guides/blob/dbf4d3d9b29636857b38d6a84a49f036bb4cba8a/RoboticsManual/zacatek.tex,https://raw.githubusercontent.com/RoboticsBrno/RoboticsBrno-guides/dbf4d3d9b29636857b38d6a84a49f036bb4cba8a/RoboticsManual/zacatek.tex,MIT,,9777,986B3C6B85712A8BE648B648C75F62CAF771A8E446120CEB28C043588356C37C,okruh; okruhy,ring
cs,Czech,JoHavel/MFFNotes,MA7/Reprezentace/ReprezentaceC.tex,latex_payload/cs/JoHavel_MFFNotes/MA7/Reprezentace/ReprezentaceC.tex,https://github.com/JoHavel/MFFNotes/blob/dcd51a2745549caef5a455668e594f89a652562e/MA7/Reprezentace/ReprezentaceC.tex,https://raw.githubusercontent.com/JoHavel/MFFNotes/dcd51a2745549caef5a455668e594f89a652562e/MA7/Reprezentace/ReprezentaceC.tex,MIT,,4435,C37579E559B12BCD5EB119AE7C8D4FF40CC8DF4DAA84C2FEC2C80AB251F3BEDD,okruh; těleso; modul; okruhy,ring;module;group;field
