"current_head","arabic_support_id","source_use_value","contains_arabic_script_in_target_or_gloss","has_formula_neighboring_note","has_register_alternatives","source_object_hash_status","rtl_script_register_formula_check","r3_owner_lane_action","boundary"
"ac6f4eb7490b1bba788444ddb2361fc65c3d9f6e","AR-AC6F4E-SUPPORT-0001","audit-ledger","false","true","false","source_object_hash_match","inspect RTL directionality, Arabic punctuation, TeX/PDF rendering, source-context adjacency to formulas/definitions/theorems/proofs, and adverse/do-not-use ledgers before any generated-draft wording","support/provenance row; preserve source-use label and owner-lane review question","source-use/provenance/gap/generated-draft/noncanonical/not-native-reviewed; no bridge promotion, cross-gate merge, native-review, accepted terminology, canonical approval, license clearance, gate promotion, source certification, final status, bridge/pilot, or translation completion"
"ac6f4eb7490b1bba788444ddb2361fc65c3d9f6e","AR-AC6F4E-SUPPORT-0002","audit-ledger","false","true","false","source_object_hash_match","inspect RTL directionality, Arabic punctuation, TeX/PDF rendering, source-context adjacency to formulas/definitions/theorems/proofs, and adverse/do-not-use ledgers before any generated-draft wording","support/provenance row; preserve source-use label and owner-lane review question","source-use/provenance/gap/generated-draft/noncanonical/not-native-reviewed; no bridge promotion, cross-gate merge, native-review, accepted terminology, canonical approval, license clearance, gate promotion, source certification, final status, bridge/pilot, or translation completion"
"ac6f4eb7490b1bba788444ddb2361fc65c3d9f6e","AR-AC6F4E-SUPPORT-0003","OCR-witness","false","true","false","source_object_hash_match","inspect RTL directionality, Arabic punctuation, TeX/PDF rendering, source-context adjacency to formulas/definitions/theorems/proofs, and adverse/do-not-use ledgers before any generated-draft wording","OCR witness separated; source-context check required before generated-draft wording","source-use/provenance/gap/generated-draft/noncanonical/not-native-reviewed; no bridge promotion, cross-gate merge, native-review, accepted terminology, canonical approval, license clearance, gate promotion, source certification, final status, bridge/pilot, or translation completion"
"ac6f4eb7490b1bba788444ddb2361fc65c3d9f6e","AR-AC6F4E-SUPPORT-0004","OCR-witness","false","true","false","source_object_hash_match","inspect RTL directionality, Arabic punctuation, TeX/PDF rendering, source-context adjacency to formulas/definitions/theorems/proofs, and adverse/do-not-use ledgers before any generated-draft wording","OCR witness separated; source-context check required before generated-draft wording","source-use/provenance/gap/generated-draft/noncanonical/not-native-reviewed; no bridge promotion, cross-gate merge, native-review, accepted terminology, canonical approval, license clearance, gate promotion, source certification, final status, bridge/pilot, or translation completion"
"ac6f4eb7490b1bba788444ddb2361fc65c3d9f6e","AR-AC6F4E-SUPPORT-0005","OCR-witness","false","true","false","source_object_hash_match","inspect RTL directionality, Arabic punctuation, TeX/PDF rendering, source-context adjacency to formulas/definitions/theorems/proofs, and adverse/do-not-use ledgers before any generated-draft wording","OCR witness separated; source-context check required before generated-draft wording","source-use/provenance/gap/generated-draft/noncanonical/not-native-reviewed; no bridge promotion, cross-gate merge, native-review, accepted terminology, canonical approval, license clearance, gate promotion, source certification, final status, bridge/pilot, or translation completion"
"ac6f4eb7490b1bba788444ddb2361fc65c3d9f6e","AR-AC6F4E-SUPPORT-0006","OCR-witness","false","true","false","source_object_hash_match","inspect RTL directionality, Arabic punctuation, TeX/PDF rendering, source-context adjacency to formulas/definitions/theorems/proofs, and adverse/do-not-use ledgers before any generated-draft wording","OCR witness separated; source-context check required before generated-draft wording","source-use/provenance/gap/generated-draft/noncanonical/not-native-reviewed; no bridge promotion, cross-gate merge, native-review, accepted terminology, canonical approval, license clearance, gate promotion, source certification, final status, bridge/pilot, or translation completion"
"ac6f4eb7490b1bba788444ddb2361fc65c3d9f6e","AR-AC6F4E-SUPPORT-0007","OCR-witness","false","true","false","source_object_hash_match","inspect RTL directionality, Arabic punctuation, TeX/PDF rendering, source-context adjacency to formulas/definitions/theorems/proofs, and adverse/do-not-use ledgers before any generated-draft wording","OCR witness separated; source-context check required before generated-draft wording","source-use/provenance/gap/generated-draft/noncanonical/not-native-reviewed; no bridge promotion, cross-gate merge, native-review, accepted terminology, canonical approval, license clearance, gate promotion, source certification, final status, bridge/pilot, or translation completion"
"ac6f4eb7490b1bba788444ddb2361fc65c3d9f6e","AR-AC6F4E-SUPPORT-0008","OCR-witness","false","true","false","source_object_hash_match","inspect RTL directionality, Arabic punctuation, TeX/PDF rendering, source-context adjacency to formulas/definitions/theorems/proofs, and adverse/do-not-use ledgers before any generated-draft wording","OCR witness separated; source-context check required before generated-draft wording","source-use/provenance/gap/generated-draft/noncanonical/not-native-reviewed; no bridge promotion, cross-gate merge, native-review, accepted terminology, canonical approval, license clearance, gate promotion, source certification, final status, bridge/pilot, or translation completion"
"ac6f4eb7490b1bba788444ddb2361fc65c3d9f6e","AR-AC6F4E-SUPPORT-0009","OCR-witness","false","true","false","source_object_hash_match","inspect RTL directionality, Arabic punctuation, TeX/PDF rendering, source-context adjacency to formulas/definitions/theorems/proofs, and adverse/do-not-use ledgers before any generated-draft wording","OCR witness separated; source-context check required before generated-draft wording","source-use/provenance/gap/generated-draft/noncanonical/not-native-reviewed; no bridge promotion, cross-gate merge, native-review, accepted terminology, canonical approval, license clearance, gate promotion, source certification, final status, bridge/pilot, or translation completion"
"ac6f4eb7490b1bba788444ddb2361fc65c3d9f6e","AR-AC6F4E-SUPPORT-0010","OCR-witness","false","true","false","source_object_hash_match","inspect RTL directionality, Arabic punctuation, TeX/PDF rendering, source-context adjacency to formulas/definitions/theorems/proofs, and adverse/do-not-use ledgers before any generated-draft wording","OCR witness separated; source-context check required before generated-draft wording","source-use/provenance/gap/generated-draft/noncanonical/not-native-reviewed; no bridge promotion, cross-gate merge, native-review, accepted terminology, canonical approval, license clearance, gate promotion, source certification, final status, bridge/pilot, or translation completion"
