"current_head","previous_source_status_head","language_gate","native_source_body_rows","ocr_or_extracted_witness_rows","source_manifest_gap_rows","witness_recovery_rows","source_resolved_draft_rows","unresolved_source_context_rows","blocker_rows","authority_overlay","gate_guard","status","boundary"
"ac6f4eb7490b1bba788444ddb2361fc65c3d9f6e","212dfb1c7728f7c23274714434aa35d590e1aab7","ar","87","29","0","0","61","2","6","Arabic authority support: native-source-body=221; pointer-only=195; OCR-witness=80; audit-ledger=19; method-note=10; rejected=5; package-support=4; generated-draft=3; manifest=3; native-source-body + OCR-witness=3; covered_active_row=3; covered_active_row_manual_flag=3; native-source-body + pointer-only provenance=1; native-source-body + OCR-witness + pointer-only provenance=1; active_summary=1; no_active_insufficient_rows=1; non_active_gap_row=1","Arabic authority rows do not authorize Persian/Farsi, Dari, Tajik, Urdu/Hindustani, Ottoman, or Pan-Turkic rows; each gate remains independent","source-backed draft support permitted for resolved rows only","source-use/provenance/gap/generated-draft/noncanonical/not-native-reviewed; no bridge promotion, cross-gate merge, native-review, accepted terminology, canonical approval, license clearance, gate promotion, source certification, final status, bridge/pilot, or translation completion"
"ac6f4eb7490b1bba788444ddb2361fc65c3d9f6e","212dfb1c7728f7c23274714434aa35d590e1aab7","fa_IR","21","6","0","0","72","2","0","Persianate/Tajik current-head routing rows=474; labels=native-source-body=228; OCR-witness=92; source-witness-pdf-with-ocr-locator=46; audit-ledger=34; generated-draft=19; source-acquisition-target=17; source-discovery-not-promoted=13; pointer-only=8; adjacent-source-body=4; source-discovery-body=4; method-note=2; source-witness-pdf-with-ocr-locator / adjacent TeX source-format evidence=2; methodology=2; source-discovery-witness-not-promoted=1; false-friend-gap=1; source-witness-indirect=1","Arabic authority rows do not authorize Persian/Farsi, Dari, Tajik, Urdu/Hindustani, Ottoman, or Pan-Turkic rows; each gate remains independent","source-backed draft support permitted for resolved rows only","source-use/provenance/gap/generated-draft/noncanonical/not-native-reviewed; no bridge promotion, cross-gate merge, native-review, accepted terminology, canonical approval, license clearance, gate promotion, source certification, final status, bridge/pilot, or translation completion"
"ac6f4eb7490b1bba788444ddb2361fc65c3d9f6e","212dfb1c7728f7c23274714434aa35d590e1aab7","prs_AF","11","3","0","0","0","1","1","Persianate/Tajik current-head routing rows=474; labels=native-source-body=228; OCR-witness=92; source-witness-pdf-with-ocr-locator=46; audit-ledger=34; generated-draft=19; source-acquisition-target=17; source-discovery-not-promoted=13; pointer-only=8; adjacent-source-body=4; source-discovery-body=4; method-note=2; source-witness-pdf-with-ocr-locator / adjacent TeX source-format evidence=2; methodology=2; source-discovery-witness-not-promoted=1; false-friend-gap=1; source-witness-indirect=1","Arabic authority rows do not authorize Persian/Farsi, Dari, Tajik, Urdu/Hindustani, Ottoman, or Pan-Turkic rows; each gate remains independent","source-body or witness present; draft expansion blocked or pending","source-use/provenance/gap/generated-draft/noncanonical/not-native-reviewed; no bridge promotion, cross-gate merge, native-review, accepted terminology, canonical approval, license clearance, gate promotion, source certification, final status, bridge/pilot, or translation completion"
"ac6f4eb7490b1bba788444ddb2361fc65c3d9f6e","212dfb1c7728f7c23274714434aa35d590e1aab7","tg_Cyrl_TJ","19","6","0","0","0","2","1","Persianate/Tajik current-head routing rows=474; labels=native-source-body=228; OCR-witness=92; source-witness-pdf-with-ocr-locator=46; audit-ledger=34; generated-draft=19; source-acquisition-target=17; source-discovery-not-promoted=13; pointer-only=8; adjacent-source-body=4; source-discovery-body=4; method-note=2; source-witness-pdf-with-ocr-locator / adjacent TeX source-format evidence=2; methodology=2; source-discovery-witness-not-promoted=1; false-friend-gap=1; source-witness-indirect=1","Arabic authority rows do not authorize Persian/Farsi, Dari, Tajik, Urdu/Hindustani, Ottoman, or Pan-Turkic rows; each gate remains independent","source-body or witness present; draft expansion blocked or pending","source-use/provenance/gap/generated-draft/noncanonical/not-native-reviewed; no bridge promotion, cross-gate merge, native-review, accepted terminology, canonical approval, license clearance, gate promotion, source certification, final status, bridge/pilot, or translation completion"
"ac6f4eb7490b1bba788444ddb2361fc65c3d9f6e","212dfb1c7728f7c23274714434aa35d590e1aab7","ur_Arab","0","0","1","14","15","0","3","No Arabic authority carryover; preserve separate gate","Arabic authority rows do not authorize Persian/Farsi, Dari, Tajik, Urdu/Hindustani, Ottoman, or Pan-Turkic rows; each gate remains independent","source-backed draft support permitted for resolved rows only","source-use/provenance/gap/generated-draft/noncanonical/not-native-reviewed; no bridge promotion, cross-gate merge, native-review, accepted terminology, canonical approval, license clearance, gate promotion, source certification, final status, bridge/pilot, or translation completion"
"ac6f4eb7490b1bba788444ddb2361fc65c3d9f6e","212dfb1c7728f7c23274714434aa35d590e1aab7","ota_Arab","0","0","1","7","0","0","3","No Arabic authority carryover; preserve separate gate","Arabic authority rows do not authorize Persian/Farsi, Dari, Tajik, Urdu/Hindustani, Ottoman, or Pan-Turkic rows; each gate remains independent","source-body or witness present; draft expansion blocked or pending","source-use/provenance/gap/generated-draft/noncanonical/not-native-reviewed; no bridge promotion, cross-gate merge, native-review, accepted terminology, canonical approval, license clearance, gate promotion, source certification, final status, bridge/pilot, or translation completion"
"ac6f4eb7490b1bba788444ddb2361fc65c3d9f6e","212dfb1c7728f7c23274714434aa35d590e1aab7","ug_Arab","18","0","0","0","0","1","0","No Arabic authority carryover; preserve separate gate","Arabic authority rows do not authorize Persian/Farsi, Dari, Tajik, Urdu/Hindustani, Ottoman, or Pan-Turkic rows; each gate remains independent","source-body or witness present; draft expansion blocked or pending","source-use/provenance/gap/generated-draft/noncanonical/not-native-reviewed; no bridge promotion, cross-gate merge, native-review, accepted terminology, canonical approval, license clearance, gate promotion, source certification, final status, bridge/pilot, or translation completion"
"ac6f4eb7490b1bba788444ddb2361fc65c3d9f6e","212dfb1c7728f7c23274714434aa35d590e1aab7","tr_Latn","4","0","0","0","0","0","0","No Arabic authority carryover; preserve separate gate","Arabic authority rows do not authorize Persian/Farsi, Dari, Tajik, Urdu/Hindustani, Ottoman, or Pan-Turkic rows; each gate remains independent","source-body or witness present; draft expansion blocked or pending","source-use/provenance/gap/generated-draft/noncanonical/not-native-reviewed; no bridge promotion, cross-gate merge, native-review, accepted terminology, canonical approval, license clearance, gate promotion, source certification, final status, bridge/pilot, or translation completion"
"ac6f4eb7490b1bba788444ddb2361fc65c3d9f6e","212dfb1c7728f7c23274714434aa35d590e1aab7","Hindustani","0","0","0","0","0","0","0","No Arabic authority carryover; preserve separate gate","Arabic authority rows do not authorize Persian/Farsi, Dari, Tajik, Urdu/Hindustani, Ottoman, or Pan-Turkic rows; each gate remains independent","source-canon gap","source-use/provenance/gap/generated-draft/noncanonical/not-native-reviewed; no bridge promotion, cross-gate merge, native-review, accepted terminology, canonical approval, license clearance, gate promotion, source certification, final status, bridge/pilot, or translation completion"
"ac6f4eb7490b1bba788444ddb2361fc65c3d9f6e","212dfb1c7728f7c23274714434aa35d590e1aab7","Pan-Turkic","0","0","0","0","0","0","0","No Arabic authority carryover; preserve separate gate","Arabic authority rows do not authorize Persian/Farsi, Dari, Tajik, Urdu/Hindustani, Ottoman, or Pan-Turkic rows; each gate remains independent","source-canon gap","source-use/provenance/gap/generated-draft/noncanonical/not-native-reviewed; no bridge promotion, cross-gate merge, native-review, accepted terminology, canonical approval, license clearance, gate promotion, source certification, final status, bridge/pilot, or translation completion"
