"PackageNumber","PackageRoot","Classification","FileCount","TotalBytes","BodyExtensionCount","SourceBodyWitnessSignalCount","PdfCount","TexFamilyCount","ZipCount","ManifestHashSignalCount","LogbookHeartbeatSignalCount","TextDataCount"
"149","noether-slavic-handoff/20260629/cross-session-coordination/20260704/NOETHER_SESSION_OUTPUT_PACKAGE149_20260704T062951_ROLLING_SNAPSHOT","body-or-source-bearing","2","44291","2","1","0","2","0","0","0","0"
"324","interlanguage-sidecar/20260704/noether_pc_packages_324_325_20260704/noether-slavic-handoff/20260629/cross-session-coordination/20260704/NOETHER_SESSION_OUTPUT_PACKAGE324_20260704T215004_ROLLING_DELTA_AFTER_PACKAGE323","body-or-source-bearing","15","675328","0","7","0","0","0","6","1","15"
"325","interlanguage-sidecar/20260704/noether_pc_packages_324_325_20260704/noether-slavic-handoff/20260629/cross-session-coordination/20260704/NOETHER_SESSION_OUTPUT_PACKAGE325_20260704T215157_ROLLING_DELTA_AFTER_PACKAGE324","metadata-log-manifest-only","7","34567","0","0","0","0","0","4","0","7"
"326","noether-slavic-handoff/20260629/cross-session-coordination/20260704/NOETHER_SESSION_OUTPUT_PACKAGE326_20260704T221012_ROLLING_DELTA_AFTER_PACKAGE325","body-or-source-bearing","96","2231282","0","62","0","0","0","21","12","95"
"327","noether-slavic-handoff/20260629/cross-session-coordination/20260704/NOETHER_SESSION_OUTPUT_PACKAGE327_20260704T221228_ROLLING_DELTA_AFTER_PACKAGE326","body-or-source-bearing","33","418268","0","17","0","0","0","18","4","33"
"328","noether-slavic-handoff/20260629/cross-session-coordination/20260704/NOETHER_SESSION_OUTPUT_PACKAGE328_20260704T221405_ROLLING_DELTA_AFTER_PACKAGE327","body-or-source-bearing","43","1081526","0","32","0","0","0","13","3","43"
"329","noether-slavic-handoff/20260629/cross-session-coordination/20260704/NOETHER_SESSION_OUTPUT_PACKAGE329_20260704T221650_ROLLING_DELTA_AFTER_PACKAGE328","body-or-source-bearing","38","400013","0","23","0","0","0","11","4","38"
"330","noether-slavic-handoff/20260629/cross-session-coordination/20260704/NOETHER_SESSION_OUTPUT_PACKAGE330_20260704T221924_ROLLING_DELTA_AFTER_PACKAGE329","body-or-source-bearing","42","569064","0","20","0","0","0","13","3","41"
"331","noether-slavic-handoff/20260629/cross-session-coordination/20260704/NOETHER_SESSION_OUTPUT_PACKAGE331_20260704T222125_ROLLING_DELTA_AFTER_PACKAGE330","body-or-source-bearing","29","392350","0","17","0","0","0","10","2","29"
"332","noether-slavic-handoff/20260629/cross-session-coordination/20260704/NOETHER_SESSION_OUTPUT_PACKAGE332_20260704T222401_ROLLING_DELTA_AFTER_PACKAGE331","body-or-source-bearing","42","531473","0","22","0","0","0","13","9","42"
"333","noether-slavic-handoff/20260629/cross-session-coordination/20260704/NOETHER_SESSION_OUTPUT_PACKAGE333_20260704T222545_ROLLING_DELTA_AFTER_PACKAGE332","body-or-source-bearing","28","362705","0","13","0","0","0","13","2","27"
"334","noether-slavic-handoff/20260629/cross-session-coordination/20260704/NOETHER_SESSION_OUTPUT_PACKAGE334_20260704T222716_ROLLING_DELTA_AFTER_PACKAGE333","body-or-source-bearing","30","318958","0","22","0","0","0","9","2","30"
"335","noether-slavic-handoff/20260629/cross-session-coordination/20260704/NOETHER_SESSION_OUTPUT_PACKAGE335_20260704T222849_ROLLING_DELTA_AFTER_PACKAGE334","body-or-source-bearing","30","494760","0","17","0","0","0","11","3","29"
"336","noether-slavic-handoff/20260629/cross-session-coordination/20260704/NOETHER_SESSION_OUTPUT_PACKAGE336_20260704T223008_ROLLING_DELTA_AFTER_PACKAGE335","body-or-source-bearing","29","567861","0","15","0","0","0","9","3","29"
"337","noether-slavic-handoff/20260629/cross-session-coordination/20260704/NOETHER_SESSION_OUTPUT_PACKAGE337_20260704T223134_ROLLING_DELTA_AFTER_PACKAGE336","body-or-source-bearing","30","876039","0","18","0","0","0","10","1","30"
"338","noether-slavic-handoff/20260629/cross-session-coordination/20260704/NOETHER_SESSION_OUTPUT_PACKAGE338_20260704T223301_ROLLING_DELTA_AFTER_PACKAGE337","body-or-source-bearing","23","802813","0","11","0","0","0","6","1","23"
"339","noether-slavic-handoff/20260629/cross-session-coordination/20260704/NOETHER_SESSION_OUTPUT_PACKAGE339_20260704T223611_ROLLING_DELTA_AFTER_PACKAGE338","body-or-source-bearing","37","827459","0","16","0","0","0","8","5","36"
"340","noether-slavic-handoff/20260629/cross-session-coordination/20260704/NOETHER_SESSION_OUTPUT_PACKAGE340_20260704T223745_ROLLING_DELTA_AFTER_PACKAGE339","body-or-source-bearing","19","207582","0","5","0","0","0","7","3","19"
"341","noether-slavic-handoff/20260629/cross-session-coordination/20260704/NOETHER_SESSION_OUTPUT_PACKAGE341_20260704T223918_ROLLING_DELTA_AFTER_PACKAGE340","body-or-source-bearing","37","544329","0","22","0","0","0","11","4","36"
"342","noether-slavic-handoff/20260629/cross-session-coordination/20260704/NOETHER_SESSION_OUTPUT_PACKAGE342_20260704T224057_ROLLING_DELTA_AFTER_PACKAGE341","body-or-source-bearing","33","369759","0","19","0","0","0","12","6","33"
"343","noether-slavic-handoff/20260629/cross-session-coordination/20260704/NOETHER_SESSION_OUTPUT_PACKAGE343_20260704T224220_ROLLING_DELTA_AFTER_PACKAGE342","body-or-source-bearing","39","1197245","0","28","0","0","0","7","1","39"
"344","noether-slavic-handoff/20260629/cross-session-coordination/20260704/NOETHER_SESSION_OUTPUT_PACKAGE344_20260704T224537_ROLLING_DELTA_AFTER_PACKAGE343","body-or-source-bearing","69","970217","0","42","0","0","0","23","7","68"
