audit_entry_number,parent_pdf_index_0based,parent_pdf_page_1based,printed_page_from_audit,audit_heading
312,315,316,,"### #312 (2026-07-05) — idx315 (vol p302 = Exposé V p6) — **Théorème 1.6 proof (fin): ★★ MAJOR restructure — [agent] flattened book's labeled i)/ii) conditions into «On a d'abord/D'autre part» prose (restored) + ★ ξ→Φ ×14 + ★ ∘ composition restored in i)-line ([agent] dropped) + ★ σ_n→σ̃_n (widetilde, diagram+prose) + \pmod→«mod.» ×2 + 4 DISPLAY→INLINE demotes + «tandis que»→«et» + «(par 1.6.i))» cite RESTORED ([agent] dropped) + «i-ème»→«i-ième» ×2 + «des T_1..T_n»→«des T_j» + «des T_1..T_{n-1}»→«de …» + «En effet,» restored + «les conditions» restored** — fix315.py (7 blocks)"
1067,315,316,302,"### #1067 (2026-07-23) - PHASE 3 COLD RE-VERIFY idx315 (Exposé V Théorème-1.6-preuve[i)/ii)-vérif + surjectivité-début + tikzcd-(1.6.2)] : footer «302» / top «-6-» / haut-droit «V») = **0 fix inline, 0 coquille-source, 0 emphase-drop. Tout MOT-POUR-MOT (page-preuve-PLAIN).** ★★★ MAPPING-EXPOSÉ-V CONFIRMÉ-idx315 : top «-6-»=idx-309 (idx315-309=6, band-top+a-CLAIR) ; haut-droit «V» ; footer «302»=idx-13(band-d). ★ L6808 (band a) = MATCH [«θ=Φ(1+Xt) ; montrons que θ vérifie les conditions i) et ii).» ; θ/Φ ; «~;»-thin-space]. ★ preuve-i) (band a, L6810) = MATCH [«i)~: H(f_1)(θ)=H(f_1)∘Φ(1+Xt)=Φ∘Ĝ(f_1)(1+Xt)=Φ(1)=0.» ; ★∘-composition-rendu-«o»-typewriter-scan(.tex-\circ-CORRECT ; conv) ; «i)~:»-thin-space ; H(f_1)/Ĝ(f_1)/Φ(1)=0]. ★ preuve-ii) (band a, L6812) = MATCH [«ii)~: u_H^n(θ)=Φ(1+⋯+X_nt^n) d'après (1.6.1) ; or 1+⋯+X_nt^n≡1+⋯+X_{n-1}t^{n-1} mod. F^nĜ, et 1+⋯+X_{n-1}t^{n-1}=Ĝ(f_n)(1+⋯+X_nt^n). Comme Φ∘Ĝ(f_n)=H(f_n)∘Φ, et que Φ est un morphisme de foncteurs filtrés, on obtient ii).» ; ≡-congruence ✓ / F^nĜ ✓ / ∘-«o» / «(1.6.1)»-legit / «foncteurs filtrés» / «~;»-thin-space / «et»×-genuine]. ★ surjectivité (band a/b, L6814-6817) = MATCH [«Il faut enfin montrer que si θ∈H(K[X]) vé..."
313,316,317,,"### #313 (2026-07-05) — idx316 (vol p303 = Exposé V p7) — **Théorème 1.6 proof (achèvement) + morphisme-check: ★★★ DROPPED CONGRUENCE clause restored ([agent] compressed «Φ(1+⋯+X_nt^n)≡Φ(1+⋯+X_{n-1}t^{n-1}) mod. F^n H(…), et») + ★★ «à valeurs dans les groupes»→«(à valeurs dans Ens̲)» ([agent] WRONG category — Ens not groupes) + ★ ξ→Φ ×22 + ★ x→χ (chi) variable + \pmod→mod. ×3 + 6 DISPLAY→INLINE demotes + «système d'applications»→«…d'application» singular + «(en se plaçant…)» parens restored + «pour m variable» restored + K[X_1..X_n]→K[X_i]_{i≥1} + «c'est-à-dire»→«c'est à dire» + several dropped-comma/word restores** — fix316.py (5 blocks)"
1068,316,317,303,"### #1068 (2026-07-23) - PHASE 3 COLD RE-VERIFY idx316 (Exposé V Théorème-1.6-preuve[ψ-construction + f_χ + cohérence-2-défs + Φ_A-morphisme-foncteurs-début] : footer «303» / top «-7-» / haut-droit «V») = **0 fix inline, 0 coquille-source, 0 emphase-drop. Tout MOT-POUR-MOT (page-preuve-PLAIN).** ★★★ MAPPING-EXPOSÉ-V CONFIRMÉ-idx316 : top «-7-»=idx-309 (idx316-309=7, band-top+a-CLAIR) ; haut-droit «V» ; footer «303»=idx-13(band-d, faible-dans-shadow). ★ ψ-construction (band a, L6838-6841) = MATCH [«(en se plaçant dans H(K[T_1,…,T_{n-1}]) grâce aux identifications 1.4). Compte tenu de 1.6.ii), Φ(1+⋯+X_nt^n)≡Φ(1+⋯+X_{n-1}t^{n-1}) mod. F^nH(K[X_i]_{i≥1}), et les Φ(1+⋯+X_nt^n) définissent un élément ψ de H(K[X_i]_{i≥1}) puisque c'est un groupe séparé complet ; on posera donc [display Φ(φ)=ψ.]» ; ★≡-congruence-CONFIRMÉE(get_text-menti-«=») ; ψ[\psi] ; «(1.4)»/«1.6.ii)»-refs ; «~;»-thin-space]. ★ L6843 (band a/b) = MATCH [«Soient enfin A∈Ob(𝒞), et χ∈Ĝ(A) ; on pose Φ(χ)=H(f_χ)(ψ), f_χ étant l'homomorphisme de K[X_i]_{i≥1} dans A défini en 1.2. Comme on a déjà défini Φ sur les éléments 1+⋯+X_nt^n=φ_n, il faut vérifier que les deux définitions donnent la même chose, c'est à dire que~: [di..."
314,317,318,,### #314 (2026-07-05) — idx317 (vol p304 = Exposé V p8) — **Théorème 1.6 proof (fonctorialité + compat. filtrations + additivité): ★★ MATH-RELATION SWAP fixed («=…≡0»→«≡…=0») + ★ «Si x»→«Soit χ» + ★ DROPPED clause «les flèches sont définies comme suit : 𝔖_n×𝔖_n opère sur K[T_1..T_{2n}]» restored + ★ x→χ ×5 + ξ→Φ ×6 (incl Φ_A/Φ_{A'}) + \Sym→𝔖 ×2 + ∘ restored (H(h)∘H) + \pmod→mod. ×3 + «>n»→«≥n» + g_n-display→inline («si» conditions) + 2 more display-demotes + colons/semicolons** — fix317.py (6 blocks)
1069,317,318,304,"### #1069 (2026-07-23) - PHASE 3 COLD RE-VERIFY idx317 (Exposé V Théorème-1.6-preuve[commutativité-Φ_A + compatibilité-filtrations-g_n + additivité-début-𝔖_n×𝔖_n] : footer «304» / top «-8-» / haut-droit «V») = **0 fix inline, 0 coquille-source, 0 emphase-drop. Tout MOT-POUR-MOT (page-preuve-PLAIN).** ★★★ MAPPING-EXPOSÉ-V CONFIRMÉ-idx317 : top «-8-»=idx-309 (idx317-309=8, band-a-CLAIR) ; haut-droit «V» ; footer «304»=idx-13(band-d, faible-dans-shadow). ★ commutativité-Φ_A (band a, L6864-6868) = MATCH [«est commutatif. Soit χ∈Ĝ(A) ; alors~: h∘f_χ=f_{Ĝ(h)(χ)} ; d'où~: [display H(h)(Φ_A(χ))=H(h)∘H(f_χ)(ψ)=H(f_{Ĝ(h)(χ)})(ψ)=Φ_{A'}(Ĝ(h)(χ)).]» ; ★∘-composition-rendu-«o»-typewriter(«hof_χ»/«H(h)oH(f_χ)» ; .tex-\circ-CORRECT) ; h∘f_χ/f_{Ĝ(h)(χ)}/Φ_A/Φ_{A'}/Ĝ(h)/ψ ; «~;»/«~:»-thin-space]. ★ compatibilité-filtrations (band a/b, L6869-6871) = MATCH [«Il reste donc à montrer que le morphisme de foncteurs ainsi construit est compatible aux structures de groupes filtrés.» + «Supposons que χ∈F^nĜ(A). Dire que χ est de filtration ≥n équivaut à dire que f_χ:K[X_i]_{i≥1}→A, se factorise par l'endomorphisme g_n de K[X_i]_{i≥1} défini par~: g_n(X_i)=0 si 1≤i≤n-1, et g_n(X_i)=X_i si i≥n.» ; ★«f_χ:....."
315,318,319,,"### #315 (2026-07-05) — idx318 (vol p305 = Exposé V p9) — **§1.6 additivité (fin) + §1.7 (produit de foncteurs): ★★ DROPPED middle term restored (display «Φ(χ)=H(f_χ)(…)=H(f'_χ)(…)») + ★★ «(resp. …)» de-abbreviation restored ×3 ([agent]→«respectivement de …») + ★ book X→χ slip reproduced (product element = χ p9, was X p8) + ξ→Φ ×5 + \Sym→𝔖 + 5 DISPLAY→INLINE demotes (§1.7) + K[X_i^{(j)}]→K[(X_i^{(j)})] parens ×2 + «sur le j-ième» book-typo + «élémentaire» removed + «(resp. X_2,…)» moved back into display + several dropped-word/split-sentence restores** — fix318.py (6 blocks)"
1070,318,319,305,"### #1070 (2026-07-23) - PHASE 3 COLD RE-VERIFY idx318 (Exposé V §1.6-additivité-fin + §1.7-produit-(Ĝ)^k : footer «305» / top «-9-» / haut-droit «V») = **0 fix inline, 1 COQUILLE-SOURCE-REPRODUITE(«le j-ième fonction»-le/la-genre-L6891), 0 emphase-drop. Tout MOT-POUR-MOT.** ★★★ MAPPING-EXPOSÉ-V CONFIRMÉ-idx318 : top «-9-»=idx-309 (idx318-309=9, band-top+a-CLAIR) ; haut-droit «V» ; footer «305»=idx-13(band-d, faible-dans-shadow). ★★ COQUILLE-SOURCE «le j-ième fonction»-§1.6 (band a, L6891) : scan-CLAIR-«envoyant X_j sur le j-ième fonction symétrique des T_i» = «le»-MASCULIN-devant-«fonction»-FÉMININ = COQUILLE-SOURCE-GENRE ; VS-MÊME-PHRASE-«f' envoie la i-ième fonction symétrique»(«la»-CORRECT) = INCONSISTANCE-INTERNE-SOURCE ; .tex-«le j-ième fonction»-MATCH => RAS (reproduire ; NB «le i-ième coefficient»-CORRECT-masc-coefficient). ★ L6891-suite (band a) = MATCH [«de façon que le premier facteur permute T_1,…,T_n et le second T_{n+1},…,T_{2n} ; K[X_1,…,X_{2n}] est plongé dans l'anneau des invariants en envoyant X_j sur le j-ième fonction symétrique[SOURCE-COQUILLE-le/la] des T_i ; f' envoie la i-ième fonction symétrique de T_1,…,T_n (resp. T_{n+1},…,T_{2n}) sur le i-ième coeffic..."
316,319,320,,"### #316 (2026-07-05) — idx319 (vol p306 = Exposé V p10) — **§1.7 (fin: conditions i)/ii)) + §1.8 (foncteurs i,g) + Lemme 1.9: ★ «∈»→«de» (prose) + DISPLAY→INLINE + K[X^{(j)}]_j→K[(X^{(j)})_j] parens ×2 + \pmod→mod. (cond ii) + «""oubli de la filtration""»→guillemets + \id→Id (capital) + relation-separators «,»→«;» + 2 display trailing-commas added + i) drop-comma + 3 split-sentence restores (« ; »+lc)** — fix319.py (5 blocks)"
1071,319,320,306,"### #1071 (2026-07-23) - PHASE 3 COLD RE-VERIFY idx319 (Exposé V §1.7-array-fin + §1.8-𝒞_0-foncteurs-oubli + ★★Lemme-1.9-énoncé : footer «306» / top «-10-» / haut-droit «V») = **0 fix inline, 0 coquille-source, 1 EMPHASE-DROP-STATEMENT(énoncé-Lemme-1.9-SOULIGNÉ). Tout MOT-POUR-MOT.** ★★★ MAPPING-EXPOSÉ-V CONFIRMÉ-idx319 : top «-10-»=idx-309 (idx319-309=10, band-top+a-CLAIR) ; haut-droit «V» ; footer «306»=idx-13(band-d, faible-dans-shadow). ★ §1.7-array-fin (band a, L6907-6915) = MATCH [«(1+X^{(j)}t)_{j=1,…,k} de (Ĝ(K[(X^{(j)})_j]))^k ; un élément θ de H(K[(X^{(j)})_j]) détermine un morphisme de foncteurs si, et seulement si, il vérifie~: [array i) ∀j, H(f_1^{(j)})(θ)=0 ; ii) ∀n,j, H(f_n^{(j)})(u_H^{n,(j)}(θ))≡u_H^{n,(j)}(θ) mod. F^nH.]» ; ★«si, et seulement si,»-VIRGULES-CONFIRMÉES-scan(.tex-MATCH) ; ≡-congruence ✓ ; F^nH ; ∀j/∀n,j ; array-PLAIN(pas-souligné)=0-drop ; array-LAYOUT=conv ; «~;»/«~:»-thin-space]. ★ L6916 (band a) = MATCH [«Le lecteur se convaincra aisément qu'à des complications de notation près, il suffit de recopier la démonstration de 1.6.»]. ★ §1.8 (band b/c, L6918-6932) = MATCH [«1.8. On notera 𝒞_0 la catégorie des K-algèbres, et [display i:𝒞_0→𝒞,] le foncteu..."
317,320,321,,"### #317 (2026-07-05) — idx320 (vol p307 = Exposé V p11) — **Lemme 1.9 proof + Théorème 1.10: ★ spurious «ξ:» label removed (scan «morphisme de foncteurs : Ĝ→H∘g», anonymous) + ξ→Φ (diagram Φ_A/Φ_{A_g}) + «Pour voir»→«Pour le voir» + Hom-seq \to→\longrightarrow ×3 + 3 DISPLAY→INLINE demotes + (H∘g)(A)→H∘g(A) parens-drop ×2 + 4 colon/semicolon restores** — fix320.py (7 blocks)"
1072,320,321,307,"### #1072 (2026-07-23) - PHASE 3 COLD RE-VERIFY idx320 (Exposé V Lemme-1.9-preuve + ★★Théorème-1.10-énoncé-début : footer «307» / top «-11-» / haut-droit «V») = **0 fix inline, 0 coquille-source, 1 EMPHASE-DROP-STATEMENT(énoncé-Théorème-1.10-SOULIGNÉ). Tout MOT-POUR-MOT.** ★★★ MAPPING-EXPOSÉ-V CONFIRMÉ-idx320 : top «-11-»=idx-309 (idx320-309=11, band-top+a-CLAIR) ; haut-droit «V» ; footer «307»=idx-13(band-d). ★ Lemme-1.9-preuve (band a/b/c, L6940-6967) = MATCH : «est un isomorphisme.»(SOULIGNÉ-tail-énoncé-Lemme-1.9-idx319 ; même-drop-déjà-compté-idx319) + «Pour le voir qu'il est injectif, on utilise la suite d'homomorphismes canoniques~: [display Hom(Ĝ,H∘g)⟶Hom(Ĝ∘i,H)⟶Hom(Ĝ_g,H∘g)⟶Hom(Ĝ,H∘g),]»(∘-raised-dot ; H∘g/Ĝ∘i/Ĝ_g ; trailing-«,») + «la dernière flèche venant de ce que Ĝ est un sous-foncteur de Ĝ_g. Pour vérifier que l'homomorphisme composé est l'identité, on remarque qu'un morphisme de foncteurs~: Ĝ⟶H∘g est déterminé par sa valeur pour les objets de 𝒞 dont la filtration est grossière ; en effet, soit A∈Ob(𝒞), et A_g l'algèbre A munie de la filtration grossière ; le morphisme canonique A→A_g définit un diagramme commutatif~:»(«sous-foncteur»-hyphen ; A_g ; «grossière ;»-t..."
