"lexeme_id","rooted_tree_scope","raw_witness_counts","capped_log_counts","equal_splits_or_phylogenetic_downweighting","effective_branch_number_D","kl_skew_from_target","branch_distribution_p","active_branch_count","source_basis","notes"
"rf_relation","Indo-European support tree: Germanic + Slavic East/West/South active target branches; other families kept as explicit zero/gap axes","Germanic:37; Slavic_East:0; Slavic_West:2; Slavic_South:405; Romance:0; Semitic:0; CJK:0; Malayic:0; Other:0","Germanic:3.6376; Slavic_East:0; Slavic_West:1.0986; Slavic_South:6.0064; Romance:0; Semitic:0; CJK:0; Malayic:0; Other:0","current approximation uses log-capped branch mass from term_probe_counts plus fallback source-witness forms; leaf-level equal-splits unavailable for this OLP slice","2.5217","0.4614","Germanic:0.3386; Slavic_East:0; Slavic_West:0.1023; Slavic_South:0.5591; Romance:0; Semitic:0; CJK:0; Malayic:0; Other:0","3","term_probe_counts.csv + forms.csv source-witness rows; generated-draft rows excluded","source-probe-balanced-enough-for-language-owner-review; no native review, no accepted terminology"
"rf_function","Indo-European support tree: Germanic + Slavic East/West/South active target branches; other families kept as explicit zero/gap axes","Germanic:139; Slavic_East:4; Slavic_West:1; Slavic_South:1329; Romance:0; Semitic:0; CJK:0; Malayic:0; Other:0","Germanic:4.9416; Slavic_East:1.6094; Slavic_West:0.6931; Slavic_South:7.1929; Romance:0; Semitic:0; CJK:0; Malayic:0; Other:0","current approximation uses log-capped branch mass from term_probe_counts plus fallback source-witness forms; leaf-level equal-splits unavailable for this OLP slice","3.0175","0.2819","Germanic:0.3423; Slavic_East:0.1115; Slavic_West:0.048; Slavic_South:0.4982; Romance:0; Semitic:0; CJK:0; Malayic:0; Other:0","4","term_probe_counts.csv + forms.csv source-witness rows; generated-draft rows excluded","source-probe-balanced-enough-for-language-owner-review; no native review, no accepted terminology"
"rf_domain","Indo-European support tree: Germanic + Slavic East/West/South active target branches; other families kept as explicit zero/gap axes","Germanic:79; Slavic_East:1; Slavic_West:1; Slavic_South:108; Romance:0; Semitic:0; CJK:0; Malayic:0; Other:0","Germanic:4.382; Slavic_East:0.6931; Slavic_West:0.6931; Slavic_South:4.6913; Romance:0; Semitic:0; CJK:0; Malayic:0; Other:0","current approximation uses log-capped branch mass from term_probe_counts plus fallback source-witness forms; leaf-level equal-splits unavailable for this OLP slice","2.956","0.3025","Germanic:0.4189; Slavic_East:0.0663; Slavic_West:0.0663; Slavic_South:0.4485; Romance:0; Semitic:0; CJK:0; Malayic:0; Other:0","4","term_probe_counts.csv + forms.csv source-witness rows; generated-draft rows excluded","source-probe-balanced-enough-for-language-owner-review; no native review, no accepted terminology"
"rf_codomain","Indo-European support tree: Germanic + Slavic East/West/South active target branches; other families kept as explicit zero/gap axes","Germanic:51; Slavic_East:0; Slavic_West:1; Slavic_South:5; Romance:0; Semitic:0; CJK:0; Malayic:0; Other:0","Germanic:3.9512; Slavic_East:0; Slavic_West:0.6931; Slavic_South:1.7918; Romance:0; Semitic:0; CJK:0; Malayic:0; Other:0","current approximation uses log-capped branch mass from term_probe_counts plus fallback source-witness forms; leaf-level equal-splits unavailable for this OLP slice","2.4486","0.4908","Germanic:0.6139; Slavic_East:0; Slavic_West:0.1077; Slavic_South:0.2784; Romance:0; Semitic:0; CJK:0; Malayic:0; Other:0","3","term_probe_counts.csv + forms.csv source-witness rows; generated-draft rows excluded","source-probe-balanced-enough-for-language-owner-review; no native review, no accepted terminology"
"rf_image_range","Indo-European support tree: Germanic + Slavic East/West/South active target branches; other families kept as explicit zero/gap axes","Germanic:140; Slavic_East:11; Slavic_West:65; Slavic_South:126; Romance:0; Semitic:0; CJK:0; Malayic:0; Other:0","Germanic:4.9488; Slavic_East:2.4849; Slavic_West:4.1897; Slavic_South:4.8442; Romance:0; Semitic:0; CJK:0; Malayic:0; Other:0","current approximation uses log-capped branch mass from term_probe_counts plus fallback source-witness forms; leaf-level equal-splits unavailable for this OLP slice","3.8762","0.0314","Germanic:0.3005; Slavic_East:0.1509; Slavic_West:0.2544; Slavic_South:0.2942; Romance:0; Semitic:0; CJK:0; Malayic:0; Other:0","4","term_probe_counts.csv + forms.csv source-witness rows; generated-draft rows excluded","source-probe-balanced-enough-for-language-owner-review; no native review, no accepted terminology"
"rf_injective","Indo-European support tree: Germanic + Slavic East/West/South active target branches; other families kept as explicit zero/gap axes","Germanic:29; Slavic_East:1; Slavic_West:1; Slavic_South:9; Romance:0; Semitic:0; CJK:0; Malayic:0; Other:0","Germanic:3.4012; Slavic_East:0.6931; Slavic_West:0.6931; Slavic_South:2.3026; Romance:0; Semitic:0; CJK:0; Malayic:0; Other:0","current approximation uses log-capped branch mass from term_probe_counts plus fallback source-witness forms; leaf-level equal-splits unavailable for this OLP slice","3.2293","0.214","Germanic:0.4797; Slavic_East:0.0978; Slavic_West:0.0978; Slavic_South:0.3248; Romance:0; Semitic:0; CJK:0; Malayic:0; Other:0","4","term_probe_counts.csv + forms.csv source-witness rows; generated-draft rows excluded","source-probe-balanced-enough-for-language-owner-review; no native review, no accepted terminology"
"rf_surjective","Indo-European support tree: Germanic + Slavic East/West/South active target branches; other families kept as explicit zero/gap axes","Germanic:28; Slavic_East:1; Slavic_West:1; Slavic_South:9; Romance:0; Semitic:0; CJK:0; Malayic:0; Other:0","Germanic:3.3673; Slavic_East:0.6931; Slavic_West:0.6931; Slavic_South:2.3026; Romance:0; Semitic:0; CJK:0; Malayic:0; Other:0","current approximation uses log-capped branch mass from term_probe_counts plus fallback source-witness forms; leaf-level equal-splits unavailable for this OLP slice","3.2361","0.2119","Germanic:0.4772; Slavic_East:0.0982; Slavic_West:0.0982; Slavic_South:0.3263; Romance:0; Semitic:0; CJK:0; Malayic:0; Other:0","4","term_probe_counts.csv + forms.csv source-witness rows; generated-draft rows excluded","source-probe-balanced-enough-for-language-owner-review; no native review, no accepted terminology"
"rf_bijective","Indo-European support tree: Germanic + Slavic East/West/South active target branches; other families kept as explicit zero/gap axes","Germanic:9; Slavic_East:1; Slavic_West:1; Slavic_South:21; Romance:0; Semitic:0; CJK:0; Malayic:0; Other:0","Germanic:2.3026; Slavic_East:0.6931; Slavic_West:0.6931; Slavic_South:3.091; Romance:0; Semitic:0; CJK:0; Malayic:0; Other:0","current approximation uses log-capped branch mass from term_probe_counts plus fallback source-witness forms; leaf-level equal-splits unavailable for this OLP slice","3.2909","0.1951","Germanic:0.3396; Slavic_East:0.1022; Slavic_West:0.1022; Slavic_South:0.4559; Romance:0; Semitic:0; CJK:0; Malayic:0; Other:0","4","term_probe_counts.csv + forms.csv source-witness rows; generated-draft rows excluded","source-probe-balanced-enough-for-language-owner-review; no native review, no accepted terminology"
"rf_equivalence_relation","Indo-European support tree: Germanic + Slavic East/West/South active target branches; other families kept as explicit zero/gap axes","Germanic:5; Slavic_East:1; Slavic_West:0; Slavic_South:142; Romance:0; Semitic:0; CJK:0; Malayic:0; Other:0","Germanic:1.7918; Slavic_East:0.6931; Slavic_West:0; Slavic_South:4.9628; Romance:0; Semitic:0; CJK:0; Malayic:0; Other:0","current approximation uses log-capped branch mass from term_probe_counts plus fallback source-witness forms; leaf-level equal-splits unavailable for this OLP slice","2.303","0.5521","Germanic:0.2406; Slavic_East:0.0931; Slavic_West:0; Slavic_South:0.6664; Romance:0; Semitic:0; CJK:0; Malayic:0; Other:0","3","term_probe_counts.csv + forms.csv source-witness rows; generated-draft rows excluded","source-probe-balanced-enough-for-language-owner-review; no native review, no accepted terminology"
"rf_partial_order","Indo-European support tree: Germanic + Slavic East/West/South active target branches; other families kept as explicit zero/gap axes","Germanic:9; Slavic_East:2; Slavic_West:0; Slavic_South:39; Romance:0; Semitic:0; CJK:0; Malayic:0; Other:0","Germanic:2.3026; Slavic_East:1.0986; Slavic_West:0; Slavic_South:3.6889; Romance:0; Semitic:0; CJK:0; Malayic:0; Other:0","current approximation uses log-capped branch mass from term_probe_counts plus fallback source-witness forms; leaf-level equal-splits unavailable for this OLP slice","2.7023","0.3922","Germanic:0.3248; Slavic_East:0.155; Slavic_West:0; Slavic_South:0.5203; Romance:0; Semitic:0; CJK:0; Malayic:0; Other:0","3","term_probe_counts.csv + forms.csv source-witness rows; generated-draft rows excluded","source-probe-balanced-enough-for-language-owner-review; no native review, no accepted terminology"
