"language_code","name","family","branch","script","region","source_count","tex_count","pdf_count","native_source_status"
"en","English","Indo-European","Germanic/West Germanic","Latin","global academic","7","2","0","source-witness present for English control/source bodies; not target-language approval"
"x-math-symbolic","mathematical symbolic register","non-family axis","X/symbolic","symbols/Latin","mathematical notation","5","0","0","formula-neighbor witness axis, not a language community"
"x-il-draft","generated interlanguage draft scaffold","constructed/noncanonical","generated-draft","Latin","support lane","0","0","0","generated-draft only; not native witness"
"ru","Russian","Indo-European","Slavic/East","Cyrillic","East Slavic","0","0","0","source-acquisition gap in this OLP block"
"uk","Ukrainian","Indo-European","Slavic/East","Cyrillic","East Slavic","0","0","0","source-acquisition gap in this OLP block"
"pl","Polish","Indo-European","Slavic/West","Latin","West Slavic","0","0","0","source-acquisition gap in this OLP block"
"cs","Czech","Indo-European","Slavic/West","Latin","West Slavic","0","0","0","source-acquisition gap in this OLP block"
"hr","Croatian","Indo-European","Slavic/South","Latin","South Slavic","0","0","0","source-acquisition gap in this OLP block"
"sr","Serbian","Indo-European","Slavic/South","Cyrillic/Latin","South Slavic","0","0","0","source-acquisition gap in this OLP block"
"es","Spanish","Indo-European","Romance/Ibero-Romance","Latin","Romance baseline","0","0","0","source-acquisition gap in this OLP block"
"fr","French","Indo-European","Romance/Gallo-Romance","Latin","Romance baseline","0","0","0","source-acquisition gap in this OLP block"
"de","German","Indo-European","Germanic/West Germanic","Latin","Germanic baseline","0","0","0","source-acquisition gap in this OLP block"
"be","Belarusian","Indo-European","Slavic/East","Cyrillic/Latin as source presents","East Slavic","2","0","0","source body recovered from Fable mirror; relation/function row extraction pending"
"mk","Macedonian","Indo-European","Slavic/South","Cyrillic","South Slavic","1","0","0","source body recovered from Fable mirror; relation/function row extraction pending"
"hsb","Upper Sorbian","Indo-European","Slavic/West","Latin","West Slavic","2","0","0","source body recovered from Fable mirror; relation/function row extraction pending"
